Navio: Suezmax T150
Cenário: Médio
Manobra: Entrada completa para calibracao
Corrente: N 0.5nó 
Vento: SE 15nós 
Onda: 1.0m 8s SE 

zz vx vy vzz rudder_demanded propeller_demanded distance_port distance_starboard distance_target
-160.81 4.19 -0.18 -0.05 0.0 2 34.685 100.466 6024.934
-160.82 4.19 -0.18 -0.05 0.0 2 34.677 100.522 6024.514
-160.82 4.19 -0.18 -0.05 0.0 2 34.655 100.544 6024.097
-160.83 4.19 -0.18 -0.05 0.0 2 34.658 100.588 6023.67
-160.83 4.19 -0.18 -0.05 0.0 2 34.636 100.61 6023.253
-160.84 4.19 -0.18 -0.05 0.0 2 34.637 100.656 6022.836
-160.84 4.19 -0.18 -0.05 0.0 2 34.615 100.679 6022.418
-160.85 4.19 -0.18 -0.05 0.0 2 34.616 100.725 6022.001
-160.85 4.19 -0.18 -0.05 0.0 2 34.596 100.745 6021.574
-160.86 4.19 -0.18 -0.05 0.0 2 34.597 100.791 6021.157
-160.86 4.19 -0.18 -0.05 0.0 2 34.575 100.814 6020.74
-160.87 4.19 -0.18 -0.05 0.0 2 34.566 100.869 6020.32
-160.87 4.19 -0.18 -0.05 0.0 2 34.544 100.892 6019.903
-160.88 4.19 -0.18 -0.05 0.0 2 34.545 100.938 6019.486
-160.88 4.19 -0.18 -0.05 0.0 2 34.525 100.958 6019.059
-160.89 4.19 -0.18 -0.05 0.0 2 34.527 101.004 6018.642
-160.89 4.19 -0.18 -0.05 0.0 2 34.504 101.027 6018.224
-160.89 4.19 -0.18 -0.05 0.0 2 34.482 101.049 6017.807
-160.9 4.19 -0.18 -0.05 0.0 2 34.483 101.095 6017.39
-160.9 4.19 -0.18 -0.05 0.0 2 34.463 101.115 6016.963
-160.91 4.19 -0.18 -0.05 0.0 2 34.464 101.161 6016.546
-160.91 4.19 -0.18 -0.05 0.0 2 34.442 101.184 6016.129
-160.92 4.19 -0.18 -0.05 0.0 2 34.443 101.23 6015.712
-160.92 4.19 -0.18 -0.05 0.0 2 34.421 101.252 6015.294
-160.93 4.19 -0.18 -0.05 0.0 2 34.424 101.296 6014.867
