Navio: Suezmax T150
Cenário: Médio
Manobra: Entrada completa
Corrente: N 0.5nó 
Vento: SE 15nós 
Onda: 1.0m 8s SE 

time_stamp zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target
0.0 -160.0 2.57 -0.26 0.0 0.0 0 -33.112 3940.353
0.1 -160.0 2.57 -0.26 0.0 0.0 0 -33.111 3940.096
0.2 -160.0 2.57 -0.26 0.0 0.0 0 -33.111 3939.839
0.3 -160.0 2.57 -0.26 0.0 0.0 0 -33.12 3939.579
0.4 -160.0 2.57 -0.26 0.0 0.0 0 -33.119 3939.322
0.5 -160.0 2.57 -0.26 0.0 0.0 0 -33.129 3939.063
0.6 -160.0 2.57 -0.26 0.0 0.0 0 -33.128 3938.805
0.7 -160.0 2.57 -0.26 0.0 0.0 0 -33.125 3938.539
0.8 -160.0 2.57 -0.26 0.0 0.0 0 -33.134 3938.279
0.9 -160.0 2.57 -0.26 0.0 0.0 0 -33.134 3938.022
1.0 -160.0 2.57 -0.26 0.0 0.0 0 -33.133 3937.765
1.1 -160.0 2.57 -0.26 0.0 0.0 0 -33.142 3937.505
1.2 -160.0 2.57 -0.26 0.0 0.0 0 -33.142 3937.248
1.3 -160.0 2.57 -0.26 0.0 0.0 0 -33.151 3936.989
1.4 -160.0 2.57 -0.26 0.0 0.0 0 -33.15 3936.732
1.5 -160.0 2.57 -0.26 0.0 0.0 0 -33.15 3936.475
1.6 -160.0 2.57 -0.26 0.0 0.0 0 -33.159 3936.215
1.7 -160.0 2.57 -0.26 0.0 0.0 0 -33.158 3935.958
1.8 -160.0 2.57 -0.26 0.0 0.0 0 -33.158 3935.701
1.9 -160.0 2.57 -0.26 0.0 0.0 0 -33.167 3935.441
2.0 -160.0 2.57 -0.26 0.0 -0.0 0 -33.166 3935.184
2.1 -160.0 2.57 -0.26 0.0 -0.0 0 -33.175 3934.925
2.2 -160.0 2.57 -0.26 0.0 -0.0 0 -33.175 3934.668
2.3 -160.0 2.57 -0.26 0.0 -0.0 0 -33.174 3934.411
2.4 -160.0 2.57 -0.26 0.0 -0.0 0 -33.183 3934.151
2.5 -160.0 2.57 -0.26 0.0 -0.0 0 -33.183 3933.894
2.6 -160.0 2.57 -0.26 0.0 -0.0 0 -33.182 3933.637
2.7 -160.0 2.57 -0.26 0.0 -0.0 0 -33.191 3933.377
2.8 -160.0 2.57 -0.26 0.0 -0.0 0 -33.191 3933.12
2.9 -160.0 2.57 -0.26 0.0 -0.0 0 -33.2 3932.861
3.0 -160.0 2.57 -0.26 0.0 -0.0 0 -33.2 3932.604
3.1 -160.0 2.57 -0.26 0.0 -0.0 0 -33.199 3932.347
3.2 -160.0 2.57 -0.26 0.0 -0.0 0 -33.208 3932.087
3.3 -160.0 2.57 -0.26 0.0 -0.0 0 -33.21 3931.84
3.4 -160.0 2.57 -0.26 0.0 -0.0 0 -33.209 3931.583
3.5 -160.0 2.57 -0.26 0.0 -0.0 0 -33.218 3931.323
3.6 -160.0 2.57 -0.26 0.0 -0.0 0 -33.218 3931.066
3.7 -160.0 2.57 -0.26 0.0 -0.0 0 -33.227 3930.807
3.8 -160.0 2.57 -0.26 0.0 -0.0 0 -33.226 3930.549
3.9 -160.0 2.56 -0.26 0.0 -0.0 0 -33.226 3930.292
4.0 -159.99 2.56 -0.26 0.0 -0.0 0 -33.235 3930.033
4.1 -159.99 2.56 -0.26 0.0 -0.0 0 -33.234 3929.776
