Navio: Suezmax T172
Cenário: Médio
Manobra: Entrada PGL3B Atrac. BB
Corrente: N 0.5nó 
Vento: SE 15nós 
Onda: 1.0m 8s SE 

time_stamp zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target
0.0 -160.01 3.08 -0.26 0.0 0.0 0 -35.489 5303.051
0.1 -160.01 3.08 -0.26 0.0 0.0 0 -35.496 5302.74
0.2 -160.01 3.08 -0.26 0.0 0.0 0 -35.503 5302.43
0.3 -160.01 3.08 -0.26 0.0 0.0 0 -35.51 5302.119
0.4 -160.01 3.08 -0.26 0.0 0.0 0 -35.52 5301.818
0.5 -160.01 3.08 -0.26 0.0 0.0 0 -35.537 5301.505
0.6 -160.01 3.08 -0.26 0.0 0.0 0 -35.544 5301.195
0.7 -160.01 3.08 -0.26 0.0 0.0 0 -35.551 5300.885
0.8 -160.01 3.08 -0.26 0.0 0.0 0 -35.558 5300.574
0.9 -160.01 3.08 -0.26 0.0 0.0 0 -35.565 5300.264
1.0 -160.01 3.08 -0.26 0.0 0.0 0 -35.572 5299.953
1.1 -160.01 3.08 -0.26 0.0 0.0 0 -35.581 5299.652
1.2 -160.01 3.08 -0.26 0.0 0.0 0 -35.589 5299.342
1.3 -160.01 3.08 -0.26 0.0 0.0 0 -35.605 5299.029
1.4 -160.01 3.08 -0.26 0.0 0.0 0 -35.612 5298.719
1.5 -160.01 3.08 -0.26 0.0 0.0 0 -35.62 5298.408
1.6 -160.01 3.08 -0.26 0.0 0.0 0 -35.627 5298.098
1.7 -160.01 3.08 -0.26 0.0 0.0 0 -35.636 5297.797
1.8 -160.01 3.08 -0.26 0.0 0.0 0 -35.643 5297.486
1.9 -160.01 3.08 -0.26 0.0 0.0 0 -35.65 5297.176
2.0 -160.01 3.08 -0.26 0.0 0.0 0 -35.657 5296.866
2.1 -160.01 3.08 -0.26 0.0 0.0 0 -35.674 5296.553
2.2 -160.01 3.08 -0.26 0.0 0.0 0 -35.684 5296.252
2.3 -160.01 3.08 -0.26 0.0 0.0 0 -35.691 5295.941
2.4 -160.01 3.08 -0.26 0.0 0.0 0 -35.698 5295.631
2.5 -160.01 3.08 -0.26 0.0 0.0 0 -35.705 5295.32
2.6 -160.01 3.08 -0.26 0.0 0.0 0 -35.712 5295.01
2.7 -160.01 3.08 -0.26 0.0 0.0 0 -35.719 5294.7
2.8 -160.01 3.08 -0.26 0.0 0.0 0 -35.729 5294.399
2.9 -160.01 3.08 -0.26 0.0 0.0 0 -35.745 5294.086
3.0 -160.01 3.08 -0.26 0.0 0.0 0 -35.752 5293.775
3.1 -160.01 3.08 -0.26 0.0 0.0 0 -35.76 5293.465
3.2 -160.01 3.08 -0.26 0.0 0.0 0 -35.767 5293.154
3.3 -160.01 3.08 -0.26 0.0 0.0 0 -35.776 5292.854
3.4 -160.01 3.08 -0.26 0.0 0.0 0 -35.783 5292.543
3.5 -160.01 3.08 -0.26 0.0 0.0 0 -35.79 5292.233
3.6 -160.01 3.08 -0.26 0.0 0.0 0 -35.797 5291.922
3.7 -160.01 3.08 -0.26 0.0 0.0 0 -35.814 5291.609
3.8 -160.01 3.08 -0.26 0.0 0.0 0 -35.824 5291.309
3.9 -160.01 3.08 -0.26 0.0 0.0 0 -35.831 5290.998
4.0 -160.01 3.08 -0.26 0.0 0.0 0 -35.838 5290.688
4.1 -160.01 3.08 -0.26 0.0 0.0 0 -35.845 5290.377
4.2 -160.0 3.08 -0.26 0.0 0.0 0 -35.854 5290.077
4.3 -160.0 3.08 -0.26 0.0 0.0 0 -35.861 5289.766
4.4 -160.0 3.08 -0.26 0.0 0.0 0 -35.869 5289.456
4.5 -160.0 3.08 -0.26 0.0 0.0 0 -35.876 5289.145
4.6 -160.0 3.08 -0.26 0.0 0.0 0 -35.892 5288.832
4.7 -160.0 3.08 -0.26 0.0 0.0 0 -35.902 5288.531
4.8 -160.0 3.08 -0.26 0.0 0.0 0 -35.909 5288.221
4.9 -160.0 3.08 -0.26 0.0 0.0 0 -35.916 5287.911
5.0 -160.0 3.08 -0.26 0.0 0.0 0 -35.923 5287.6
5.1 -160.0 3.08 -0.26 0.0 0.0 0 -35.93 5287.29
5.2 -160.0 3.08 -0.26 0.0 0.0 0 -35.94 5286.989
5.3 -160.0 3.08 -0.26 0.0 0.0 0 -35.947 5286.678
5.4 -160.0 3.08 -0.26 0.0 0.0 0 -35.954 5286.368
5.5 -160.0 3.08 -0.26 0.0 0.0 0 -35.971 5286.055
5.6 -160.0 3.08 -0.26 0.0 0.0 0 -35.98 5285.754
5.7 -160.0 3.07 -0.26 0.0 0.0 0 -35.987 5285.444
5.8 -160.0 3.07 -0.26 0.0 0.0 0 -35.994 5285.133
5.9 -160.0 3.07 -0.26 0.0 0.0 0 -36.001 5284.823
6.0 -160.0 3.07 -0.26 0.0 0.0 0 -36.011 5284.522
6.1 -160.0 3.07 -0.26 0.0 0.0 0 -36.018 5284.212
6.2 -160.0 3.07 -0.26 0.0 0.0 0 -36.025 5283.901
6.3 -160.0 3.07 -0.26 0.0 0.0 0 -36.032 5283.591
6.4 -160.0 3.07 -0.26 0.0 0.0 0 -36.049 5283.278
6.5 -160.0 3.07 -0.26 0.0 0.0 0 -36.058 5282.977
6.6 -160.0 3.07 -0.26 0.0 0.0 0 -36.065 5282.667
6.7 -160.0 3.07 -0.26 0.0 0.0 0 -36.073 5282.356
6.8 -159.99 3.07 -0.26 0.0 0.0 1 -36.08 5282.046
6.9 -159.99 3.07 -0.26 0.0 0.0 1 -36.089 5281.745
7.0 -159.99 3.07 -0.26 0.0 0.0 1 -36.096 5281.434
7.1 -159.99 3.07 -0.26 0.0 0.0 1 -36.103 5281.124
7.2 -159.99 3.07 -0.26 0.0 0.0 2 -36.11 5280.814
7.3 -159.99 3.07 -0.26 0.0 0.0 2 -36.13 5280.51
7.4 -159.99 3.07 -0.26 0.01 0.0 2 -36.137 5280.2
