Navio: Suezmax T172
Cenário: Vento NE
Manobra: Entrada PGL3B Atrac. BB
Corrente: N 0.8nó 
Vento: NE 25nós 
Onda: 1.0m 8s NE 

time_stamp zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target cog sog
0.0 -170.0 3.08 0.26 -0.0 0.0 0 -35.487 5303.041 -165.175 3.091
0.1 -170.0 3.08 0.25 -0.0 0.0 0 -35.494 5302.73 -165.36 3.09
0.2 -170.0 3.08 0.25 -0.0 0.0 0 -35.501 5302.42 -165.36 3.09
0.3 -170.0 3.08 0.25 -0.0 0.0 0 -35.498 5302.112 -165.36 3.09
0.4 -170.01 3.08 0.25 -0.01 0.0 0 -35.508 5301.811 -165.37 3.09
0.5 -170.01 3.08 0.25 -0.01 0.0 0 -35.515 5301.501 -165.37 3.09
0.6 -170.01 3.08 0.25 -0.01 0.0 0 -35.522 5301.19 -165.37 3.09
0.7 -170.01 3.08 0.25 -0.01 0.0 0 -35.529 5300.88 -165.37 3.09
0.8 -170.01 3.08 0.24 -0.01 0.0 0 -35.526 5300.572 -165.554 3.089
0.9 -170.01 3.08 0.24 -0.01 0.0 0 -35.533 5300.261 -165.554 3.089
1.0 -170.01 3.08 0.24 -0.01 0.0 0 -35.541 5299.951 -165.554 3.089
1.1 -170.01 3.08 0.24 -0.01 0.0 0 -35.548 5299.64 -165.554 3.089
1.2 -170.01 3.08 0.24 -0.01 0.0 0 -35.545 5299.332 -165.554 3.089
1.3 -170.01 3.08 0.24 -0.01 0.0 0 -35.552 5299.022 -165.554 3.089
1.4 -170.02 3.08 0.24 -0.01 0.0 0 -35.559 5298.711 -165.564 3.089
1.5 -170.02 3.08 0.24 -0.02 0.0 0 -35.557 5298.403 -165.564 3.089
1.6 -170.02 3.08 0.23 -0.02 0.0 0 -35.564 5298.093 -165.749 3.089
1.7 -170.02 3.08 0.23 -0.02 0.0 0 -35.571 5297.783 -165.749 3.089
1.8 -170.02 3.08 0.23 -0.02 0.0 0 -35.568 5297.475 -165.749 3.089
1.9 -170.02 3.08 0.23 -0.02 0.0 0 -35.575 5297.164 -165.749 3.089
2.0 -170.03 3.08 0.23 -0.02 0.0 0 -35.582 5296.854 -165.759 3.089
2.1 -170.03 3.08 0.23 -0.02 0.0 0 -35.58 5296.546 -165.759 3.089
2.2 -170.03 3.08 0.23 -0.02 0.0 0 -35.587 5296.235 -165.759 3.089
2.3 -170.03 3.08 0.23 -0.02 0.0 0 -35.586 5295.937 -165.759 3.089
2.4 -170.04 3.08 0.23 -0.02 0.0 0 -35.594 5295.626 -165.769 3.089
2.5 -170.04 3.08 0.22 -0.03 0.0 0 -35.591 5295.318 -165.954 3.088
2.6 -170.04 3.08 0.22 -0.03 0.0 0 -35.598 5295.008 -165.954 3.088
2.7 -170.04 3.08 0.22 -0.03 0.0 0 -35.595 5294.7 -165.954 3.088
2.8 -170.05 3.08 0.22 -0.03 0.0 0 -35.603 5294.389 -165.964 3.088
2.9 -170.05 3.08 0.22 -0.03 0.0 0 -35.6 5294.081 -165.964 3.088
3.0 -170.05 3.08 0.22 -0.03 0.0 0 -35.607 5293.771 -165.964 3.088
3.1 -170.05 3.08 0.22 -0.03 0.0 0 -35.604 5293.463 -165.964 3.088
3.2 -170.06 3.08 0.22 -0.03 0.0 0 -35.611 5293.153 -165.974 3.088
3.3 -170.06 3.08 0.22 -0.03 0.0 0 -35.609 5292.845 -165.974 3.088
3.4 -170.06 3.08 0.22 -0.03 0.0 0 -35.616 5292.534 -165.974 3.088
3.5 -170.07 3.08 0.22 -0.03 0.0 0 -35.613 5292.226 -165.984 3.088
3.6 -170.07 3.08 0.22 -0.03 0.0 0 -35.62 5291.916 -165.984 3.088
3.7 -170.07 3.08 0.22 -0.04 0.0 0 -35.618 5291.608 -165.984 3.088
3.8 -170.08 3.08 0.21 -0.04 0.0 0 -35.625 5291.297 -166.18 3.087
3.9 -170.08 3.08 0.21 -0.04 0.0 0 -35.622 5290.989 -166.18 3.087
4.0 -170.09 3.08 0.21 -0.04 0.0 0 -35.62 5290.681 -166.19 3.087
4.1 -170.09 3.08 0.21 -0.04 0.0 0 -35.627 5290.371 -166.19 3.087
4.2 -170.09 3.08 0.21 -0.04 0.0 0 -35.624 5290.063 -166.19 3.087
4.3 -170.1 3.08 0.21 -0.04 0.0 0 -35.631 5289.752 -166.2 3.087
4.4 -170.1 3.08 0.21 -0.04 0.0 0 -35.629 5289.444 -166.2 3.087
4.5 -170.11 3.08 0.21 -0.04 0.0 0 -35.626 5289.136 -166.21 3.087
4.6 -170.11 3.08 0.21 -0.04 0.0 0 -35.633 5288.826 -166.21 3.087
4.7 -170.11 3.08 0.21 -0.04 0.0 0 -35.63 5288.518 -166.21 3.087
4.8 -170.12 3.08 0.21 -0.05 0.0 0 -35.628 5288.21 -166.22 3.087
4.9 -170.12 3.08 0.21 -0.05 0.0 0 -35.635 5287.899 -166.22 3.087
5.0 -170.13 3.08 0.21 -0.05 0.0 0 -35.632 5287.591 -166.23 3.087
5.1 -170.13 3.08 0.21 -0.05 0.0 0 -35.63 5287.283 -166.23 3.087
5.2 -170.14 3.08 0.21 -0.05 0.0 0 -35.637 5286.973 -166.24 3.087
5.3 -170.14 3.08 0.21 -0.05 0.0 0 -35.634 5286.665 -166.24 3.087
5.4 -170.15 3.08 0.21 -0.05 0.0 0 -35.631 5286.357 -166.25 3.087
5.5 -170.15 3.08 0.21 -0.05 0.0 0 -35.641 5286.056 -166.25 3.087
5.6 -170.16 3.08 0.2 -0.05 0.0 0 -35.638 5285.748 -166.445 3.086
5.7 -170.16 3.08 0.2 -0.05 0.0 0 -35.636 5285.44 -166.445 3.086
5.8 -170.17 3.08 0.2 -0.05 0.0 0 -35.633 5285.132 -166.455 3.086
5.9 -170.17 3.08 0.2 -0.05 0.0 0 -35.64 5284.822 -166.455 3.086
6.0 -170.18 3.08 0.2 -0.05 0.0 0 -35.637 5284.514 -166.465 3.086
6.1 -170.18 3.08 0.2 -0.06 0.0 0 -35.635 5284.206 -166.465 3.086
6.2 -170.19 3.08 0.2 -0.06 0.0 0 -35.632 5283.898 -166.475 3.086
6.3 -170.2 3.08 0.2 -0.06 0.0 0 -35.639 5283.587 -166.485 3.086
6.4 -170.2 3.08 0.2 -0.06 0.0 0 -35.637 5283.279 -166.485 3.086
6.5 -170.21 3.08 0.2 -0.06 0.0 0 -35.634 5282.971 -166.495 3.086
6.6 -170.21 3.08 0.2 -0.06 0.0 0 -35.631 5282.663 -166.495 3.086
6.7 -170.22 3.08 0.2 -0.06 0.0 0 -35.629 5282.355 -166.505 3.086
6.8 -170.22 3.08 0.2 -0.06 0.0 0 -35.636 5282.045 -166.505 3.086
6.9 -170.23 3.08 0.2 -0.06 0.0 0 -35.633 5281.737 -166.515 3.086
7.0 -170.24 3.08 0.2 -0.06 0.0 0 -35.631 5281.429 -166.525 3.086
7.1 -170.24 3.08 0.2 -0.06 0.0 0 -35.628 5281.121 -166.525 3.086
7.2 -170.25 3.08 0.2 -0.06 0.0 0 -35.625 5280.813 -166.535 3.086
7.3 -170.26 3.08 0.2 -0.06 0.0 0 -35.623 5280.505 -166.545 3.086
7.4 -170.26 3.08 0.2 -0.07 0.0 0 -35.63 5280.194 -166.545 3.086
7.5 -170.27 3.08 0.2 -0.07 0.0 0 -35.627 5279.886 -166.555 3.086
7.6 -170.28 3.08 0.19 -0.07 0.0 0 -35.625 5279.578 -166.75 3.086
7.7 -170.28 3.08 0.19 -0.07 0.0 0 -35.622 5279.27 -166.75 3.086
7.8 -170.29 3.08 0.19 -0.07 0.0 0 -35.619 5278.962 -166.76 3.086
7.9 -170.3 3.08 0.19 -0.07 0.0 0 -35.617 5278.654 -166.77 3.086
8.0 -170.3 3.08 0.19 -0.07 0.0 0 -35.614 5278.346 -166.77 3.086
8.1 -170.31 3.08 0.19 -0.07 0.0 0 -35.611 5278.038 -166.78 3.086
8.2 -170.32 3.08 0.19 -0.07 0.0 0 -35.609 5277.73 -166.79 3.086
8.3 -170.32 3.08 0.19 -0.07 0.0 0 -35.606 5277.422 -166.79 3.086
8.4 -170.33 3.08 0.19 -0.07 0.0 0 -35.604 5277.114 -166.8 3.086
8.5 -170.34 3.08 0.19 -0.07 0.0 0 -35.611 5276.804 -166.81 3.086
8.6 -170.35 3.08 0.19 -0.07 0.0 0 -35.608 5276.496 -166.82 3.086
8.7 -170.35 3.08 0.19 -0.07 0.0 0 -35.605 5276.188 -166.82 3.086
8.8 -170.36 3.08 0.19 -0.08 0.0 0 -35.603 5275.88 -166.83 3.086
8.9 -170.37 3.08 0.19 -0.08 0.0 0 -35.6 5275.572 -166.84 3.086
9.0 -170.38 3.08 0.19 -0.08 0.0 0 -35.598 5275.264 -166.85 3.086
9.1 -170.38 3.08 0.18 -0.08 0.0 0 -35.595 5274.956 -167.035 3.085
9.2 -170.39 3.08 0.18 -0.08 0.0 0 -35.583 5274.65 -167.045 3.085
9.3 -170.4 3.07 0.18 -0.08 0.0 0 -35.58 5274.342 -167.044 3.075
9.4 -170.41 3.07 0.18 -0.08 0.0 0 -35.577 5274.034 -167.054 3.075
9.5 -170.42 3.07 0.18 -0.08 0.0 0 -35.575 5273.726 -167.064 3.075
9.6 -170.42 3.07 0.18 -0.08 0.0 0 -35.572 5273.418 -167.064 3.075
9.7 -170.43 3.07 0.18 -0.08 0.0 0 -35.569 5273.11 -167.074 3.075
9.8 -170.44 3.07 0.18 -0.08 0.0 0 -35.567 5272.802 -167.084 3.075
9.9 -170.45 3.07 0.18 -0.08 0.0 0 -35.564 5272.494 -167.094 3.075
10.0 -170.46 3.07 0.18 -0.08 0.0 0 -35.559 5272.176 -167.104 3.075
10.1 -170.46 3.07 0.18 -0.08 0.0 0 -35.557 5271.868 -167.104 3.075
