Navio: Suezmax T172
Cenário: Forte
Manobra: Entrada PGL3B Atrac. BB
Corrente: N 0.8nó 
Vento: SE 20nós 
Onda: 1.7m 10s SE 

x y zz vx vy vzz rudder_demanded propeller_demanded distance_port distance_starboard distance_target
11631.89 5447.37 -162.75 3.95 -0.51 0.11 0.07 3 66.264 78.157 6031.933
11631.5 5447.3 -162.74 3.95 -0.51 0.11 0.12 3 66.264 78.109 6031.538
11631.11 5447.24 -162.73 3.95 -0.51 0.11 0.12 3 66.273 78.052 6031.146
11630.71 5447.17 -162.71 3.95 -0.51 0.11 0.12 3 66.251 77.978 6030.741
11630.32 5447.1 -162.7 3.95 -0.51 0.12 0.12 3 66.251 77.93 6030.346
11629.93 5447.03 -162.69 3.95 -0.51 0.12 0.13 3 66.251 77.882 6029.95
11629.54 5446.96 -162.68 3.95 -0.51 0.12 0.13 3 66.251 77.834 6029.555
11629.14 5446.89 -162.67 3.95 -0.51 0.12 0.13 3 66.253 77.784 6029.15
11628.75 5446.82 -162.66 3.95 -0.51 0.12 0.13 3 66.253 77.736 6028.755
11628.36 5446.76 -162.64 3.95 -0.51 0.12 0.13 3 66.238 77.654 6028.363
11627.97 5446.69 -162.63 3.95 -0.51 0.12 0.13 3 66.238 77.607 6027.968
11627.58 5446.62 -162.62 3.95 -0.51 0.12 0.13 3 66.238 77.559 6027.572
11627.19 5446.55 -162.61 3.95 -0.51 0.12 0.13 3 66.238 77.511 6027.177
11626.79 5446.48 -162.6 3.95 -0.51 0.12 0.13 3 66.24 77.461 6026.772
11626.4 5446.41 -162.58 3.95 -0.51 0.12 0.13 3 66.216 77.389 6026.377
11626.01 5446.34 -162.57 3.95 -0.51 0.12 0.13 3 66.216 77.341 6025.982
11625.62 5446.27 -162.56 3.95 -0.51 0.12 0.13 3 66.216 77.293 6025.587
11625.23 5446.2 -162.55 3.95 -0.51 0.12 0.1 3 66.215 77.245 6025.192
11624.83 5446.13 -162.53 3.95 -0.51 0.13 0.1 3 66.194 77.171 6024.787
11624.44 5446.06 -162.52 3.95 -0.51 0.13 0.1 3 66.193 77.123 6024.392
11624.05 5445.99 -162.51 3.95 -0.51 0.13 0.1 3 66.193 77.076 6023.997
11623.66 5445.92 -162.5 3.95 -0.51 0.13 0.1 3 66.193 77.028 6023.602
11623.27 5445.85 -162.48 3.95 -0.51 0.13 0.1 3 66.169 76.956 6023.206
11622.87 5445.78 -162.47 3.95 -0.51 0.13 0.1 3 66.171 76.906 6022.802
11622.48 5445.71 -162.46 3.96 -0.51 0.13 0.1 3 66.171 76.858 6022.407
11622.09 5445.64 -162.45 3.96 -0.51 0.13 0.23 3 66.171 76.81 6022.011
11621.69 5445.57 -162.43 3.96 -0.52 0.13 0.23 3 66.149 76.736 6021.607
11621.3 5445.5 -162.42 3.96 -0.52 0.13 0.23 3 66.149 76.688 6021.211
11620.91 5445.43 -162.41 3.96 -0.52 0.13 0.23 3 66.149 76.64 6020.816
11620.52 5445.36 -162.39 3.96 -0.52 0.13 0.29 3 66.125 76.569 6020.421
11620.12 5445.29 -162.38 3.97 -0.52 0.13 0.29 3 66.127 76.519 6020.016
11619.73 5445.22 -162.37 3.97 -0.52 0.13 0.29 3 66.127 76.471 6019.621
11619.33 5445.15 -162.35 3.97 -0.52 0.13 0.29 3 66.105 76.397 6019.216
11618.94 5445.08 -162.34 3.97 -0.52 0.13 0.37 3 66.105 76.349 6018.821
11618.55 5445.01 -162.33 3.98 -0.52 0.13 0.37 3 66.105 76.301 6018.426
11618.15 5444.94 -162.31 3.98 -0.52 0.13 0.37 3 66.083 76.227 6018.021
11617.76 5444.87 -162.3 3.98 -0.52 0.14 0.37 3 66.083 76.179 6017.626
11617.36 5444.79 -162.29 3.98 -0.52 0.14 0.43 3 66.075 76.139 6017.219
11616.96 5444.72 -162.27 3.99 -0.52 0.14 0.43 3 66.053 76.065 6016.814
11616.57 5444.65 -162.26 3.99 -0.53 0.14 0.43 3 66.053 76.017 6016.419
11616.17 5444.58 -162.25 3.99 -0.53 0.14 0.43 3 66.055 75.967 6016.014
11615.78 5444.51 -162.23 3.99 -0.53 0.14 0.51 3 66.031 75.895 6015.619
11615.38 5444.44 -162.22 4.0 -0.53 0.14 0.51 3 66.034 75.845 6015.214
11614.98 5444.36 -162.2 4.0 -0.53 0.14 0.51 3 66.002 75.78 6014.807
11614.59 5444.29 -162.19 4.0 -0.53 0.14 0.51 3 66.002 75.733 6014.412
11614.19 5444.22 -162.18 4.01 -0.53 0.14 0.55 3 66.004 75.682 6014.007
11613.79 5444.15 -162.16 4.01 -0.53 0.14 0.55 3 65.982 75.608 6013.602
11613.39 5444.08 -162.15 4.01 -0.53 0.14 0.55 3 65.985 75.558 6013.197
11612.99 5444.01 -162.13 4.01 -0.54 0.14 0.55 3 65.963 75.484 6012.792
11612.6 5443.93 -162.12 4.02 -0.54 0.14 0.55 3 65.953 75.446 6012.395
11612.2 5443.86 -162.11 4.02 -0.54 0.14 0.55 3 65.955 75.396 6011.99
11611.8 5443.79 -162.09 4.02 -0.54 0.14 0.55 3 65.934 75.322 6011.585
11611.4 5443.72 -162.08 4.03 -0.54 0.14 0.55 3 65.936 75.272 6011.18
11611.0 5443.64 -162.06 4.03 -0.54 0.14 0.55 3 65.904 75.207 6010.773
11610.6 5443.57 -162.05 4.03 -0.54 0.14 0.55 3 65.907 75.157 6010.368
11610.2 5443.5 -162.03 4.03 -0.55 0.14 0.55 3 65.885 75.083 6009.963
11609.8 5443.43 -162.02 4.04 -0.55 0.14 0.55 3 65.887 75.033 6009.558
11609.4 5443.35 -162.01 4.04 -0.55 0.14 0.55 3 65.88 74.993 6009.151
11608.99 5443.28 -161.99 4.04 -0.55 0.14 0.55 3 65.86 74.916 6008.737
11608.59 5443.21 -161.98 4.04 -0.55 0.14 0.55 3 65.863 74.866 6008.332
11608.19 5443.14 -161.96 4.05 -0.55 0.14 0.55 3 65.841 74.792 6007.927
11607.79 5443.06 -161.95 4.05 -0.55 0.14 0.59 3 65.834 74.752 6007.52
11607.39 5442.99 -161.93 4.05 -0.55 0.14 0.59 3 65.812 74.678 6007.115
