Navio: Suezmax T172
Cenário: Forte  S
Manobra: Entrada PGL3A Atrac. BB
Corrente: N 0.8nó 
Vento: S 20nós 
Onda: 1.7m 10s SE 

time_stamp zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target
316.6 -162.63 3.5 -0.53 0.03 0.0 1 48.609 6046.27
316.7 -162.63 3.5 -0.53 0.03 0.0 1 48.643 6045.918
316.8 -162.62 3.5 -0.53 0.03 0.0 1 48.677 6045.567
316.9 -162.62 3.5 -0.53 0.03 0.0 1 48.701 6045.214
317.0 -162.62 3.51 -0.53 0.03 0.0 1 48.735 6044.863
317.1 -162.62 3.51 -0.53 0.03 0.0 1 48.768 6044.512
317.2 -162.61 3.51 -0.53 0.03 0.0 1 48.792 6044.158
317.3 -162.61 3.51 -0.53 0.03 0.0 1 48.826 6043.807
317.4 -162.61 3.51 -0.54 0.03 0.0 1 48.853 6043.444
317.5 -162.6 3.52 -0.54 0.03 0.0 1 48.887 6043.093
317.6 -162.6 3.52 -0.54 0.03 0.0 1 48.92 6042.742
317.7 -162.6 3.52 -0.54 0.03 0.0 1 48.945 6042.388
317.8 -162.59 3.52 -0.54 0.03 0.0 1 48.978 6042.037
317.9 -162.59 3.53 -0.54 0.03 0.0 1 49.005 6041.674
318.0 -162.59 3.53 -0.54 0.03 0.0 1 49.039 6041.322
318.1 -162.58 3.53 -0.53 0.03 0.0 1 49.063 6040.969
318.2 -162.58 3.53 -0.53 0.03 0.0 1 49.097 6040.618
318.3 -162.58 3.53 -0.53 0.03 0.0 1 49.123 6040.254
318.4 -162.57 3.54 -0.53 0.03 0.0 1 49.157 6039.903
318.5 -162.57 3.54 -0.53 0.03 0.0 1 49.181 6039.55
318.6 -162.57 3.54 -0.53 0.03 0.0 1 49.217 6039.189
318.7 -162.57 3.54 -0.53 0.03 0.0 1 49.241 6038.835
318.8 -162.56 3.54 -0.53 0.03 0.0 1 49.278 6038.475
318.9 -162.56 3.55 -0.53 0.03 0.0 1 49.302 6038.121
319.0 -162.56 3.55 -0.53 0.03 0.0 1 49.336 6037.77
319.1 -162.55 3.55 -0.53 0.03 0.0 1 49.362 6037.407
319.2 -162.55 3.55 -0.52 0.03 0.0 1 49.386 6037.053
319.3 -162.55 3.55 -0.52 0.03 0.0 1 49.422 6036.692
319.4 -162.54 3.56 -0.52 0.03 0.0 1 49.447 6036.339
319.5 -162.54 3.56 -0.52 0.03 0.0 1 49.473 6035.975
319.6 -162.54 3.56 -0.52 0.03 0.0 1 49.507 6035.624
319.7 -162.53 3.56 -0.52 0.03 0.0 1 49.533 6035.261
319.8 -162.53 3.56 -0.51 0.03 0.0 1 49.557 6034.907
319.9 -162.53 3.56 -0.51 0.03 0.0 1 49.584 6034.544
320.0 -162.52 3.56 -0.51 0.03 0.0 1 49.618 6034.193
320.1 -162.52 3.56 -0.51 0.03 0.0 1 49.644 6033.83
