Navio: Suezmax T080
Cenário: Vento NE
Manobra: Entrada PGL3A Atrac. BB
Corrente: N 0.8nó 
Vento: NE 25nós 
Onda: 1.0m 8s NE 

time_stamp zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target
215.4 -165.64 5.06 -0.35 -0.03 -0.17 3 46.196 6045.64
215.5 -165.64 5.06 -0.35 -0.03 -0.17 3 46.227 6045.134
215.6 -165.65 5.06 -0.35 -0.03 -0.17 3 46.257 6044.628
215.7 -165.65 5.06 -0.35 -0.03 -0.17 3 46.287 6044.121
215.8 -165.65 5.06 -0.35 -0.02 -0.17 3 46.305 6043.622
215.9 -165.65 5.06 -0.35 -0.02 -0.17 3 46.336 6043.116
216.0 -165.66 5.06 -0.35 -0.02 -0.17 3 46.366 6042.61
216.1 -165.66 5.06 -0.35 -0.02 -0.17 3 46.396 6042.103
216.2 -165.66 5.06 -0.35 -0.02 -0.17 3 46.427 6041.597
216.3 -165.66 5.06 -0.35 -0.02 -0.17 3 46.457 6041.091
216.4 -165.66 5.06 -0.35 -0.02 -0.17 3 46.487 6040.584
216.5 -165.67 5.06 -0.35 -0.02 -0.17 3 46.508 6040.075
216.6 -165.67 5.06 -0.35 -0.02 -0.17 3 46.538 6039.569
216.7 -165.67 5.06 -0.35 -0.01 -0.17 3 46.568 6039.063
216.8 -165.67 5.06 -0.36 -0.01 -0.17 3 46.599 6038.556
216.9 -165.67 5.06 -0.36 -0.01 -0.17 3 46.629 6038.05
217.0 -165.67 5.06 -0.36 -0.01 -0.17 3 46.659 6037.544
217.1 -165.67 5.06 -0.36 -0.01 -0.17 3 46.69 6037.038
217.2 -165.67 5.06 -0.36 -0.01 -0.17 3 46.72 6036.531
217.3 -165.68 5.06 -0.36 -0.01 -0.17 3 46.75 6036.025
217.4 -165.68 5.06 -0.36 -0.01 -0.17 3 46.78 6035.519
217.5 -165.68 5.06 -0.36 -0.0 -0.17 3 46.811 6035.012
217.6 -165.68 5.06 -0.36 -0.0 -0.17 3 46.839 6034.516
217.7 -165.68 5.06 -0.36 -0.0 -0.17 3 46.869 6034.009
217.8 -165.68 5.06 -0.36 0.0 -0.17 3 46.899 6033.503
217.9 -165.68 5.06 -0.36 0.0 -0.17 3 46.93 6032.997
218.0 -165.68 5.06 -0.36 0.0 -0.17 3 46.96 6032.49
218.1 -165.68 5.06 -0.37 0.0 -0.17 3 46.99 6031.984
218.2 -165.68 5.06 -0.37 0.01 -0.17 3 47.02 6031.478
218.3 -165.67 5.06 -0.37 0.01 -0.17 3 47.051 6030.971
218.4 -165.67 5.06 -0.37 0.01 -0.17 3 47.081 6030.465
218.5 -165.67 5.06 -0.37 0.01 -0.17 3 47.111 6029.959
218.6 -165.67 5.06 -0.37 0.01 -0.17 3 47.142 6029.453
218.7 -165.67 5.06 -0.37 0.01 -0.17 3 47.172 6028.946
218.8 -165.67 5.06 -0.37 0.01 -0.17 3 47.202 6028.44
218.9 -165.67 5.06 -0.37 0.02 -0.17 3 47.232 6027.934
219.0 -165.67 5.06 -0.37 0.02 -0.17 3 47.263 6027.427
219.1 -165.66 5.06 -0.37 0.02 -0.17 3 47.293 6026.921
219.2 -165.66 5.06 -0.37 0.02 -0.17 3 47.323 6026.415
219.3 -165.66 5.06 -0.38 0.02 -0.17 3 47.354 6025.908
219.4 -165.66 5.06 -0.38 0.02 -0.17 3 47.384 6025.402
219.5 -165.66 5.06 -0.38 0.02 -0.17 3 47.424 6024.898
219.6 -165.65 5.06 -0.38 0.02 -0.17 3 47.454 6024.392
219.7 -165.65 5.06 -0.38 0.03 -0.17 3 47.485 6023.886
219.8 -165.65 5.06 -0.38 0.03 -0.17 3 47.515 6023.379
219.9 -165.65 5.06 -0.38 0.03 -0.17 3 47.545 6022.873
220.0 -165.64 5.07 -0.38 0.03 -0.17 3 47.575 6022.367
