Navio: Suezmax T172
Cenário: Vento NE
Manobra: Entrada STS PGL3B Atrac. BB
Corrente: N 0.4nó 
Vento: NE 25nós 
Onda: 1.0m 8s NE 

x y zz vx vy vzz rudder_demanded propeller_demanded distance_port distance_starboard distance_target
9817.6 5013.53 -172.0 3.85 -0.0 -0.0 -0.0 3 67.047 67.546 4166.884
9817.22 5013.47 -172.0 3.85 -0.0 -0.0 -0.0 3 67.078 67.514 4166.501
9816.84 5013.42 -172.0 3.85 -0.0 -0.0 -0.0 3 67.119 67.473 4166.121
9816.45 5013.37 -172.0 3.85 -0.0 -0.0 -0.0 3 67.162 67.43 4165.731
9816.07 5013.31 -172.0 3.85 -0.0 -0.0 -0.0 3 67.193 67.399 4165.349
9815.69 5013.26 -172.0 3.85 -0.0 -0.0 -0.0 3 67.234 67.358 4164.969
9815.31 5013.21 -172.0 3.85 -0.0 -0.0 -0.0 3 67.275 67.317 4164.589
9814.93 5013.15 -172.0 3.85 -0.0 -0.0 -0.0 3 67.306 67.286 4164.206
9814.55 5013.1 -172.0 3.85 -0.0 -0.0 -0.0 3 67.347 67.245 4163.826
9814.16 5013.05 -172.0 3.85 -0.0 -0.0 -0.0 3 67.39 67.202 4163.436
9813.78 5012.99 -172.0 3.85 -0.0 -0.0 -0.0 3 67.421 67.17 4163.053
9813.4 5012.94 -172.0 3.85 -0.0 -0.0 -0.0 3 67.462 67.129 4162.673
9813.02 5012.89 -172.0 3.85 -0.0 -0.0 -0.0 3 67.503 67.088 4162.293
9812.64 5012.83 -172.0 3.85 -0.0 -0.0 -0.0 3 67.534 67.057 4161.91
9812.26 5012.78 -172.0 3.85 -0.0 -0.0 -0.0 3 67.575 67.016 4161.53
9811.87 5012.73 -172.0 3.85 -0.01 -0.01 -0.0 3 67.618 66.973 4161.141
9811.49 5012.67 -172.0 3.85 -0.01 -0.01 -0.0 3 67.649 66.942 4160.758
9811.11 5012.62 -172.0 3.85 -0.01 -0.01 -0.0 3 67.69 66.901 4160.378
9810.73 5012.57 -172.0 3.85 -0.01 -0.01 -0.0 3 67.731 66.86 4159.998
9810.35 5012.51 -172.0 3.85 -0.01 -0.01 -0.0 3 67.762 66.829 4159.615
9809.97 5012.46 -172.0 3.85 -0.01 -0.01 -0.0 3 67.803 66.788 4159.235
9809.59 5012.41 -172.01 3.85 -0.01 -0.01 -0.0 3 67.82 66.723 4158.855
9809.2 5012.36 -172.01 3.85 -0.01 -0.01 -0.0 3 67.863 66.68 4158.465
9808.82 5012.3 -172.01 3.85 -0.01 -0.01 -0.0 3 67.895 66.649 4158.082
9808.44 5012.25 -172.01 3.85 -0.01 -0.01 -0.0 3 67.935 66.608 4157.702
9808.06 5012.2 -172.01 3.85 -0.01 -0.01 -0.0 3 67.976 66.567 4157.322
9807.68 5012.14 -172.01 3.85 -0.01 -0.01 -0.0 3 68.007 66.535 4156.939
9807.3 5012.09 -172.01 3.85 -0.01 -0.01 -0.0 3 68.048 66.495 4156.559
9806.92 5012.04 -172.01 3.85 -0.01 -0.01 -0.0 3 68.089 66.454 4156.179
9806.54 5011.99 -172.01 3.85 -0.01 -0.01 -0.0 3 68.13 66.413 4155.799
9806.15 5011.93 -172.01 3.85 -0.01 -0.01 -0.0 3 68.164 66.379 4155.407
9805.77 5011.88 -172.01 3.85 -0.01 -0.01 -0.0 3 68.204 66.338 4155.027
9805.39 5011.83 -172.01 3.85 -0.01 -0.01 -0.0 3 68.245 66.297 4154.647
9805.01 5011.78 -172.02 3.85 -0.01 -0.01 -0.0 3 68.262 66.233 4154.267
9804.63 5011.72 -172.02 3.85 -0.01 -0.01 -0.0 3 68.294 66.201 4153.884
9804.25 5011.67 -172.02 3.85 -0.01 -0.01 -0.0 3 68.334 66.16 4153.504
9803.87 5011.62 -172.02 3.85 -0.01 -0.01 -0.0 3 68.375 66.119 4153.124
9803.49 5011.57 -172.02 3.85 -0.01 -0.01 -0.0 3 68.416 66.078 4152.744
9803.11 5011.51 -172.02 3.85 -0.01 -0.01 -0.0 3 68.447 66.047 4152.361
9802.72 5011.46 -172.02 3.85 -0.01 -0.01 -0.0 3 68.491 66.004 4151.971
9802.34 5011.41 -172.02 3.85 -0.01 -0.01 -0.0 3 68.531 65.963 4151.591
9801.96 5011.36 -172.02 3.85 -0.01 -0.01 -0.0 3 68.572 65.922 4151.211
9801.58 5011.3 -172.03 3.85 -0.01 -0.01 -0.0 3 68.58 65.867 4150.828
9801.2 5011.25 -172.03 3.85 -0.01 -0.01 -0.0 3 68.621 65.826 4150.448
9800.82 5011.2 -172.03 3.85 -0.01 -0.01 -0.0 3 68.661 65.785 4150.068
9800.44 5011.15 -172.03 3.85 -0.01 -0.01 -0.0 3 68.702 65.744 4149.688
9800.06 5011.09 -172.03 3.85 -0.01 -0.01 -0.0 3 68.734 65.713 4149.305
9799.68 5011.04 -172.03 3.84 -0.01 -0.01 -0.0 3 68.774 65.672 4148.925
9799.3 5010.99 -172.03 3.84 -0.01 -0.01 -0.0 3 68.815 65.631 4148.545
9798.91 5010.94 -172.04 3.84 -0.01 -0.01 -0.0 3 68.835 65.564 4148.155
9798.53 5010.89 -172.04 3.84 -0.01 -0.01 -0.0 3 68.876 65.523 4147.775
9798.15 5010.83 -172.04 3.84 -0.01 -0.02 -0.03 3 68.907 65.492 4147.393
9797.77 5010.78 -172.04 3.84 -0.01 -0.02 -0.03 3 68.948 65.451 4147.013
9797.39 5010.73 -172.04 3.84 -0.01 -0.02 -0.03 3 68.989 65.41 4146.633
9797.01 5010.68 -172.04 3.84 -0.01 -0.02 -0.03 3 69.029 65.369 4146.252
9796.63 5010.63 -172.04 3.84 -0.01 -0.02 -0.03 3 69.07 65.328 4145.872
9796.25 5010.57 -172.05 3.84 -0.01 -0.02 -0.03 3 69.078 65.273 4145.49
9795.87 5010.52 -172.05 3.84 -0.01 -0.02 -0.03 3 69.119 65.232 4145.11
9795.49 5010.47 -172.05 3.84 -0.01 -0.02 -0.03 3 69.159 65.191 4144.73
9795.11 5010.42 -172.05 3.84 -0.01 -0.02 -0.03 3 69.2 65.15 4144.349
9794.73 5010.36 -172.05 3.84 -0.01 -0.02 -0.03 3 69.231 65.119 4143.967
9794.35 5010.31 -172.05 3.84 -0.01 -0.02 -0.03 3 69.272 65.078 4143.587
9793.96 5010.26 -172.06 3.84 -0.01 -0.02 -0.03 3 69.292 65.011 4143.197
9793.58 5010.21 -172.06 3.84 -0.01 -0.02 -0.03 3 69.333 64.97 4142.817
9793.2 5010.16 -172.06 3.84 -0.01 -0.02 -0.03 3 69.374 64.929 4142.437
9792.82 5010.11 -172.06 3.84 -0.01 -0.02 -0.11 3 69.414 64.888 4142.057
9792.44 5010.05 -172.06 3.84 -0.01 -0.02 -0.11 3 69.446 64.857 4141.674
9792.06 5010.0 -172.07 3.84 -0.01 -0.02 -0.11 3 69.463 64.793 4141.294
9791.68 5009.95 -172.07 3.84 -0.01 -0.02 -0.11 3 69.504 64.752 4140.914
9791.3 5009.9 -172.07 3.84 -0.01 -0.02 -0.11 3 69.544 64.711 4140.534
9790.92 5009.85 -172.07 3.84 -0.01 -0.02 -0.11 3 69.585 64.67 4140.154
9790.54 5009.79 -172.07 3.84 -0.01 -0.02 -0.11 3 69.616 64.638 4139.771
9790.16 5009.74 -172.08 3.84 -0.01 -0.02 -0.11 3 69.634 64.574 4139.391
9789.78 5009.69 -172.08 3.84 -0.01 -0.02 -0.11 3 69.674 64.533 4139.011
9789.4 5009.64 -172.08 3.84 -0.01 -0.02 -0.11 3 69.715 64.492 4138.631
9789.02 5009.59 -172.08 3.84 -0.01 -0.02 -0.11 3 69.756 64.451 4138.251
9788.64 5009.54 -172.08 3.84 -0.01 -0.02 -0.11 3 69.797 64.41 4137.871
9788.25 5009.48 -172.09 3.84 -0.01 -0.02 -0.11 3 69.807 64.353 4137.478
9787.87 5009.43 -172.09 3.84 -0.01 -0.02 -0.11 1 69.848 64.312 4137.098
9787.49 5009.38 -172.09 3.84 -0.01 -0.02 -0.11 1 69.889 64.271 4136.718
9787.11 5009.33 -172.09 3.84 -0.01 -0.02 -0.11 1 69.929 64.23 4136.338
9786.73 5009.28 -172.09 3.84 -0.01 -0.02 -0.11 1 69.97 64.189 4135.958
9786.35 5009.23 -172.1 3.84 -0.01 -0.02 -0.11 1 69.987 64.124 4135.578
9785.97 5009.18 -172.1 3.84 -0.01 -0.02 -0.11 1 70.028 64.083 4135.198
9785.59 5009.12 -172.1 3.84 -0.01 -0.02 -0.11 1 70.059 64.052 4134.815
9785.21 5009.07 -172.1 3.84 -0.01 -0.02 -0.11 1 70.1 64.011 4134.435
9784.83 5009.02 -172.11 3.84 -0.01 -0.02 -0.11 1 70.117 63.946 4134.055
9784.45 5008.97 -172.11 3.84 -0.02 -0.02 -0.11 1 70.158 63.906 4133.675
9784.07 5008.92 -172.11 3.84 -0.02 -0.02 -0.11 1 70.199 63.865 4133.295
9783.69 5008.87 -172.11 3.84 -0.02 -0.02 -0.11 1 70.24 63.824 4132.915
9783.31 5008.82 -172.11 3.84 -0.02 -0.02 -0.11 1 70.281 63.783 4132.535
9782.93 5008.77 -172.12 3.84 -0.02 -0.02 -0.11 1 70.298 63.718 4132.155
9782.55 5008.71 -172.12 3.84 -0.02 -0.02 -0.09 1 70.329 63.687 4131.772
9782.17 5008.66 -172.12 3.84 -0.02 -0.02 -0.09 1 70.37 63.646 4131.392
9781.79 5008.61 -172.12 3.84 -0.02 -0.02 -0.09 1 70.411 63.605 4131.012
9781.4 5008.56 -172.13 3.84 -0.02 -0.02 -0.09 1 70.43 63.538 4130.622
9781.02 5008.51 -172.13 3.84 -0.02 -0.02 -0.09 1 70.471 63.497 4130.242
9780.64 5008.46 -172.13 3.84 -0.02 -0.02 -0.09 1 70.512 63.456 4129.862
9780.26 5008.41 -172.13 3.84 -0.02 -0.02 -0.09 1 70.553 63.415 4129.482
9779.88 5008.36 -172.14 3.84 -0.02 -0.02 -0.09 1 70.57 63.35 4129.102
9779.5 5008.31 -172.14 3.84 -0.02 -0.02 -0.09 1 70.611 63.309 4128.722
9779.12 5008.26 -172.14 3.84 -0.02 -0.02 -0.09 1 70.652 63.268 4128.342
9778.74 5008.21 -172.14 3.84 -0.02 -0.02 -0.09 1 70.693 63.228 4127.962
9778.36 5008.15 -172.14 3.84 -0.02 -0.02 -0.09 1 70.724 63.196 4127.579
9777.98 5008.1 -172.15 3.84 -0.02 -0.02 -0.09 1 70.741 63.132 4127.199
9777.6 5008.05 -172.15 3.84 -0.02 -0.02 0.01 1 70.782 63.091 4126.819
9777.22 5008.0 -172.15 3.84 -0.02 -0.02 0.01 1 70.823 63.05 4126.439
9776.84 5007.95 -172.15 3.84 -0.02 -0.03 0.01 1 70.864 63.009 4126.059
9776.46 5007.9 -172.16 3.84 -0.02 -0.03 0.01 1 70.881 62.944 4125.679
9776.07 5007.85 -172.16 3.84 -0.02 -0.03 0.01 1 70.924 62.901 4125.289
9775.69 5007.8 -172.16 3.84 -0.02 -0.03 0.01 1 70.965 62.86 4124.909
9775.31 5007.75 -172.16 3.84 -0.02 -0.03 0.01 1 71.006 62.819 4124.529
9774.93 5007.7 -172.17 3.84 -0.02 -0.03 0.01 1 71.023 62.754 4124.149
9774.55 5007.65 -172.17 3.84 -0.02 -0.03 0.01 1 71.064 62.713 4123.769
9774.17 5007.6 -172.17 3.84 -0.02 -0.03 0.01 1 71.105 62.672 4123.389
9773.79 5007.55 -172.18 3.84 -0.02 -0.03 0.01 1 71.122 62.608 4123.009
9773.41 5007.5 -172.18 3.84 -0.02 -0.03 0.01 1 71.163 62.567 4122.629
9773.03 5007.45 -172.18 3.84 -0.02 -0.03 0.01 1 71.204 62.526 4122.249
9772.65 5007.4 -172.18 3.84 -0.02 -0.03 0.01 1 71.244 62.485 4121.869
9772.27 5007.35 -172.19 3.84 -0.02 -0.03 0.01 1 71.262 62.42 4121.489
9771.89 5007.3 -172.19 3.84 -0.02 -0.03 0.01 1 71.302 62.379 4121.109
9771.51 5007.25 -172.19 3.84 -0.02 -0.03 0.01 1 71.343 62.338 4120.729
9771.13 5007.2 -172.19 3.84 -0.02 -0.03 0.01 1 71.384 62.297 4120.349
9770.75 5007.15 -172.2 3.84 -0.02 -0.03 0.01 1 71.401 62.233 4119.969
9770.37 5007.1 -172.2 3.84 -0.02 -0.03 0.01 1 71.442 62.192 4119.589
9769.99 5007.05 -172.2 3.84 -0.02 -0.03 0.01 1 71.483 62.151 4119.209
9769.61 5007.0 -172.21 3.83 -0.02 -0.03 0.01 1 71.5 62.086 4118.829
9769.23 5006.95 -172.21 3.83 -0.02 -0.03 0.01 1 71.541 62.045 4118.449
9768.85 5006.9 -172.21 3.83 -0.02 -0.03 0.01 1 71.582 62.004 4118.069
9768.46 5006.85 -172.21 3.83 -0.02 -0.03 0.01 1 71.625 61.961 4117.679
9768.08 5006.8 -172.22 3.83 -0.02 -0.03 0.01 1 71.642 61.896 4117.299
9767.7 5006.75 -172.22 3.83 -0.02 -0.03 0.01 1 71.683 61.855 4116.919
9767.33 5006.7 -172.22 3.83 -0.02 -0.03 0.01 1 71.722 61.817 4116.548
9766.95 5006.65 -172.23 3.83 -0.02 -0.03 0.01 1 71.739 61.752 4116.168
