Navio: Suezmax T172
Cenário: Forte
Manobra: Entrada PGL3B Atrac. BB
Corrente: N 0.8nó 
Vento: SE 20nós 
Onda: 1.7m 10s SE 

time_stamp zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target cog sog
0.0 -159.97 3.85 -0.26 -0.0 -0.0 0 -0.27 4166.881 -163.833 3.859
0.1 -159.97 3.85 -0.26 -0.0 -0.0 0 -0.29 4166.496 -163.833 3.859
0.2 -159.97 3.85 -0.26 -0.0 -0.0 0 -0.31 4166.11 -163.833 3.859
0.3 -159.97 3.85 -0.26 -0.0 -0.0 0 -0.329 4165.724 -163.833 3.859
0.4 -159.97 3.85 -0.26 -0.0 -0.0 0 -0.34 4165.341 -163.833 3.859
0.5 -159.97 3.85 -0.26 -0.0 -0.0 0 -0.359 4164.955 -163.833 3.859
0.6 -159.97 3.85 -0.26 -0.0 -0.0 0 -0.379 4164.569 -163.833 3.859
0.7 -159.97 3.85 -0.26 -0.0 -0.0 0 -0.399 4164.183 -163.833 3.859
0.8 -159.97 3.85 -0.26 -0.0 -0.0 0 -0.409 4163.8 -163.833 3.859
0.9 -159.97 3.85 -0.26 -0.0 -0.0 0 -0.429 4163.414 -163.833 3.859
1.0 -159.97 3.85 -0.26 -0.0 -0.0 0 -0.448 4163.028 -163.833 3.859
1.1 -159.97 3.85 -0.26 -0.0 -0.0 0 -0.466 4162.633 -163.833 3.859
1.2 -159.97 3.85 -0.26 -0.0 -0.0 0 -0.476 4162.249 -163.833 3.859
1.3 -159.97 3.85 -0.26 -0.0 -0.0 0 -0.496 4161.864 -163.833 3.859
1.4 -159.97 3.85 -0.26 -0.0 -0.0 0 -0.515 4161.478 -163.833 3.859
1.5 -159.97 3.85 -0.26 -0.0 -0.0 0 -0.535 4161.092 -163.833 3.859
1.6 -159.97 3.85 -0.26 -0.0 -0.0 0 -0.545 4160.709 -163.833 3.859
1.7 -159.97 3.85 -0.26 -0.0 -0.0 0 -0.565 4160.323 -163.833 3.859
1.8 -159.97 3.85 -0.26 -0.0 -0.0 0 -0.585 4159.937 -163.833 3.859
1.9 -159.97 3.85 -0.26 -0.0 -0.0 -1 -0.604 4159.551 -163.833 3.859
2.0 -159.97 3.85 -0.26 -0.0 -0.0 -1 -0.614 4159.168 -163.833 3.859
2.1 -159.97 3.85 -0.26 -0.0 -0.0 -1 -0.634 4158.782 -163.833 3.859
2.2 -159.97 3.85 -0.26 -0.0 -0.0 -1 -0.654 4158.396 -163.833 3.859
2.3 -159.98 3.85 -0.26 -0.0 -0.0 -1 -0.674 4158.01 -163.843 3.859
2.4 -159.98 3.85 -0.26 -0.0 -0.0 -1 -0.684 4157.627 -163.843 3.859
2.5 -159.98 3.85 -0.26 -0.0 -0.0 -1 -0.704 4157.241 -163.843 3.859
2.6 -159.98 3.85 -0.26 -0.0 -0.0 -1 -0.721 4156.846 -163.843 3.859
2.7 -159.98 3.85 -0.26 -0.0 -0.0 -1 -0.731 4156.463 -163.843 3.859
2.8 -159.98 3.85 -0.26 -0.0 -0.0 -1 -0.751 4156.077 -163.843 3.859
2.9 -159.98 3.85 -0.26 -0.0 -0.0 -1 -0.771 4155.691 -163.843 3.859
