Navio: Suezmax T172
Cenário: Extremo
Manobra: Entrada PGL3A Atrac. BB
Corrente: N 0.8nó 
Vento: SE 25nós 
Onda: 2.25m 12s SE 

x y zz vx vy vzz rudder_demanded propeller_demanded distance_port distance_starboard distance_target
10860.66 5280.22 -160.03 4.11 -0.26 -0.0 0.0 0 78.911 52.412 5243.463
10860.27 5280.1 -160.03 4.11 -0.26 -0.0 0.0 0 78.886 52.437 5243.056
10859.87 5279.99 -160.03 4.11 -0.26 -0.0 0.0 0 78.874 52.449 5242.641
10859.48 5279.87 -160.03 4.11 -0.26 -0.0 0.0 0 78.849 52.474 5242.233
10859.08 5279.76 -160.03 4.11 -0.26 -0.0 0.0 0 78.836 52.487 5241.818
10858.69 5279.64 -160.03 4.11 -0.26 -0.0 0.0 0 78.811 52.511 5241.411
10858.29 5279.52 -160.03 4.11 -0.26 -0.0 0.0 0 78.789 52.534 5240.993
10857.9 5279.41 -160.03 4.11 -0.26 -0.0 0.0 0 78.774 52.549 5240.588
10857.5 5279.29 -160.03 4.11 -0.26 -0.0 0.0 0 78.751 52.571 5240.171
10857.11 5279.18 -160.03 4.11 -0.26 -0.0 0.0 0 78.736 52.586 5239.765
10856.71 5279.06 -160.03 4.11 -0.26 -0.0 0.0 0 78.714 52.609 5239.348
10856.32 5278.94 -160.03 4.11 -0.26 -0.0 0.0 0 78.689 52.633 5238.94
10855.92 5278.83 -160.03 4.11 -0.26 -0.0 0.0 0 78.676 52.646 5238.526
10855.53 5278.71 -160.03 4.11 -0.26 -0.0 0.0 0 78.652 52.671 5238.118
10855.13 5278.6 -160.03 4.11 -0.26 -0.0 0.0 0 78.639 52.683 5237.703
10854.74 5278.48 -160.03 4.11 -0.26 -0.0 0.0 0 78.614 52.708 5237.295
10854.34 5278.36 -160.03 4.11 -0.26 -0.0 0.0 0 78.592 52.731 5236.878
10853.95 5278.25 -160.03 4.11 -0.26 -0.0 0.0 0 78.577 52.746 5236.473
10853.55 5278.13 -160.03 4.11 -0.26 -0.0 -0.0 0 78.554 52.768 5236.055
10853.16 5278.02 -160.03 4.11 -0.26 -0.0 -0.0 0 78.539 52.783 5235.65
10852.76 5277.9 -160.04 4.11 -0.26 -0.0 -0.0 0 78.54 52.829 5235.233
10852.37 5277.79 -160.04 4.11 -0.26 -0.0 -0.0 0 78.525 52.844 5234.828
10851.97 5277.67 -160.04 4.11 -0.26 -0.0 -0.0 0 78.503 52.866 5234.41
10851.58 5277.55 -160.04 4.11 -0.26 -0.0 -0.0 0 78.478 52.891 5234.003
10851.18 5277.44 -160.04 4.1 -0.26 -0.0 -0.0 0 78.465 52.904 5233.588
10850.79 5277.32 -160.04 4.1 -0.26 -0.0 -0.0 0 78.44 52.929 5233.18
10850.39 5277.21 -160.04 4.1 -0.26 -0.0 -0.0 0 78.428 52.941 5232.765
10850.0 5277.09 -160.04 4.1 -0.26 -0.0 -0.0 0 78.403 52.966 5232.358
10849.6 5276.98 -160.04 4.1 -0.26 -0.0 -0.0 0 78.39 52.979 5231.943
10849.21 5276.86 -160.04 4.1 -0.26 -0.0 -0.0 0 78.365 53.003 5231.535
10848.81 5276.75 -160.04 4.1 -0.26 -0.0 -0.0 1 78.353 53.016 5231.12
