Navio: Suezmax T172
Cenário: Extremo
Manobra: Entrada PGL3A Atrac. BB
Corrente: N 0.7nó 
Vento: SE 25nós 
Onda: 2.25m 12s SE 

time_stamp zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target cog sog
0.0 -160.03 4.11 -0.26 -0.0 -0.0 0 13.26 5243.463 -163.65 4.118
0.1 -160.03 4.11 -0.26 -0.0 -0.0 0 13.236 5243.056 -163.65 4.118
0.2 -160.03 4.11 -0.26 -0.0 -0.0 0 13.223 5242.641 -163.65 4.118
0.3 -160.03 4.11 -0.26 -0.0 -0.0 0 13.198 5242.233 -163.65 4.118
0.4 -160.03 4.11 -0.26 -0.0 -0.0 0 13.186 5241.818 -163.65 4.118
0.5 -160.03 4.11 -0.26 -0.0 -0.0 0 13.161 5241.411 -163.65 4.118
0.6 -160.03 4.11 -0.26 -0.0 -0.0 0 13.138 5240.993 -163.65 4.118
0.7 -160.03 4.11 -0.26 -0.0 -0.0 0 13.123 5240.588 -163.65 4.118
0.8 -160.03 4.11 -0.26 -0.0 -0.0 0 13.101 5240.171 -163.65 4.118
0.9 -160.03 4.11 -0.26 -0.0 -0.0 0 13.076 5239.763 -163.65 4.118
1.0 -160.03 4.11 -0.26 -0.0 -0.0 0 13.063 5239.348 -163.65 4.118
1.1 -160.03 4.11 -0.26 -0.0 -0.0 0 13.039 5238.94 -163.65 4.118
1.2 -160.03 4.11 -0.26 -0.0 -0.0 0 13.026 5238.526 -163.65 4.118
1.3 -160.03 4.11 -0.26 -0.0 -0.0 0 13.001 5238.118 -163.65 4.118
1.4 -160.03 4.11 -0.26 -0.0 -0.0 0 12.979 5237.701 -163.65 4.118
1.5 -160.03 4.11 -0.26 -0.0 -0.0 0 12.964 5237.295 -163.65 4.118
1.6 -160.03 4.11 -0.26 -0.0 -0.0 0 12.941 5236.878 -163.65 4.118
1.7 -160.03 4.11 -0.26 -0.0 -0.0 0 12.926 5236.473 -163.65 4.118
1.8 -160.03 4.11 -0.26 -0.0 -0.0 0 12.904 5236.055 -163.65 4.118
1.9 -160.03 4.11 -0.26 -0.0 -0.0 0 12.889 5235.65 -163.65 4.118
2.0 -160.03 4.11 -0.26 -0.0 -0.0 0 12.866 5235.233 -163.65 4.118
2.1 -160.03 4.11 -0.26 -0.0 -0.0 0 12.842 5234.825 -163.65 4.118
2.2 -160.03 4.11 -0.26 -0.0 -0.0 0 12.829 5234.41 -163.65 4.118
2.3 -160.03 4.11 -0.26 -0.0 -0.0 0 12.804 5234.003 -163.65 4.118
2.4 -160.03 4.1 -0.26 -0.0 -0.0 0 12.791 5233.588 -163.659 4.108
2.5 -160.03 4.1 -0.26 -0.0 -0.0 0 12.767 5233.18 -163.659 4.108
2.6 -160.03 4.1 -0.26 -0.0 -0.0 0 12.754 5232.765 -163.659 4.108
2.7 -160.03 4.1 -0.26 -0.0 -0.0 0 12.729 5232.358 -163.659 4.108
2.8 -160.03 4.1 -0.26 -0.0 -0.0 0 12.704 5231.95 -163.659 4.108
2.9 -160.03 4.1 -0.26 -0.0 -0.0 0 12.692 5231.535 -163.659 4.108
3.0 -160.03 4.1 -0.26 -0.0 -0.0 0 12.667 5231.127 -163.659 4.108
3.1 -160.03 4.1 -0.26 -0.0 -0.0 0 12.654 5230.713 -163.659 4.108
3.2 -160.03 4.1 -0.26 -0.0 -0.0 0 12.63 5230.305 -163.659 4.108
3.3 -160.03 4.1 -0.26 -0.0 -0.0 0 12.617 5229.89 -163.659 4.108
3.4 -160.03 4.1 -0.26 -0.0 -0.0 0 12.592 5229.482 -163.659 4.108
3.5 -160.03 4.1 -0.26 -0.0 -0.0 0 12.579 5229.068 -163.659 4.108
3.6 -160.03 4.1 -0.26 -0.0 -0.0 0 12.555 5228.66 -163.659 4.108
3.7 -160.03 4.1 -0.26 -0.0 -0.0 0 12.542 5228.245 -163.659 4.108
3.8 -160.03 4.1 -0.26 -0.0 -0.0 0 12.517 5227.837 -163.659 4.108
3.9 -160.03 4.1 -0.26 -0.0 -0.0 0 12.492 5227.43 -163.659 4.108
4.0 -160.03 4.1 -0.26 -0.0 -0.0 0 12.48 5227.015 -163.659 4.108
4.1 -160.03 4.1 -0.26 -0.0 -0.0 0 12.455 5226.607 -163.659 4.108
4.2 -160.03 4.1 -0.26 -0.0 -0.0 0 12.442 5226.192 -163.659 4.108
4.3 -160.03 4.1 -0.26 -0.0 -0.0 0 12.417 5225.785 -163.659 4.108
4.4 -160.03 4.1 -0.27 -0.0 -0.0 0 12.405 5225.37 -163.798 4.109
4.5 -160.03 4.1 -0.27 -0.0 -0.0 1 12.38 5224.962 -163.798 4.109
4.6 -160.03 4.1 -0.27 -0.0 -0.0 1 12.367 5224.547 -163.798 4.109
4.7 -160.03 4.1 -0.27 -0.0 -0.0 1 12.343 5224.14 -163.798 4.109
4.8 -160.03 4.1 -0.27 -0.0 -0.0 1 12.327 5223.734 -163.798 4.109
4.9 -160.03 4.1 -0.27 -0.0 -0.0 3 12.305 5223.317 -163.798 4.109
5.0 -160.03 4.1 -0.27 -0.0 -0.0 3 12.29 5222.912 -163.798 4.109
5.1 -160.03 4.1 -0.27 -0.0 -0.0 3 12.268 5222.495 -163.798 4.109
5.2 -160.03 4.1 -0.27 -0.0 -0.0 3 12.253 5222.089 -163.798 4.109
5.3 -160.03 4.1 -0.27 -0.0 -0.0 3 12.23 5221.672 -163.798 4.109
5.4 -160.03 4.1 -0.27 0.0 -0.0 3 12.215 5221.267 -163.798 4.109
5.5 -160.03 4.1 -0.27 0.0 -0.0 3 12.193 5220.849 -163.798 4.109
5.6 -160.03 4.1 -0.27 0.0 -0.0 3 12.178 5220.444 -163.798 4.109
5.7 -160.03 4.1 -0.27 0.0 -0.0 3 12.153 5220.037 -163.798 4.109
5.8 -160.03 4.1 -0.27 0.0 -0.0 3 12.14 5219.622 -163.798 4.109
5.9 -160.03 4.1 -0.27 0.0 -0.0 3 12.125 5219.217 -163.798 4.109
6.0 -160.03 4.1 -0.27 0.0 -0.0 3 12.103 5218.799 -163.798 4.109
6.1 -160.03 4.1 -0.27 0.0 -0.0 3 12.088 5218.394 -163.798 4.109
6.2 -160.03 4.1 -0.27 0.0 -0.0 3 12.065 5217.977 -163.798 4.109
6.3 -160.03 4.1 -0.27 0.0 -0.0 3 12.05 5217.572 -163.798 4.109
6.4 -160.03 4.1 -0.27 0.0 -0.0 3 12.028 5217.154 -163.798 4.109
6.5 -160.03 4.1 -0.27 0.0 -0.0 3 12.013 5216.749 -163.798 4.109
6.6 -160.03 4.1 -0.27 0.0 -0.0 3 11.988 5216.341 -163.798 4.109
6.7 -160.03 4.1 -0.27 0.0 -0.0 3 11.975 5215.927 -163.798 4.109
6.8 -160.03 4.1 -0.27 0.0 -0.0 3 11.95 5215.519 -163.798 4.109
6.9 -160.03 4.1 -0.27 0.0 -0.0 3 11.938 5215.104 -163.798 4.109
7.0 -160.03 4.1 -0.27 0.0 -0.0 3 11.923 5214.699 -163.798 4.109
7.1 -160.03 4.1 -0.27 0.0 -0.0 3 11.9 5214.281 -163.798 4.109
7.2 -160.03 4.1 -0.27 0.0 -0.0 3 11.885 5213.876 -163.798 4.109
7.3 -160.03 4.1 -0.27 0.0 -0.0 3 11.86 5213.469 -163.798 4.109
7.4 -160.03 4.1 -0.27 0.0 -0.0 3 11.848 5213.054 -163.798 4.109
7.5 -160.03 4.1 -0.27 0.0 -0.0 3 11.823 5212.646 -163.798 4.109
7.6 -160.03 4.1 -0.27 0.0 -0.0 3 11.81 5212.231 -163.798 4.109
7.7 -160.03 4.1 -0.27 0.0 -0.0 3 11.786 5211.824 -163.798 4.109
7.8 -160.03 4.1 -0.27 0.0 -0.0 3 11.773 5211.409 -163.798 4.109
7.9 -160.03 4.1 -0.27 0.0 -0.0 3 11.758 5211.004 -163.798 4.109
8.0 -160.03 4.1 -0.27 0.0 -0.0 3 11.733 5210.596 -163.798 4.109
8.1 -160.03 4.1 -0.27 0.0 -0.0 3 11.72 5210.181 -163.798 4.109
8.2 -160.03 4.1 -0.27 0.0 -0.0 3 11.696 5209.773 -163.798 4.109
8.3 -160.03 4.1 -0.27 0.0 -0.0 3 11.683 5209.359 -163.798 4.109
8.4 -160.03 4.1 -0.27 0.0 -0.0 3 11.668 5208.953 -163.798 4.109
8.5 -160.03 4.1 -0.27 0.0 -0.0 3 11.645 5208.536 -163.798 4.109
8.6 -160.03 4.1 -0.27 0.0 -0.0 3 11.63 5208.131 -163.798 4.109
8.7 -160.03 4.1 -0.27 0.0 -0.0 3 11.606 5207.723 -163.798 4.109
8.8 -160.03 4.1 -0.27 0.0 -0.0 3 11.593 5207.308 -163.798 4.109
8.9 -160.03 4.1 -0.27 0.0 -0.0 3 11.578 5206.903 -163.798 4.109
9.0 -160.03 4.1 -0.27 0.0 -0.0 3 11.555 5206.486 -163.798 4.109
9.1 -160.03 4.1 -0.27 0.0 -0.0 3 11.54 5206.081 -163.798 4.109
9.2 -160.03 4.1 -0.27 0.0 -0.0 3 11.518 5205.663 -163.798 4.109
9.3 -160.03 4.1 -0.27 0.0 -0.0 3 11.503 5205.258 -163.798 4.109
9.4 -160.03 4.1 -0.27 0.0 -0.0 3 11.488 5204.853 -163.798 4.109
9.5 -160.03 4.1 -0.27 0.0 -0.0 3 11.465 5204.436 -163.798 4.109
9.6 -160.03 4.1 -0.27 0.0 -0.0 3 11.45 5204.031 -163.798 4.109
9.7 -160.03 4.1 -0.27 0.0 -0.0 3 11.428 5203.613 -163.798 4.109
9.8 -160.03 4.1 -0.27 0.0 -0.0 3 11.413 5203.208 -163.798 4.109
9.9 -160.03 4.1 -0.27 0.0 -0.0 3 11.391 5202.791 -163.798 4.109
10.0 -160.03 4.1 -0.27 0.0 -0.0 3 11.375 5202.385 -163.798 4.109
10.1 -160.03 4.1 -0.27 0.0 -0.0 3 11.363 5201.971 -163.798 4.109
10.2 -160.03 4.1 -0.27 0.0 -0.0 3 11.338 5201.563 -163.798 4.109
10.3 -160.03 4.09 -0.27 0.0 -0.0 3 11.323 5201.158 -163.807 4.099
10.4 -160.03 4.09 -0.27 0.0 -0.0 3 11.301 5200.74 -163.807 4.099
10.5 -160.03 4.09 -0.27 0.0 -0.0 3 11.285 5200.335 -163.807 4.099
10.6 -160.03 4.09 -0.27 0.0 -0.0 3 11.263 5199.918 -163.807 4.099
10.7 -160.03 4.09 -0.27 0.0 -0.0 3 11.248 5199.513 -163.807 4.099
10.8 -160.03 4.09 -0.27 0.0 -0.0 3 11.233 5199.108 -163.807 4.099
10.9 -160.03 4.09 -0.27 0.0 -0.0 3 11.211 5198.69 -163.807 4.099
11.0 -160.03 4.09 -0.27 0.0 -0.0 3 11.195 5198.285 -163.807 4.099
11.1 -160.03 4.09 -0.27 0.0 -0.0 3 11.171 5197.877 -163.807 4.099
11.2 -160.03 4.08 -0.27 0.0 -0.0 3 11.158 5197.463 -163.816 4.089
11.3 -160.03 4.08 -0.27 0.0 -0.0 3 11.133 5197.055 -163.816 4.089
11.4 -160.03 4.08 -0.27 0.0 -0.0 3 11.118 5196.65 -163.816 4.089
11.5 -160.03 4.08 -0.27 0.0 -0.0 3 11.106 5196.235 -163.816 4.089
11.6 -160.03 4.08 -0.27 0.0 -0.0 3 11.081 5195.827 -163.816 4.089
11.7 -160.03 4.08 -0.27 0.0 -0.0 3 11.066 5195.422 -163.816 4.089
11.8 -160.03 4.08 -0.27 0.0 -0.0 3 11.041 5195.014 -163.816 4.089
11.9 -160.03 4.07 -0.27 0.0 -0.0 3 11.026 5194.609 -163.825 4.079
12.0 -160.03 4.07 -0.27 0.0 -0.0 3 11.013 5194.194 -163.825 4.079
12.1 -160.03 4.07 -0.27 0.0 -0.0 3 10.988 5193.787 -163.825 4.079
12.2 -160.03 4.07 -0.27 0.0 -0.0 3 10.973 5193.382 -163.825 4.079
12.3 -160.03 4.07 -0.27 0.0 -0.0 3 10.949 5192.974 -163.825 4.079
12.4 -160.03 4.07 -0.27 0.0 -0.0 3 10.934 5192.569 -163.825 4.079
12.5 -160.02 4.06 -0.27 0.0 -0.0 3 10.918 5192.164 -163.825 4.069
12.6 -160.02 4.06 -0.27 0.0 -0.0 3 10.894 5191.756 -163.825 4.069
