Navio: Aframax T150
Cenário: Forte
Manobra: Entrada PGL3A Atrac. BB NOTURNA
Corrente: N 0.7nó 
Vento: SE 20nós 
Onda: 1.7m 10s SE 

time_stamp zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target
0.0 -160.0 4.11 -0.26 -0.0 0.0 0 5.19 5200.194
0.1 -160.0 4.11 -0.26 -0.0 0.0 0 5.178 5199.779
0.2 -160.0 4.11 -0.26 -0.0 0.0 0 5.153 5199.371
0.3 -160.0 4.11 -0.26 -0.0 0.0 0 5.13 5198.954
0.4 -160.0 4.11 -0.26 -0.0 0.0 0 5.115 5198.549
0.5 -160.0 4.11 -0.26 -0.0 0.0 0 5.093 5198.131
0.6 -160.0 4.11 -0.26 -0.0 0.0 0 5.068 5197.724
0.7 -160.0 4.11 -0.26 -0.0 0.0 0 5.055 5197.309
0.8 -160.0 4.11 -0.26 -0.0 0.0 0 5.031 5196.901
0.9 -160.0 4.11 -0.26 -0.0 0.0 0 5.008 5196.484
1.0 -160.0 4.11 -0.26 -0.0 0.0 0 4.993 5196.079
1.1 -160.0 4.11 -0.26 -0.0 0.0 0 4.971 5195.661
1.2 -160.0 4.11 -0.26 -0.0 0.0 0 4.956 5195.256
1.3 -160.0 4.11 -0.26 -0.0 0.0 0 4.933 5194.839
1.4 -160.0 4.11 -0.26 -0.0 0.0 0 4.909 5194.431
1.5 -160.0 4.11 -0.26 -0.0 0.0 0 4.896 5194.016
1.6 -160.0 4.11 -0.26 -0.0 0.0 0 4.871 5193.609
1.7 -160.0 4.11 -0.26 -0.0 0.0 0 4.849 5193.191
1.8 -160.0 4.11 -0.26 -0.0 0.0 0 4.834 5192.786
1.9 -160.0 4.11 -0.26 -0.0 0.0 0 4.811 5192.369
2.0 -160.0 4.11 -0.26 -0.0 -0.0 0 4.796 5191.964
2.1 -160.0 4.11 -0.26 -0.0 -0.0 0 4.774 5191.546
2.2 -160.0 4.11 -0.26 -0.0 -0.0 0 4.749 5191.139
2.3 -160.0 4.11 -0.26 -0.0 -0.0 0 4.736 5190.724
2.4 -160.0 4.11 -0.26 -0.0 -0.0 0 4.711 5190.316
2.5 -160.0 4.11 -0.26 -0.0 -0.0 0 4.699 5189.901
2.6 -160.0 4.11 -0.26 -0.0 -0.0 0 4.674 5189.494
2.7 -160.0 4.11 -0.26 -0.0 -0.0 0 4.652 5189.076
2.8 -160.0 4.11 -0.26 -0.0 -0.0 0 4.637 5188.671
2.9 -160.0 4.11 -0.26 -0.0 -0.0 0 4.614 5188.254
3.0 -160.0 4.11 -0.26 -0.0 -0.0 0 4.599 5187.849
3.1 -160.0 4.11 -0.26 -0.0 -0.0 0 4.577 5187.431
3.2 -160.0 4.11 -0.26 -0.0 -0.0 0 4.552 5187.024
3.3 -160.0 4.1 -0.26 -0.0 -0.0 0 4.537 5186.618
3.4 -160.0 4.1 -0.26 -0.0 -0.0 0 4.514 5186.201
3.5 -160.0 4.1 -0.26 -0.0 -0.0 0 4.499 5185.796
3.6 -160.0 4.1 -0.26 -0.0 -0.0 0 4.477 5185.379
3.7 -160.0 4.1 -0.26 -0.0 -0.0 0 4.462 5184.973
3.8 -160.0 4.1 -0.26 -0.0 -0.0 0 4.439 5184.556
3.9 -160.0 4.1 -0.26 -0.0 -0.0 0 4.415 5184.148
4.0 -160.0 4.1 -0.26 -0.0 -0.0 0 4.402 5183.734
4.1 -160.0 4.1 -0.26 -0.0 -0.0 0 4.377 5183.326
4.2 -160.0 4.1 -0.26 -0.0 -0.0 0 4.365 5182.911
4.3 -160.0 4.1 -0.26 -0.0 -0.0 0 4.34 5182.503
4.4 -160.0 4.1 -0.26 -0.0 -0.0 0 4.327 5182.089
4.5 -160.0 4.1 -0.26 -0.0 -0.0 0 4.302 5181.681
4.6 -160.0 4.1 -0.26 -0.0 -0.0 0 4.278 5181.273
4.7 -160.0 4.1 -0.26 -0.0 -0.0 0 4.265 5180.858
4.8 -160.0 4.1 -0.26 -0.0 -0.0 0 4.24 5180.451
4.9 -160.0 4.1 -0.27 -0.0 -0.0 0 4.227 5180.036
5.0 -160.0 4.1 -0.27 -0.0 -0.0 0 4.203 5179.628
5.1 -160.0 4.1 -0.27 -0.0 -0.0 0 4.19 5179.213
5.2 -160.0 4.1 -0.27 0.0 -0.0 0 4.165 5178.806
5.3 -160.0 4.1 -0.27 0.0 -0.0 0 4.152 5178.391
5.4 -160.0 4.1 -0.27 0.0 -0.0 0 4.128 5177.983
5.5 -160.0 4.1 -0.27 0.0 -0.0 0 4.115 5177.568
5.6 -160.0 4.1 -0.27 0.0 -0.0 0 4.09 5177.161
5.7 -160.0 4.1 -0.27 0.0 -0.0 0 4.075 5176.756
5.8 -160.0 4.1 -0.27 0.0 -0.0 0 4.053 5176.338
5.9 -160.0 4.1 -0.27 0.0 -0.0 0 4.038 5175.933
6.0 -160.0 4.1 -0.27 0.0 -0.0 0 4.015 5175.516
6.1 -160.0 4.1 -0.27 0.0 -0.0 0 4.0 5175.111
