Navio: Conteneiro 336B48
Cenário: Médio 10 nós
Manobra: Entrada completa
Corrente: N 0.4nó 
Vento: SE 10nós 
Onda: 1.0m 8s SE 

time_stamp zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target cog sog local_cog
197.4 -165.91 4.03 -0.1 -0.03 0.54 1 -21.555 5983.122 -167.331 4.031 0.954
197.5 -165.91 4.03 -0.1 -0.03 0.54 1 -21.55 5982.722 -167.331 4.031 0.954
197.6 -165.91 4.03 -0.1 -0.03 0.54 1 -21.544 5982.312 -167.331 4.031 0.954
197.7 -165.92 4.03 -0.1 -0.03 0.54 1 -21.539 5981.912 -167.341 4.031 0.964
197.8 -165.92 4.03 -0.1 -0.03 0.54 1 -21.535 5981.512 -167.341 4.031 0.964
197.9 -165.92 4.03 -0.1 -0.03 0.54 1 -21.518 5981.105 -167.341 4.031 0.964
198.0 -165.93 4.03 -0.1 -0.03 0.54 1 -21.514 5980.705 -167.351 4.031 0.974
198.1 -165.93 4.02 -0.1 -0.03 0.54 1 -21.51 5980.304 -167.355 4.021 0.978
198.2 -165.93 4.02 -0.1 -0.03 0.54 1 -21.503 5979.895 -167.355 4.021 0.978
198.3 -165.93 4.02 -0.1 -0.03 0.54 1 -21.498 5979.494 -167.355 4.021 0.978
198.4 -165.94 4.02 -0.1 -0.03 0.54 1 -21.484 5979.097 -167.365 4.021 0.988
198.5 -165.94 4.02 -0.1 -0.03 0.54 1 -21.48 5978.697 -167.365 4.021 0.988
198.6 -165.94 4.02 -0.1 -0.03 0.54 1 -21.473 5978.287 -167.365 4.021 0.988
198.7 -165.95 4.02 -0.1 -0.03 0.54 1 -21.469 5977.887 -167.375 4.021 0.998
198.8 -165.95 4.02 -0.1 -0.03 0.53 1 -21.455 5977.489 -167.375 4.021 0.998
198.9 -165.95 4.02 -0.1 -0.03 0.53 1 -21.45 5977.089 -167.375 4.021 0.998
199.0 -165.96 4.02 -0.1 -0.03 0.53 1 -21.444 5976.679 -167.385 4.021 1.008
