Navio: Aframax
Cenário: Médio
Manobra: Entrada
Corrente: N 0.5nó 
Vento: SE 15 nós 
Onda: 1.0m 8s SE 

time_stamp zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target
267.0 -164.54 3.62 -0.31 0.04 -0.17 1 44.58 6062.33
267.1 -164.54 3.63 -0.31 0.04 -0.17 1 44.605 6061.976
267.2 -164.53 3.63 -0.32 0.04 -0.17 1 44.621 6061.611
267.3 -164.53 3.63 -0.32 0.04 -0.17 1 44.648 6061.247
267.4 -164.53 3.63 -0.32 0.04 -0.17 1 44.665 6060.881
267.5 -164.52 3.63 -0.32 0.04 -0.17 1 44.681 6060.515
267.6 -164.52 3.63 -0.32 0.04 -0.17 1 44.705 6060.162
267.7 -164.51 3.63 -0.32 0.05 -0.17 1 44.722 6059.796
267.8 -164.51 3.63 -0.32 0.05 -0.17 1 44.739 6059.43
267.9 -164.5 3.63 -0.32 0.05 -0.17 1 44.765 6059.067
268.0 -164.5 3.63 -0.32 0.05 -0.17 1 44.782 6058.701
268.1 -164.49 3.64 -0.32 0.05 -0.17 1 44.809 6058.337
268.2 -164.49 3.64 -0.32 0.05 -0.17 1 44.825 6057.972
268.3 -164.48 3.64 -0.32 0.05 -0.17 1 44.842 6057.606
268.4 -164.48 3.64 -0.32 0.05 -0.17 1 44.866 6057.252
268.5 -164.48 3.64 -0.33 0.05 -0.17 1 44.883 6056.886
268.6 -164.47 3.64 -0.33 0.05 -0.17 1 44.91 6056.523
268.7 -164.47 3.64 -0.33 0.05 -0.17 1 44.926 6056.157
268.8 -164.46 3.64 -0.33 0.05 -0.17 1 44.943 6055.791
268.9 -164.46 3.64 -0.33 0.05 -0.17 1 44.97 6055.428
269.0 -164.45 3.64 -0.33 0.05 -0.17 1 44.986 6055.062
269.1 -164.45 3.64 -0.33 0.05 -0.17 1 45.013 6054.698
269.2 -164.44 3.64 -0.33 0.05 -0.17 1 45.03 6054.333
269.3 -164.44 3.64 -0.33 0.05 -0.17 1 45.046 6053.967
269.4 -164.43 3.64 -0.33 0.05 -0.17 1 45.073 6053.603
269.5 -164.43 3.64 -0.33 0.05 -0.17 1 45.09 6053.237
269.6 -164.42 3.64 -0.33 0.05 -0.17 1 45.116 6052.874
269.7 -164.42 3.64 -0.33 0.05 -0.17 1 45.133 6052.508
269.8 -164.41 3.64 -0.33 0.05 -0.17 1 45.15 6052.142
269.9 -164.41 3.64 -0.33 0.05 -0.17 1 45.176 6051.779
270.0 -164.4 3.64 -0.33 0.05 -0.17 1 45.193 6051.413
270.1 -164.4 3.64 -0.33 0.05 -0.12 1 45.21 6051.047
270.2 -164.39 3.64 -0.33 0.05 -0.12 1 45.236 6050.684
270.3 -164.39 3.64 -0.33 0.05 -0.12 1 45.253 6050.318
270.4 -164.39 3.64 -0.33 0.05 -0.12 1 45.279 6049.955
270.5 -164.38 3.64 -0.33 0.05 -0.12 1 45.294 6049.598
270.6 -164.38 3.64 -0.33 0.04 -0.02 1 45.31 6049.233
270.7 -164.37 3.64 -0.33 0.04 -0.02 1 45.337 6048.869
270.8 -164.37 3.64 -0.32 0.04 -0.02 1 45.354 6048.503
270.9 -164.36 3.63 -0.32 0.04 -0.02 1 45.37 6048.137
271.0 -164.36 3.63 -0.32 0.04 -0.02 1 45.397 6047.774
271.1 -164.35 3.63 -0.32 0.04 0.01 1 45.414 6047.408
271.2 -164.35 3.63 -0.32 0.04 0.01 1 45.43 6047.042
271.3 -164.35 3.63 -0.32 0.04 0.01 1 45.445 6046.686
271.4 -164.34 3.63 -0.32 0.04 0.01 1 45.471 6046.323
271.5 -164.34 3.63 -0.32 0.04 0.01 1 45.488 6045.957
271.6 -164.33 3.63 -0.32 0.04 0.01 1 45.505 6045.591
271.7 -164.33 3.62 -0.32 0.04 0.01 1 45.531 6045.228
271.8 -164.33 3.62 -0.32 0.04 0.01 1 45.546 6044.871
271.9 -164.32 3.62 -0.32 0.04 0.01 1 45.562 6044.506
272.0 -164.32 3.62 -0.32 0.04 0.01 1 45.579 6044.14
272.1 -164.31 3.62 -0.31 0.04 0.0 1 45.603 6043.786
272.2 -164.31 3.62 -0.31 0.04 0.0 1 45.62 6043.42
272.3 -164.31 3.62 -0.31 0.04 0.0 1 45.637 6043.054
272.4 -164.3 3.62 -0.31 0.04 0.0 1 45.654 6042.688
272.5 -164.3 3.61 -0.31 0.04 0.0 1 45.678 6042.335
272.6 -164.3 3.61 -0.31 0.04 0.0 1 45.694 6041.969
272.7 -164.29 3.61 -0.31 0.04 0.0 1 45.709 6041.613
272.8 -164.29 3.61 -0.31 0.04 0.0 1 45.726 6041.247
272.9 -164.28 3.61 -0.31 0.04 0.0 1 45.742 6040.881
273.0 -164.28 3.61 -0.31 0.04 0.0 1 45.767 6040.527
273.1 -164.28 3.61 -0.31 0.04 0.0 1 45.783 6040.161
273.2 -164.27 3.6 -0.31 0.04 0.0 1 45.798 6039.805
273.3 -164.27 3.6 -0.31 0.04 0.0 1 45.814 6039.439
273.4 -164.27 3.6 -0.31 0.04 0.0 1 45.829 6039.083
