Navio: Aframax
Cenário: Forte
Manobra: Entrada
Corrente: N 0.5nó 
Vento: SE 15 nós 
Onda: 1.7m 10s SE 

time_stamp zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target
0.1 -166.0 3.08 -0.0 -0.0 -0.04 1 7.841 4402.848
0.2 -166.0 3.08 -0.0 -0.0 -0.04 1 7.834 4402.537
0.3 -166.0 3.08 -0.0 -0.0 -0.04 1 7.836 4402.229
0.4 -166.0 3.08 -0.0 -0.0 -0.04 1 7.829 4401.919
0.5 -166.0 3.08 -0.0 -0.0 -0.04 1 7.832 4401.611
0.6 -166.0 3.08 -0.0 -0.0 -0.04 1 7.825 4401.3
0.7 -166.0 3.08 -0.0 -0.0 -0.04 1 7.825 4401.002
0.8 -166.0 3.08 -0.0 -0.0 -0.04 1 7.818 4400.692
0.9 -166.0 3.08 -0.0 -0.0 -0.04 1 7.82 4400.384
1.0 -166.0 3.08 -0.0 -0.0 -0.04 1 7.823 4400.076
1.1 -166.0 3.08 -0.0 -0.0 -0.04 1 7.816 4399.765
1.2 -166.0 3.08 -0.01 -0.0 -0.04 1 7.819 4399.457
1.3 -166.0 3.08 -0.01 -0.01 -0.04 1 7.811 4399.147
1.4 -166.0 3.08 -0.01 -0.01 -0.04 1 7.814 4398.839
1.5 -166.0 3.08 -0.01 -0.01 -0.04 1 7.817 4398.531
1.6 -166.01 3.08 -0.01 -0.01 -0.04 1 7.81 4398.221
1.7 -166.01 3.08 -0.01 -0.01 -0.04 1 7.812 4397.913
1.8 -166.01 3.08 -0.01 -0.01 -0.04 1 7.805 4397.602
1.9 -166.01 3.08 -0.01 -0.01 -0.04 1 7.808 4397.294
2.0 -166.01 3.08 -0.01 -0.01 -0.04 1 7.81 4396.986
2.1 -166.01 3.08 -0.01 -0.01 -0.04 1 7.801 4396.686
2.2 -166.01 3.08 -0.01 -0.01 -0.04 1 7.804 4396.378
2.3 -166.01 3.08 -0.01 -0.01 -0.04 1 7.806 4396.07
2.4 -166.01 3.08 -0.01 -0.01 -0.04 1 7.799 4395.759
2.5 -166.01 3.08 -0.01 -0.01 -0.04 1 7.802 4395.451
2.6 -166.01 3.08 -0.01 -0.01 -0.04 1 7.804 4395.143
2.7 -166.01 3.08 -0.01 -0.01 -0.04 1 7.797 4394.833
2.8 -166.02 3.08 -0.01 -0.01 -0.04 1 7.8 4394.525
2.9 -166.02 3.08 -0.01 -0.01 -0.04 1 7.803 4394.217
3.0 -166.02 3.08 -0.01 -0.01 -0.04 1 7.795 4393.907
3.1 -166.02 3.08 -0.01 -0.01 -0.04 1 7.798 4393.599
3.2 -166.02 3.08 -0.01 -0.01 -0.04 1 7.801 4393.291
3.3 -166.02 3.08 -0.01 -0.01 -0.04 1 7.794 4392.98
3.4 -166.02 3.08 -0.02 -0.01 -0.04 1 7.796 4392.672
3.5 -166.02 3.08 -0.02 -0.01 -0.04 1 7.797 4392.374
3.6 -166.03 3.08 -0.02 -0.01 -0.04 1 7.799 4392.066
3.7 -166.03 3.08 -0.02 -0.01 -0.04 1 7.792 4391.756
3.8 -166.03 3.08 -0.02 -0.01 -0.04 1 7.795 4391.448
3.9 -166.03 3.08 -0.02 -0.01 -0.04 1 7.797 4391.14
4.0 -166.03 3.08 -0.02 -0.01 -0.04 1 7.79 4390.829
4.1 -166.03 3.08 -0.02 -0.01 -0.04 1 7.793 4390.522
4.2 -166.03 3.08 -0.02 -0.01 -0.04 1 7.795 4390.214
4.3 -166.04 3.08 -0.02 -0.02 -0.04 1 7.798 4389.906
4.4 -166.04 3.08 -0.02 -0.02 -0.04 1 7.791 4389.595
4.5 -166.04 3.08 -0.02 -0.02 -0.04 1 7.794 4389.287
4.6 -166.04 3.08 -0.02 -0.02 -0.04 1 7.796 4388.979
4.7 -166.04 3.08 -0.02 -0.02 -0.04 1 7.799 4388.671
4.8 -166.04 3.08 -0.02 -0.02 -0.04 1 7.802 4388.364
4.9 -166.04 3.08 -0.02 -0.02 -0.04 1 7.794 4388.053
5.0 -166.05 3.08 -0.02 -0.02 -0.04 1 7.795 4387.755
5.1 -166.05 3.08 -0.02 -0.02 -0.04 1 7.797 4387.447
5.2 -166.05 3.08 -0.02 -0.02 -0.04 1 7.8 4387.139
5.3 -166.05 3.08 -0.02 -0.02 -0.04 1 7.803 4386.831
5.4 -166.05 3.08 -0.02 -0.02 -0.04 1 7.795 4386.521
5.5 -166.06 3.08 -0.03 -0.02 -0.04 1 7.798 4386.213
5.6 -166.06 3.08 -0.03 -0.02 -0.04 1 7.801 4385.905
5.7 -166.06 3.08 -0.03 -0.02 -0.04 1 7.803 4385.597
5.8 -166.06 3.08 -0.03 -0.02 -0.04 1 7.806 4385.289
5.9 -166.06 3.08 -0.03 -0.02 -0.04 1 7.799 4384.979
6.0 -166.06 3.08 -0.03 -0.02 -0.04 1 7.802 4384.671
6.1 -166.07 3.08 -0.03 -0.02 -0.04 1 7.804 4384.363
6.2 -166.07 3.08 -0.03 -0.02 -0.04 1 7.807 4384.055
6.3 -166.07 3.08 -0.03 -0.02 -0.04 1 7.809 4383.747
6.4 -166.07 3.08 -0.03 -0.02 -0.04 1 7.812 4383.439
6.5 -166.08 3.08 -0.03 -0.02 -0.04 1 7.815 4383.131
6.6 -166.08 3.08 -0.03 -0.02 -0.04 1 7.817 4382.823
6.7 -166.08 3.08 -0.03 -0.02 -0.04 1 7.81 4382.513
6.8 -166.08 3.08 -0.03 -0.02 -0.04 1 7.813 4382.205
6.9 -166.08 3.08 -0.03 -0.02 -0.04 1 7.815 4381.897
7.0 -166.09 3.08 -0.03 -0.02 -0.04 1 7.818 4381.589
