Navio: Aframax
Cenário: Severo
Manobra: Entrada
Corrente: N 1nó 
Vento: SE 25 nós 
Onda: 2.25m 12s SE 

zz vx vy vzz rudder_demanded propeller_demanded distance_port distance_starboard distance_target
-158.0 3.08 -0.0 -0.0 -0.0 0 74.018 58.457 4402.844
-158.0 3.08 -0.0 -0.0 -0.0 0 73.977 58.498 4402.546
-158.0 3.08 -0.0 -0.0 -0.0 0 73.929 58.547 4402.234
-158.0 3.08 -0.0 -0.0 -0.0 0 73.888 58.588 4401.936
-158.0 3.08 -0.0 -0.0 -0.0 0 73.839 58.636 4401.624
-158.0 3.08 -0.01 -0.01 -0.0 0 73.801 58.674 4401.316
-158.0 3.08 -0.01 -0.01 -0.0 0 73.75 58.725 4401.015
-158.0 3.08 -0.01 -0.01 -0.0 0 73.711 58.764 4400.706
-158.0 3.08 -0.01 -0.01 -0.0 0 73.663 58.812 4400.395
-158.0 3.08 -0.01 -0.01 -0.0 0 73.622 58.853 4400.096
-158.01 3.08 -0.01 -0.01 -0.0 0 73.594 58.922 4399.785
-158.01 3.08 -0.01 -0.01 -0.0 0 73.553 58.963 4399.486
-158.01 3.08 -0.01 -0.01 -0.0 0 73.515 59.001 4399.178
-158.01 3.08 -0.01 -0.01 -0.0 0 73.466 59.05 4398.866
-158.01 3.08 -0.01 -0.01 -0.0 0 73.425 59.09 4398.568
-158.01 3.08 -0.02 -0.01 -0.0 0 73.377 59.139 4398.256
-158.01 3.08 -0.02 -0.01 -0.0 0 73.338 59.177 4397.948
-158.01 3.08 -0.02 -0.01 -0.0 0 73.297 59.218 4397.649
-158.01 3.08 -0.02 -0.02 -0.0 0 73.249 59.267 4397.338
-158.02 3.08 -0.02 -0.02 -0.0 0 73.231 59.326 4397.029
-158.02 3.08 -0.02 -0.02 -0.0 0 73.18 59.376 4396.728
-158.02 3.08 -0.02 -0.02 -0.0 0 73.142 59.415 4396.419
-158.02 3.08 -0.02 -0.02 -0.0 0 73.103 59.454 4396.111
-158.02 3.08 -0.02 -0.02 -0.0 0 73.052 59.504 4395.81
-158.03 3.08 -0.02 -0.02 -0.0 0 73.034 59.563 4395.501
-158.03 3.08 -0.02 -0.02 -0.0 0 72.996 59.602 4395.192
-158.03 3.08 -0.03 -0.02 -0.0 0 72.955 59.643 4394.894
-158.03 3.08 -0.03 -0.02 -0.0 0 72.906 59.691 4394.583
-158.03 3.08 -0.03 -0.02 -0.0 0 72.868 59.73 4394.274
-158.04 3.08 -0.03 -0.02 -0.0 0 72.847 59.791 4393.975
-158.04 3.08 -0.03 -0.02 -0.0 0 72.799 59.84 4393.664
-158.04 3.08 -0.03 -0.02 -0.0 0 72.76 59.878 4393.356
-158.04 3.08 -0.03 -0.02 -0.0 3 72.719 59.919 4393.057
-158.05 3.08 -0.03 -0.03 -0.0 3 72.701 59.978 4392.748
-158.05 3.08 -0.03 -0.03 -0.0 3 72.653 60.027 4392.437
-158.05 3.08 -0.03 -0.03 -0.0 3 72.614 60.065 4392.129
-158.05 3.08 -0.04 -0.03 -0.0 3 72.573 60.106 4391.83
-158.06 3.08 -0.04 -0.03 -0.0 3 72.555 60.165 4391.521
-158.06 3.08 -0.04 -0.03 -0.0 3 72.517 60.204 4391.213
-158.06 3.08 -0.04 -0.03 -0.0 3 72.476 60.245 4390.914
-158.06 3.08 -0.04 -0.03 -0.0 3 72.427 60.293 4390.603
-158.07 3.08 -0.04 -0.03 -0.0 3 72.409 60.352 4390.294
-158.07 3.08 -0.04 -0.03 -0.03 3 72.371 60.391 4389.986
-158.07 3.08 -0.04 -0.03 -0.03 3 72.33 60.432 4389.687
-158.08 3.08 -0.04 -0.03 -0.03 3 72.312 60.491 4389.378
-158.08 3.08 -0.04 -0.03 -0.03 3 72.273 60.53 4389.07
-158.08 3.08 -0.05 -0.03 -0.03 3 72.234 60.568 4388.761
-158.09 3.08 -0.05 -0.03 -0.09 3 72.214 60.63 4388.462
-158.09 3.08 -0.05 -0.03 -0.09 3 72.175 60.668 4388.154
-158.09 3.08 -0.05 -0.03 -0.09 3 72.137 60.707 4387.845
-158.1 3.08 -0.05 -0.03 -0.09 3 72.109 60.776 4387.534
