Navio: Aframax
Cenário: Forte NE
Manobra: Entrada
Corrente: N 0 nó 
Vento: NE 20 nós 
Onda: 1 m 8s NE 

time_stamp zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target
0.1 -158.0 3.08 0.0 -0.0 -0.61 0 7.79 4402.844
0.2 -158.0 3.08 0.0 -0.0 -0.61 0 7.749 4402.546
0.3 -158.0 3.08 0.0 -0.0 -0.61 0 7.7 4402.234
0.4 -158.0 3.08 0.0 -0.0 -0.61 0 7.659 4401.936
0.5 -158.0 3.08 0.0 -0.0 -0.61 0 7.611 4401.624
0.6 -158.0 3.08 0.0 -0.0 -0.61 0 7.573 4401.316
0.7 -158.0 3.08 0.0 -0.0 -0.61 0 7.522 4401.015
0.8 -158.0 3.08 0.0 -0.0 -0.61 0 7.483 4400.706
0.9 -158.0 3.08 0.0 -0.0 -0.61 0 7.433 4400.405
1.0 -158.0 3.08 0.0 -0.0 -0.61 0 7.384 4400.093
1.1 -158.0 3.08 0.0 -0.0 -0.61 0 7.346 4399.785
1.2 -158.0 3.08 0.0 -0.0 -0.61 0 7.295 4399.483
1.3 -158.0 3.08 0.0 -0.0 -0.61 0 7.256 4399.175
1.4 -158.0 3.08 0.0 -0.0 -0.61 0 7.206 4398.874
1.5 -158.0 3.08 0.0 -0.0 -0.61 0 7.167 4398.565
1.6 -158.0 3.08 0.0 -0.0 -0.61 0 7.116 4398.264
1.7 -158.0 3.08 0.0 -0.0 -0.61 0 7.078 4397.955
1.8 -158.0 3.08 0.0 -0.0 -0.61 0 7.029 4397.644
1.9 -158.0 3.08 0.0 -0.0 -0.61 0 6.988 4397.345
2.0 -158.0 3.08 0.0 -0.0 -0.61 0 6.94 4397.034
2.1 -158.0 3.08 0.0 0.0 -0.61 0 6.889 4396.733
2.2 -158.0 3.08 0.0 0.0 -0.61 0 6.851 4396.424
2.3 -158.0 3.08 0.0 0.0 -0.61 0 6.8 4396.123
2.4 -158.0 3.08 0.0 0.0 -0.61 0 6.762 4395.814
2.5 -158.0 3.08 0.0 0.0 -0.61 0 6.713 4395.503
2.6 -158.0 3.08 0.0 0.0 -0.61 0 6.672 4395.204
2.7 -158.0 3.08 0.0 0.0 -0.61 0 6.624 4394.893
2.8 -158.0 3.08 0.0 0.0 -0.61 0 6.583 4394.594
2.9 -158.0 3.08 0.0 0.0 -0.61 0 6.535 4394.283
3.0 -158.0 3.08 0.0 0.0 -0.61 0 6.494 4393.984
3.1 -158.0 3.08 0.0 0.0 -0.61 0 6.445 4393.673
3.2 -158.0 3.08 0.0 0.0 -0.61 0 6.397 4393.362
3.3 -158.0 3.08 0.0 0.0 -0.61 0 6.356 4393.063
3.4 -158.0 3.08 -0.0 0.0 -0.61 0 6.308 4392.752
3.5 -158.0 3.08 -0.0 0.0 -0.61 0 6.267 4392.453
3.6 -158.0 3.08 -0.0 0.0 -0.61 0 6.219 4392.142
3.7 -158.0 3.08 -0.0 0.0 -0.61 0 6.178 4391.843
3.8 -158.0 3.08 -0.0 0.0 -0.61 0 6.129 4391.532
3.9 -158.0 3.08 -0.0 0.0 -0.61 0 6.088 4391.233
4.0 -158.0 3.08 -0.0 0.0 -0.61 0 6.04 4390.922
4.1 -158.0 3.08 -0.0 0.0 -0.61 0 6.001 4390.614
4.2 -158.0 3.08 -0.0 0.0 -0.61 0 5.951 4390.312
4.3 -158.0 3.08 -0.0 0.0 -0.61 0 5.912 4390.004
4.4 -158.0 3.08 -0.0 0.0 -0.6 0 5.861 4389.702
4.5 -158.0 3.08 -0.0 0.0 -0.6 0 5.813 4389.391
4.6 -158.0 3.08 -0.0 0.0 -0.6 0 5.772 4389.092
4.7 -158.0 3.08 -0.0 0.0 -0.6 0 5.724 4388.781
4.8 -158.0 3.08 -0.0 0.0 -0.6 0 5.683 4388.482
4.9 -158.0 3.08 -0.0 0.0 -0.6 0 5.635 4388.171
5.0 -158.0 3.08 -0.0 0.0 -0.6 0 5.596 4387.863
5.1 -158.0 3.08 -0.0 0.0 -0.6 0 5.545 4387.561
5.2 -158.0 3.08 -0.0 0.0 -0.6 0 5.507 4387.253
5.3 -158.0 3.08 -0.0 0.0 -0.6 0 5.456 4386.951
5.4 -158.0 3.08 -0.0 0.0 -0.6 1 5.417 4386.643
5.5 -158.0 3.08 -0.0 0.0 -0.6 1 5.367 4386.342
5.6 -158.0 3.08 -0.0 0.0 -0.6 1 5.328 4386.033
5.7 -158.0 3.08 -0.0 0.0 -0.6 1 5.277 4385.732
5.8 -157.99 3.08 -0.0 0.0 -0.6 1 5.239 4385.423
5.9 -157.99 3.08 -0.0 0.0 -0.6 2 5.191 4385.112
6.0 -157.99 3.08 -0.0 0.0 -0.6 2 5.15 4384.813
6.1 -157.99 3.08 -0.0 0.0 -0.6 2 5.101 4384.502
6.2 -157.99 3.08 -0.0 0.0 -0.6 2 5.06 4384.203
6.3 -157.99 3.08 -0.0 0.0 -0.6 2 5.012 4383.892
6.4 -157.99 3.08 -0.0 0.0 -0.6 2 4.961 4383.591
6.5 -157.99 3.08 -0.0 0.0 -0.6 2 4.923 4383.282
6.6 -157.99 3.08 -0.0 0.01 -0.6 2 4.872 4382.981
6.7 -157.99 3.08 -0.0 0.01 -0.6 2 4.833 4382.672
6.8 -157.99 3.08 -0.0 0.01 -0.6 2 4.785 4382.361
6.9 -157.99 3.08 -0.0 0.01 -0.6 2 4.744 4382.062
7.0 -157.99 3.08 -0.0 0.01 -0.6 2 4.696 4381.751
7.1 -157.99 3.08 -0.0 0.01 -0.6 2 4.655 4381.452
7.2 -157.99 3.08 -0.0 0.01 -0.6 2 4.607 4381.141
7.3 -157.99 3.08 -0.0 0.01 -0.6 2 4.566 4380.843
7.4 -157.99 3.08 -0.0 0.01 -0.6 2 4.517 4380.531
