Navio: Suezmax
Cenário: Severo
Manobra: Entrada
Corrente: N 1nó 
Vento: SE 25 nós 
Onda: 2.25m 12s SE 

time_stamp zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target cog sog
0.1 -160.0 3.08 -0.0 -0.0 -0.26 0 7.799 4402.847 -160.0 3.08
0.2 -160.0 3.08 -0.0 -0.0 -0.26 0 7.771 4402.541 -160.0 3.08
0.3 -160.0 3.08 -0.0 -0.0 -0.26 0 7.732 4402.232 -160.0 3.08
0.4 -160.0 3.08 -0.0 -0.0 -0.26 0 7.703 4401.927 -160.0 3.08
0.5 -160.0 3.08 -0.0 -0.0 -0.26 0 7.664 4401.618 -160.0 3.08
0.6 -160.0 3.08 -0.01 -0.0 -0.26 0 7.636 4401.312 -160.186 3.08
0.7 -160.0 3.08 -0.01 -0.0 -0.26 0 7.597 4401.004 -160.186 3.08
0.8 -160.0 3.08 -0.01 -0.0 -0.26 0 7.568 4400.698 -160.186 3.08
0.9 -160.0 3.08 -0.01 -0.01 -0.26 0 7.529 4400.389 -160.186 3.08
1.0 -160.0 3.08 -0.01 -0.01 -0.26 0 7.501 4400.083 -160.186 3.08
1.1 -160.0 3.08 -0.01 -0.01 -0.26 0 7.462 4399.775 -160.186 3.08
1.2 -160.0 3.08 -0.01 -0.01 -0.26 0 7.433 4399.469 -160.186 3.08
1.3 -160.01 3.08 -0.01 -0.01 -0.26 0 7.404 4399.163 -160.196 3.08
1.4 -160.01 3.08 -0.01 -0.01 -0.26 0 7.366 4398.854 -160.196 3.08
1.5 -160.01 3.08 -0.01 -0.01 -0.26 0 7.337 4398.548 -160.196 3.08
1.6 -160.01 3.08 -0.01 -0.01 -0.26 0 7.298 4398.24 -160.196 3.08
1.7 -160.01 3.08 -0.02 -0.01 -0.26 0 7.269 4397.934 -160.382 3.08
1.8 -160.01 3.08 -0.02 -0.01 -0.26 0 7.231 4397.625 -160.382 3.08
1.9 -160.01 3.08 -0.02 -0.01 -0.26 0 7.202 4397.319 -160.382 3.08
2.0 -160.01 3.08 -0.02 -0.01 -0.26 0 7.173 4397.013 -160.382 3.08
2.1 -160.01 3.08 -0.02 -0.01 -0.26 0 7.134 4396.705 -160.382 3.08
2.2 -160.01 3.08 -0.02 -0.01 -0.26 0 7.105 4396.399 -160.382 3.08
2.3 -160.02 3.08 -0.02 -0.01 -0.26 0 7.076 4396.093 -160.392 3.08
2.4 -160.02 3.08 -0.02 -0.01 -0.26 0 7.04 4395.775 -160.392 3.08
2.5 -160.02 3.08 -0.02 -0.01 -0.26 0 7.011 4395.469 -160.392 3.08
2.6 -160.02 3.08 -0.02 -0.01 -0.26 0 6.982 4395.163 -160.392 3.08
2.7 -160.02 3.08 -0.02 -0.02 -0.26 0 6.944 4394.854 -160.392 3.08
2.8 -160.02 3.08 -0.02 -0.02 -0.26 0 6.915 4394.548 -160.392 3.08
2.9 -160.02 3.08 -0.03 -0.02 -0.26 0 6.886 4394.242 -160.578 3.08
3.0 -160.03 3.08 -0.03 -0.02 -0.26 0 6.847 4393.934 -160.588 3.08
3.1 -160.03 3.08 -0.03 -0.02 -0.26 0 6.819 4393.628 -160.588 3.08
3.2 -160.03 3.08 -0.03 -0.02 -0.26 0 6.79 4393.322 -160.588 3.08
3.3 -160.03 3.08 -0.03 -0.02 -0.26 0 6.761 4393.016 -160.588 3.08
3.4 -160.03 3.08 -0.03 -0.02 -0.26 0 6.722 4392.707 -160.588 3.08
3.5 -160.03 3.08 -0.03 -0.02 -0.26 0 6.693 4392.401 -160.588 3.08
3.6 -160.04 3.08 -0.03 -0.02 -0.26 0 6.664 4392.095 -160.598 3.08
3.7 -160.04 3.08 -0.03 -0.02 -0.26 0 6.638 4391.78 -160.598 3.08
3.8 -160.04 3.08 -0.03 -0.02 -0.26 0 6.599 4391.471 -160.598 3.08
3.9 -160.04 3.08 -0.04 -0.02 -0.26 0 6.57 4391.165 -160.784 3.08
4.0 -160.04 3.08 -0.04 -0.02 -0.26 0 6.542 4390.859 -160.784 3.08
4.1 -160.05 3.08 -0.04 -0.02 -0.26 0 6.513 4390.553 -160.794 3.08
4.2 -160.05 3.08 -0.04 -0.02 -0.26 0 6.484 4390.247 -160.794 3.08
4.3 -160.05 3.08 -0.04 -0.02 -0.26 0 6.455 4389.941 -160.794 3.08
4.4 -160.05 3.08 -0.04 -0.02 -0.26 0 6.416 4389.633 -160.794 3.08
4.5 -160.06 3.08 -0.04 -0.02 -0.26 0 6.387 4389.327 -160.804 3.08
4.6 -160.06 3.08 -0.04 -0.02 -0.26 0 6.361 4389.011 -160.804 3.08
4.7 -160.06 3.08 -0.04 -0.02 -0.26 0 6.332 4388.705 -160.804 3.08
4.8 -160.06 3.08 -0.04 -0.02 -0.26 0 6.303 4388.399 -160.804 3.08
4.9 -160.07 3.08 -0.04 -0.02 -0.26 0 6.274 4388.093 -160.814 3.08
5.0 -160.07 3.08 -0.05 -0.02 -0.26 0 6.245 4387.788 -161.0 3.08
5.1 -160.07 3.08 -0.05 -0.03 -0.26 0 6.216 4387.482 -161.0 3.08
5.2 -160.07 3.08 -0.05 -0.03 -0.26 0 6.188 4387.176 -161.0 3.08
5.3 -160.08 3.08 -0.05 -0.03 -0.26 0 6.159 4386.87 -161.01 3.08
5.4 -160.08 3.08 -0.05 -0.03 -0.26 0 6.122 4386.551 -161.01 3.08
5.5 -160.08 3.08 -0.05 -0.03 -0.26 0 6.094 4386.245 -161.01 3.08
5.6 -160.08 3.08 -0.05 -0.03 -0.26 0 6.065 4385.94 -161.01 3.08
5.7 -160.09 3.08 -0.05 -0.03 -0.26 0 6.036 4385.634 -161.02 3.08
5.8 -160.09 3.08 -0.05 -0.03 -0.26 0 6.007 4385.328 -161.02 3.08
5.9 -160.09 3.08 -0.05 -0.03 -0.26 0 5.978 4385.022 -161.02 3.08
