Navio: Suezmax
Cenário: Severo
Manobra: Entrada
Corrente: N 1nó 
Vento: SE 25 nós 
Onda: 2.25m 12s SE 

time_stamp zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target cog sog local_cog
0.1 -160.0 3.08 -0.0 -0.0 -0.31 0 -3.923 2456.818 -160.0 3.08 -6.586
0.2 -160.0 3.08 -0.0 -0.0 -0.31 0 -3.953 2456.512 -160.0 3.08 -6.586
0.3 -160.0 3.08 -0.0 -0.0 -0.31 0 -3.993 2456.203 -160.0 3.08 -6.586
0.4 -160.0 3.08 -0.0 -0.0 -0.31 0 -4.023 2455.897 -160.0 3.08 -6.586
0.5 -160.0 3.08 -0.0 -0.0 -0.1 0 -4.062 2455.588 -160.0 3.08 -6.586
0.6 -160.0 3.08 -0.01 -0.0 -0.1 0 -4.092 2455.282 -160.186 3.08 -6.4
0.7 -160.0 3.08 -0.01 -0.0 -0.1 0 -4.132 2454.973 -160.186 3.08 -6.4
0.8 -160.0 3.08 -0.01 -0.0 -0.1 0 -4.162 2454.666 -160.186 3.08 -6.4
0.9 -160.0 3.08 -0.01 -0.01 -0.1 0 -4.202 2454.358 -160.186 3.08 -6.4
1.0 -160.0 3.08 -0.01 -0.01 -0.04 0 -4.232 2454.051 -160.186 3.08 -6.4
1.1 -160.0 3.08 -0.01 -0.01 -0.04 0 -4.271 2453.742 -160.186 3.08 -6.4
1.2 -160.0 3.08 -0.01 -0.01 -0.04 0 -4.301 2453.436 -160.186 3.08 -6.4
1.3 -160.01 3.08 -0.01 -0.01 -0.04 0 -4.331 2453.13 -160.196 3.08 -6.39
1.4 -160.01 3.08 -0.01 -0.01 -0.04 0 -4.371 2452.821 -160.196 3.08 -6.39
1.5 -160.01 3.08 -0.01 -0.01 -0.31 0 -4.401 2452.515 -160.196 3.08 -6.39
1.6 -160.01 3.08 -0.01 -0.01 -0.31 0 -4.441 2452.206 -160.196 3.08 -6.39
1.7 -160.01 3.08 -0.02 -0.01 -0.31 0 -4.471 2451.899 -160.382 3.08 -6.204
1.8 -160.01 3.08 -0.02 -0.01 -0.31 0 -4.511 2451.59 -160.382 3.08 -6.204
1.9 -160.01 3.08 -0.02 -0.01 -0.31 0 -4.541 2451.284 -160.382 3.08 -6.204
2.0 -160.01 3.08 -0.02 -0.01 -0.53 0 -4.571 2450.978 -160.382 3.08 -6.204
2.1 -160.01 3.08 -0.02 -0.01 -0.53 0 -4.61 2450.669 -160.382 3.08 -6.204
2.2 -160.01 3.08 -0.02 -0.01 -0.53 0 -4.64 2450.363 -160.382 3.08 -6.204
2.3 -160.02 3.08 -0.02 -0.01 -0.53 0 -4.67 2450.057 -160.392 3.08 -6.194
2.4 -160.02 3.08 -0.02 -0.01 -0.53 0 -4.708 2449.738 -160.392 3.08 -6.194
2.5 -160.02 3.08 -0.02 -0.01 -0.58 0 -4.738 2449.432 -160.392 3.08 -6.194
2.6 -160.02 3.08 -0.02 -0.01 -0.58 0 -4.768 2449.125 -160.392 3.08 -6.194
2.7 -160.02 3.08 -0.02 -0.02 -0.58 0 -4.807 2448.816 -160.392 3.08 -6.194
2.8 -160.02 3.08 -0.02 -0.02 -0.58 0 -4.837 2448.51 -160.392 3.08 -6.194
2.9 -160.02 3.08 -0.03 -0.02 -0.58 0 -4.867 2448.204 -160.578 3.08 -6.008
3.0 -160.03 3.08 -0.03 -0.02 -0.61 0 -4.907 2447.895 -160.588 3.08 -5.998
3.1 -160.03 3.08 -0.03 -0.02 -0.61 0 -4.937 2447.589 -160.588 3.08 -5.998
3.2 -160.03 3.08 -0.03 -0.02 -0.61 0 -4.967 2447.283 -160.588 3.08 -5.998
3.3 -160.03 3.08 -0.03 -0.02 -0.61 0 -4.997 2446.976 -160.588 3.08 -5.998
3.4 -160.03 3.08 -0.03 -0.02 -0.61 0 -5.037 2446.667 -160.588 3.08 -5.998
3.5 -160.03 3.08 -0.03 -0.02 -0.61 0 -5.067 2446.361 -160.588 3.08 -5.998
3.6 -160.04 3.08 -0.03 -0.02 -0.61 0 -5.097 2446.055 -160.598 3.08 -5.988
3.7 -160.04 3.08 -0.03 -0.02 -0.61 0 -5.125 2445.739 -160.598 3.08 -5.988
3.8 -160.04 3.08 -0.03 -0.02 -0.61 0 -5.164 2445.43 -160.598 3.08 -5.988
3.9 -160.04 3.08 -0.03 -0.02 -0.61 0 -5.194 2445.124 -160.598 3.08 -5.988
4.0 -160.04 3.08 -0.04 -0.02 -0.59 0 -5.224 2444.818 -160.784 3.08 -5.802
4.1 -160.05 3.08 -0.04 -0.02 -0.59 0 -5.254 2444.511 -160.794 3.08 -5.792
4.2 -160.05 3.08 -0.04 -0.02 -0.59 0 -5.284 2444.205 -160.794 3.08 -5.792
4.3 -160.05 3.08 -0.04 -0.02 -0.59 0 -5.324 2443.896 -160.794 3.08 -5.792
4.4 -160.05 3.08 -0.04 -0.02 -0.59 0 -5.354 2443.59 -160.794 3.08 -5.792
4.5 -160.06 3.08 -0.04 -0.02 -0.59 2 -5.384 2443.284 -160.804 3.08 -5.782
4.6 -160.06 3.08 -0.04 -0.02 -0.59 2 -5.414 2442.977 -160.804 3.08 -5.782
4.7 -160.06 3.08 -0.04 -0.02 -0.59 2 -5.442 2442.662 -160.804 3.08 -5.782
4.8 -160.06 3.08 -0.04 -0.02 -0.59 2 -5.472 2442.355 -160.804 3.08 -5.782
4.9 -160.07 3.08 -0.04 -0.02 -0.59 2 -5.502 2442.049 -160.814 3.08 -5.772
5.0 -160.07 3.08 -0.04 -0.03 -0.59 2 -5.532 2441.743 -160.814 3.08 -5.772
5.1 -160.07 3.08 -0.05 -0.03 -0.59 2 -5.562 2441.437 -161.0 3.08 -5.586
5.2 -160.07 3.08 -0.05 -0.03 -0.59 2 -5.601 2441.128 -161.0 3.08 -5.586
