Navio: Aframax
Cenário: Médio
Manobra: Entrada
Corrente: N 0.5nó 
Vento: SE 15 nós 
Onda: 1.0m 8s SE 

time_stamp zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target cog sog local_cog
0.1 -158.0 3.08 -0.0 -0.0 0.0 0 7.79 4402.844 -158.0 3.08 -8.377
0.2 -158.0 3.08 -0.0 -0.0 0.0 0 7.749 4402.546 -158.0 3.08 -8.377
0.3 -158.0 3.08 -0.0 -0.0 0.0 0 7.7 4402.234 -158.0 3.08 -8.377
0.4 -158.0 3.08 -0.0 -0.0 0.0 0 7.659 4401.936 -158.0 3.08 -8.377
0.5 -158.0 3.08 -0.0 -0.0 0.0 0 7.611 4401.624 -158.0 3.08 -8.377
0.6 -158.0 3.08 -0.0 -0.0 0.0 0 7.573 4401.316 -158.0 3.08 -8.377
0.7 -158.0 3.08 -0.0 -0.0 0.0 0 7.522 4401.015 -158.0 3.08 -8.377
0.8 -158.0 3.08 -0.0 -0.0 0.0 0 7.483 4400.706 -158.0 3.08 -8.377
0.9 -158.0 3.08 -0.0 -0.0 0.0 0 7.433 4400.405 -158.0 3.08 -8.377
1.0 -158.0 3.08 -0.0 -0.0 0.0 0 7.394 4400.096 -158.0 3.08 -8.377
1.1 -158.0 3.08 -0.0 -0.0 0.0 0 7.346 4399.785 -158.0 3.08 -8.377
1.2 -158.0 3.08 -0.01 -0.01 0.0 0 7.305 4399.486 -158.186 3.08 -8.191
1.3 -158.0 3.08 -0.01 -0.01 0.0 0 7.256 4399.175 -158.186 3.08 -8.191
1.4 -158.0 3.08 -0.01 -0.01 0.0 0 7.215 4398.876 -158.186 3.08 -8.191
1.5 -158.0 3.08 -0.01 -0.01 0.0 0 7.167 4398.565 -158.186 3.08 -8.191
1.6 -158.01 3.08 -0.01 -0.01 0.0 0 7.128 4398.256 -158.196 3.08 -8.181
1.7 -158.01 3.08 -0.01 -0.01 0.0 0 7.078 4397.955 -158.196 3.08 -8.181
1.8 -158.01 3.08 -0.01 -0.01 0.0 0 7.039 4397.646 -158.196 3.08 -8.181
1.9 -158.01 3.08 -0.01 -0.01 0.0 0 6.988 4397.345 -158.196 3.08 -8.181
2.0 -158.01 3.08 -0.01 -0.01 0.0 0 6.95 4397.037 -158.196 3.08 -8.181
2.1 -158.01 3.08 -0.01 -0.01 0.0 0 6.902 4396.725 -158.196 3.08 -8.181
2.2 -158.01 3.08 -0.01 -0.01 0.0 0 6.861 4396.427 -158.196 3.08 -8.181
2.3 -158.01 3.08 -0.01 -0.01 0.0 0 6.812 4396.115 -158.196 3.08 -8.181
2.4 -158.01 3.08 -0.01 -0.01 0.0 0 6.774 4395.807 -158.196 3.08 -8.181
2.5 -158.01 3.08 -0.01 -0.01 0.0 0 6.733 4395.508 -158.196 3.08 -8.181
2.6 -158.01 3.08 -0.01 -0.01 0.0 0 6.684 4395.197 -158.196 3.08 -8.181
2.7 -158.02 3.08 -0.01 -0.01 0.0 0 6.643 4394.898 -158.206 3.08 -8.171
2.8 -158.02 3.08 -0.01 -0.01 0.0 0 6.595 4394.587 -158.206 3.08 -8.171
2.9 -158.02 3.08 -0.01 -0.01 0.0 0 6.557 4394.279 -158.206 3.08 -8.171
3.0 -158.02 3.08 -0.01 -0.01 0.0 0 6.506 4393.977 -158.206 3.08 -8.171
3.1 -158.02 3.08 -0.01 -0.01 0.0 0 6.467 4393.669 -158.206 3.08 -8.171
3.2 -158.02 3.08 -0.01 -0.01 0.0 0 6.426 4393.37 -158.206 3.08 -8.171
3.3 -158.02 3.08 -0.01 -0.01 0.0 0 6.378 4393.059 -158.206 3.08 -8.171
3.4 -158.02 3.08 -0.01 -0.01 0.0 0 6.339 4392.75 -158.206 3.08 -8.171
3.5 -158.03 3.08 -0.01 -0.01 0.0 0 6.289 4392.449 -158.216 3.08 -8.161
3.6 -158.03 3.08 -0.01 -0.01 0.0 0 6.25 4392.14 -158.216 3.08 -8.161
3.7 -158.03 3.08 -0.01 -0.01 0.0 0 6.209 4391.841 -158.216 3.08 -8.161
3.8 -158.03 3.08 -0.02 -0.02 0.0 0 6.161 4391.53 -158.402 3.08 -7.975
3.9 -158.03 3.08 -0.02 -0.02 0.0 0 6.122 4391.222 -158.402 3.08 -7.975
4.0 -158.03 3.08 -0.02 -0.02 0.0 0 6.072 4390.92 -158.402 3.08 -7.975
4.1 -158.03 3.08 -0.02 -0.02 0.0 0 6.033 4390.612 -158.402 3.08 -7.975
4.2 -158.04 3.08 -0.02 -0.02 0.0 0 5.994 4390.303 -158.412 3.08 -7.965
4.3 -158.04 3.08 -0.02 -0.02 0.0 0 5.944 4390.002 -158.412 3.08 -7.965
4.4 -158.04 3.08 -0.02 -0.02 0.0 0 5.905 4389.693 -158.412 3.08 -7.965
4.5 -158.04 3.08 -0.02 -0.02 0.0 0 5.864 4389.394 -158.412 3.08 -7.965
4.6 -158.04 3.08 -0.02 -0.02 0.0 0 5.816 4389.083 -158.412 3.08 -7.965
4.7 -158.04 3.08 -0.02 -0.02 0.0 0 5.777 4388.775 -158.412 3.08 -7.965
4.8 -158.05 3.08 -0.02 -0.02 0.0 0 5.736 4388.476 -158.422 3.08 -7.955
4.9 -158.05 3.08 -0.02 -0.02 0.0 0 5.688 4388.165 -158.422 3.08 -7.955
5.0 -158.05 3.08 -0.02 -0.02 0.0 0 5.649 4387.856 -158.422 3.08 -7.955
5.1 -158.05 3.08 -0.02 -0.02 0.0 0 5.608 4387.557 -158.422 3.08 -7.955
