Navio: Aframax
Cenário: Forte
Manobra: Entrada
Corrente: N 1nó 
Vento: SE 20 nós 
Onda: 1.7m 10s SE 

zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target
-158.0 3.08 -0.0 -0.0 -0.02 0 13.771 3652.513
-158.0 3.08 -0.0 -0.0 -0.02 0 13.73 3652.214
-158.0 3.08 -0.0 -0.0 -0.02 0 13.682 3651.903
-158.0 3.08 -0.0 -0.0 -0.02 0 13.641 3651.604
-158.0 3.08 -0.0 -0.0 -0.02 0 13.593 3651.293
-158.0 3.08 -0.01 -0.01 -0.02 0 13.554 3650.984
-158.0 3.08 -0.01 -0.01 -0.02 0 13.503 3650.682
-158.0 3.08 -0.01 -0.01 -0.02 0 13.465 3650.373
-158.0 3.08 -0.01 -0.01 -0.02 0 13.416 3650.062
-158.0 3.08 -0.01 -0.01 -0.02 0 13.376 3649.763
-158.01 3.08 -0.01 -0.01 -0.02 0 13.327 3649.452
-158.01 3.08 -0.01 -0.01 -0.02 0 13.286 3649.153
-158.01 3.08 -0.01 -0.01 -0.02 0 13.248 3648.844
-158.01 3.08 -0.01 -0.01 -0.02 0 13.199 3648.533
-158.01 3.08 -0.01 -0.01 -0.02 0 13.158 3648.233
-158.01 3.08 -0.01 -0.01 -0.02 0 13.11 3647.922
-158.01 3.08 -0.02 -0.01 -0.02 0 13.071 3647.613
-158.01 3.08 -0.02 -0.01 -0.02 0 13.03 3647.314
-158.02 3.08 -0.02 -0.02 -0.02 0 12.982 3647.003
-158.02 3.08 -0.02 -0.02 -0.02 0 12.944 3646.694
-158.02 3.08 -0.02 -0.02 -0.02 0 12.893 3646.393
-158.02 3.08 -0.02 -0.02 -0.02 0 12.854 3646.084
-158.02 3.08 -0.02 -0.02 -0.02 0 12.816 3645.775
-158.02 3.08 -0.02 -0.02 -0.02 0 12.765 3645.473
-158.03 3.08 -0.02 -0.02 -0.02 0 12.726 3645.165
-158.03 3.08 -0.02 -0.02 -0.02 0 12.688 3644.856
-158.03 3.08 -0.02 -0.02 -0.02 0 12.637 3644.554
-158.03 3.08 -0.03 -0.02 -0.61 0 12.599 3644.246
-158.03 3.08 -0.03 -0.02 -0.61 0 12.56 3643.937
-158.04 3.08 -0.03 -0.02 -0.61 0 12.519 3643.638
-158.04 3.08 -0.03 -0.02 -0.61 0 12.471 3643.326
-158.04 3.08 -0.03 -0.02 -0.61 0 12.432 3643.018
-158.04 3.08 -0.03 -0.03 -0.61 0 12.391 3642.719
-158.05 3.08 -0.03 -0.03 -0.61 0 12.352 3642.41
-158.05 3.08 -0.03 -0.03 -0.61 0 12.304 3642.099
-158.05 3.08 -0.03 -0.03 -0.61 0 12.263 3641.8
-158.05 3.08 -0.03 -0.03 -0.61 0 12.225 3641.491
-158.06 3.08 -0.04 -0.03 -0.61 0 12.186 3641.182
-158.06 3.08 -0.04 -0.03 -0.61 0 12.147 3640.873
-158.06 3.08 -0.04 -0.03 -0.61 0 12.097 3640.572
-158.07 3.08 -0.04 -0.03 -0.61 0 12.058 3640.263
-158.07 3.08 -0.04 -0.03 -0.61 0 12.019 3639.954
-158.07 3.08 -0.04 -0.03 -0.61 1 11.979 3639.655
-158.08 3.08 -0.04 -0.03 -0.61 1 11.94 3639.346
-158.08 3.08 -0.04 -0.03 -0.61 1 11.901 3639.038
-158.08 3.08 -0.04 -0.03 -0.61 1 11.863 3638.729
-158.09 3.08 -0.04 -0.03 -0.61 1 11.812 3638.427
-158.09 3.08 -0.04 -0.03 -0.61 2 11.773 3638.119
-158.09 3.08 -0.05 -0.03 -0.61 2 11.735 3637.81
-158.1 3.08 -0.05 -0.03 -0.61 2 11.696 3637.501
-158.1 3.08 -0.05 -0.04 -0.61 2 11.655 3637.202
-158.1 3.08 -0.05 -0.04 -0.61 2 11.617 3636.893
-158.11 3.08 -0.05 -0.04 -0.61 2 11.578 3636.585
-158.11 3.08 -0.05 -0.04 -0.61 2 11.539 3636.276
-158.11 3.08 -0.05 -0.04 -0.61 2 11.499 3635.977
-158.12 3.08 -0.05 -0.04 -0.61 2 11.46 3635.668
-158.12 3.08 -0.05 -0.04 -0.61 2 11.421 3635.36
-158.12 3.08 -0.05 -0.04 -0.61 2 11.383 3635.051
-158.13 3.08 -0.05 -0.04 -0.61 2 11.344 3634.742
-158.13 3.08 -0.06 -0.04 -0.61 2 11.303 3634.443
-158.14 3.08 -0.06 -0.04 -0.61 2 11.265 3634.134
-158.14 3.08 -0.06 -0.04 -0.61 2 11.226 3633.826
-158.14 3.08 -0.06 -0.04 -0.61 2 11.187 3633.517
-158.15 3.08 -0.06 -0.04 -0.61 2 11.149 3633.208
-158.15 3.08 -0.06 -0.04 -0.61 2 11.11 3632.9
-158.16 3.08 -0.06 -0.04 -0.61 2 11.069 3632.601
-158.16 3.08 -0.06 -0.04 -0.61 2 11.04 3632.294
-158.17 3.08 -0.06 -0.04 -0.61 2 11.002 3631.986
-158.17 3.08 -0.06 -0.04 -0.61 2 10.963 3631.677
-158.17 3.08 -0.06 -0.04 -0.61 2 10.924 3631.368
-158.18 3.08 -0.07 -0.04 -0.61 2 10.886 3631.06
-158.18 3.08 -0.07 -0.04 -0.61 2 10.847 3630.751
