Navio: Suezmax L280B50T17
Cenário: NE - pos2035 - 1
Manobra: Entrada
Corrente: 0.8 kn N 
Vento: 20 kn NE 
Onda: 1.0m 8s NE 

time_stamp zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target
476.0 201.25 3.24 -0.5 0.02 0.09 1 8.429 4879.474
476.5 201.27 3.24 -0.49 0.02 0.09 1 8.455 4877.834
477.0 201.28 3.24 -0.49 0.02 0.09 1 8.49 4876.196
477.5 201.29 3.23 -0.49 0.02 0.09 1 8.515 4874.557
478.0 201.3 3.23 -0.49 0.02 0.1 1 8.538 4872.927
478.5 201.31 3.23 -0.49 0.02 0.1 1 8.564 4871.287
479.0 201.33 3.22 -0.49 0.02 0.1 1 8.587 4869.657
479.5 201.34 3.22 -0.48 0.02 0.1 1 8.61 4868.027
480.0 201.35 3.22 -0.48 0.02 0.1 1 8.633 4866.397
480.5 201.36 3.22 -0.48 0.02 0.1 1 8.654 4864.776
481.0 201.37 3.22 -0.48 0.02 0.1 1 8.677 4863.146
481.5 201.38 3.22 -0.48 0.02 0.1 1 8.698 4861.526
482.0 201.39 3.22 -0.48 0.02 0.1 1 8.721 4859.896
482.5 201.41 3.22 -0.48 0.02 0.1 1 8.735 4858.264
483.0 201.42 3.22 -0.48 0.02 0.1 1 8.758 4856.633
483.5 201.43 3.23 -0.48 0.02 0.1 1 8.781 4855.003
484.0 201.44 3.23 -0.49 0.02 0.09 1 8.794 4853.371
484.5 201.45 3.23 -0.49 0.02 0.09 1 8.817 4851.741
485.0 201.46 3.23 -0.49 0.02 0.08 1 8.841 4850.111
485.5 201.47 3.23 -0.49 0.02 0.08 1 8.854 4848.478
486.0 201.48 3.23 -0.49 0.02 0.08 1 8.879 4846.839
486.5 201.49 3.23 -0.49 0.02 0.08 1 8.893 4845.206
487.0 201.5 3.23 -0.49 0.02 0.08 1 8.918 4843.567
487.5 201.51 3.23 -0.49 0.02 0.08 1 8.932 4841.934
488.0 201.52 3.23 -0.49 0.02 0.08 1 8.955 4840.304
488.5 201.53 3.23 -0.48 0.02 0.08 1 8.968 4838.672
489.0 201.54 3.22 -0.48 0.02 0.09 1 8.982 4837.039
489.5 201.55 3.22 -0.48 0.02 0.09 1 8.995 4835.407
490.0 201.56 3.21 -0.48 0.02 0.1 1 9.016 4833.786
490.5 201.57 3.21 -0.47 0.02 0.1 1 9.027 4832.164
491.0 201.58 3.21 -0.47 0.02 0.1 1 9.038 4830.541
491.5 201.59 3.2 -0.47 0.02 0.11 1 9.049 4828.918
492.0 201.6 3.2 -0.47 0.02 0.11 1 9.048 4827.303
492.5 201.61 3.2 -0.47 0.02 0.11 1 9.059 4825.68
493.0 201.62 3.2 -0.47 0.02 0.11 1 9.068 4824.067
493.5 201.62 3.2 -0.47 0.02 0.11 1 9.079 4822.445
494.0 201.63 3.21 -0.47 0.02 0.1 1 9.09 4820.822
494.5 201.64 3.21 -0.47 0.02 0.1 1 9.089 4819.207
495.0 201.65 3.21 -0.47 0.02 0.1 1 9.1 4817.584
495.5 201.66 3.22 -0.48 0.02 0.09 1 9.111 4815.961
496.0 201.67 3.22 -0.48 0.02 0.08 1 9.125 4814.329
496.5 201.67 3.22 -0.48 0.02 0.08 1 9.136 4812.706
497.0 201.68 3.22 -0.48 0.02 0.08 1 9.139 4811.071
497.5 201.69 3.22 -0.48 0.02 0.07 1 9.15 4809.449
498.0 201.7 3.22 -0.48 0.02 0.07 1 9.164 4807.816
498.5 201.71 3.22 -0.48 0.02 0.07 1 9.165 4806.191
499.0 201.71 3.22 -0.48 0.02 0.07 1 9.176 4804.569
499.5 201.72 3.21 -0.47 0.02 0.07 1 9.18 4802.934
500.0 201.73 3.21 -0.47 0.02 0.08 1 9.191 4801.311
500.5 201.74 3.21 -0.47 0.02 0.08 1 9.19 4799.696
501.0 201.75 3.2 -0.46 0.01 0.09 1 9.201 4798.073
501.5 201.75 3.2 -0.46 0.01 0.09 1 9.2 4796.458
502.0 201.76 3.19 -0.46 0.01 0.09 1 9.199 4794.842
502.5 201.77 3.19 -0.46 0.01 0.1 1 9.198 4793.227
503.0 201.77 3.19 -0.46 0.01 0.1 1 9.195 4791.621
503.5 201.78 3.19 -0.46 0.01 0.1 1 9.194 4790.006
504.0 201.79 3.19 -0.46 0.01 0.1 1 9.193 4788.391
504.5 201.79 3.19 -0.46 0.01 0.09 1 9.199 4786.788
505.0 201.8 3.19 -0.46 0.01 0.09 1 9.198 4785.172
505.5 201.81 3.2 -0.46 0.01 0.08 1 9.197 4783.557
506.0 201.81 3.2 -0.46 0.01 0.08 1 9.196 4781.942
506.5 201.82 3.2 -0.46 0.01 0.07 1 9.195 4780.326
507.0 201.82 3.21 -0.47 0.01 0.07 1 9.196 4778.701
507.5 201.83 3.21 -0.47 0.01 0.06 1 9.195 4777.086
508.0 201.84 3.21 -0.47 0.01 0.06 1 9.197 4775.461
508.5 201.84 3.21 -0.47 0.01 0.06 1 9.196 4773.845
509.0 201.85 3.21 -0.46 0.01 0.06 1 9.197 4772.22
509.5 201.85 3.21 -0.46 0.01 0.06 1 9.189 4770.593
510.0 201.86 3.2 -0.46 0.01 0.06 1 9.188 4768.978
510.5 201.86 3.2 -0.46 0.01 0.06 1 9.187 4767.362
511.0 201.87 3.2 -0.46 0.01 0.07 1 9.186 4765.747
511.5 201.87 3.19 -0.45 0.01 0.07 1 9.175 4764.129
512.0 201.88 3.19 -0.45 0.01 0.08 1 9.174 4762.514
512.5 201.88 3.19 -0.45 0.01 0.08 1 9.161 4760.906
