Navio: Suezmax L280B50T17
Cenário: SE - pos2035 - 1
Manobra: Entrada
Corrente: 0.8 kn N 
Vento: 20 kn S/SE 
Onda: 1.7m 10s SE 

zz vx vy vzz rudder_demanded propeller_demanded distance_port distance_starboard distance_target
202.56 3.16 -0.54 0.03 0.34 1 60.959 58.524 4877.566
202.57 3.16 -0.55 0.03 0.31 1 60.959 58.487 4875.955
202.59 3.16 -0.55 0.03 0.29 1 60.942 58.419 4874.357
202.6 3.17 -0.56 0.03 0.26 1 60.952 58.372 4872.749
202.61 3.17 -0.56 0.03 0.25 1 60.961 58.325 4871.14
202.63 3.18 -0.55 0.03 0.25 1 60.937 58.265 4869.53
202.64 3.19 -0.55 0.03 0.25 1 60.939 58.225 4867.909
202.66 3.2 -0.54 0.03 0.26 1 60.918 58.163 4866.289
202.67 3.21 -0.54 0.03 0.28 1 60.913 58.13 4864.656
202.69 3.22 -0.53 0.03 0.3 1 60.884 58.075 4863.024
202.7 3.23 -0.53 0.03 0.33 1 60.869 58.053 4861.389
202.71 3.24 -0.53 0.03 0.35 1 60.854 58.03 4859.754
202.73 3.24 -0.52 0.03 0.36 1 60.816 57.985 4858.12
202.74 3.24 -0.52 0.03 0.37 1 60.794 57.97 4856.473
202.76 3.24 -0.52 0.03 0.37 1 60.755 57.924 4854.838
202.77 3.23 -0.53 0.03 0.37 1 60.743 57.9 4853.194
202.78 3.23 -0.53 0.03 0.36 1 60.718 57.887 4851.556
202.8 3.22 -0.53 0.03 0.35 1 60.69 57.832 4849.924
202.81 3.22 -0.54 0.03 0.34 1 60.675 57.809 4848.289
202.82 3.21 -0.54 0.03 0.32 1 60.667 57.78 4846.667
202.83 3.2 -0.55 0.03 0.31 1 60.652 57.757 4845.032
202.85 3.2 -0.55 0.03 0.29 1 60.621 57.704 4843.409
202.86 3.2 -0.55 0.03 0.28 1 60.623 57.665 4841.789
202.87 3.19 -0.55 0.03 0.27 1 60.616 57.635 4840.166
202.88 3.19 -0.55 0.03 0.27 1 60.608 57.605 4838.543
202.9 3.19 -0.55 0.03 0.27 1 60.575 57.555 4836.93
202.91 3.19 -0.54 0.03 0.28 1 60.567 57.525 4835.308
202.92 3.2 -0.54 0.03 0.29 1 60.557 57.498 4833.695
202.93 3.2 -0.54 0.03 0.3 1 60.54 57.478 4832.07
202.95 3.2 -0.53 0.03 0.31 1 60.509 57.425 4830.447
202.96 3.2 -0.53 0.03 0.32 1 60.492 57.405 4828.822
202.97 3.2 -0.53 0.02 0.33 1 60.472 57.387 4827.206
202.98 3.2 -0.53 0.02 0.33 1 60.455 57.367 4825.581
203.0 3.19 -0.53 0.02 0.34 1 60.412 57.326 4823.966
203.01 3.19 -0.52 0.02 0.34 1 60.392 57.308 4822.351
203.02 3.18 -0.52 0.02 0.35 1 60.362 57.301 4820.733
203.03 3.17 -0.52 0.02 0.35 1 60.34 57.285 4819.127
203.05 3.17 -0.52 0.02 0.35 1 60.295 57.247 4817.522
203.06 3.16 -0.52 0.02 0.35 1 60.273 57.231 4815.916
203.07 3.16 -0.52 0.02 0.34 1 60.249 57.218 4814.32
203.08 3.16 -0.52 0.02 0.34 1 60.227 57.203 4812.715
203.09 3.16 -0.52 0.02 0.34 1 60.202 57.19 4811.119
203.1 3.16 -0.52 0.02 0.33 1 60.18 57.175 4809.513
203.11 3.16 -0.52 0.02 0.33 1 60.158 57.159 4807.908
203.12 3.17 -0.53 0.02 0.32 1 60.134 57.146 4806.312
203.14 3.17 -0.53 0.02 0.32 1 60.088 57.108 4804.706
203.15 3.18 -0.53 0.02 0.32 1 60.069 57.09 4803.091
203.16 3.19 -0.53 0.02 0.32 1 60.049 57.072 4801.475
203.17 3.19 -0.53 0.02 0.32 1 60.029 57.055 4799.86
203.18 3.2 -0.53 0.02 0.33 1 60.0 57.047 4798.242
