Navio: Suezmax L280B50T17
Cenário: SE - pos2035 - 2
Manobra: Entrada
Corrente: 0.8 kn N 
Vento: 20 kn S/SE 
Onda: 1.7m 10s SE 

time_stamp zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target
477.5 201.98 3.17 -0.52 0.03 0.25 1 0.362 4876.496
478.0 201.99 3.18 -0.52 0.03 0.25 1 0.39 4874.887
478.5 202.0 3.19 -0.52 0.03 0.26 1 0.419 4873.279
479.0 202.02 3.2 -0.51 0.03 0.27 1 0.43 4871.656
479.5 202.03 3.21 -0.51 0.03 0.29 1 0.45 4870.036
480.0 202.05 3.22 -0.5 0.03 0.31 1 0.462 4868.413
480.5 202.06 3.22 -0.5 0.03 0.34 1 0.475 4866.781
481.0 202.08 3.23 -0.49 0.03 0.35 1 0.476 4865.156
481.5 202.09 3.23 -0.49 0.03 0.37 1 0.48 4863.521
482.0 202.11 3.23 -0.49 0.03 0.37 1 0.484 4861.886
482.5 202.12 3.23 -0.49 0.03 0.38 1 0.487 4860.252
483.0 202.14 3.23 -0.5 0.03 0.37 1 0.491 4858.617
483.5 202.15 3.22 -0.5 0.03 0.37 1 0.504 4856.984
484.0 202.16 3.21 -0.5 0.03 0.35 1 0.506 4855.359
484.5 202.18 3.21 -0.51 0.03 0.34 1 0.517 4853.737
485.0 202.19 3.2 -0.51 0.03 0.32 1 0.528 4852.114
485.5 202.2 3.2 -0.51 0.03 0.31 1 0.549 4850.493
486.0 202.22 3.19 -0.52 0.03 0.3 1 0.56 4848.871
486.5 202.23 3.19 -0.52 0.03 0.29 1 0.578 4847.26
487.0 202.24 3.19 -0.52 0.03 0.28 1 0.589 4845.637
487.5 202.25 3.19 -0.52 0.03 0.28 1 0.608 4844.027
488.0 202.27 3.19 -0.51 0.03 0.28 1 0.616 4842.414
488.5 202.28 3.19 -0.51 0.03 0.29 1 0.635 4840.803
489.0 202.29 3.19 -0.51 0.03 0.3 1 0.644 4839.19
489.5 202.31 3.19 -0.5 0.03 0.31 1 0.655 4837.567
490.0 202.32 3.19 -0.5 0.03 0.32 1 0.654 4835.952
490.5 202.33 3.19 -0.5 0.03 0.33 1 0.662 4834.339
491.0 202.35 3.19 -0.5 0.03 0.34 1 0.661 4832.724
491.5 202.36 3.19 -0.49 0.03 0.34 1 0.66 4831.108
492.0 202.37 3.18 -0.49 0.03 0.35 1 0.669 4829.495
492.5 202.39 3.18 -0.49 0.03 0.35 1 0.666 4827.89
493.0 202.4 3.17 -0.49 0.03 0.36 1 0.662 4826.284
493.5 202.41 3.17 -0.49 0.02 0.36 1 0.659 4824.679
494.0 202.42 3.16 -0.49 0.02 0.36 1 0.653 4823.083
494.5 202.44 3.16 -0.49 0.02 0.36 1 0.657 4821.489
495.0 202.45 3.15 -0.49 0.02 0.35 1 0.654 4819.884
495.5 202.46 3.15 -0.49 0.02 0.35 1 0.646 4818.297
496.0 202.47 3.15 -0.49 0.02 0.34 1 0.65 4816.704
496.5 202.48 3.15 -0.49 0.02 0.34 1 0.644 4815.108
497.0 202.49 3.16 -0.49 0.02 0.33 1 0.651 4813.505
497.5 202.51 3.16 -0.49 0.02 0.33 1 0.645 4811.909
498.0 202.52 3.17 -0.5 0.02 0.33 1 0.642 4810.303
498.5 202.53 3.17 -0.5 0.02 0.33 1 0.648 4808.7
499.0 202.54 3.18 -0.5 0.02 0.33 1 0.645 4807.094
499.5 202.55 3.19 -0.49 0.02 0.33 1 0.632 4805.486
500.0 202.56 3.19 -0.49 0.02 0.34 1 0.631 4803.871
500.5 202.57 3.2 -0.49 0.02 0.34 1 0.63 4802.256
501.0 202.59 3.2 -0.49 0.02 0.35 1 0.619 4800.638
501.5 202.6 3.2 -0.49 0.02 0.35 1 0.608 4799.02
502.0 202.61 3.2 -0.49 0.02 0.36 1 0.6 4797.393
502.5 202.62 3.2 -0.49 0.02 0.36 1 0.589 4795.775
503.0 202.63 3.2 -0.49 0.02 0.37 1 0.578 4794.158
503.5 202.64 3.19 -0.49 0.02 0.37 1 0.565 4792.55
504.0 202.65 3.19 -0.48 0.02 0.37 1 0.555 4790.932
504.5 202.66 3.18 -0.48 0.02 0.38 1 0.542 4789.324
505.0 202.68 3.18 -0.48 0.02 0.38 1 0.528 4787.716
505.5 202.69 3.17 -0.48 0.02 0.38 1 0.515 4786.108
506.0 202.7 3.16 -0.48 0.02 0.38 1 0.5 4784.51
506.5 202.71 3.15 -0.48 0.02 0.38 1 0.485 4782.912
507.0 202.72 3.15 -0.48 0.02 0.38 1 0.479 4781.316
507.5 202.73 3.14 -0.47 0.02 0.38 1 0.461 4779.727
508.0 202.74 3.14 -0.47 0.02 0.38 1 0.443 4778.139
508.5 202.75 3.13 -0.47 0.02 0.38 1 0.423 4776.56
509.0 202.76 3.13 -0.47 0.02 0.38 1 0.406 4774.971
509.5 202.77 3.13 -0.47 0.02 0.39 1 0.385 4773.393
510.0 202.78 3.13 -0.46 0.02 0.39 1 0.365 4771.814
510.5 202.79 3.13 -0.46 0.02 0.39 1 0.345 4770.235
511.0 202.8 3.13 -0.46 0.02 0.4 1 0.327 4768.647
511.5 202.81 3.14 -0.46 0.02 0.4 1 0.298 4767.066
512.0 202.82 3.14 -0.46 0.02 0.4 1 0.27 4765.475
512.5 202.83 3.14 -0.46 0.02 0.4 1 0.24 4763.894
513.0 202.83 3.15 -0.46 0.02 0.41 1 0.213 4762.303
513.5 202.84 3.15 -0.45 0.02 0.41 1 0.185 4760.712
514.0 202.85 3.16 -0.45 0.02 0.41 1 0.158 4759.121
514.5 202.86 3.16 -0.45 0.02 0.41 1 0.133 4757.52
515.0 202.87 3.16 -0.45 0.02 0.41 1 0.096 4755.927
515.5 202.88 3.17 -0.46 0.02 0.41 1 0.07 4754.327
516.0 202.88 3.17 -0.46 0.02 0.41 1 0.036 4752.724
516.5 202.89 3.17 -0.46 0.02 0.4 1 0.001 4751.121
517.0 202.9 3.18 -0.46 0.01 0.39 1 -0.024 4749.52
517.5 202.91 3.18 -0.46 0.01 0.39 1 -0.057 4747.908
518.0 202.91 3.18 -0.47 0.01 0.38 1 -0.082 4746.307
518.5 202.92 3.19 -0.47 0.01 0.38 1 -0.115 4744.694
519.0 202.93 3.19 -0.47 0.01 0.37 1 -0.137 4743.084
519.5 202.94 3.18 -0.47 0.01 0.37 1 -0.17 4741.472
520.0 202.94 3.18 -0.46 0.01 0.37 1 -0.205 4739.869
520.5 202.95 3.18 -0.46 0.01 0.37 1 -0.228 4738.258
521.0 202.96 3.17 -0.45 0.01 0.38 1 -0.262 4736.655
521.5 202.96 3.16 -0.45 0.01 0.38 1 -0.3 4735.062
522.0 202.97 3.15 -0.44 0.01 0.39 1 -0.337 4733.469
522.5 202.98 3.14 -0.43 0.01 0.4 1 -0.374 4731.876
523.0 202.98 3.13 -0.43 0.01 0.42 1 -0.426 4730.3
523.5 202.99 3.11 -0.42 0.01 0.43 1 -0.468 4728.726
524.0 202.99 3.1 -0.41 0.01 0.44 1 -0.512 4727.162
524.5 203.0 3.09 -0.41 0.01 0.44 1 -0.568 4725.605
525.0 203.0 3.08 -0.41 0.01 0.45 1 -0.615 4724.051
525.5 203.01 3.08 -0.41 0.01 0.45 1 -0.671 4722.495
526.0 203.01 3.08 -0.41 0.01 0.45 1 -0.718 4720.94
526.5 203.02 3.08 -0.41 0.01 0.43 1 -0.764 4719.386
527.0 203.02 3.09 -0.42 0.01 0.41 1 -0.811 4717.832
527.5 203.02 3.1 -0.42 0.01 0.4 1 -0.867 4716.275
528.0 203.02 3.11 -0.43 0.0 0.38 1 -0.911 4714.711
528.5 203.03 3.13 -0.43 0.0 0.36 1 -0.953 4713.137
529.0 203.03 3.14 -0.44 0.0 0.34 1 -0.993 4711.554
529.5 203.03 3.16 -0.44 0.0 0.33 1 -1.04 4709.958
530.0 203.03 3.18 -0.44 0.0 0.32 1 -1.074 4708.355
530.5 203.03 3.19 -0.45 0.0 0.31 1 -1.119 4706.75
531.0 203.04 3.2 -0.45 0.0 0.31 1 -1.161 4705.135
531.5 203.04 3.21 -0.44 0.0 0.31 1 -1.204 4703.52
532.0 203.04 3.22 -0.44 0.0 0.32 1 -1.253 4701.893
532.5 203.04 3.22 -0.43 0.0 0.33 1 -1.305 4700.276
533.0 203.04 3.21 -0.43 0.0 0.34 1 -1.357 4698.659
533.5 203.04 3.2 -0.42 0.0 0.35 1 -1.409 4697.041
534.0 203.05 3.18 -0.41 0.0 0.36 1 -1.463 4695.434
534.5 203.05 3.16 -0.4 0.0 0.38 1 -1.52 4693.836
535.0 203.05 3.14 -0.4 0.0 0.39 1 -1.589 4692.246
535.5 203.05 3.12 -0.39 0.0 0.4 1 -1.65 4690.667
536.0 203.05 3.1 -0.39 -0.0 0.4 1 -1.716 4689.108
536.5 203.05 3.08 -0.39 -0.0 0.4 1 -1.772 4687.552
537.0 203.05 3.06 -0.39 -0.0 0.4 1 -1.841 4686.002
537.5 203.05 3.05 -0.39 -0.0 0.4 1 -1.902 4684.465
538.0 203.05 3.05 -0.39 -0.0 0.37 1 -1.963 4682.928
538.5 203.04 3.05 -0.4 -0.0 0.35 1 -2.014 4681.393
539.0 203.04 3.06 -0.41 -0.0 0.32 1 -2.063 4679.849
539.5 203.04 3.07 -0.41 -0.01 0.3 1 -2.114 4678.314
540.0 203.04 3.08 -0.41 -0.01 0.28 1 -2.161 4676.76
540.5 203.03 3.1 -0.42 -0.01 0.26 1 -2.217 4675.203
541.0 203.03 3.11 -0.42 -0.01 0.25 1 -2.261 4673.639
541.5 203.03 3.13 -0.42 -0.01 0.25 1 -2.313 4672.063
542.0 203.03 3.15 -0.41 -0.01 0.24 1 -2.365 4670.487
