Navio: Suezmax L280B50T17
Cenário: NE Forte - pos2035 - 1
Manobra: Entrada
Corrente: 0.4 kn N 
Vento: 15 kn NE 
Onda: 1.0m 8s E 

time_stamp zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target
0.0 -166.0 3.6 -0.51 0.0 -0.0 0 36.907 3230.095
0.1 -166.0 3.6 -0.51 0.0 0.0 1 36.956 3229.737
0.2 -166.0 3.6 -0.51 0.0 0.0 1 37.015 3229.381
0.3 -166.0 3.6 -0.51 0.0 0.0 1 37.064 3229.023
0.4 -166.0 3.6 -0.51 0.0 0.0 1 37.116 3228.655
0.5 -166.0 3.6 -0.51 0.0 0.0 1 37.165 3228.297
0.6 -166.0 3.6 -0.51 0.0 0.0 1 37.224 3227.941
0.7 -166.0 3.6 -0.51 0.0 0.0 1 37.273 3227.583
0.8 -166.0 3.6 -0.51 0.01 0.0 1 37.323 3227.225
0.9 -166.0 3.6 -0.51 0.01 0.0 1 37.372 3226.867
1.0 -165.99 3.6 -0.51 0.01 0.0 1 37.431 3226.511
1.1 -165.99 3.6 -0.5 0.01 0.0 1 37.48 3226.153
1.2 -165.99 3.6 -0.5 0.01 0.0 1 37.529 3225.795
1.3 -165.99 3.6 -0.5 0.01 0.0 1 37.581 3225.427
1.4 -165.99 3.6 -0.5 0.01 0.0 1 37.63 3225.069
1.5 -165.99 3.59 -0.5 0.01 0.0 1 37.679 3224.711
1.6 -165.99 3.59 -0.5 0.01 0.0 1 37.738 3224.355
1.7 -165.99 3.59 -0.5 0.01 0.0 1 37.788 3223.997
1.8 -165.99 3.59 -0.5 0.01 0.0 1 37.837 3223.639
1.9 -165.99 3.59 -0.5 0.01 0.0 1 37.886 3223.281
2.0 -165.99 3.59 -0.5 0.01 0.0 1 37.935 3222.923
2.1 -165.98 3.59 -0.5 0.01 0.0 1 37.985 3222.564
2.2 -165.98 3.59 -0.5 0.01 0.0 1 38.034 3222.206
2.3 -165.98 3.59 -0.5 0.01 0.0 1 38.093 3221.851
2.4 -165.98 3.59 -0.5 0.01 0.0 1 38.142 3221.493
2.5 -165.98 3.59 -0.5 0.01 0.0 1 38.194 3221.125
2.6 -165.98 3.59 -0.5 0.01 0.0 1 38.243 3220.767
2.7 -165.98 3.59 -0.49 0.02 0.0 1 38.292 3220.408
2.8 -165.97 3.59 -0.49 0.02 0.0 1 38.342 3220.05
2.9 -165.97 3.59 -0.49 0.02 0.0 1 38.391 3219.692
3.0 -165.97 3.59 -0.49 0.02 0.0 1 38.44 3219.334
3.1 -165.97 3.59 -0.49 0.02 0.0 1 38.489 3218.976
3.2 -165.97 3.59 -0.49 0.02 0.0 1 38.539 3218.618
3.3 -165.97 3.59 -0.49 0.02 0.0 1 38.598 3218.262
3.4 -165.96 3.59 -0.49 0.02 0.0 1 38.647 3217.904
3.5 -165.96 3.59 -0.49 0.02 0.0 1 38.696 3217.546
3.6 -165.96 3.59 -0.49 0.02 0.0 1 38.745 3217.188
3.7 -165.96 3.59 -0.49 0.02 0.0 1 38.795 3216.83
3.8 -165.96 3.59 -0.49 0.02 0.0 1 38.844 3216.472
3.9 -165.95 3.59 -0.49 0.02 0.0 1 38.893 3216.113
4.0 -165.95 3.59 -0.49 0.02 0.0 1 38.942 3215.755
4.1 -165.95 3.59 -0.49 0.02 0.0 1 38.992 3215.397
4.2 -165.95 3.59 -0.49 0.02 0.0 1 39.041 3215.039
4.3 -165.95 3.59 -0.49 0.02 0.0 1 39.09 3214.681
4.4 -165.94 3.59 -0.49 0.02 0.0 1 39.139 3214.323
4.5 -165.94 3.59 -0.49 0.02 0.0 1 39.189 3213.965
4.6 -165.94 3.59 -0.49 0.02 0.0 1 39.238 3213.607
4.7 -165.94 3.59 -0.49 0.03 0.0 1 39.287 3213.248
4.8 -165.93 3.59 -0.49 0.03 0.0 1 39.336 3212.89
4.9 -165.93 3.59 -0.49 0.03 0.0 1 39.386 3212.532
5.0 -165.93 3.59 -0.49 0.03 0.0 1 39.435 3212.174
5.1 -165.93 3.59 -0.49 0.03 0.0 1 39.484 3211.816
5.2 -165.92 3.59 -0.49 0.03 0.0 1 39.533 3211.458
5.3 -165.92 3.59 -0.49 0.03 0.0 1 39.583 3211.1
5.4 -165.92 3.59 -0.49 0.03 0.0 1 39.632 3210.742
5.5 -165.91 3.59 -0.48 0.03 0.0 1 39.681 3210.383
5.6 -165.91 3.59 -0.48 0.03 0.0 1 39.73 3210.025
5.7 -165.91 3.59 -0.48 0.03 0.0 1 39.78 3209.667
5.8 -165.91 3.59 -0.48 0.03 0.0 1 39.829 3209.309
5.9 -165.9 3.59 -0.48 0.03 0.0 1 39.878 3208.951
6.0 -165.9 3.59 -0.48 0.03 0.0 1 39.928 3208.593
6.1 -165.9 3.59 -0.48 0.03 0.0 1 39.977 3208.235
6.2 -165.89 3.59 -0.48 0.03 0.0 1 40.026 3207.877
6.3 -165.89 3.59 -0.48 0.03 0.0 1 40.075 3207.519
6.4 -165.89 3.59 -0.48 0.03 0.0 1 40.125 3207.16
6.5 -165.88 3.59 -0.48 0.03 0.0 1 40.174 3206.802
6.6 -165.88 3.59 -0.48 0.03 0.0 1 40.211 3206.451
6.7 -165.88 3.59 -0.48 0.03 0.07 1 40.26 3206.093
6.8 -165.87 3.59 -0.48 0.03 0.07 1 40.309 3205.735
6.9 -165.87 3.58 -0.48 0.04 0.07 1 40.359 3205.377
7.0 -165.87 3.58 -0.48 0.04 0.07 1 40.408 3205.019
7.1 -165.86 3.58 -0.48 0.04 0.11 1 40.457 3204.661
7.2 -165.86 3.58 -0.48 0.04 0.11 1 40.506 3204.303
7.3 -165.85 3.58 -0.48 0.04 0.11 1 40.556 3203.945
7.4 -165.85 3.58 -0.48 0.04 0.11 1 40.605 3203.586
7.5 -165.85 3.58 -0.48 0.04 0.17 1 40.654 3203.228
7.6 -165.84 3.58 -0.48 0.04 0.17 1 40.703 3202.87
7.7 -165.84 3.58 -0.48 0.04 0.17 1 40.743 3202.51
7.8 -165.84 3.58 -0.48 0.04 0.17 1 40.792 3202.152
7.9 -165.83 3.58 -0.48 0.04 0.17 1 40.842 3201.793
8.0 -165.83 3.58 -0.48 0.04 0.17 1 40.888 3201.445
8.1 -165.82 3.58 -0.48 0.04 0.17 1 40.938 3201.087
8.2 -165.82 3.58 -0.48 0.04 0.17 1 40.987 3200.729
8.3 -165.82 3.58 -0.48 0.04 0.17 1 41.036 3200.371
8.4 -165.81 3.58 -0.48 0.04 0.17 1 41.076 3200.01
8.5 -165.81 3.58 -0.48 0.04 0.17 1 41.125 3199.652
8.6 -165.8 3.58 -0.48 0.04 0.17 1 41.174 3199.294
8.7 -165.8 3.58 -0.47 0.04 0.19 1 41.223 3198.936
8.8 -165.8 3.58 -0.47 0.04 0.19 1 41.273 3198.578
8.9 -165.79 3.58 -0.47 0.04 0.19 1 41.312 3198.217
9.0 -165.79 3.58 -0.47 0.04 0.19 1 41.359 3197.869
9.1 -165.78 3.58 -0.47 0.04 0.19 1 41.408 3197.511
9.2 -165.78 3.58 -0.47 0.04 0.19 1 41.458 3197.152
9.3 -165.77 3.58 -0.47 0.04 0.19 1 41.507 3196.794
9.4 -165.77 3.58 -0.47 0.04 0.19 1 41.546 3196.434
9.5 -165.77 3.58 -0.47 0.04 0.18 1 41.596 3196.076
9.6 -165.76 3.58 -0.47 0.04 0.18 1 41.645 3195.718
9.7 -165.76 3.58 -0.47 0.05 0.18 1 41.692 3195.369
9.8 -165.75 3.58 -0.47 0.05 0.18 1 41.731 3195.008
9.9 -165.75 3.58 -0.47 0.05 0.18 1 41.781 3194.65
10.0 -165.74 3.58 -0.47 0.05 0.18 1 41.83 3194.292
10.1 -165.74 3.58 -0.47 0.05 0.18 1 41.879 3193.934
10.2 -165.73 3.58 -0.47 0.05 0.18 1 41.919 3193.574
10.3 -165.73 3.58 -0.47 0.05 0.18 1 41.968 3193.215
10.4 -165.72 3.58 -0.47 0.05 0.18 1 42.015 3192.867
10.5 -165.72 3.58 -0.47 0.05 0.18 1 42.064 3192.509
10.6 -165.71 3.58 -0.47 0.05 0.18 1 42.103 3192.148
10.7 -165.71 3.58 -0.47 0.05 0.17 1 42.153 3191.79
10.8 -165.7 3.58 -0.47 0.05 0.17 1 42.202 3191.432
10.9 -165.7 3.58 -0.46 0.05 0.17 1 42.239 3191.081
11.0 -165.69 3.58 -0.46 0.05 0.17 1 42.288 3190.723
11.1 -165.69 3.58 -0.46 0.05 0.17 1 42.338 3190.365
11.2 -165.68 3.58 -0.46 0.05 0.17 1 42.377 3190.004
11.3 -165.68 3.58 -0.46 0.05 0.17 1 42.426 3189.646
11.4 -165.68 3.58 -0.46 0.05 0.17 1 42.476 3189.288
11.5 -165.67 3.58 -0.46 0.05 0.17 1 42.513 3188.937
11.6 -165.66 3.58 -0.46 0.05 0.17 1 42.562 3188.579
11.7 -165.66 3.58 -0.46 0.05 0.17 1 42.602 3188.219
11.8 -165.65 3.58 -0.46 0.05 0.17 1 42.651 3187.861
11.9 -165.65 3.58 -0.46 0.05 0.17 1 42.7 3187.502
12.0 -165.64 3.58 -0.46 0.05 0.17 1 42.737 3187.151
12.1 -165.64 3.58 -0.46 0.05 0.17 1 42.786 3186.793
12.2 -165.63 3.58 -0.46 0.05 0.17 1 42.826 3186.433
12.3 -165.63 3.58 -0.46 0.05 0.17 1 42.875 3186.075
12.4 -165.62 3.58 -0.46 0.05 0.17 1 42.915 3185.714
12.5 -165.62 3.58 -0.46 0.05 0.17 1 42.962 3185.366
12.6 -165.61 3.58 -0.46 0.05 0.17 1 43.011 3185.008
12.7 -165.61 3.58 -0.46 0.05 0.17 1 43.05 3184.647
12.8 -165.6 3.58 -0.46 0.05 0.17 1 43.1 3184.289
12.9 -165.6 3.58 -0.46 0.05 0.17 1 43.139 3183.928
13.0 -165.59 3.58 -0.46 0.05 0.17 1 43.186 3183.58
13.1 -165.59 3.58 -0.45 0.05 0.22 1 43.226 3183.219
13.2 -165.58 3.58 -0.45 0.05 0.22 1 43.275 3182.861
13.3 -165.58 3.58 -0.45 0.05 0.22 1 43.314 3182.501
13.4 -165.57 3.58 -0.45 0.05 0.22 1 43.364 3182.142
13.5 -165.56 3.58 -0.45 0.05 0.31 1 43.401 3181.792
13.6 -165.56 3.58 -0.45 0.06 0.31 1 43.45 3181.433
13.7 -165.55 3.58 -0.45 0.06 0.31 1 43.49 3181.073
13.8 -165.55 3.58 -0.45 0.06 0.31 1 43.529 3180.712
13.9 -165.54 3.58 -0.45 0.06 0.31 1 43.576 3180.364
14.0 -165.54 3.58 -0.45 0.06 0.31 1 43.616 3180.003
14.1 -165.53 3.58 -0.45 0.06 0.31 1 43.665 3179.645
14.2 -165.53 3.58 -0.45 0.06 0.31 1 43.704 3179.284
14.3 -165.52 3.58 -0.45 0.06 0.32 1 43.751 3178.936
14.4 -165.51 3.58 -0.45 0.06 0.32 1 43.791 3178.575
14.5 -165.51 3.58 -0.45 0.06 0.32 1 43.83 3178.215
14.6 -165.5 3.58 -0.45 0.06 0.32 1 43.88 3177.857
14.7 -165.5 3.58 -0.45 0.06 0.33 1 43.917 3177.506
14.8 -165.49 3.58 -0.45 0.06 0.33 1 43.966 3177.148
14.9 -165.49 3.57 -0.45 0.06 0.33 1 44.006 3176.787
15.0 -165.48 3.57 -0.45 0.06 0.33 1 44.045 3176.427
15.1 -165.47 3.57 -0.45 0.06 0.35 1 44.092 3176.078
15.2 -165.47 3.57 -0.45 0.06 0.35 1 44.131 3175.718
15.3 -165.46 3.57 -0.45 0.06 0.35 1 44.171 3175.357
15.4 -165.46 3.57 -0.45 0.06 0.35 1 44.22 3174.999
15.5 -165.45 3.57 -0.45 0.06 0.35 1 44.257 3174.648
15.6 -165.44 3.57 -0.44 0.06 0.35 1 44.297 3174.287
15.7 -165.44 3.57 -0.44 0.06 0.35 1 44.346 3173.929
15.8 -165.43 3.57 -0.44 0.06 0.35 1 44.383 3173.578
15.9 -165.43 3.57 -0.44 0.06 0.35 1 44.423 3173.218
16.0 -165.42 3.57 -0.44 0.06 0.35 1 44.472 3172.86
