Navio: Suezmax L280B50T17
Cenário: NE Forte - pos2035 - 2
Manobra: Entrada
Corrente: 0.4 kn N 
Vento: 15 kn NE 
Onda: 1.0m 8s E 

zz vx vy vzz rudder_demanded propeller_demanded distance_port distance_starboard distance_target
-170.0 3.6 0.51 -0.0 0.0 0 92.394 92.422 3485.745
-170.0 3.6 0.51 -0.0 0.0 0 92.373 92.443 3485.379
-170.0 3.6 0.51 -0.0 0.0 0 92.34 92.476 3485.02
-170.0 3.6 0.51 -0.01 0.0 0 92.319 92.497 3484.654
-170.0 3.6 0.5 -0.01 0.0 0 92.295 92.521 3484.297
-170.0 3.6 0.5 -0.01 0.0 0 92.274 92.542 3483.931
-170.0 3.6 0.5 -0.01 0.0 0 92.243 92.573 3483.562
-170.0 3.6 0.5 -0.01 0.0 0 92.22 92.596 3483.205
-170.0 3.6 0.5 -0.01 0.0 0 92.198 92.617 3482.839
-170.0 3.6 0.5 -0.01 0.0 0 92.175 92.641 3482.482
-170.01 3.6 0.49 -0.01 0.0 0 92.13 92.638 3482.116
-170.01 3.6 0.49 -0.02 0.0 0 92.106 92.661 3481.76
-170.01 3.6 0.49 -0.02 0.0 0 92.085 92.682 3481.393
-170.01 3.6 0.49 -0.02 0.0 0 92.064 92.703 3481.027
-170.01 3.6 0.49 -0.02 0.0 0 92.041 92.727 3480.67
-170.01 3.6 0.48 -0.02 0.0 0 92.02 92.748 3480.304
-170.02 3.6 0.48 -0.02 0.0 0 91.972 92.747 3479.947
-170.02 3.6 0.48 -0.02 0.0 0 91.951 92.768 3479.581
-170.02 3.6 0.48 -0.02 0.0 0 91.927 92.792 3479.224
-170.02 3.6 0.48 -0.02 0.0 0 91.906 92.813 3478.858
-170.03 3.59 0.48 -0.03 0.0 0 91.861 92.81 3478.492
-170.03 3.59 0.48 -0.03 0.0 0 91.838 92.834 3478.135
-170.03 3.59 0.47 -0.03 0.0 0 91.817 92.855 3477.769
-170.03 3.59 0.47 -0.03 0.0 0 91.793 92.878 3477.412
-170.04 3.59 0.47 -0.03 0.0 0 91.748 92.875 3477.046
-170.04 3.59 0.47 -0.03 0.0 0 91.725 92.899 3476.689
-170.04 3.59 0.47 -0.03 0.0 0 91.704 92.92 3476.323
-170.05 3.59 0.47 -0.03 0.0 0 91.668 92.907 3475.959
-170.05 3.59 0.47 -0.03 0.0 0 91.645 92.931 3475.603
-170.05 3.59 0.47 -0.04 0.0 0 91.624 92.952 3475.236
-170.06 3.59 0.47 -0.04 0.0 0 91.576 92.951 3474.88
-170.06 3.59 0.46 -0.04 0.0 0 91.555 92.972 3474.513
-170.07 3.59 0.46 -0.04 0.0 0 91.52 92.96 3474.15
-170.07 3.59 0.46 -0.04 0.0 0 91.496 92.983 3473.793
-170.07 3.59 0.46 -0.04 0.0 0 91.475 93.004 3473.427
-170.08 3.59 0.46 -0.04 0.0 0 91.428 93.004 3473.07
-170.08 3.59 0.46 -0.04 0.0 0 91.416 93.015 3472.706
-170.09 3.59 0.46 -0.04 0.0 0 91.371 93.012 3472.34
-170.09 3.59 0.46 -0.05 0.0 0 91.348 93.036 3471.983
-170.1 3.59 0.46 -0.05 0.0 0 91.312 93.023 3471.619
-170.1 3.59 0.46 -0.05 0.0 0 91.289 93.047 3471.263
-170.1 3.59 0.46 -0.05 0.0 0 91.268 93.068 3470.897
-170.11 3.59 0.45 -0.05 0.0 0 91.23 93.057 3470.542
-170.11 3.59 0.45 -0.05 0.0 0 91.209 93.078 3470.176
-170.12 3.59 0.45 -0.05 0.0 0 91.164 93.076 3469.81
-170.13 3.59 0.45 -0.05 0.0 0 91.126 93.065 3469.456
-170.13 3.59 0.45 -0.05 0.0 1 91.105 93.086 3469.089
-170.14 3.59 0.45 -0.05 0.0 1 91.058 93.086 3468.733
-170.14 3.59 0.45 -0.06 0.0 1 91.046 93.097 3468.369
-170.15 3.59 0.45 -0.06 0.0 1 91.001 93.095 3468.003
-170.15 3.59 0.45 -0.06 0.0 1 90.987 93.108 3467.648
-170.16 3.59 0.45 -0.06 0.0 1 90.942 93.105 3467.282
-170.16 3.59 0.45 -0.06 0.0 1 90.928 93.119 3466.928
-170.17 3.59 0.45 -0.06 0.0 1 90.883 93.116 3466.562
-170.18 3.59 0.45 -0.06 0.0 1 90.848 93.104 3466.198
-170.18 3.59 0.45 -0.06 0.0 1 90.825 93.127 3465.841
-170.19 3.59 0.44 -0.06 0.0 1 90.789 93.115 3465.477
-170.2 3.59 0.44 -0.06 0.0 1 90.742 93.114 3465.121
-170.2 3.59 0.44 -0.07 0.0 1 90.73 93.126 3464.757
-170.21 3.59 0.44 -0.07 0.0 1 90.685 93.123 3464.391
-170.22 3.59 0.44 -0.07 0.0 1 90.648 93.113 3464.036
-170.22 3.59 0.44 -0.07 0.0 1 90.627 93.134 3463.67
-170.23 3.59 0.44 -0.07 0.0 1 90.591 93.121 3463.306
-170.24 3.59 0.44 -0.07 0.0 1 90.544 93.121 3462.95
-170.24 3.59 0.44 -0.07 0.0 1 90.532 93.132 3462.586
-170.25 3.59 0.44 -0.07 0.0 1 90.485 93.131 3462.229
-170.26 3.59 0.44 -0.07 0.0 1 90.45 93.119 3461.865
-170.27 3.59 0.44 -0.07 0.0 1 90.414 93.106 3461.502
-170.27 3.59 0.44 -0.07 0.0 1 90.391 93.13 3461.145
-170.28 3.59 0.44 -0.08 0.0 1 90.355 93.117 3460.781
-170.29 3.59 0.44 -0.08 0.0 1 90.318 93.107 3460.427
-170.3 3.59 0.44 -0.08 0.0 1 90.273 93.104 3460.061
-170.3 3.59 0.43 -0.08 0.0 1 90.261 93.116 3459.697
-170.31 3.59 0.43 -0.08 0.0 1 90.224 93.106 3459.343
-170.32 3.59 0.43 -0.08 0.0 1 90.179 93.103 3458.976
-170.33 3.59 0.43 -0.08 0.0 1 90.143 93.09 3458.613
-170.34 3.59 0.43 -0.08 0.0 1 90.106 93.08 3458.258
-170.34 3.59 0.43 -0.08 0.0 1 90.084 93.101 3457.892
-170.35 3.59 0.43 -0.08 0.0 1 90.047 93.091 3457.538
-170.36 3.59 0.43 -0.08 0.0 1 90.011 93.078 3457.174
-170.37 3.59 0.43 -0.09 0.0 1 89.976 93.066 3456.81
-170.38 3.59 0.43 -0.09 0.0 1 89.929 93.065 3456.454
-170.39 3.59 0.43 -0.09 0.0 1 89.893 93.053 3456.09
-170.39 3.59 0.43 -0.09 0.0 1 89.882 93.064 3455.726
-170.4 3.58 0.43 -0.09 0.0 1 89.844 93.054 3455.372
-170.41 3.58 0.42 -0.09 0.0 1 89.809 93.041 3455.008
-170.42 3.58 0.42 -0.09 -0.02 1 89.774 93.029 3454.644
-170.43 3.58 0.42 -0.09 -0.02 1 89.726 93.029 3454.288
-170.44 3.58 0.42 -0.09 -0.02 1 89.691 93.016 3453.924
-170.45 3.58 0.42 -0.09 -0.02 1 89.653 93.006 3453.57
-170.46 3.58 0.42 -0.09 -0.03 1 89.618 92.993 3453.206
-170.47 3.58 0.42 -0.09 -0.03 1 89.583 92.981 3452.842
-170.48 3.58 0.42 -0.1 -0.03 1 89.545 92.971 3452.488
-170.49 3.58 0.42 -0.1 -0.03 1 89.51 92.958 3452.124
-170.5 3.58 0.42 -0.1 -0.24 1 89.474 92.946 3451.76
-170.51 3.58 0.42 -0.1 -0.24 1 89.437 92.935 3451.406
-170.52 3.58 0.41 -0.1 -0.24 1 89.401 92.923 3451.042
-170.53 3.58 0.41 -0.1 -0.24 1 89.366 92.91 3450.678
-170.54 3.58 0.41 -0.1 -0.46 1 89.328 92.9 3450.324
-170.55 3.58 0.41 -0.1 -0.46 1 89.293 92.888 3449.96
-170.56 3.58 0.41 -0.1 -0.46 1 89.258 92.875 3449.596
-170.57 3.58 0.41 -0.1 -0.46 1 89.22 92.865 3449.242
-170.58 3.58 0.41 -0.1 -0.54 1 89.185 92.853 3448.878
-170.59 3.58 0.41 -0.1 -0.54 1 89.15 92.84 3448.515
-170.6 3.58 0.41 -0.1 -0.54 1 89.112 92.83 3448.16
-170.61 3.58 0.41 -0.1 -0.54 1 89.077 92.817 3447.797
-170.62 3.58 0.4 -0.11 -0.54 1 89.051 92.795 3447.435
-170.63 3.58 0.4 -0.11 -0.54 1 89.013 92.785 3447.081
-170.64 3.58 0.4 -0.11 -0.54 1 88.978 92.773 3446.717
-170.65 3.58 0.4 -0.11 -0.54 1 88.943 92.76 3446.353
-170.66 3.58 0.4 -0.11 -0.57 1 88.905 92.75 3445.999
-170.67 3.58 0.4 -0.11 -0.57 1 88.88 92.728 3445.638
-170.68 3.58 0.4 -0.11 -0.57 1 88.844 92.715 3445.274
-170.69 3.58 0.4 -0.11 -0.57 1 88.807 92.705 3444.92
-170.7 3.58 0.4 -0.11 -0.59 1 88.771 92.693 3444.556
-170.71 3.58 0.4 -0.11 -0.59 1 88.746 92.67 3444.195
-170.73 3.58 0.39 -0.11 -0.59 1 88.684 92.637 3443.84
-170.74 3.58 0.39 -0.11 -0.59 1 88.649 92.624 3443.477
-170.75 3.58 0.39 -0.11 -0.59 1 88.623 92.602 3443.115
-170.76 3.58 0.39 -0.11 -0.59 1 88.586 92.592 3442.761
-170.77 3.58 0.39 -0.11 -0.59 1 88.56 92.57 3442.4
-170.78 3.58 0.39 -0.11 -0.59 1 88.525 92.557 3442.036
-170.79 3.58 0.39 -0.12 -0.59 1 88.487 92.547 3441.682
-170.81 3.58 0.39 -0.12 -0.59 1 88.438 92.501 3441.32
-170.82 3.58 0.39 -0.12 -0.59 1 88.403 92.488 3440.956
-170.83 3.58 0.39 -0.12 -0.59 1 88.375 92.469 3440.605
-170.84 3.57 0.38 -0.12 -0.59 1 88.339 92.456 3440.241
-170.85 3.57 0.38 -0.12 -0.59 1 88.314 92.434 3439.88
-170.86 3.57 0.38 -0.12 -0.59 1 88.278 92.421 3439.516
-170.88 3.57 0.38 -0.12 -0.59 1 88.227 92.378 3439.164
-170.89 3.57 0.38 -0.12 -0.59 1 88.201 92.356 3438.803
-170.9 3.57 0.38 -0.12 -0.59 1 88.166 92.343 3438.439
-170.91 3.57 0.38 -0.12 -0.59 1 88.138 92.323 3438.087
-170.92 3.57 0.38 -0.12 -0.59 1 88.103 92.311 3437.723
-170.94 3.57 0.38 -0.12 -0.57 1 88.053 92.265 3437.362
-170.95 3.57 0.38 -0.12 -0.57 1 88.025 92.245 3437.01
-170.96 3.57 0.38 -0.12 -0.57 1 87.99 92.233 3436.646
-170.97 3.57 0.37 -0.12 -0.57 1 87.965 92.21 3436.285
-170.99 3.57 0.37 -0.12 -0.57 1 87.913 92.167 3435.933
-171.0 3.57 0.37 -0.12 -0.57 1 87.878 92.154 3435.569
-171.01 3.57 0.37 -0.13 -0.57 1 87.852 92.132 3435.208
-171.02 3.57 0.37 -0.13 -0.57 1 87.824 92.112 3434.856
-171.04 3.57 0.37 -0.13 -0.59 1 87.775 92.066 3434.495
-171.05 3.57 0.37 -0.13 -0.59 1 87.739 92.054 3434.131
-171.06 3.57 0.37 -0.13 -0.59 1 87.714 92.032 3433.77
-171.07 3.57 0.37 -0.13 -0.59 1 87.686 92.012 3433.418
-171.09 3.57 0.37 -0.13 -0.59 1 87.637 91.966 3433.057
-171.1 3.57 0.37 -0.13 -0.59 1 87.611 91.944 3432.695
-171.11 3.57 0.37 -0.13 -0.59 1 87.583 91.924 3432.344
-171.13 3.57 0.37 -0.13 -0.59 1 87.524 91.888 3431.98
-171.14 3.57 0.36 -0.13 -0.59 1 87.499 91.866 3431.618
-171.15 3.57 0.36 -0.13 -0.59 1 87.471 91.846 3431.267
-171.16 3.57 0.36 -0.13 -0.59 1 87.445 91.824 3430.905
-171.18 3.57 0.36 -0.13 -0.59 1 87.396 91.778 3430.544
-171.19 3.57 0.36 -0.13 -0.57 1 87.37 91.756 3430.183
-171.2 3.57 0.36 -0.13 -0.57 1 87.342 91.736 3429.831
-171.22 3.57 0.36 -0.13 -0.57 1 87.293 91.69 3429.469
-171.23 3.57 0.36 -0.13 -0.57 1 87.268 91.668 3429.108
-171.24 3.57 0.36 -0.13 -0.53 1 87.242 91.646 3428.747
-171.26 3.57 0.36 -0.13 -0.53 1 87.19 91.602 3428.395
-171.27 3.57 0.36 -0.13 -0.53 1 87.165 91.58 3428.034
-171.28 3.57 0.36 -0.13 -0.53 1 87.139 91.558 3427.672
-171.3 3.57 0.36 -0.13 -0.53 1 87.088 91.514 3427.321
-171.31 3.57 0.36 -0.14 -0.53 1 87.062 91.492 3426.959
-171.32 3.57 0.36 -0.14 -0.53 1 87.037 91.47 3426.598
-171.34 3.57 0.36 -0.14 -0.53 1 86.987 91.424 3426.236
-171.35 3.57 0.36 -0.14 -0.53 1 86.959 91.404 3425.885
-171.37 3.57 0.36 -0.14 -0.53 1 86.91 91.358 3425.523
-171.38 3.57 0.36 -0.14 -0.53 1 86.894 91.327 3425.164
-171.39 3.57 0.36 -0.14 -0.53 1 86.869 91.304 3424.803
-171.41 3.57 0.35 -0.14 -0.53 2 86.82 91.259 3424.442
-171.42 3.57 0.35 -0.14 -0.53 2 86.792 91.239 3424.09
-171.43 3.57 0.35 -0.14 -0.53 2 86.766 91.217 3423.729
-171.45 3.57 0.35 -0.14 -0.53 2 86.717 91.171 3423.367
-171.46 3.57 0.35 -0.14 -0.53 2 86.701 91.139 3423.008
-171.48 3.57 0.35 -0.14 -0.53 2 86.649 91.096 3422.657
-171.49 3.57 0.35 -0.14 -0.53 2 86.624 91.073 3422.295
-171.5 3.57 0.35 -0.14 -0.53 2 86.598 91.051 3421.934
-171.52 3.57 0.35 -0.14 -0.53 2 86.559 90.996 3421.575
-171.53 3.57 0.35 -0.14 -0.53 2 86.533 90.974 3421.213
-171.55 3.57 0.35 -0.14 -0.53 2 86.482 90.93 3420.862
-171.56 3.57 0.35 -0.14 -0.53 2 86.456 90.908 3420.5
-171.57 3.57 0.35 -0.14 -0.49 2 86.44 90.876 3420.141
-171.59 3.57 0.35 -0.14 -0.49 2 86.391 90.83 3419.78
-171.6 3.57 0.35 -0.14 -0.49 2 86.363 90.811 3419.428
-171.62 3.57 0.35 -0.14 -0.49 2 86.324 90.755 3419.069
-171.63 3.57 0.35 -0.14 -0.49 2 86.298 90.733 3418.708
-171.65 3.57 0.35 -0.14 -0.49 2 86.249 90.687 3418.347
-171.66 3.57 0.35 -0.14 -0.49 2 86.233 90.655 3417.988
-171.68 3.57 0.35 -0.14 -0.49 2 86.184 90.609 3417.626
-171.69 3.57 0.35 -0.14 -0.46 2 86.156 90.59 3417.275
-171.7 3.57 0.35 -0.15 -0.46 2 86.141 90.558 3416.916
-171.72 3.57 0.35 -0.15 -0.46 2 86.091 90.512 3416.554
-171.73 3.57 0.35 -0.15 -0.46 2 86.076 90.48 3416.195
-171.75 3.57 0.35 -0.15 -0.46 2 86.026 90.434 3415.834
-171.76 3.57 0.35 -0.15 -0.46 2 86.008 90.405 3415.485
-171.78 3.57 0.34 -0.15 -0.46 2 85.959 90.359 3415.123
-171.79 3.57 0.34 -0.15 -0.46 2 85.943 90.327 3414.765
-171.81 3.57 0.34 -0.15 -0.44 2 85.894 90.282 3414.403
-171.82 3.57 0.34 -0.15 -0.44 2 85.878 90.25 3414.044
-171.84 3.57 0.34 -0.15 -0.44 2 85.827 90.206 3413.693
-171.85 3.57 0.34 -0.15 -0.44 2 85.811 90.175 3413.334
-171.87 3.57 0.34 -0.15 -0.43 2 85.762 90.129 3412.972
