Navio: Suezmax L280B50T17
Cenário: SE Forte - pos2035 - 2
Manobra: Entrada
Corrente: 0.8 kn N 
Vento: 15 kn SSE 
Onda: 1.7m 10s SE 

time_stamp zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target
0.0 -165.92 3.6 -0.0 -0.0 -0.0 0 3.37 3776.026
0.1 -165.92 3.6 -0.0 -0.0 0.0 0 3.368 3775.665
0.2 -165.92 3.6 -0.0 -0.0 0.0 0 3.366 3775.303
0.3 -165.92 3.6 -0.0 -0.0 0.0 0 3.374 3774.944
0.4 -165.92 3.6 -0.0 -0.0 0.0 0 3.373 3774.583
0.5 -165.92 3.6 -0.01 -0.0 0.0 0 3.371 3774.222
0.6 -165.92 3.6 -0.01 -0.0 0.0 0 3.367 3773.87
0.7 -165.92 3.6 -0.01 -0.01 0.0 0 3.375 3773.511
0.8 -165.92 3.6 -0.01 -0.01 0.0 0 3.373 3773.15
0.9 -165.92 3.6 -0.01 -0.01 0.0 0 3.371 3772.788
1.0 -165.92 3.6 -0.01 -0.01 0.0 0 3.38 3772.429
1.1 -165.92 3.6 -0.01 -0.01 0.0 0 3.378 3772.068
1.2 -165.92 3.6 -0.01 -0.01 0.0 0 3.386 3771.709
1.3 -165.92 3.6 -0.01 -0.01 0.0 0 3.384 3771.348
1.4 -165.92 3.59 -0.01 -0.01 0.0 0 3.383 3770.986
1.5 -165.92 3.59 -0.01 -0.01 0.0 0 3.391 3770.627
1.6 -165.93 3.59 -0.02 -0.01 0.0 0 3.386 3770.276
1.7 -165.93 3.59 -0.02 -0.01 0.0 0 3.394 3769.917
1.8 -165.93 3.59 -0.02 -0.01 0.0 0 3.393 3769.555
1.9 -165.93 3.59 -0.02 -0.01 0.0 0 3.391 3769.194
2.0 -165.93 3.59 -0.02 -0.01 0.0 0 3.399 3768.835
2.1 -165.93 3.59 -0.02 -0.01 0.0 0 3.397 3768.474
2.2 -165.93 3.59 -0.02 -0.01 0.0 0 3.405 3768.115
2.3 -165.93 3.59 -0.02 -0.02 0.0 0 3.404 3767.753
2.4 -165.94 3.59 -0.02 -0.02 0.0 0 3.412 3767.395
2.5 -165.94 3.59 -0.02 -0.02 0.0 0 3.41 3767.033
2.6 -165.94 3.59 -0.02 -0.02 0.0 0 3.416 3766.684
2.7 -165.94 3.59 -0.02 -0.02 0.0 0 3.414 3766.323
2.8 -165.94 3.59 -0.02 -0.02 0.0 0 3.422 3765.964
2.9 -165.94 3.59 -0.02 -0.02 0.0 1 3.42 3765.602
3.0 -165.95 3.59 -0.02 -0.02 0.0 1 3.428 3765.243
3.1 -165.95 3.59 -0.03 -0.02 0.0 1 3.427 3764.882
3.2 -165.95 3.59 -0.03 -0.02 0.0 1 3.435 3764.523
3.3 -165.95 3.59 -0.03 -0.02 0.0 1 3.433 3764.162
3.4 -165.95 3.59 -0.03 -0.02 0.0 1 3.441 3763.803
3.5 -165.96 3.59 -0.03 -0.02 0.0 1 3.439 3763.441
3.6 -165.96 3.59 -0.03 -0.02 0.0 1 3.445 3763.092
3.7 -165.96 3.59 -0.03 -0.02 0.0 1 3.443 3762.731
3.8 -165.96 3.59 -0.03 -0.02 0.0 1 3.451 3762.372
3.9 -165.97 3.59 -0.03 -0.02 0.0 1 3.45 3762.01
4.0 -165.97 3.59 -0.03 -0.02 0.0 1 3.458 3761.651
4.1 -165.97 3.59 -0.03 -0.03 0.0 1 3.466 3761.293
4.2 -165.97 3.59 -0.03 -0.03 0.0 1 3.464 3760.931
4.3 -165.98 3.59 -0.03 -0.03 0.0 1 3.472 3760.572
4.4 -165.98 3.59 -0.03 -0.03 0.0 1 3.47 3760.211
4.5 -165.98 3.59 -0.03 -0.03 0.0 1 3.479 3759.852
4.6 -165.98 3.59 -0.03 -0.03 0.0 1 3.484 3759.503
4.7 -165.99 3.59 -0.03 -0.03 0.0 1 3.482 3759.141
4.8 -165.99 3.59 -0.03 -0.03 0.0 1 3.49 3758.782
4.9 -165.99 3.59 -0.03 -0.03 0.0 1 3.498 3758.424
5.0 -166.0 3.59 -0.03 -0.03 0.0 1 3.497 3758.062
5.1 -166.0 3.59 -0.03 -0.03 0.0 1 3.505 3757.703
5.2 -166.0 3.59 -0.04 -0.03 0.0 1 3.513 3757.344
5.3 -166.01 3.59 -0.04 -0.03 0.0 2 3.511 3756.983
5.4 -166.01 3.59 -0.04 -0.03 0.0 2 3.519 3756.624
5.5 -166.01 3.59 -0.04 -0.03 0.0 2 3.527 3756.265
5.6 -166.02 3.59 -0.04 -0.03 0.0 2 3.523 3755.913
5.7 -166.02 3.59 -0.04 -0.03 0.0 2 3.531 3755.554
5.8 -166.02 3.59 -0.04 -0.03 0.0 2 3.539 3755.196
5.9 -166.03 3.59 -0.04 -0.03 0.0 2 3.537 3754.834
6.0 -166.03 3.59 -0.04 -0.04 0.0 2 3.546 3754.475
6.1 -166.03 3.59 -0.04 -0.04 0.0 2 3.554 3754.116
6.2 -166.04 3.59 -0.04 -0.04 0.0 2 3.562 3753.757
6.3 -166.04 3.59 -0.04 -0.04 0.0 2 3.56 3753.396
6.4 -166.04 3.59 -0.04 -0.04 0.0 2 3.568 3753.037
6.5 -166.05 3.59 -0.04 -0.04 0.0 2 3.576 3752.678
6.6 -166.05 3.59 -0.04 -0.04 0.0 2 3.572 3752.327
6.7 -166.05 3.59 -0.04 -0.04 0.0 2 3.58 3751.968
6.8 -166.06 3.59 -0.04 -0.04 0.0 2 3.588 3751.609
6.9 -166.06 3.59 -0.04 -0.04 0.0 2 3.596 3751.25
7.0 -166.07 3.59 -0.04 -0.04 -0.04 2 3.594 3750.888
7.1 -166.07 3.59 -0.04 -0.04 -0.04 2 3.602 3750.529
7.2 -166.07 3.59 -0.04 -0.04 -0.04 2 3.61 3750.171
7.3 -166.08 3.59 -0.04 -0.04 -0.04 2 3.618 3749.812
7.4 -166.08 3.59 -0.04 -0.04 -0.11 2 3.626 3749.453
7.5 -166.09 3.59 -0.04 -0.04 -0.11 2 3.625 3749.091
7.6 -166.09 3.59 -0.04 -0.04 -0.11 2 3.633 3748.732
7.7 -166.1 3.58 -0.05 -0.04 -0.11 2 3.638 3748.383
7.8 -166.1 3.58 -0.05 -0.04 -0.14 2 3.646 3748.024
7.9 -166.1 3.58 -0.05 -0.04 -0.14 2 3.654 3747.665
8.0 -166.11 3.58 -0.05 -0.04 -0.14 2 3.662 3747.306
8.1 -166.11 3.58 -0.05 -0.04 -0.14 2 3.661 3746.945
8.2 -166.12 3.58 -0.05 -0.05 -0.14 2 3.669 3746.586
8.3 -166.12 3.58 -0.05 -0.05 -0.14 2 3.677 3746.227
8.4 -166.13 3.58 -0.05 -0.05 -0.14 2 3.685 3745.868
8.5 -166.13 3.58 -0.05 -0.05 -0.14 2 3.693 3745.509
8.6 -166.14 3.58 -0.05 -0.05 -0.14 2 3.701 3745.151
8.7 -166.14 3.58 -0.05 -0.05 -0.14 2 3.709 3744.792
8.8 -166.15 3.58 -0.05 -0.05 -0.14 2 3.714 3744.442
8.9 -166.15 3.58 -0.05 -0.05 -0.14 2 3.722 3744.083
9.0 -166.16 3.58 -0.05 -0.05 -0.16 2 3.721 3743.722
9.1 -166.16 3.58 -0.05 -0.05 -0.16 2 3.729 3743.363
9.2 -166.17 3.58 -0.05 -0.05 -0.16 2 3.737 3743.004
9.3 -166.17 3.58 -0.05 -0.05 -0.16 2 3.745 3742.645
9.4 -166.18 3.58 -0.05 -0.05 -0.16 2 3.753 3742.286
9.5 -166.18 3.58 -0.05 -0.05 -0.16 2 3.761 3741.927
9.6 -166.19 3.58 -0.05 -0.05 -0.16 2 3.769 3741.569
9.7 -166.19 3.58 -0.05 -0.05 -0.16 2 3.777 3741.21
9.8 -166.2 3.58 -0.05 -0.05 -0.16 2 3.785 3740.851
9.9 -166.2 3.58 -0.05 -0.05 -0.16 2 3.791 3740.502
10.0 -166.21 3.58 -0.05 -0.05 -0.16 2 3.799 3740.143
10.1 -166.21 3.58 -0.05 -0.05 -0.16 2 3.807 3739.784
10.2 -166.22 3.58 -0.05 -0.05 -0.16 2 3.815 3739.425
10.3 -166.22 3.58 -0.05 -0.05 -0.16 2 3.823 3739.066
10.4 -166.23 3.57 -0.05 -0.05 -0.16 2 3.831 3738.707
10.5 -166.23 3.57 -0.05 -0.05 -0.16 2 3.839 3738.348
10.6 -166.24 3.57 -0.05 -0.05 -0.23 2 3.844 3737.999
10.7 -166.24 3.57 -0.05 -0.05 -0.23 2 3.852 3737.64
10.8 -166.25 3.57 -0.05 -0.05 -0.23 2 3.86 3737.281
10.9 -166.25 3.57 -0.06 -0.05 -0.23 2 3.868 3736.922
11.0 -166.26 3.57 -0.06 -0.06 -0.28 2 3.876 3736.563
11.1 -166.26 3.57 -0.06 -0.06 -0.28 2 3.882 3736.214
11.2 -166.27 3.56 -0.06 -0.06 -0.28 2 3.89 3735.855
11.3 -166.28 3.56 -0.06 -0.06 -0.28 2 3.898 3735.496
11.4 -166.28 3.56 -0.06 -0.06 -0.28 2 3.906 3735.137
11.5 -166.29 3.56 -0.06 -0.06 -0.28 2 3.921 3734.79
11.6 -166.29 3.56 -0.06 -0.06 -0.28 2 3.929 3734.432
11.7 -166.3 3.56 -0.06 -0.06 -0.28 2 3.937 3734.073
11.8 -166.3 3.56 -0.06 -0.06 -0.31 2 3.945 3733.714
11.9 -166.31 3.56 -0.07 -0.06 -0.31 2 3.951 3733.364
12.0 -166.32 3.56 -0.07 -0.06 -0.31 2 3.959 3733.006
12.1 -166.32 3.55 -0.07 -0.06 -0.31 2 3.977 3732.649
12.2 -166.33 3.55 -0.07 -0.06 -0.34 2 3.982 3732.3
12.3 -166.33 3.55 -0.07 -0.06 -0.34 2 3.99 3731.941
12.4 -166.34 3.55 -0.07 -0.06 -0.34 2 4.008 3731.585
12.5 -166.34 3.55 -0.07 -0.06 -0.34 2 4.014 3731.235
12.6 -166.35 3.55 -0.08 -0.06 -0.34 2 4.022 3730.876
12.7 -166.36 3.55 -0.08 -0.06 -0.34 2 4.039 3730.52
12.8 -166.36 3.55 -0.08 -0.06 -0.34 2 4.047 3730.161
12.9 -166.37 3.55 -0.08 -0.06 -0.34 2 4.053 3729.812
13.0 -166.37 3.55 -0.08 -0.06 -0.34 2 4.071 3729.455
13.1 -166.38 3.55 -0.08 -0.06 -0.34 2 4.079 3729.096
13.2 -166.39 3.55 -0.09 -0.06 -0.34 2 4.094 3728.75
13.3 -166.39 3.55 -0.09 -0.06 -0.34 2 4.102 3728.391
13.4 -166.4 3.55 -0.09 -0.06 -0.34 2 4.12 3728.034
13.5 -166.4 3.55 -0.09 -0.06 -0.34 2 4.128 3727.675
13.6 -166.41 3.55 -0.09 -0.06 -0.34 2 4.143 3727.329
13.7 -166.42 3.55 -0.1 -0.06 -0.34 2 4.151 3726.97
13.8 -166.42 3.55 -0.1 -0.06 -0.34 2 4.169 3726.613
13.9 -166.43 3.55 -0.1 -0.06 -0.34 2 4.184 3726.267
14.0 -166.44 3.55 -0.1 -0.06 -0.34 2 4.192 3725.908
14.1 -166.44 3.55 -0.1 -0.06 -0.34 2 4.21 3725.551
14.2 -166.45 3.55 -0.1 -0.06 -0.34 2 4.227 3725.195
14.3 -166.45 3.56 -0.1 -0.06 -0.34 2 4.235 3724.836
14.4 -166.46 3.56 -0.11 -0.06 -0.34 2 4.251 3724.489
14.5 -166.47 3.56 -0.11 -0.06 -0.34 2 4.268 3724.133
14.6 -166.47 3.56 -0.11 -0.06 -0.34 2 4.277 3723.774
14.7 -166.48 3.56 -0.11 -0.06 -0.34 2 4.294 3723.417
14.8 -166.49 3.56 -0.11 -0.06 -0.34 2 4.312 3723.061
14.9 -166.49 3.56 -0.11 -0.06 -0.34 2 4.33 3722.704
15.0 -166.5 3.56 -0.11 -0.06 -0.34 2 4.338 3722.346
15.1 -166.5 3.57 -0.11 -0.06 -0.34 2 4.355 3721.989
15.2 -166.51 3.57 -0.11 -0.06 -0.34 2 4.371 3721.642
15.3 -166.52 3.57 -0.11 -0.06 -0.34 2 4.388 3721.286
15.4 -166.52 3.57 -0.12 -0.06 -0.34 2 4.406 3720.929
15.5 -166.53 3.57 -0.12 -0.06 -0.34 2 4.414 3720.571
15.6 -166.54 3.57 -0.12 -0.06 -0.34 2 4.432 3720.214
15.7 -166.54 3.58 -0.12 -0.06 -0.34 2 4.45 3719.858
15.8 -166.55 3.58 -0.12 -0.06 -0.34 2 4.47 3719.492
15.9 -166.56 3.58 -0.12 -0.06 -0.34 2 4.487 3719.135
16.0 -166.56 3.58 -0.12 -0.06 -0.34 2 4.496 3718.776
16.1 -166.57 3.58 -0.12 -0.06 -0.34 2 4.513 3718.42
16.2 -166.57 3.58 -0.12 -0.06 -0.34 2 4.531 3718.063
16.3 -166.58 3.59 -0.12 -0.06 -0.34 2 4.549 3717.707
16.4 -166.59 3.59 -0.12 -0.06 -0.34 2 4.566 3717.35
16.5 -166.59 3.59 -0.12 -0.06 -0.34 2 4.574 3716.991
16.6 -166.6 3.59 -0.11 -0.06 -0.34 2 4.595 3716.625
16.7 -166.61 3.59 -0.11 -0.06 -0.34 2 4.612 3716.269
16.8 -166.61 3.6 -0.11 -0.06 -0.34 2 4.63 3715.912
16.9 -166.62 3.6 -0.11 -0.06 -0.34 2 4.648 3715.556
17.0 -166.63 3.6 -0.11 -0.06 -0.34 2 4.658 3715.187
17.1 -166.63 3.6 -0.11 -0.06 -0.34 2 4.676 3714.831
17.2 -166.64 3.6 -0.11 -0.06 -0.34 2 4.694 3714.475
17.3 -166.64 3.61 -0.11 -0.06 -0.34 2 4.714 3714.108
17.4 -166.65 3.61 -0.11 -0.06 -0.35 2 4.722 3713.75
17.5 -166.66 3.61 -0.11 -0.06 -0.35 2 4.74 3713.393
17.6 -166.66 3.61 -0.11 -0.06 -0.35 2 4.76 3713.027
17.7 -166.67 3.61 -0.1 -0.06 -0.35 2 4.768 3712.668
17.8 -166.68 3.61 -0.1 -0.06 -0.35 2 4.785 3712.312
17.9 -166.68 3.61 -0.1 -0.06 -0.35 2 4.806 3711.945
18.0 -166.69 3.62 -0.1 -0.06 -0.35 2 4.814 3711.587
18.1 -166.7 3.62 -0.1 -0.06 -0.35 2 4.834 3711.22
18.2 -166.7 3.62 -0.1 -0.06 -0.35 2 4.852 3710.864
18.3 -166.71 3.62 -0.1 -0.06 -0.35 2 4.86 3710.505
18.4 -166.72 3.62 -0.1 -0.06 -0.35 2 4.88 3710.139
18.5 -166.72 3.62 -0.09 -0.06 -0.35 2 4.888 3709.78
18.6 -166.73 3.62 -0.09 -0.06 -0.35 2 4.908 3709.414
18.7 -166.73 3.62 -0.09 -0.06 -0.35 2 4.926 3709.057
18.8 -166.74 3.62 -0.09 -0.06 -0.35 2 4.936 3708.689
18.9 -166.75 3.62 -0.09 -0.06 -0.35 2 4.954 3708.332
19.0 -166.75 3.62 -0.09 -0.07 -0.35 2 4.964 3707.964
19.1 -166.76 3.62 -0.09 -0.07 -0.35 2 4.982 3707.607
19.2 -166.77 3.62 -0.09 -0.07 -0.35 2 4.993 3707.239
19.3 -166.77 3.62 -0.08 -0.07 -0.35 2 5.01 3706.882
19.4 -166.78 3.62 -0.08 -0.07 -0.35 2 5.021 3706.514
19.5 -166.79 3.62 -0.08 -0.07 -0.35 2 5.038 3706.157
19.6 -166.79 3.62 -0.08 -0.07 -0.35 2 5.059 3705.791
19.7 -166.8 3.62 -0.08 -0.07 -0.35 2 5.067 3705.432
19.8 -166.81 3.62 -0.08 -0.07 -0.35 2 5.084 3705.076
19.9 -166.81 3.62 -0.08 -0.07 -0.35 2 5.095 3704.707
20.0 -166.82 3.62 -0.08 -0.07 -0.35 2 5.113 3704.351
20.1 -166.83 3.62 -0.08 -0.07 -0.35 2 5.123 3703.982
20.2 -166.83 3.62 -0.08 -0.07 -0.35 2 5.141 3703.626
20.3 -166.84 3.62 -0.08 -0.07 -0.35 2 5.151 3703.257
20.4 -166.85 3.61 -0.08 -0.07 -0.35 2 5.169 3702.901
20.5 -166.85 3.61 -0.08 -0.07 -0.35 2 5.177 3702.542
20.6 -166.86 3.61 -0.08 -0.07 -0.35 2 5.197 3702.176
20.7 -166.86 3.61 -0.08 -0.07 -0.35 2 5.205 3701.817
20.8 -166.87 3.61 -0.08 -0.07 -0.35 2 5.223 3701.46
20.9 -166.88 3.61 -0.08 -0.07 -0.35 2 5.243 3701.094
21.0 -166.88 3.6 -0.08 -0.07 -0.35 2 5.251 3700.735
