Navio: Capesize L300B50T19
Cenário: NE Forte - pos2035 - 1
Manobra: Entrada e Atracação Cocaia
Corrente: 0.4 kn N 
Vento: 15 kn NE 
Onda: 1.0m 8s E 

zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target
-161.09 2.83 -0.21 0.01 -0.09 1 16.453 4554.59
-161.09 2.83 -0.21 0.01 -0.09 1 16.444 4554.298
-161.09 2.83 -0.21 0.01 -0.09 1 16.442 4554.019
-161.09 2.83 -0.21 0.01 -0.09 1 16.441 4553.741
-161.08 2.83 -0.21 0.01 -0.09 1 16.441 4553.452
-161.08 2.82 -0.21 0.01 -0.09 1 16.439 4553.173
-161.08 2.82 -0.21 0.01 -0.09 1 16.44 4552.884
-161.08 2.82 -0.21 0.01 -0.09 1 16.428 4552.603
-161.08 2.82 -0.21 0.01 -0.09 1 16.427 4552.324
-161.08 2.82 -0.21 0.01 -0.09 1 16.427 4552.035
-161.07 2.82 -0.21 0.01 -0.09 1 16.425 4551.757
-161.07 2.82 -0.21 0.01 -0.09 1 16.426 4551.468
-161.07 2.82 -0.21 0.01 -0.09 1 16.424 4551.189
-161.07 2.82 -0.21 0.01 -0.09 1 16.413 4550.908
-161.07 2.82 -0.21 0.02 -0.09 1 16.413 4550.619
-161.07 2.82 -0.21 0.02 -0.09 1 16.411 4550.34
-161.07 2.82 -0.21 0.02 -0.09 1 16.409 4550.061
-161.06 2.82 -0.21 0.02 -0.09 1 16.41 4549.772
-161.06 2.82 -0.21 0.02 -0.09 1 16.408 4549.494
-161.06 2.82 -0.21 0.02 -0.09 1 16.397 4549.212
-161.06 2.82 -0.21 0.02 -0.09 1 16.397 4548.924
-161.06 2.81 -0.21 0.02 -0.09 1 16.395 4548.645
-161.06 2.81 -0.21 0.02 -0.09 1 16.394 4548.366
-161.06 2.81 -0.21 0.02 -0.09 1 16.394 4548.077
-161.05 2.81 -0.21 0.02 -0.09 1 16.392 4547.798
-161.05 2.81 -0.21 0.02 -0.09 1 16.391 4547.519
-161.05 2.81 -0.21 0.02 -0.09 1 16.379 4547.238
-161.05 2.81 -0.21 0.02 -0.09 1 16.38 4546.949
-161.05 2.81 -0.21 0.02 -0.09 1 16.378 4546.67
-161.05 2.81 -0.21 0.02 -0.09 1 16.376 4546.391
