Navio: Capsan L333B48T14.3
Cenário: NE Forte - pos2035 - 1
Manobra: Entrada, Giro e Atracação Berço Interno
Corrente: 0.4 kn N 
Vento: 15 kn NE 
Onda: 1.0m 8s E 

x y zz vx vy vzz rudder_demanded propeller_demanded distance_port distance_starboard distance_target
11594.7 5479.05 -162.24 4.4 -0.32 0.07 0.15 1 134.13 49.865 4544.355
11594.27 5478.95 -162.24 4.4 -0.32 0.07 0.15 1 134.138 49.857 4543.914
11593.84 5478.84 -162.23 4.4 -0.32 0.07 0.15 1 134.108 49.829 4543.47
11593.41 5478.74 -162.22 4.4 -0.32 0.07 0.15 1 134.087 49.792 4543.029
11592.98 5478.64 -162.22 4.4 -0.32 0.07 0.15 1 134.095 49.784 4542.587
11592.56 5478.53 -162.21 4.4 -0.32 0.07 0.15 1 134.063 49.759 4542.153
11592.13 5478.43 -162.2 4.4 -0.32 0.07 0.15 1 134.042 49.722 4541.712
11591.7 5478.33 -162.2 4.4 -0.32 0.07 0.15 1 134.05 49.714 4541.271
11591.27 5478.22 -162.19 4.4 -0.32 0.07 0.17 1 134.02 49.687 4540.827
11590.84 5478.12 -162.18 4.4 -0.32 0.07 0.17 1 133.999 49.65 4540.385
11590.41 5478.01 -162.18 4.4 -0.32 0.06 0.17 1 133.998 49.651 4539.942
11589.99 5477.91 -162.17 4.4 -0.32 0.06 0.17 1 133.975 49.617 4539.51
11589.56 5477.81 -162.17 4.4 -0.32 0.06 0.17 1 133.983 49.609 4539.069
11589.13 5477.7 -162.16 4.4 -0.32 0.06 0.17 1 133.953 49.581 4538.625
11588.7 5477.6 -162.15 4.4 -0.32 0.06 0.17 1 133.932 49.544 4538.184
11588.27 5477.5 -162.15 4.4 -0.32 0.06 0.17 1 133.94 49.536 4537.742
11587.84 5477.39 -162.14 4.4 -0.32 0.06 0.17 1 133.91 49.509 4537.299
11587.42 5477.29 -162.13 4.4 -0.32 0.06 0.17 1 133.887 49.474 4536.867
11586.99 5477.18 -162.13 4.4 -0.32 0.06 0.17 1 133.886 49.476 4536.423
11586.56 5477.08 -162.12 4.4 -0.32 0.06 0.17 1 133.865 49.439 4535.982
11586.13 5476.97 -162.11 4.4 -0.32 0.06 0.17 1 133.835 49.412 4535.538
11585.7 5476.87 -162.11 4.4 -0.32 0.06 0.17 1 133.843 49.403 4535.097
11585.27 5476.77 -162.1 4.4 -0.32 0.06 0.17 1 133.822 49.366 4534.655
11584.85 5476.66 -162.09 4.4 -0.32 0.06 0.17 1 133.79 49.342 4534.221
11584.42 5476.56 -162.09 4.4 -0.32 0.06 0.17 1 133.798 49.333 4533.78
11583.99 5476.45 -162.08 4.4 -0.32 0.06 0.17 1 133.768 49.306 4533.336
11583.56 5476.35 -162.08 4.4 -0.32 0.06 0.17 1 133.776 49.298 4532.895
11583.13 5476.24 -162.07 4.4 -0.32 0.06 0.17 1 133.745 49.271 4532.451
11582.7 5476.14 -162.06 4.4 -0.32 0.06 0.17 1 133.725 49.234 4532.01
11582.28 5476.03 -162.06 4.4 -0.32 0.06 0.17 1 133.721 49.238 4531.575
11581.85 5475.93 -162.05 4.4 -0.32 0.06 0.17 1 133.7 49.201 4531.134
11581.42 5475.82 -162.04 4.4 -0.32 0.06 0.17 1 133.67 49.173 4530.69
11580.99 5475.72 -162.04 4.4 -0.32 0.06 0.17 1 133.678 49.165 4530.249
11580.56 5475.61 -162.03 4.4 -0.32 0.06 0.17 1 133.648 49.138 4529.805
11580.13 5475.5 -162.03 4.4 -0.32 0.06 0.17 1 133.646 49.139 4529.361
11579.7 5475.4 -162.02 4.4 -0.32 0.06 0.17 1 133.626 49.103 4528.92
11579.28 5475.29 -162.01 4.4 -0.32 0.06 0.17 1 133.593 49.078 4528.486
11578.85 5475.19 -162.01 4.4 -0.32 0.06 0.17 1 133.601 49.069 4528.045
11578.42 5475.08 -162.0 4.4 -0.32 0.06 0.17 1 133.571 49.042 4527.601
11577.99 5474.98 -161.99 4.41 -0.32 0.06 0.17 1 133.551 49.005 4527.16
11577.56 5474.87 -161.99 4.41 -0.32 0.06 0.17 1 133.549 49.007 4526.716
11577.13 5474.76 -161.98 4.41 -0.32 0.06 0.17 1 133.519 48.979 4526.272
11576.7 5474.66 -161.98 4.41 -0.32 0.06 0.17 1 133.527 48.971 4525.831
11576.27 5474.55 -161.97 4.41 -0.32 0.06 0.17 1 133.497 48.944 4525.387
11575.85 5474.45 -161.96 4.41 -0.32 0.06 0.17 1 133.474 48.91 4524.955
11575.42 5474.34 -161.96 4.41 -0.32 0.06 0.17 1 133.472 48.911 4524.511
11574.99 5474.23 -161.95 4.41 -0.32 0.06 0.17 1 133.442 48.884 4524.067
11574.56 5474.13 -161.94 4.41 -0.32 0.06 0.17 1 133.421 48.847 4523.626
11574.13 5474.02 -161.94 4.41 -0.32 0.06 0.17 1 133.42 48.848 4523.182
11573.7 5473.91 -161.93 4.41 -0.32 0.06 0.17 1 133.39 48.821 4522.739
11573.27 5473.81 -161.93 4.41 -0.32 0.06 0.17 1 133.398 48.813 4522.297
11572.84 5473.7 -161.92 4.41 -0.32 0.06 0.17 1 133.368 48.786 4521.853
11572.41 5473.59 -161.91 4.41 -0.32 0.06 0.17 1 133.337 48.758 4521.41
11571.98 5473.49 -161.91 4.41 -0.32 0.06 0.17 1 133.346 48.75 4520.968
11571.55 5473.38 -161.9 4.41 -0.32 0.06 0.17 1 133.315 48.723 4520.524
11571.13 5473.27 -161.9 4.41 -0.32 0.06 0.17 1 133.311 48.727 4520.09
11570.7 5473.17 -161.89 4.41 -0.32 0.06 0.17 1 133.291 48.69 4519.649
11570.27 5473.06 -161.88 4.41 -0.31 0.06 0.17 1 133.261 48.663 4519.205
11569.84 5472.95 -161.88 4.41 -0.31 0.06 0.17 1 133.259 48.664 4518.761
11569.41 5472.84 -161.87 4.41 -0.31 0.06 0.17 1 133.229 48.637 4518.317
11568.98 5472.74 -161.87 4.41 -0.31 0.06 0.17 1 133.237 48.629 4517.876
11568.55 5472.63 -161.86 4.41 -0.31 0.06 0.17 1 133.207 48.601 4517.432
11568.12 5472.52 -161.85 4.41 -0.31 0.06 0.17 1 133.176 48.574 4516.989
11567.69 5472.41 -161.85 4.41 -0.31 0.06 0.17 1 133.175 48.576 4516.545
11567.26 5472.31 -161.84 4.41 -0.31 0.06 0.17 1 133.154 48.539 4516.103
11566.84 5472.2 -161.84 4.41 -0.31 0.06 0.17 1 133.15 48.543 4515.669
11566.41 5472.09 -161.83 4.41 -0.31 0.06 0.17 1 133.12 48.515 4515.225
11565.98 5471.98 -161.82 4.41 -0.31 0.06 0.17 1 133.09 48.488 4514.782
11565.55 5471.87 -161.82 4.41 -0.31 0.06 0.17 1 133.088 48.49 4514.338
11565.12 5471.77 -161.81 4.41 -0.31 0.06 0.17 1 133.068 48.453 4513.896
11564.69 5471.66 -161.81 4.41 -0.31 0.06 0.17 1 133.066 48.454 4513.453
11564.26 5471.55 -161.8 4.41 -0.31 0.06 0.17 1 133.036 48.427 4513.009
11563.83 5471.44 -161.79 4.41 -0.31 0.06 0.17 1 133.006 48.4 4512.565
11563.4 5471.33 -161.79 4.41 -0.31 0.06 0.17 1 133.004 48.401 4512.121
11562.98 5471.23 -161.78 4.41 -0.31 0.06 0.17 1 132.981 48.367 4511.689
11562.55 5471.12 -161.78 4.41 -0.31 0.06 0.17 1 132.98 48.368 4511.246
11562.12 5471.01 -161.77 4.41 -0.31 0.06 0.17 1 132.95 48.341 4510.802
11561.69 5470.9 -161.77 4.41 -0.31 0.06 0.17 1 132.948 48.342 4510.358
11561.26 5470.79 -161.76 4.41 -0.31 0.06 0.17 1 132.918 48.315 4509.914
11560.83 5470.69 -161.75 4.41 -0.31 0.06 0.17 1 132.897 48.278 4509.473
