Navio: Suezmax L280B50T17
Cenário: NE Forte - com molhe
Manobra: Entrada e Giro
Corrente: 0.4 kn N 
Vento: 15 kn NE 
Onda: 1.0m 8s E 

time_stamp zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target
0.0 -160.0 3.6 -0.0 -0.0 0.0 1 20.835 4252.993
0.1 -160.0 3.6 -0.0 -0.0 0.0 1 20.788 4252.632
0.2 -160.0 3.6 -0.0 -0.0 0.0 1 20.751 4252.273
0.3 -160.0 3.6 -0.0 -0.0 0.0 1 20.711 4251.924
0.4 -160.0 3.6 -0.0 -0.0 0.0 1 20.664 4251.563
0.5 -160.0 3.6 -0.0 -0.0 0.0 1 20.626 4251.205
0.6 -160.0 3.6 -0.0 -0.0 0.0 1 20.589 4250.846
0.7 -160.0 3.6 -0.0 -0.0 0.0 1 20.551 4250.488
0.8 -160.0 3.6 -0.0 -0.0 0.0 1 20.502 4250.136
0.9 -160.0 3.6 -0.0 -0.0 0.0 1 20.464 4249.778
1.0 -160.0 3.6 -0.0 -0.0 0.0 1 20.427 4249.419
1.1 -160.0 3.6 -0.0 -0.0 0.0 1 20.38 4249.058
1.2 -160.0 3.6 -0.01 -0.0 0.0 1 20.342 4248.7
1.3 -160.0 3.6 -0.01 -0.0 0.0 1 20.302 4248.351
1.4 -160.0 3.59 -0.01 -0.0 0.0 1 20.265 4247.992
1.5 -160.0 3.59 -0.01 -0.01 0.0 1 20.227 4247.633
1.6 -160.0 3.59 -0.01 -0.01 0.0 1 20.18 4247.273
1.7 -160.01 3.59 -0.01 -0.01 0.0 1 20.143 4246.914
1.8 -160.01 3.59 -0.01 -0.01 0.0 1 20.103 4246.565
1.9 -160.01 3.59 -0.01 -0.01 0.0 1 20.066 4246.206
2.0 -160.01 3.59 -0.01 -0.01 0.0 1 20.018 4245.846
2.1 -160.01 3.59 -0.01 -0.01 0.0 1 19.981 4245.487
2.2 -160.01 3.59 -0.01 -0.01 0.0 1 19.943 4245.128
2.3 -160.01 3.59 -0.01 -0.01 0.0 1 19.904 4244.779
2.4 -160.01 3.59 -0.01 -0.01 0.0 1 19.866 4244.421
2.5 -160.01 3.59 -0.01 -0.01 0.0 1 19.819 4244.06
2.6 -160.01 3.59 -0.01 -0.01 0.0 1 19.782 4243.701
2.7 -160.01 3.59 -0.01 -0.01 0.0 1 19.744 4243.343
2.8 -160.01 3.59 -0.01 -0.01 0.0 1 19.704 4242.994
2.9 -160.01 3.59 -0.01 -0.01 0.0 1 19.667 4242.635
3.0 -160.02 3.59 -0.01 -0.01 0.0 1 19.62 4242.274
3.1 -160.02 3.59 -0.01 -0.01 0.0 1 19.582 4241.916
3.2 -160.02 3.59 -0.01 -0.01 0.0 1 19.542 4241.567
3.3 -160.02 3.59 -0.01 -0.01 0.0 1 19.505 4241.208
3.4 -160.02 3.59 -0.01 -0.01 0.0 1 19.467 4240.85
3.5 -160.02 3.59 -0.01 -0.01 0.0 1 19.43 4240.491
3.6 -160.02 3.59 -0.01 -0.01 0.0 1 19.393 4240.132
3.7 -160.02 3.59 -0.01 -0.01 0.0 1 19.343 4239.781
3.8 -160.02 3.59 -0.01 -0.01 0.0 1 19.306 4239.423
3.9 -160.03 3.59 -0.01 -0.01 0.0 1 19.268 4239.064
4.0 -160.03 3.59 -0.01 -0.01 0.0 1 19.231 4238.705
4.1 -160.03 3.59 -0.01 -0.01 0.0 1 19.193 4238.347
4.2 -160.03 3.59 -0.01 -0.01 0.0 1 19.153 4237.998
4.3 -160.03 3.59 -0.01 -0.01 0.0 1 19.106 4237.637
4.4 -160.03 3.59 -0.01 -0.01 0.0 1 19.069 4237.278
4.5 -160.03 3.59 -0.01 -0.01 0.0 1 19.031 4236.92
4.6 -160.03 3.59 -0.01 -0.01 0.0 1 18.991 4236.571
4.7 -160.04 3.59 -0.01 -0.01 0.0 1 18.954 4236.212
4.8 -160.04 3.59 -0.01 -0.01 0.0 1 18.917 4235.854
4.9 -160.04 3.59 -0.01 -0.02 0.0 1 18.879 4235.495
5.0 -160.04 3.59 -0.01 -0.02 0.0 1 18.842 4235.137
5.1 -160.04 3.59 -0.01 -0.02 0.0 1 18.802 4234.788
5.2 -160.04 3.59 -0.01 -0.02 0.0 1 18.755 4234.427
5.3 -160.05 3.59 -0.01 -0.02 0.0 1 18.717 4234.068
5.4 -160.05 3.59 -0.01 -0.02 0.0 1 18.68 4233.71
5.5 -160.05 3.59 -0.02 -0.02 0.0 1 18.64 4233.361
5.6 -160.05 3.59 -0.02 -0.02 0.0 1 18.602 4233.002
5.7 -160.05 3.59 -0.02 -0.02 0.0 1 18.565 4232.644
5.8 -160.05 3.59 -0.02 -0.02 0.0 1 18.528 4232.285
5.9 -160.06 3.59 -0.02 -0.02 0.0 1 18.488 4231.936
6.0 -160.06 3.59 -0.02 -0.02 0.0 1 18.45 4231.578
