Navio: Suezmax L280B50T17
Cenário: SE Forte - com molhe
Manobra: Entrada e Giro
Corrente: 0.8 kn N 
Vento: 15 kn SSE 
Onda: 1.7m 10s SE 

time_stamp zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target
0.0 -159.95 3.6 -0.0 -0.0 0.0 1 20.65 4252.948
0.1 -159.95 3.6 -0.0 -0.0 0.0 1 20.613 4252.59
0.2 -159.95 3.6 -0.0 -0.0 0.0 1 20.576 4252.231
0.3 -159.95 3.6 -0.0 -0.0 0.0 1 20.528 4251.87
0.4 -159.95 3.6 -0.0 -0.0 0.0 1 20.489 4251.521
0.5 -159.95 3.6 -0.01 -0.0 0.0 1 20.451 4251.163
0.6 -159.95 3.6 -0.01 -0.0 0.0 1 20.404 4250.802
0.7 -159.96 3.6 -0.01 -0.01 0.0 1 20.366 4250.443
0.8 -159.96 3.6 -0.01 -0.01 0.0 1 20.329 4250.085
0.9 -159.96 3.6 -0.01 -0.01 0.0 1 20.289 4249.736
1.0 -159.96 3.6 -0.01 -0.01 0.0 1 20.242 4249.375
1.1 -159.96 3.6 -0.01 -0.01 0.0 1 20.205 4249.016
1.2 -159.96 3.6 -0.01 -0.01 0.0 1 20.167 4248.658
1.3 -159.96 3.6 -0.01 -0.01 0.0 1 20.13 4248.299
1.4 -159.96 3.59 -0.01 -0.01 0.0 1 20.09 4247.95
1.5 -159.96 3.59 -0.01 -0.01 0.0 1 20.043 4247.589
1.6 -159.96 3.59 -0.02 -0.01 0.0 1 20.005 4247.231
1.7 -159.96 3.59 -0.02 -0.01 0.0 1 19.968 4246.872
1.8 -159.96 3.59 -0.02 -0.01 0.0 1 19.93 4246.513
1.9 -159.97 3.59 -0.02 -0.01 0.0 1 19.893 4246.155
2.0 -159.97 3.59 -0.02 -0.01 0.0 1 19.853 4245.806
2.1 -159.97 3.59 -0.02 -0.01 0.0 1 19.806 4245.445
2.2 -159.97 3.59 -0.02 -0.01 0.0 1 19.768 4245.086
