Navio: Suezmax T150
Cenário: Médio
Manobra: Entrada completa para calibracao
Corrente: N 0.5nó 
Vento: SE 15nós 
Onda: 1.0m 8s SE 

time_stamp zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target cog sog local_cog
301.0 -160.81 4.19 -0.18 -0.05 0.0 2 -32.879 6024.934 -163.27 4.194 -3.108
301.1 -160.82 4.19 -0.18 -0.05 0.0 2 -32.911 6024.514 -163.28 4.194 -3.098
301.2 -160.82 4.19 -0.18 -0.05 0.0 2 -32.934 6024.097 -163.28 4.194 -3.098
301.3 -160.83 4.19 -0.18 -0.05 0.0 2 -32.954 6023.67 -163.29 4.194 -3.088
301.4 -160.83 4.19 -0.18 -0.05 0.0 2 -32.976 6023.253 -163.29 4.194 -3.088
301.5 -160.84 4.19 -0.18 -0.05 0.0 2 -32.999 6022.836 -163.3 4.194 -3.078
301.6 -160.84 4.19 -0.18 -0.05 0.0 2 -33.021 6022.418 -163.3 4.194 -3.078
301.7 -160.85 4.19 -0.18 -0.05 0.0 2 -33.044 6022.001 -163.31 4.194 -3.068
301.8 -160.85 4.19 -0.18 -0.05 0.0 2 -33.064 6021.574 -163.31 4.194 -3.068
301.9 -160.86 4.19 -0.18 -0.05 0.0 2 -33.086 6021.157 -163.32 4.194 -3.058
302.0 -160.86 4.19 -0.18 -0.05 0.0 2 -33.109 6020.74 -163.32 4.194 -3.058
302.1 -160.87 4.19 -0.18 -0.05 0.0 2 -33.141 6020.32 -163.33 4.194 -3.048
302.2 -160.87 4.19 -0.18 -0.05 0.0 2 -33.163 6019.903 -163.33 4.194 -3.048
302.3 -160.88 4.19 -0.18 -0.05 0.0 2 -33.185 6019.486 -163.34 4.194 -3.038
302.4 -160.88 4.19 -0.18 -0.05 0.0 2 -33.206 6019.059 -163.34 4.194 -3.038
302.5 -160.89 4.19 -0.18 -0.05 0.0 2 -33.228 6018.642 -163.35 4.194 -3.028
302.6 -160.89 4.19 -0.18 -0.05 0.0 2 -33.25 6018.224 -163.35 4.194 -3.028
302.7 -160.89 4.19 -0.18 -0.05 0.0 2 -33.273 6017.807 -163.35 4.194 -3.028
302.8 -160.9 4.19 -0.18 -0.05 0.0 2 -33.295 6017.39 -163.36 4.194 -3.018
302.9 -160.9 4.19 -0.18 -0.05 0.0 2 -33.315 6016.963 -163.36 4.194 -3.018
303.0 -160.91 4.19 -0.18 -0.05 0.0 2 -33.338 6016.546 -163.37 4.194 -3.008
303.1 -160.91 4.19 -0.18 -0.05 0.0 2 -33.36 6016.129 -163.37 4.194 -3.008
303.2 -160.92 4.19 -0.18 -0.05 0.0 2 -33.382 6015.712 -163.38 4.194 -2.998
303.3 -160.92 4.19 -0.18 -0.05 0.0 2 -33.405 6015.294 -163.38 4.194 -2.998
303.4 -160.93 4.19 -0.18 -0.05 0.0 2 -33.425 6014.867 -163.39 4.194 -2.988
303.5 -160.93 4.19 -0.18 -0.05 0.0 2 -33.447 6014.45 -163.39 4.194 -2.988
303.6 -160.94 4.19 -0.18 -0.05 0.0 2 -33.47 6014.033 -163.4 4.194 -2.978
303.7 -160.94 4.19 -0.18 -0.05 0.0 2 -33.492 6013.616 -163.4 4.194 -2.978
303.8 -160.95 4.19 -0.18 -0.05 0.0 2 -33.515 6013.199 -163.41 4.194 -2.968
303.9 -160.95 4.19 -0.18 -0.05 0.0 2 -33.535 6012.772 -163.41 4.194 -2.968
304.0 -160.96 4.19 -0.18 -0.05 0.0 2 -33.557 6012.355 -163.42 4.194 -2.958
304.1 -160.96 4.19 -0.18 -0.05 0.0 2 -33.579 6011.937 -163.42 4.194 -2.958
304.2 -160.96 4.19 -0.18 -0.05 0.0 2 -33.602 6011.52 -163.42 4.194 -2.958
304.3 -160.97 4.19 -0.18 -0.05 0.0 2 -33.624 6011.103 -163.43 4.194 -2.948
304.4 -160.97 4.19 -0.18 -0.05 0.0 2 -33.644 6010.676 -163.43 4.194 -2.948
304.5 -160.98 4.19 -0.18 -0.05 0.0 2 -33.667 6010.259 -163.44 4.194 -2.938
