Navio: Suezmax T150
Cenário: Médio
Manobra: Entrada completa para calibracao
Corrente: N 0.5nó 
Vento: SE 15nós 
Onda: 1.0m 8s SE 

zz vx vy vzz rudder_demanded propeller_demanded distance_port distance_starboard distance_target
-160.81 4.19 -0.18 -0.05 0.0 2 34.685 100.466 4765.138
-160.82 4.19 -0.18 -0.05 0.0 2 34.677 100.522 4764.719
-160.82 4.19 -0.18 -0.05 0.0 2 34.655 100.544 4764.302
-160.83 4.19 -0.18 -0.05 0.0 2 34.658 100.588 4763.875
-160.83 4.19 -0.18 -0.05 0.0 2 34.636 100.61 4763.458
-160.84 4.19 -0.18 -0.05 0.0 2 34.637 100.656 4763.041
-160.84 4.19 -0.18 -0.05 0.0 2 34.615 100.679 4762.624
-160.85 4.19 -0.18 -0.05 0.0 2 34.616 100.725 4762.207
-160.85 4.19 -0.18 -0.05 0.0 2 34.596 100.745 4761.78
-160.86 4.19 -0.18 -0.05 0.0 2 34.597 100.791 4761.363
-160.86 4.19 -0.18 -0.05 0.0 2 34.575 100.814 4760.946
-160.87 4.19 -0.18 -0.05 0.0 2 34.566 100.869 4760.527
-160.87 4.19 -0.18 -0.05 0.0 2 34.544 100.892 4760.11
-160.88 4.19 -0.18 -0.05 0.0 2 34.545 100.938 4759.693
-160.88 4.19 -0.18 -0.05 0.0 2 34.525 100.958 4759.266
-160.89 4.19 -0.18 -0.05 0.0 2 34.527 101.004 4758.849
-160.89 4.19 -0.18 -0.05 0.0 2 34.504 101.027 4758.432
-160.89 4.19 -0.18 -0.05 0.0 2 34.482 101.049 4758.015
-160.9 4.19 -0.18 -0.05 0.0 2 34.483 101.095 4757.598
-160.9 4.19 -0.18 -0.05 0.0 2 34.463 101.115 4757.172
-160.91 4.19 -0.18 -0.05 0.0 2 34.464 101.161 4756.755
-160.91 4.19 -0.18 -0.05 0.0 2 34.442 101.184 4756.338
-160.92 4.19 -0.18 -0.05 0.0 2 34.443 101.23 4755.921
-160.92 4.19 -0.18 -0.05 0.0 2 34.421 101.252 4755.504
-160.93 4.19 -0.18 -0.05 0.0 2 34.424 101.296 4755.077
-160.93 4.19 -0.18 -0.05 0.0 2 34.402 101.318 4754.66
-160.94 4.19 -0.18 -0.05 0.0 2 34.403 101.365 4754.243
-160.94 4.19 -0.18 -0.05 0.0 2 34.381 101.387 4753.826
-160.95 4.19 -0.18 -0.05 0.0 2 34.382 101.433 4753.409
-160.95 4.19 -0.18 -0.05 0.0 2 34.362 101.453 4752.982
-160.96 4.19 -0.18 -0.05 0.0 2 34.364 101.499 4752.565
-160.96 4.19 -0.18 -0.05 0.0 2 34.341 101.522 4752.148
-160.96 4.19 -0.18 -0.05 0.0 2 34.319 101.544 4751.731
-160.97 4.19 -0.18 -0.05 0.0 2 34.32 101.59 4751.314
-160.97 4.19 -0.18 -0.05 0.0 2 34.3 101.61 4750.888
-160.98 4.19 -0.18 -0.05 0.0 2 34.301 101.657 4750.471
-160.98 4.19 -0.18 -0.05 0.0 2 34.279 101.679 4750.054
-160.99 4.19 -0.18 -0.05 0.0 2 34.28 101.725 4749.637
-160.99 4.19 -0.18 -0.05 0.0 2 34.26 101.745 4749.21
-161.0 4.19 -0.18 -0.05 0.0 2 34.261 101.791 4748.793
-161.0 4.19 -0.18 -0.05 0.0 2 34.239 101.814 4748.376
-161.01 4.19 -0.18 -0.05 0.0 2 34.24 101.86 4747.959
-161.01 4.19 -0.18 -0.05 0.0 2 34.218 101.882 4747.542
-161.02 4.19 -0.18 -0.05 0.0 2 34.222 101.926 4747.115
