Navio: Suezmax T150
Cenário: Médio
Manobra: Entrada completa
Corrente: N 0.5nó 
Vento: SE 15nós 
Onda: 1.0m 8s SE 

zz vx vy vzz rudder_demanded propeller_demanded distance_port distance_starboard distance_target
-160.0 2.57 -0.26 0.0 0.0 0 32.364 98.609 2680.418
-160.0 2.57 -0.26 0.0 0.0 0 32.364 98.609 2680.16
-160.0 2.57 -0.26 0.0 0.0 0 32.365 98.608 2679.903
-160.0 2.57 -0.26 0.0 0.0 0 32.356 98.617 2679.644
-160.0 2.57 -0.26 0.0 0.0 0 32.356 98.617 2679.387
-160.0 2.57 -0.26 0.0 0.0 0 32.347 98.626 2679.127
-160.0 2.57 -0.26 0.0 0.0 0 32.348 98.625 2678.87
-160.0 2.57 -0.26 0.0 0.0 0 32.35 98.622 2678.603
-160.0 2.57 -0.26 0.0 0.0 0 32.341 98.631 2678.344
-160.0 2.57 -0.26 0.0 0.0 0 32.342 98.631 2678.087
-160.0 2.57 -0.26 0.0 0.0 0 32.342 98.63 2677.83
-160.0 2.57 -0.26 0.0 0.0 0 32.333 98.639 2677.57
-160.0 2.57 -0.26 0.0 0.0 0 32.334 98.639 2677.313
-160.0 2.57 -0.26 0.0 0.0 0 32.325 98.648 2677.054
-160.0 2.57 -0.26 0.0 0.0 0 32.325 98.647 2676.797
-160.0 2.57 -0.26 0.0 0.0 0 32.326 98.647 2676.54
-160.0 2.57 -0.26 0.0 0.0 0 32.317 98.656 2676.28
-160.0 2.57 -0.26 0.0 0.0 0 32.317 98.655 2676.023
-160.0 2.57 -0.26 0.0 0.0 0 32.318 98.655 2675.766
-160.0 2.57 -0.26 0.0 0.0 0 32.308 98.664 2675.507
-160.0 2.57 -0.26 0.0 -0.0 0 32.309 98.663 2675.249
-160.0 2.57 -0.26 0.0 -0.0 0 32.3 98.672 2674.99
-160.0 2.57 -0.26 0.0 -0.0 0 32.3 98.672 2674.733
-160.0 2.57 -0.26 0.0 -0.0 0 32.301 98.671 2674.476
-160.0 2.57 -0.26 0.0 -0.0 0 32.292 98.68 2674.216
-160.0 2.57 -0.26 0.0 -0.0 0 32.292 98.68 2673.959
-160.0 2.57 -0.26 0.0 -0.0 0 32.293 98.679 2673.702
