Navio: Suezmax T172
Cenário: Médio
Manobra: Entrada PGL3B Atrac. BB
Corrente: N 0.5nó 
Vento: SE 15nós 
Onda: 1.0m 8s SE 

zz vx vy vzz rudder_demanded propeller_demanded distance_port distance_starboard distance_target
-160.01 3.08 -0.26 0.0 0.0 0 30.119 101.119 4043.248
-160.01 3.08 -0.26 0.0 0.0 0 30.112 101.126 4042.938
-160.01 3.08 -0.26 0.0 0.0 0 30.105 101.133 4042.627
-160.01 3.08 -0.26 0.0 0.0 0 30.098 101.14 4042.317
-160.01 3.08 -0.26 0.0 0.0 0 30.088 101.15 4042.016
-160.01 3.08 -0.26 0.0 0.0 0 30.072 101.166 4041.704
-160.01 3.08 -0.26 0.0 0.0 0 30.064 101.173 4041.393
-160.01 3.08 -0.26 0.0 0.0 0 30.057 101.18 4041.083
-160.01 3.08 -0.26 0.0 0.0 0 30.05 101.188 4040.772
-160.01 3.08 -0.26 0.0 0.0 0 30.043 101.195 4040.462
-160.01 3.08 -0.26 0.0 0.0 0 30.036 101.202 4040.152
-160.01 3.08 -0.26 0.0 0.0 0 30.026 101.211 4039.851
-160.01 3.08 -0.26 0.0 0.0 0 30.019 101.218 4039.541
-160.01 3.08 -0.26 0.0 0.0 0 30.003 101.235 4039.228
-160.01 3.08 -0.26 0.0 0.0 0 29.995 101.242 4038.918
-160.01 3.08 -0.26 0.0 0.0 0 29.988 101.249 4038.607
-160.01 3.08 -0.26 0.0 0.0 0 29.981 101.256 4038.297
-160.01 3.08 -0.26 0.0 0.0 0 29.972 101.266 4037.996
-160.01 3.08 -0.26 0.0 0.0 0 29.965 101.273 4037.686
-160.01 3.08 -0.26 0.0 0.0 0 29.957 101.28 4037.375
-160.01 3.08 -0.26 0.0 0.0 0 29.95 101.287 4037.065
-160.01 3.08 -0.26 0.0 0.0 0 29.934 101.304 4036.752
-160.01 3.08 -0.26 0.0 0.0 0 29.924 101.313 4036.451
-160.01 3.08 -0.26 0.0 0.0 0 29.917 101.32 4036.141
-160.01 3.08 -0.26 0.0 0.0 0 29.91 101.327 4035.831
-160.01 3.08 -0.26 0.0 0.0 0 29.903 101.334 4035.52
-160.01 3.08 -0.26 0.0 0.0 0 29.896 101.341 4035.21
-160.01 3.08 -0.26 0.0 0.0 0 29.888 101.348 4034.9
-160.01 3.08 -0.26 0.0 0.0 0 29.879 101.358 4034.599
-160.01 3.08 -0.26 0.0 0.0 0 29.862 101.375 4034.286
-160.01 3.08 -0.26 0.0 0.0 0 29.855 101.382 4033.976
-160.01 3.08 -0.26 0.0 0.0 0 29.848 101.389 4033.665
-160.01 3.08 -0.26 0.0 0.0 0 29.841 101.396 4033.355
-160.01 3.08 -0.26 0.0 0.0 0 29.831 101.405 4033.054
-160.01 3.08 -0.26 0.0 0.0 0 29.824 101.412 4032.744
-160.01 3.08 -0.26 0.0 0.0 0 29.817 101.419 4032.433
-160.01 3.08 -0.26 0.0 0.0 0 29.81 101.426 4032.123
-160.01 3.08 -0.26 0.0 0.0 0 29.793 101.443 4031.81
-160.01 3.08 -0.26 0.0 0.0 0 29.784 101.453 4031.51
-160.01 3.08 -0.26 0.0 0.0 0 29.777 101.46 4031.199
-160.01 3.08 -0.26 0.0 0.0 0 29.769 101.467 4030.889
-160.01 3.08 -0.26 0.0 0.0 0 29.762 101.474 4030.579
-160.0 3.08 -0.26 0.0 0.0 0 29.729 101.459 4030.278
-160.0 3.08 -0.26 0.0 0.0 0 29.722 101.467 4029.967
-160.0 3.08 -0.26 0.0 0.0 0 29.715 101.474 4029.657
-160.0 3.08 -0.26 0.0 0.0 0 29.708 101.481 4029.347
-160.0 3.08 -0.26 0.0 0.0 0 29.691 101.497 4029.034
-160.0 3.08 -0.26 0.0 0.0 0 29.682 101.507 4028.733
-160.0 3.08 -0.26 0.0 0.0 0 29.674 101.514 4028.423
-160.0 3.08 -0.26 0.0 0.0 0 29.667 101.521 4028.112
-160.0 3.08 -0.26 0.0 0.0 0 29.66 101.528 4027.802
-160.0 3.08 -0.26 0.0 0.0 0 29.653 101.535 4027.492
-160.0 3.08 -0.26 0.0 0.0 0 29.644 101.545 4027.191
-160.0 3.08 -0.26 0.0 0.0 0 29.636 101.552 4026.881
-160.0 3.08 -0.26 0.0 0.0 0 29.629 101.559 4026.57
-160.0 3.08 -0.26 0.0 0.0 0 29.613 101.575 4026.258
-160.0 3.08 -0.26 0.0 0.0 0 29.603 101.585 4025.957
-160.0 3.07 -0.26 0.0 0.0 0 29.596 101.592 4025.646
-160.0 3.07 -0.26 0.0 0.0 0 29.589 101.599 4025.336
-160.0 3.07 -0.26 0.0 0.0 0 29.582 101.606 4025.026
-160.0 3.07 -0.26 0.0 0.0 0 29.572 101.616 4024.725
-160.0 3.07 -0.26 0.0 0.0 0 29.565 101.623 4024.415
-160.0 3.07 -0.26 0.0 0.0 0 29.558 101.63 4024.104
-160.0 3.07 -0.26 0.0 0.0 0 29.551 101.637 4023.794
-160.0 3.07 -0.26 0.0 0.0 0 29.534 101.654 4023.481
-160.0 3.07 -0.26 0.0 0.0 0 29.525 101.663 4023.18
-160.0 3.07 -0.26 0.0 0.0 0 29.517 101.67 4022.87
-160.0 3.07 -0.26 0.0 0.0 0 29.51 101.677 4022.56
-159.99 3.07 -0.26 0.0 0.0 1 29.48 101.66 4022.249
-159.99 3.07 -0.26 0.0 0.0 1 29.47 101.67 4021.949
-159.99 3.07 -0.26 0.0 0.0 1 29.463 101.677 4021.638
-159.99 3.07 -0.26 0.0 0.0 1 29.456 101.684 4021.328
-159.99 3.07 -0.26 0.0 0.0 2 29.449 101.691 4021.017
-159.99 3.07 -0.26 0.0 0.0 2 29.43 101.71 4020.714
-159.99 3.07 -0.26 0.01 0.0 2 29.422 101.717 4020.404
-159.99 3.07 -0.26 0.01 0.0 2 29.415 101.724 4020.094
