Navio: Suezmax T172
Cenário: Vento NE
Manobra: Entrada PGL3B Atrac. BB
Corrente: N 0.8nó 
Vento: NE 25nós 
Onda: 1.0m 8s NE 

zz vx vy vzz rudder_demanded propeller_demanded distance_port distance_starboard distance_target
-170.0 3.08 0.26 -0.0 0.0 0 36.688 107.64 4043.239
-170.0 3.08 0.25 -0.0 0.0 0 36.681 107.647 4042.928
-170.0 3.08 0.25 -0.0 0.0 0 36.674 107.654 4042.618
-170.0 3.08 0.25 -0.0 0.0 0 36.677 107.651 4042.31
-170.01 3.08 0.25 -0.01 0.0 0 36.643 107.637 4042.009
-170.01 3.08 0.25 -0.01 0.0 0 36.636 107.644 4041.699
-170.01 3.08 0.25 -0.01 0.0 0 36.629 107.651 4041.388
-170.01 3.08 0.25 -0.01 0.0 0 36.622 107.658 4041.078
-170.01 3.08 0.24 -0.01 0.0 0 36.624 107.655 4040.77
-170.01 3.08 0.24 -0.01 0.0 0 36.617 107.662 4040.459
-170.01 3.08 0.24 -0.01 0.0 0 36.61 107.669 4040.149
-170.01 3.08 0.24 -0.01 0.0 0 36.603 107.676 4039.839
-170.01 3.08 0.24 -0.01 0.0 0 36.606 107.674 4039.531
-170.01 3.08 0.24 -0.01 0.0 0 36.599 107.681 4039.22
-170.02 3.08 0.24 -0.01 0.0 0 36.568 107.664 4038.91
-170.02 3.08 0.24 -0.02 0.0 0 36.57 107.661 4038.602
-170.02 3.08 0.23 -0.02 0.0 0 36.563 107.668 4038.291
-170.02 3.08 0.23 -0.02 0.0 0 36.556 107.675 4037.981
-170.02 3.08 0.23 -0.02 0.0 0 36.558 107.673 4037.673
-170.02 3.08 0.23 -0.02 0.0 0 36.551 107.68 4037.363
-170.03 3.08 0.23 -0.02 0.0 0 36.52 107.663 4037.052
-170.03 3.08 0.23 -0.02 0.0 0 36.523 107.66 4036.744
-170.03 3.08 0.23 -0.02 0.0 0 36.516 107.667 4036.434
-170.03 3.08 0.23 -0.02 0.0 0 36.516 107.667 4036.135
-170.04 3.08 0.23 -0.02 0.0 0 36.485 107.65 4035.825
-170.04 3.08 0.22 -0.03 0.0 0 36.488 107.647 4035.517
-170.04 3.08 0.22 -0.03 0.0 0 36.48 107.654 4035.207
-170.04 3.08 0.22 -0.03 0.0 0 36.483 107.652 4034.898
-170.05 3.08 0.22 -0.03 0.0 0 36.452 107.635 4034.588
-170.05 3.08 0.22 -0.03 0.0 0 36.454 107.632 4034.28
-170.05 3.08 0.22 -0.03 0.0 0 36.447 107.639 4033.97
-170.05 3.08 0.22 -0.03 0.0 0 36.45 107.637 4033.662
-170.06 3.08 0.22 -0.03 0.0 0 36.419 107.62 4033.351
-170.06 3.08 0.22 -0.03 0.0 0 36.421 107.617 4033.043
-170.06 3.08 0.22 -0.03 0.0 0 36.414 107.624 4032.733
-170.07 3.08 0.22 -0.03 0.0 0 36.393 107.598 4032.425
-170.07 3.08 0.22 -0.03 0.0 0 36.386 107.605 4032.114
-170.07 3.08 0.22 -0.04 0.0 0 36.388 107.602 4031.806
-170.08 3.08 0.21 -0.04 0.0 0 36.357 107.585 4031.496
-170.08 3.08 0.21 -0.04 0.0 0 36.36 107.582 4031.188
-170.09 3.08 0.21 -0.04 0.0 0 36.339 107.556 4030.88
-170.09 3.08 0.21 -0.04 0.0 0 36.331 107.563 4030.569
-170.09 3.08 0.21 -0.04 0.0 0 36.334 107.56 4030.261
-170.1 3.08 0.21 -0.04 0.0 0 36.303 107.543 4029.951
-170.1 3.08 0.21 -0.04 0.0 0 36.306 107.541 4029.643
-170.11 3.08 0.21 -0.04 0.0 0 36.284 107.514 4029.335
-170.11 3.08 0.21 -0.04 0.0 0 36.277 107.521 4029.024
-170.11 3.08 0.21 -0.04 0.0 0 36.28 107.518 4028.716
-170.12 3.08 0.21 -0.05 0.0 0 36.258 107.492 4028.408
-170.12 3.08 0.21 -0.05 0.0 0 36.251 107.499 4028.098
-170.13 3.08 0.21 -0.05 0.0 0 36.23 107.472 4027.79
-170.13 3.08 0.21 -0.05 0.0 0 36.232 107.47 4027.482
-170.14 3.08 0.21 -0.05 0.0 0 36.201 107.453 4027.171
-170.14 3.08 0.21 -0.05 0.0 0 36.204 107.45 4026.863
-170.15 3.08 0.21 -0.05 0.0 0 36.183 107.423 4026.555
-170.15 3.08 0.21 -0.05 0.0 0 36.173 107.433 4026.255
-170.16 3.08 0.2 -0.05 0.0 0 36.152 107.406 4025.947
-170.16 3.08 0.2 -0.05 0.0 0 36.154 107.403 4025.639
-170.17 3.08 0.2 -0.05 0.0 0 36.133 107.377 4025.331
-170.17 3.08 0.2 -0.05 0.0 0 36.126 107.384 4025.02
-170.18 3.08 0.2 -0.05 0.0 0 36.104 107.357 4024.712
-170.18 3.08 0.2 -0.06 0.0 0 36.107 107.355 4024.404
-170.19 3.08 0.2 -0.06 0.0 0 36.086 107.328 4024.096
-170.2 3.08 0.2 -0.06 0.0 0 36.055 107.311 4023.786
-170.2 3.08 0.2 -0.06 0.0 0 36.057 107.308 4023.478
-170.21 3.08 0.2 -0.06 0.0 0 36.036 107.282 4023.169
-170.21 3.08 0.2 -0.06 0.0 0 36.038 107.279 4022.861
-170.22 3.08 0.2 -0.06 0.0 0 36.017 107.253 4022.553
-170.22 3.08 0.2 -0.06 0.0 0 36.01 107.26 4022.243
-170.23 3.08 0.2 -0.06 0.0 0 35.989 107.233 4021.935
-170.24 3.08 0.2 -0.06 0.0 0 35.967 107.206 4021.627
-170.24 3.08 0.2 -0.06 0.0 0 35.97 107.204 4021.319
-170.25 3.08 0.2 -0.06 0.0 0 35.948 107.177 4021.011
-170.26 3.08 0.2 -0.06 0.0 0 35.927 107.151 4020.703
-170.26 3.08 0.2 -0.07 0.0 0 35.92 107.158 4020.392
-170.27 3.08 0.2 -0.07 0.0 0 35.899 107.131 4020.084
-170.28 3.08 0.19 -0.07 0.0 0 35.877 107.104 4019.776
-170.28 3.08 0.19 -0.07 0.0 0 35.88 107.102 4019.468
-170.29 3.08 0.19 -0.07 0.0 0 35.858 107.075 4019.16
-170.3 3.08 0.19 -0.07 0.0 0 35.837 107.048 4018.852
-170.3 3.08 0.19 -0.07 0.0 0 35.84 107.046 4018.544
-170.31 3.08 0.19 -0.07 0.0 0 35.818 107.019 4018.236
-170.32 3.08 0.19 -0.07 0.0 0 35.797 106.993 4017.928
-170.32 3.08 0.19 -0.07 0.0 0 35.8 106.99 4017.62
-170.33 3.08 0.19 -0.07 0.0 0 35.778 106.963 4017.312
-170.34 3.08 0.19 -0.07 0.0 0 35.747 106.946 4017.001
-170.35 3.08 0.19 -0.07 0.0 0 35.726 106.92 4016.693
-170.35 3.08 0.19 -0.07 0.0 0 35.728 106.917 4016.385
-170.36 3.08 0.19 -0.08 0.0 0 35.707 106.891 4016.077
-170.37 3.08 0.19 -0.08 0.0 0 35.686 106.864 4015.769
-170.38 3.08 0.19 -0.08 0.0 0 35.664 106.837 4015.461
-170.38 3.08 0.18 -0.08 0.0 0 35.667 106.835 4015.153
-170.39 3.08 0.18 -0.08 0.0 0 35.655 106.798 4014.847
-170.4 3.07 0.18 -0.08 0.0 0 35.634 106.772 4014.539
-170.41 3.07 0.18 -0.08 0.0 0 35.613 106.745 4014.231
-170.42 3.07 0.18 -0.08 0.0 0 35.591 106.719 4013.923
-170.42 3.07 0.18 -0.08 0.0 0 35.594 106.716 4013.615
