Navio: Conteneiro 336B48
Cenário: Médio 10 nós
Manobra: Entrada TECON
Corrente: N 0.5nó 
Vento: SE 10nós 
Onda: 1.0m 8s SE 

zz vx vy vzz rudder_demanded propeller_demanded distance_port distance_starboard distance_target
-160.0 3.6 -0.0 -0.0 0.0 0 69.696 53.562 2224.653
-160.0 3.6 -0.0 -0.0 0.0 0 69.658 53.599 2224.294
-160.0 3.6 -0.0 -0.0 0.0 0 69.609 53.645 2223.932
-160.0 3.6 -0.0 -0.0 0.0 0 69.569 53.684 2223.582
-160.0 3.6 -0.0 -0.0 0.0 0 69.53 53.72 2223.223
-160.0 3.6 -0.0 -0.0 0.0 0 69.482 53.766 2222.861
-160.0 3.6 -0.0 -0.01 0.0 0 69.443 53.803 2222.502
-160.0 3.6 -0.0 -0.01 0.0 0 69.405 53.839 2222.143
-160.0 3.6 -0.01 -0.01 0.0 0 69.364 53.878 2221.793
-160.0 3.6 -0.01 -0.01 0.0 0 69.315 53.925 2221.431
-160.0 3.6 -0.01 -0.01 0.0 0 69.277 53.961 2221.072
-160.01 3.6 -0.01 -0.01 0.0 0 69.267 54.026 2220.713
-160.01 3.6 -0.01 -0.01 0.0 0 69.228 54.063 2220.354
-160.01 3.6 -0.01 -0.01 0.0 0 69.18 54.109 2219.992
-160.01 3.6 -0.01 -0.01 0.0 0 69.139 54.148 2219.642
-160.01 3.6 -0.01 -0.01 0.0 0 69.1 54.184 2219.283
-160.01 3.6 -0.01 -0.01 0.0 0 69.062 54.221 2218.924
-160.01 3.6 -0.01 -0.01 0.0 0 69.023 54.257 2218.564
-160.01 3.6 -0.01 -0.01 0.0 0 68.975 54.304 2218.203
-160.01 3.59 -0.01 -0.01 0.0 0 68.936 54.34 2217.843
-160.02 3.59 -0.01 -0.01 0.0 0 68.924 54.408 2217.494
-160.02 3.59 -0.01 -0.01 0.0 0 68.886 54.444 2217.134
-160.02 3.59 -0.01 -0.02 0.0 0 68.847 54.481 2216.775
-160.02 3.59 -0.01 -0.02 0.0 0 68.808 54.517 2216.416
-160.02 3.59 -0.01 -0.02 0.0 0 68.76 54.563 2216.054
-160.02 3.59 -0.01 -0.02 0.0 0 68.719 54.602 2215.704
-160.03 3.59 -0.01 -0.02 0.0 0 68.709 54.668 2215.345
-160.03 3.59 -0.01 -0.02 0.0 0 68.671 54.704 2214.986
-160.03 3.59 -0.02 -0.02 0.0 0 68.632 54.741 2214.627
-160.03 3.59 -0.02 -0.02 0.0 0 68.594 54.777 2214.267
-160.03 3.59 -0.02 -0.02 0.0 0 68.555 54.814 2213.908
-160.03 3.59 -0.02 -0.02 0.0 0 68.504 54.862 2213.556
-160.04 3.59 -0.02 -0.02 0.0 0 68.494 54.927 2213.197
-160.04 3.59 -0.02 -0.02 0.0 0 68.456 54.964 2212.837
-160.04 3.59 -0.02 -0.02 0.0 0 68.417 55.0 2212.478
-160.04 3.59 -0.02 -0.02 0.0 0 68.379 55.037 2212.119
-160.05 3.59 -0.02 -0.02 0.0 0 68.367 55.105 2211.769
-160.05 3.59 -0.02 -0.02 0.0 0 68.328 55.141 2211.41
-160.05 3.59 -0.02 -0.02 0.0 0 68.289 55.178 2211.051
-160.05 3.59 -0.02 -0.03 0.0 0 68.251 55.214 2210.692
-160.06 3.59 -0.02 -0.03 0.0 0 68.241 55.279 2210.332
-160.06 3.59 -0.02 -0.03 0.0 0 68.2 55.318 2209.983
-160.06 3.59 -0.02 -0.03 0.0 0 68.161 55.355 2209.623
-160.06 3.59 -0.02 -0.03 0.0 0 68.123 55.391 2209.264
-160.07 3.59 -0.02 -0.03 0.0 0 68.113 55.456 2208.905
-160.07 3.59 -0.02 -0.03 0.0 0 68.074 55.493 2208.546
-160.07 3.59 -0.02 -0.03 0.0 0 68.036 55.529 2208.186
-160.08 3.59 -0.02 -0.03 0.0 0 68.024 55.597 2207.837
-160.08 3.59 -0.02 -0.03 0.0 0 67.985 55.633 2207.478
-160.08 3.59 -0.03 -0.03 0.0 0 67.946 55.67 2207.118
-160.08 3.59 -0.03 -0.03 0.0 0 67.908 55.707 2206.759
-160.09 3.59 -0.03 -0.03 0.0 0 67.898 55.772 2206.4
