Navio: Suezmax T172
Cenário: Forte  S
Manobra: Entrada PGL3A Atrac. BB
Corrente: N 0.8nó 
Vento: S 20nós 
Onda: 1.7m 10s SE 

zz vx vy vzz rudder_demanded propeller_demanded distance_port distance_starboard distance_target
-162.63 3.5 -0.53 0.03 0.0 1 120.522 23.326 4785.8
-162.63 3.5 -0.53 0.03 0.0 1 120.556 23.292 4785.449
-162.62 3.5 -0.53 0.03 0.0 1 120.565 23.234 4785.098
-162.62 3.5 -0.53 0.03 0.0 1 120.589 23.21 4784.744
-162.62 3.51 -0.53 0.03 0.0 1 120.623 23.176 4784.392
-162.62 3.51 -0.53 0.03 0.0 1 120.657 23.142 4784.041
-162.61 3.51 -0.53 0.03 0.0 1 120.657 23.094 4783.687
-162.61 3.51 -0.53 0.03 0.0 1 120.691 23.06 4783.336
-162.61 3.51 -0.54 0.03 0.0 1 120.717 23.034 4782.972
-162.6 3.52 -0.54 0.03 0.0 1 120.727 22.976 4782.621
-162.6 3.52 -0.54 0.03 0.0 1 120.761 22.942 4782.27
-162.6 3.52 -0.54 0.03 0.0 1 120.785 22.918 4781.916
-162.59 3.52 -0.54 0.03 0.0 1 120.795 22.86 4781.565
-162.59 3.53 -0.54 0.03 0.0 1 120.822 22.834 4781.201
-162.59 3.53 -0.54 0.03 0.0 1 120.855 22.8 4780.85
-162.58 3.53 -0.53 0.03 0.0 1 120.855 22.752 4780.496
-162.58 3.53 -0.53 0.03 0.0 1 120.889 22.718 4780.145
-162.58 3.53 -0.53 0.03 0.0 1 120.916 22.691 4779.781
-162.57 3.54 -0.53 0.03 0.0 1 120.926 22.633 4779.43
-162.57 3.54 -0.53 0.03 0.0 1 120.95 22.609 4779.076
-162.57 3.54 -0.53 0.03 0.0 1 120.986 22.573 4778.715
-162.57 3.54 -0.53 0.03 0.0 1 121.01 22.549 4778.361
-162.56 3.54 -0.53 0.03 0.0 1 121.022 22.489 4778.0
-162.56 3.55 -0.53 0.03 0.0 1 121.046 22.464 4777.646
-162.56 3.55 -0.53 0.03 0.0 1 121.08 22.431 4777.295
-162.55 3.55 -0.53 0.03 0.0 1 121.082 22.38 4776.931
-162.55 3.55 -0.52 0.03 0.0 1 121.107 22.356 4776.578
-162.55 3.55 -0.52 0.03 0.0 1 121.143 22.32 4776.217
-162.54 3.56 -0.52 0.03 0.0 1 121.143 22.272 4775.863
-162.54 3.56 -0.52 0.03 0.0 1 121.169 22.245 4775.499
-162.54 3.56 -0.52 0.03 0.0 1 121.203 22.211 4775.148
-162.53 3.56 -0.52 0.03 0.0 1 121.206 22.161 4774.784
-162.53 3.56 -0.51 0.03 0.0 1 121.23 22.137 4774.431
-162.53 3.56 -0.51 0.03 0.0 1 121.256 22.11 4774.067
-162.52 3.56 -0.51 0.03 0.0 1 121.266 22.052 4773.716
-162.52 3.56 -0.51 0.03 0.0 1 121.292 22.026 4773.352
-162.52 3.56 -0.51 0.03 0.0 1 121.317 22.002 4772.998
-162.51 3.57 -0.5 0.03 0.08 1 121.319 21.951 4772.635
-162.51 3.57 -0.5 0.03 0.08 1 121.343 21.927 4772.281
-162.51 3.57 -0.5 0.03 0.08 1 121.37 21.901 4771.918
-162.5 3.57 -0.5 0.03 0.08 1 121.37 21.852 4771.564
-162.5 3.57 -0.5 0.03 0.14 1 121.396 21.826 4771.2
-162.5 3.57 -0.49 0.03 0.14 1 121.42 21.802 4770.846
-162.49 3.57 -0.49 0.03 0.14 1 121.423 21.751 4770.483
-162.49 3.57 -0.49 0.03 0.14 1 121.447 21.727 4770.129
-162.49 3.57 -0.49 0.03 0.18 1 121.473 21.701 4769.766
-162.48 3.57 -0.49 0.03 0.18 1 121.473 21.652 4769.412
-162.48 3.56 -0.48 0.03 0.18 1 121.5 21.626 4769.048
-162.48 3.56 -0.48 0.03 0.18 1 121.524 21.602 4768.694
-162.47 3.56 -0.48 0.03 0.18 1 121.526 21.551 4768.331
-162.47 3.56 -0.48 0.03 0.18 1 121.541 21.537 4767.975
-162.47 3.56 -0.47 0.03 0.18 1 121.565 21.513 4767.621
-162.46 3.56 -0.47 0.03 0.18 1 121.567 21.462 4767.257
-162.46 3.56 -0.47 0.03 0.18 1 121.591 21.438 4766.903
-162.46 3.56 -0.47 0.03 0.18 1 121.606 21.424 4766.547
-162.45 3.56 -0.47 0.03 0.18 1 121.608 21.373 4766.184
-162.45 3.55 -0.46 0.03 0.18 1 121.632 21.349 4765.83
-162.45 3.55 -0.46 0.03 0.17 1 121.656 21.325 4765.476
-162.44 3.55 -0.46 0.03 0.17 1 121.649 21.284 4765.11
-162.44 3.55 -0.46 0.03 0.17 1 121.673 21.26 4764.756
-162.44 3.55 -0.46 0.03 0.17 1 121.697 21.236 4764.402
-162.43 3.55 -0.46 0.03 0.17 1 121.688 21.198 4764.046
-162.43 3.54 -0.45 0.03 0.17 1 121.712 21.173 4763.692
-162.43 3.54 -0.45 0.03 0.17 1 121.738 21.147 4763.329
-162.42 3.54 -0.45 0.03 0.17 1 121.729 21.108 4762.972
-162.42 3.54 -0.45 0.03 0.17 1 121.753 21.084 4762.618
-162.42 3.53 -0.45 0.03 0.17 1 121.767 21.07 4762.262
-162.41 3.53 -0.45 0.03 0.17 1 121.767 21.022 4761.908
-162.41 3.53 -0.45 0.03 0.17 1 121.792 20.998 4761.554
-162.41 3.53 -0.45 0.03 0.17 1 121.806 20.983 4761.198
-162.4 3.52 -0.45 0.03 0.17 1 121.806 20.935 4760.844
-162.4 3.52 -0.45 0.03 0.17 1 121.82 20.921 4760.488
-162.4 3.52 -0.45 0.03 0.17 1 121.845 20.897 4760.134
-162.39 3.52 -0.45 0.03 0.17 1 121.842 20.851 4759.79
-162.39 3.51 -0.45 0.03 0.17 1 121.857 20.836 4759.434
-162.39 3.51 -0.45 0.03 0.17 1 121.881 20.812 4759.08
-162.38 3.51 -0.45 0.03 0.17 1 121.881 20.764 4758.726
-162.38 3.51 -0.45 0.03 0.17 1 121.895 20.75 4758.37
-162.38 3.5 -0.45 0.03 0.17 1 121.917 20.728 4758.025
-162.37 3.5 -0.45 0.03 0.17 1 121.917 20.68 4757.672
-162.37 3.5 -0.45 0.03 0.17 1 121.932 20.665 4757.315
-162.37 3.5 -0.45 0.03 0.17 1 121.956 20.641 4756.961
-162.36 3.49 -0.45 0.03 0.17 1 121.953 20.595 4756.617
-162.36 3.49 -0.45 0.03 0.17 1 121.968 20.581 4756.261
-162.36 3.49 -0.45 0.03 0.17 1 121.992 20.557 4755.907
-162.35 3.49 -0.45 0.03 0.19 1 121.99 20.511 4755.563
-162.35 3.48 -0.45 0.03 0.19 1 122.004 20.497 4755.207
-162.35 3.48 -0.46 0.03 0.19 1 122.026 20.475 4754.862
-162.34 3.48 -0.46 0.03 0.19 1 122.026 20.427 4754.509
-162.34 3.48 -0.46 0.03 0.19 1 122.048 20.405 4754.164
-162.34 3.48 -0.46 0.03 0.19 1 122.072 20.381 4753.811
-162.33 3.47 -0.46 0.03 0.19 1 122.07 20.335 4753.466
-162.33 3.47 -0.46 0.03 0.19 1 122.084 20.321 4753.11
-162.33 3.47 -0.47 0.03 0.19 1 122.106 20.299 4752.766
-162.32 3.47 -0.47 0.03 0.19 1 122.106 20.251 4752.412
-162.32 3.47 -0.47 0.03 0.19 1 122.128 20.229 4752.068
-162.32 3.46 -0.47 0.03 0.19 1 122.152 20.205 4751.714
-162.31 3.46 -0.47 0.03 0.24 1 122.149 20.159 4751.37
-162.31 3.46 -0.48 0.03 0.24 1 122.174 20.135 4751.016
-162.31 3.46 -0.48 0.03 0.24 1 122.195 20.113 4750.672
-162.3 3.46 -0.48 0.03 0.24 1 122.193 20.067 4750.328
-162.3 3.46 -0.48 0.03 0.24 1 122.217 20.043 4749.974
-162.3 3.46 -0.49 0.03 0.24 1 122.239 20.021 4749.63
-162.29 3.46 -0.49 0.03 0.24 1 122.249 19.964 4749.279
-162.29 3.46 -0.49 0.03 0.24 1 122.27 19.942 4748.935
-162.29 3.46 -0.49 0.03 0.27 1 122.295 19.918 4748.581
-162.28 3.46 -0.5 0.03 0.27 1 122.292 19.872 4748.237
-162.28 3.45 -0.5 0.03 0.27 1 122.314 19.85 4747.892
-162.28 3.45 -0.5 0.03 0.27 1 122.348 19.816 4747.541
-162.27 3.45 -0.5 0.03 0.27 1 122.346 19.771 4747.197
-162.27 3.45 -0.51 0.03 0.27 1 122.37 19.746 4746.843
-162.27 3.45 -0.51 0.03 0.27 1 122.392 19.725 4746.499
