Navio: Suezmax T080
Cenário: Vento NE
Manobra: Entrada PGL3A Atrac. BB
Corrente: N 0.8nó 
Vento: NE 25nós 
Onda: 1.0m 8s NE 

zz vx vy vzz rudder_demanded propeller_demanded distance_port distance_starboard distance_target
-165.64 5.06 -0.35 -0.03 -0.17 3 125.369 32.998 4785.187
-165.64 5.06 -0.35 -0.03 -0.17 3 125.399 32.968 4784.68
-165.65 5.06 -0.35 -0.03 -0.17 3 125.453 32.962 4784.174
-165.65 5.06 -0.35 -0.03 -0.17 3 125.484 32.931 4783.667
-165.65 5.06 -0.35 -0.02 -0.17 3 125.502 32.913 4783.168
-165.65 5.06 -0.35 -0.02 -0.17 3 125.532 32.883 4782.661
-165.66 5.06 -0.35 -0.02 -0.17 3 125.587 32.877 4782.155
-165.66 5.06 -0.35 -0.02 -0.17 3 125.617 32.846 4781.648
-165.66 5.06 -0.35 -0.02 -0.17 3 125.647 32.816 4781.141
-165.66 5.06 -0.35 -0.02 -0.17 3 125.677 32.786 4780.635
-165.66 5.06 -0.35 -0.02 -0.17 3 125.708 32.755 4780.128
-165.67 5.06 -0.35 -0.02 -0.17 3 125.752 32.759 4779.619
-165.67 5.06 -0.35 -0.02 -0.17 3 125.783 32.729 4779.113
-165.67 5.06 -0.35 -0.01 -0.17 3 125.813 32.698 4778.606
-165.67 5.06 -0.36 -0.01 -0.17 3 125.843 32.668 4778.099
-165.67 5.06 -0.36 -0.01 -0.17 3 125.873 32.638 4777.593
-165.67 5.06 -0.36 -0.01 -0.17 3 125.904 32.607 4777.086
-165.67 5.06 -0.36 -0.01 -0.17 3 125.934 32.577 4776.58
-165.67 5.06 -0.36 -0.01 -0.17 3 125.964 32.547 4776.073
-165.68 5.06 -0.36 -0.01 -0.17 3 126.019 32.541 4775.567
-165.68 5.06 -0.36 -0.01 -0.17 3 126.049 32.51 4775.06
-165.68 5.06 -0.36 -0.0 -0.17 3 126.079 32.48 4774.553
-165.68 5.06 -0.36 -0.0 -0.17 3 126.107 32.452 4774.056
-165.68 5.06 -0.36 -0.0 -0.17 3 126.137 32.422 4773.55
-165.68 5.06 -0.36 0.0 -0.17 3 126.168 32.391 4773.043
-165.68 5.06 -0.36 0.0 -0.17 3 126.198 32.361 4772.537
-165.68 5.06 -0.36 0.0 -0.17 3 126.228 32.331 4772.03
-165.68 5.06 -0.37 0.0 -0.17 3 126.258 32.3 4771.524
-165.68 5.06 -0.37 0.01 -0.17 3 126.289 32.27 4771.017
-165.67 5.06 -0.37 0.01 -0.17 3 126.295 32.215 4770.51
-165.67 5.06 -0.37 0.01 -0.17 3 126.325 32.185 4770.004
-165.67 5.06 -0.37 0.01 -0.17 3 126.355 32.155 4769.497
-165.67 5.06 -0.37 0.01 -0.17 3 126.385 32.124 4768.991
-165.67 5.06 -0.37 0.01 -0.17 3 126.416 32.094 4768.484
-165.67 5.06 -0.37 0.01 -0.17 3 126.446 32.064 4767.978
-165.67 5.06 -0.37 0.02 -0.17 3 126.476 32.033 4767.471
-165.67 5.06 -0.37 0.02 -0.17 3 126.506 32.003 4766.964
-165.66 5.06 -0.37 0.02 -0.17 3 126.512 31.948 4766.458
-165.66 5.06 -0.37 0.02 -0.17 3 126.543 31.918 4765.951
-165.66 5.06 -0.38 0.02 -0.17 3 126.573 31.888 4765.445
-165.66 5.06 -0.38 0.02 -0.17 3 126.603 31.857 4764.938
-165.66 5.06 -0.38 0.02 -0.17 3 126.643 31.817 4764.434
-165.65 5.06 -0.38 0.02 -0.17 3 126.649 31.763 4763.927
-165.65 5.06 -0.38 0.03 -0.17 3 126.679 31.732 4763.421
-165.65 5.06 -0.38 0.03 -0.17 3 126.71 31.702 4762.914
-165.65 5.06 -0.38 0.03 -0.17 3 126.74 31.672 4762.408
-165.64 5.07 -0.38 0.03 -0.17 3 126.746 31.617 4761.901
-165.64 5.07 -0.38 0.03 -0.17 3 126.776 31.587 4761.395
-165.64 5.07 -0.38 0.03 -0.17 3 126.806 31.557 4760.888
-165.63 5.07 -0.38 0.03 -0.17 3 126.822 31.492 4760.384
-165.63 5.07 -0.38 0.03 -0.17 3 126.852 31.462 4759.877
-165.63 5.07 -0.38 0.04 -0.17 3 126.883 31.432 4759.371
-165.62 5.07 -0.38 0.04 -0.17 3 126.889 31.377 4758.864
-165.62 5.07 -0.39 0.04 -0.17 3 126.919 31.347 4758.358
-165.62 5.07 -0.39 0.04 -0.17 3 126.949 31.316 4757.851
-165.61 5.07 -0.39 0.04 -0.17 3 126.955 31.262 4757.345
-165.61 5.07 -0.39 0.04 -0.17 3 126.995 31.222 4756.841
-165.6 5.07 -0.39 0.04 -0.17 3 127.001 31.167 4756.334
-165.6 5.07 -0.39 0.04 -0.17 3 127.031 31.137 4755.827
-165.59 5.07 -0.39 0.05 -0.17 3 127.037 31.082 4755.321
-165.59 5.07 -0.39 0.05 -0.17 3 127.07 31.049 4754.805
-165.58 5.07 -0.39 0.05 -0.17 3 127.076 30.995 4754.298
-165.58 5.07 -0.39 0.05 -0.17 3 127.116 30.955 4753.794
-165.58 5.07 -0.39 0.05 -0.17 3 127.146 30.925 4753.287
-165.57 5.07 -0.39 0.05 -0.17 3 127.152 30.87 4752.781
-165.57 5.07 -0.39 0.05 -0.17 3 127.182 30.84 4752.274
-165.56 5.07 -0.4 0.05 -0.17 3 127.188 30.785 4751.768
-165.55 5.07 -0.4 0.05 -0.17 3 127.195 30.73 4751.261
-165.55 5.07 -0.4 0.06 -0.17 3 127.234 30.69 4750.757
-165.54 5.07 -0.4 0.06 -0.17 3 127.243 30.633 4750.241
-165.54 5.08 -0.4 0.06 -0.17 3 127.273 30.603 4749.734
-165.53 5.08 -0.4 0.06 -0.17 3 127.279 30.549 4749.228
-165.53 5.08 -0.4 0.06 -0.17 3 127.309 30.518 4748.721
-165.52 5.08 -0.4 0.06 -0.17 3 127.325 30.454 4748.217
-165.51 5.08 -0.4 0.06 -0.17 3 127.331 30.399 4747.711
-165.51 5.08 -0.4 0.06 -0.17 3 127.361 30.369 4747.204
-165.5 5.08 -0.4 0.06 -0.17 3 127.37 30.312 4746.688
-165.49 5.08 -0.4 0.07 -0.17 3 127.376 30.258 4746.181
-165.49 5.08 -0.41 0.07 -0.17 3 127.416 30.217 4745.677
-165.48 5.08 -0.41 0.07 -0.17 3 127.422 30.163 4745.171
-165.47 5.08 -0.41 0.07 -0.17 3 127.428 30.108 4744.664
-165.47 5.08 -0.41 0.07 -0.17 3 127.46 30.076 4744.148
-165.46 5.08 -0.41 0.07 -0.17 3 127.466 30.021 4743.641
-165.45 5.08 -0.41 0.07 -0.17 3 127.482 29.957 4743.137
-165.45 5.08 -0.41 0.07 -0.17 3 127.512 29.926 4742.631
-165.44 5.08 -0.41 0.07 -0.17 3 127.518 29.872 4742.124
-165.43 5.08 -0.41 0.08 -0.17 3 127.527 29.815 4741.608
-165.42 5.08 -0.41 0.08 -0.17 3 127.533 29.76 4741.101
-165.42 5.09 -0.41 0.08 -0.17 3 127.573 29.72 4740.597
-165.41 5.09 -0.42 0.08 -0.17 3 127.579 29.666 4740.091
-165.4 5.09 -0.42 0.08 -0.17 3 127.587 29.609 4739.575
-165.39 5.09 -0.42 0.08 -0.17 3 127.593 29.554 4739.068
-165.38 5.09 -0.42 0.08 -0.17 3 127.599 29.5 4738.561
-165.38 5.09 -0.42 0.08 -0.17 3 127.642 29.457 4738.048
-165.37 5.09 -0.42 0.08 -0.17 3 127.648 29.403 4737.541
-165.36 5.09 -0.42 0.08 -0.06 3 127.654 29.348 4737.035
-165.35 5.09 -0.42 0.09 -0.06 3 127.66 29.294 4736.528
-165.34 5.09 -0.42 0.09 -0.06 3 127.678 29.227 4736.014
-165.33 5.09 -0.42 0.09 -0.06 3 127.684 29.172 4735.508
-165.33 5.09 -0.43 0.09 0.03 3 127.714 29.142 4735.001
-165.32 5.09 -0.43 0.09 0.03 3 127.722 29.085 4734.485
-165.31 5.09 -0.43 0.09 0.03 3 127.728 29.031 4733.978
-165.3 5.09 -0.43 0.09 0.03 3 127.744 28.966 4733.474
-165.29 5.09 -0.43 0.09 0.03 3 127.753 28.909 4732.958
-165.28 5.09 -0.43 0.09 0.03 3 127.759 28.855 4732.452
-165.27 5.09 -0.43 0.09 0.03 3 127.765 28.8 4731.945
-165.26 5.09 -0.43 0.09 0.03 3 127.783 28.734 4731.431
-165.25 5.09 -0.43 0.09 0.03 3 127.789 28.679 4730.925
-165.24 5.09 -0.43 0.09 0.03 3 127.795 28.625 4730.418
-165.23 5.09 -0.43 0.09 0.03 3 127.803 28.568 4729.902
-165.22 5.09 -0.43 0.09 0.03 3 127.809 28.513 4729.395
-165.21 5.09 -0.44 0.1 -0.0 3 127.827 28.447 4728.882
-165.21 5.09 -0.44 0.1 -0.0 3 127.858 28.416 4728.375
-165.2 5.1 -0.44 0.1 -0.0 3 127.864 28.362 4727.869
-165.19 5.1 -0.44 0.1 -0.0 3 127.872 28.305 4727.352
