Navio: Suezmax T172
Cenário: Vento NE
Manobra: Entrada STS PGL3B Atrac. BB
Corrente: N 0.4nó 
Vento: NE 25nós 
Onda: 1.0m 8s NE 

zz vx vy vzz rudder_demanded propeller_demanded distance_port distance_starboard distance_target
-172.0 3.85 -0.0 -0.0 -0.0 3 67.047 67.546 2906.543
-172.0 3.85 -0.0 -0.0 -0.0 3 67.078 67.514 2906.16
-172.0 3.85 -0.0 -0.0 -0.0 3 67.119 67.473 2905.78
-172.0 3.85 -0.0 -0.0 -0.0 3 67.162 67.43 2905.389
-172.0 3.85 -0.0 -0.0 -0.0 3 67.193 67.399 2905.006
-172.0 3.85 -0.0 -0.0 -0.0 3 67.234 67.358 2904.626
-172.0 3.85 -0.0 -0.0 -0.0 3 67.275 67.317 2904.245
-172.0 3.85 -0.0 -0.0 -0.0 3 67.306 67.286 2903.862
-172.0 3.85 -0.0 -0.0 -0.0 3 67.347 67.245 2903.481
-172.0 3.85 -0.0 -0.0 -0.0 3 67.39 67.202 2903.091
-172.0 3.85 -0.0 -0.0 -0.0 3 67.421 67.17 2902.708
-172.0 3.85 -0.0 -0.0 -0.0 3 67.462 67.129 2902.327
-172.0 3.85 -0.0 -0.0 -0.0 3 67.503 67.088 2901.947
-172.0 3.85 -0.0 -0.0 -0.0 3 67.534 67.057 2901.563
-172.0 3.85 -0.0 -0.0 -0.0 3 67.575 67.016 2901.183
-172.0 3.85 -0.01 -0.01 -0.0 3 67.618 66.973 2900.792
-172.0 3.85 -0.01 -0.01 -0.0 3 67.649 66.942 2900.409
-172.0 3.85 -0.01 -0.01 -0.0 3 67.69 66.901 2900.029
-172.0 3.85 -0.01 -0.01 -0.0 3 67.731 66.86 2899.648
-172.0 3.85 -0.01 -0.01 -0.0 3 67.762 66.829 2899.265
-172.0 3.85 -0.01 -0.01 -0.0 3 67.803 66.788 2898.884
-172.01 3.85 -0.01 -0.01 -0.0 3 67.82 66.723 2898.504
-172.01 3.85 -0.01 -0.01 -0.0 3 67.863 66.68 2898.113
-172.01 3.85 -0.01 -0.01 -0.0 3 67.895 66.649 2897.73
-172.01 3.85 -0.01 -0.01 -0.0 3 67.935 66.608 2897.35
-172.01 3.85 -0.01 -0.01 -0.0 3 67.976 66.567 2896.969
-172.01 3.85 -0.01 -0.01 -0.0 3 68.007 66.535 2896.586
-172.01 3.85 -0.01 -0.01 -0.0 3 68.048 66.495 2896.205
-172.01 3.85 -0.01 -0.01 -0.0 3 68.089 66.454 2895.825
-172.01 3.85 -0.01 -0.01 -0.0 3 68.13 66.413 2895.444
-172.01 3.85 -0.01 -0.01 -0.0 3 68.164 66.379 2895.051
-172.01 3.85 -0.01 -0.01 -0.0 3 68.204 66.338 2894.671
-172.01 3.85 -0.01 -0.01 -0.0 3 68.245 66.297 2894.29
-172.02 3.85 -0.01 -0.01 -0.0 3 68.262 66.233 2893.909
-172.02 3.85 -0.01 -0.01 -0.0 3 68.294 66.201 2893.526
-172.02 3.85 -0.01 -0.01 -0.0 3 68.334 66.16 2893.146
-172.02 3.85 -0.01 -0.01 -0.0 3 68.375 66.119 2892.765
-172.02 3.85 -0.01 -0.01 -0.0 3 68.416 66.078 2892.384
-172.02 3.85 -0.01 -0.01 -0.0 3 68.447 66.047 2892.001
-172.02 3.85 -0.01 -0.01 -0.0 3 68.491 66.004 2891.611
-172.02 3.85 -0.01 -0.01 -0.0 3 68.531 65.963 2891.23
-172.02 3.85 -0.01 -0.01 -0.0 3 68.572 65.922 2890.85
-172.03 3.85 -0.01 -0.01 -0.0 3 68.58 65.867 2890.467
-172.03 3.85 -0.01 -0.01 -0.0 3 68.621 65.826 2890.086
-172.03 3.85 -0.01 -0.01 -0.0 3 68.661 65.785 2889.706
-172.03 3.85 -0.01 -0.01 -0.0 3 68.702 65.744 2889.325
-172.03 3.85 -0.01 -0.01 -0.0 3 68.734 65.713 2888.942
-172.03 3.84 -0.01 -0.01 -0.0 3 68.774 65.672 2888.561
-172.03 3.84 -0.01 -0.01 -0.0 3 68.815 65.631 2888.181
-172.04 3.84 -0.01 -0.01 -0.0 3 68.835 65.564 2887.79
-172.04 3.84 -0.01 -0.01 -0.0 3 68.876 65.523 2887.41
-172.04 3.84 -0.01 -0.02 -0.03 3 68.907 65.492 2887.027
-172.04 3.84 -0.01 -0.02 -0.03 3 68.948 65.451 2886.646
-172.04 3.84 -0.01 -0.02 -0.03 3 68.989 65.41 2886.265
-172.04 3.84 -0.01 -0.02 -0.03 3 69.029 65.369 2885.885
-172.04 3.84 -0.01 -0.02 -0.03 3 69.07 65.328 2885.504
-172.05 3.84 -0.01 -0.02 -0.03 3 69.078 65.273 2885.121
-172.05 3.84 -0.01 -0.02 -0.03 3 69.119 65.232 2884.74
-172.05 3.84 -0.01 -0.02 -0.03 3 69.159 65.191 2884.36
-172.05 3.84 -0.01 -0.02 -0.03 3 69.2 65.15 2883.979
-172.05 3.84 -0.01 -0.02 -0.03 3 69.231 65.119 2883.596
-172.05 3.84 -0.01 -0.02 -0.03 3 69.272 65.078 2883.216
-172.06 3.84 -0.01 -0.02 -0.03 3 69.292 65.011 2882.825
