Navio: Suezmax T172
Cenário: Forte
Manobra: Entrada PGL3B Atrac. BB
Corrente: N 0.8nó 
Vento: SE 20nós 
Onda: 1.7m 10s SE 

zz vx vy vzz rudder_demanded propeller_demanded distance_port distance_starboard distance_target
-159.97 3.85 -0.26 -0.0 -0.0 0 65.153 65.714 2906.541
-159.97 3.85 -0.26 -0.0 -0.0 0 65.133 65.734 2906.155
-159.97 3.85 -0.26 -0.0 -0.0 0 65.113 65.754 2905.77
-159.97 3.85 -0.26 -0.0 -0.0 0 65.093 65.774 2905.384
-159.97 3.85 -0.26 -0.0 -0.0 0 65.083 65.784 2905.001
-159.97 3.85 -0.26 -0.0 -0.0 0 65.063 65.803 2904.615
-159.97 3.85 -0.26 -0.0 -0.0 0 65.043 65.823 2904.229
-159.97 3.85 -0.26 -0.0 -0.0 0 65.024 65.843 2903.844
-159.97 3.85 -0.26 -0.0 -0.0 0 65.014 65.853 2903.46
-159.97 3.85 -0.26 -0.0 -0.0 0 64.994 65.873 2903.075
-159.97 3.85 -0.26 -0.0 -0.0 0 64.974 65.892 2902.689
-159.97 3.85 -0.26 -0.0 -0.0 0 64.957 65.91 2902.294
-159.97 3.85 -0.26 -0.0 -0.0 0 64.947 65.92 2901.91
-159.97 3.85 -0.26 -0.0 -0.0 0 64.927 65.939 2901.525
-159.97 3.85 -0.26 -0.0 -0.0 0 64.907 65.959 2901.139
-159.97 3.85 -0.26 -0.0 -0.0 0 64.887 65.979 2900.753
-159.97 3.85 -0.26 -0.0 -0.0 0 64.877 65.989 2900.37
-159.97 3.85 -0.26 -0.0 -0.0 0 64.857 66.009 2899.985
-159.97 3.85 -0.26 -0.0 -0.0 0 64.837 66.028 2899.599
-159.97 3.85 -0.26 -0.0 -0.0 -1 64.818 66.048 2899.213
-159.97 3.85 -0.26 -0.0 -0.0 -1 64.808 66.058 2898.83
-159.97 3.85 -0.26 -0.0 -0.0 -1 64.788 66.078 2898.444
-159.97 3.85 -0.26 -0.0 -0.0 -1 64.768 66.098 2898.059
-159.98 3.85 -0.26 -0.0 -0.0 -1 64.772 66.141 2897.673
-159.98 3.85 -0.26 -0.0 -0.0 -1 64.762 66.151 2897.29
-159.98 3.85 -0.26 -0.0 -0.0 -1 64.742 66.171 2896.904
-159.98 3.85 -0.26 -0.0 -0.0 -1 64.725 66.188 2896.509
-159.98 3.85 -0.26 -0.0 -0.0 -1 64.715 66.198 2896.125
-159.98 3.85 -0.26 -0.0 -0.0 -1 64.695 66.218 2895.74
-159.98 3.85 -0.26 -0.0 -0.0 -1 64.675 66.238 2895.354
-159.98 3.85 -0.26 -0.0 -0.0 -1 64.655 66.257 2894.968
-159.98 3.85 -0.26 -0.0 -0.0 -1 64.645 66.267 2894.585
-159.98 3.85 -0.26 -0.0 -0.0 -1 64.625 66.287 2894.199
-159.98 3.85 -0.26 -0.0 -0.0 -1 64.606 66.307 2893.814
-159.98 3.85 -0.26 -0.0 -0.0 -1 64.595 66.317 2893.431
-159.98 3.85 -0.26 -0.0 -0.0 -1 64.576 66.337 2893.045
-159.98 3.85 -0.26 -0.0 -0.0 -1 64.556 66.356 2892.659
-159.98 3.85 -0.26 -0.0 -0.0 -1 64.536 66.376 2892.274
-159.98 3.85 -0.26 -0.0 -0.0 -1 64.526 66.386 2891.89
-159.98 3.85 -0.26 -0.0 -0.0 -1 64.506 66.406 2891.505
-159.98 3.84 -0.26 -0.0 -0.0 -1 64.486 66.425 2891.119
-159.98 3.84 -0.26 -0.0 -0.0 -1 64.476 66.435 2890.736
-159.98 3.84 -0.26 -0.0 -0.0 -1 64.457 66.455 2890.35
-159.98 3.84 -0.26 -0.0 -0.0 -1 64.437 66.475 2889.964
-159.98 3.84 -0.26 -0.0 -0.0 -1 64.427 66.485 2889.581
-159.98 3.84 -0.26 -0.0 -0.0 -1 64.407 66.505 2889.195
-159.98 3.84 -0.26 -0.0 -0.0 -1 64.387 66.524 2888.81
-159.98 3.84 -0.26 -0.0 -0.0 -1 64.377 66.534 2888.427
-159.98 3.84 -0.27 -0.0 -0.0 -1 64.357 66.554 2888.041
-159.98 3.84 -0.27 -0.0 -0.0 -1 64.337 66.574 2887.655
-159.98 3.84 -0.27 -0.0 -0.0 -1 64.327 66.584 2887.272
-159.98 3.84 -0.27 -0.0 -0.0 -1 64.308 66.604 2886.886
-159.98 3.84 -0.27 -0.0 -0.0 -1 64.288 66.623 2886.501
-159.98 3.84 -0.27 -0.0 -0.0 -1 64.278 66.633 2886.117
-159.98 3.84 -0.27 -0.0 -0.0 -1 64.258 66.653 2885.732
-159.98 3.84 -0.27 -0.0 -0.0 -1 64.238 66.673 2885.346
-159.99 3.84 -0.27 -0.0 -0.0 -1 64.252 66.707 2884.963
-159.99 3.84 -0.27 -0.0 -0.0 -1 64.232 66.726 2884.577
-159.99 3.84 -0.27 -0.0 -0.0 -1 64.212 66.746 2884.191
-159.99 3.84 -0.27 -0.0 -0.0 -1 64.202 66.756 2883.808
-159.99 3.84 -0.27 -0.0 -0.0 -1 64.182 66.776 2883.423
-159.99 3.84 -0.27 -0.0 -0.0 -1 64.172 66.786 2883.039
-159.99 3.84 -0.27 -0.0 -0.0 -1 64.152 66.805 2882.654
-159.99 3.84 -0.27 -0.0 -0.0 -1 64.133 66.825 2882.268
-159.99 3.84 -0.27 -0.0 -0.0 -1 64.123 66.835 2881.885
-159.99 3.84 -0.27 -0.0 -0.0 -1 64.103 66.855 2881.499
-159.99 3.84 -0.27 -0.0 -0.0 -1 64.083 66.875 2881.113
-159.99 3.84 -0.27 -0.01 -0.0 -1 64.073 66.885 2880.73
-159.99 3.84 -0.27 -0.01 -0.0 -1 64.053 66.904 2880.344
-159.99 3.84 -0.27 -0.01 -0.0 -1 64.033 66.924 2879.959
-159.99 3.84 -0.27 -0.01 -0.0 -1 64.023 66.934 2879.576
