Navio: Suezmax T172
Cenário: Extremo
Manobra: Entrada PGL3A Atrac. BB
Corrente: N 0.8nó 
Vento: SE 25nós 
Onda: 2.25m 12s SE 

zz vx vy vzz rudder_demanded propeller_demanded distance_port distance_starboard distance_target
-160.03 4.11 -0.26 -0.0 0.0 0 78.911 52.412 3983.155
-160.03 4.11 -0.26 -0.0 0.0 0 78.886 52.437 3982.748
-160.03 4.11 -0.26 -0.0 0.0 0 78.874 52.449 3982.333
-160.03 4.11 -0.26 -0.0 0.0 0 78.849 52.474 3981.926
-160.03 4.11 -0.26 -0.0 0.0 0 78.836 52.487 3981.511
-160.03 4.11 -0.26 -0.0 0.0 0 78.811 52.511 3981.103
-160.03 4.11 -0.26 -0.0 0.0 0 78.789 52.534 3980.686
-160.03 4.11 -0.26 -0.0 0.0 0 78.774 52.549 3980.281
-160.03 4.11 -0.26 -0.0 0.0 0 78.751 52.571 3979.864
-160.03 4.11 -0.26 -0.0 0.0 0 78.736 52.586 3979.459
-160.03 4.11 -0.26 -0.0 0.0 0 78.714 52.609 3979.041
-160.03 4.11 -0.26 -0.0 0.0 0 78.689 52.633 3978.634
-160.03 4.11 -0.26 -0.0 0.0 0 78.676 52.646 3978.219
-160.03 4.11 -0.26 -0.0 0.0 0 78.652 52.671 3977.812
-160.03 4.11 -0.26 -0.0 0.0 0 78.639 52.683 3977.397
-160.03 4.11 -0.26 -0.0 0.0 0 78.614 52.708 3976.989
-160.03 4.11 -0.26 -0.0 0.0 0 78.592 52.731 3976.572
-160.03 4.11 -0.26 -0.0 0.0 0 78.577 52.746 3976.167
-160.03 4.11 -0.26 -0.0 -0.0 0 78.554 52.768 3975.75
-160.03 4.11 -0.26 -0.0 -0.0 0 78.539 52.783 3975.345
-160.04 4.11 -0.26 -0.0 -0.0 0 78.54 52.829 3974.927
-160.04 4.11 -0.26 -0.0 -0.0 0 78.525 52.844 3974.522
-160.04 4.11 -0.26 -0.0 -0.0 0 78.503 52.866 3974.105
-160.04 4.11 -0.26 -0.0 -0.0 0 78.478 52.891 3973.698
-160.04 4.1 -0.26 -0.0 -0.0 0 78.465 52.904 3973.283
-160.04 4.1 -0.26 -0.0 -0.0 0 78.44 52.929 3972.875
-160.04 4.1 -0.26 -0.0 -0.0 0 78.428 52.941 3972.461
-160.04 4.1 -0.26 -0.0 -0.0 0 78.403 52.966 3972.053
-160.04 4.1 -0.26 -0.0 -0.0 0 78.39 52.979 3971.638
-160.04 4.1 -0.26 -0.0 -0.0 0 78.365 53.003 3971.231
-160.04 4.1 -0.26 -0.0 -0.0 1 78.353 53.016 3970.816
-160.04 4.1 -0.26 -0.0 -0.0 1 78.328 53.041 3970.408
-160.04 4.1 -0.26 -0.0 -0.0 1 78.313 53.056 3970.003
-160.04 4.1 -0.26 -0.0 -0.0 1 78.29 53.078 3969.586
-160.04 4.1 -0.27 -0.0 -0.0 2 78.275 53.093 3969.181
-160.04 4.1 -0.27 -0.0 -0.0 2 78.253 53.116 3968.764
-160.04 4.1 -0.27 -0.0 -0.0 2 78.238 53.131 3968.359
-160.04 4.1 -0.27 -0.0 -0.0 2 78.215 53.153 3967.941
-160.04 4.1 -0.27 -0.0 -0.0 3 78.2 53.168 3967.536
-160.04 4.1 -0.27 -0.0 -0.0 3 78.178 53.19 3967.119
-160.04 4.1 -0.27 -0.0 -0.0 3 78.163 53.205 3966.714
-160.04 4.1 -0.27 -0.0 -0.0 3 78.14 53.228 3966.297
-160.04 4.1 -0.27 -0.0 -0.0 3 78.125 53.243 3965.892
-160.04 4.1 -0.27 -0.0 -0.0 3 78.103 53.265 3965.475
-160.04 4.1 -0.27 -0.0 -0.0 3 78.088 53.28 3965.069
-160.04 4.1 -0.27 -0.0 -0.0 3 78.063 53.305 3964.662
-160.04 4.1 -0.27 -0.0 -0.0 4 78.05 53.318 3964.247
-160.04 4.1 -0.27 -0.0 -0.0 4 78.025 53.342 3963.84
-160.04 4.1 -0.27 -0.0 -0.0 4 78.012 53.355 3963.425
-160.04 4.1 -0.27 -0.0 -0.0 4 77.988 53.38 3963.017
-160.04 4.1 -0.27 -0.0 -0.0 4 77.975 53.392 3962.603
-160.04 4.1 -0.27 -0.0 -0.0 4 77.95 53.417 3962.195
-160.04 4.1 -0.27 -0.0 -0.0 4 77.937 53.43 3961.78
-160.04 4.1 -0.27 -0.0 -0.0 4 77.922 53.445 3961.375
-160.05 4.1 -0.27 -0.0 -0.0 4 77.924 53.491 3960.958
-160.05 4.1 -0.27 -0.0 -0.0 4 77.908 53.506 3960.553
-160.05 4.1 -0.27 -0.0 -0.0 4 77.884 53.531 3960.145
-160.05 4.1 -0.27 -0.0 -0.0 4 77.871 53.543 3959.731
-160.05 4.1 -0.27 -0.0 -0.0 4 77.846 53.568 3959.323
-160.05 4.1 -0.27 -0.0 -0.0 4 77.833 53.581 3958.908
-160.05 4.1 -0.27 -0.0 -0.0 4 77.809 53.605 3958.501
-160.05 4.1 -0.27 -0.0 -0.0 4 77.796 53.618 3958.086
-160.05 4.1 -0.27 -0.0 -0.0 4 77.781 53.633 3957.681
-160.05 4.1 -0.27 -0.0 -0.0 4 77.758 53.656 3957.264
-160.05 4.1 -0.27 -0.0 -0.0 4 77.743 53.671 3956.859
-160.05 4.1 -0.27 -0.0 -0.0 4 77.721 53.693 3956.441
-160.05 4.1 -0.27 -0.0 -0.0 4 77.706 53.708 3956.036
-160.05 4.1 -0.27 -0.0 -0.0 4 77.691 53.723 3955.631
-160.05 4.1 -0.27 -0.0 -0.0 4 77.668 53.745 3955.214
-160.05 4.1 -0.27 -0.0 -0.0 4 77.653 53.76 3954.809
-160.05 4.1 -0.27 -0.0 -0.0 4 77.631 53.783 3954.392
-160.05 4.1 -0.28 -0.0 -0.0 4 77.616 53.798 3953.987
-160.05 4.1 -0.28 -0.0 -0.0 4 77.603 53.81 3953.572
-160.05 4.1 -0.28 -0.0 -0.0 4 77.578 53.835 3953.164
-160.05 4.1 -0.28 -0.0 -0.0 4 77.565 53.848 3952.75
-160.05 4.1 -0.28 -0.0 -0.0 4 77.541 53.873 3952.342
-160.05 4.1 -0.28 -0.0 -0.0 4 77.525 53.888 3951.937
-160.05 4.1 -0.28 -0.0 -0.0 4 77.513 53.9 3951.522
-160.05 4.1 -0.28 -0.0 -0.01 4 77.488 53.925 3951.115
-160.06 4.1 -0.28 -0.0 -0.01 4 77.499 53.961 3950.7
-160.06 4.1 -0.28 -0.0 -0.01 4 77.484 53.976 3950.295
-160.06 4.1 -0.28 -0.0 -0.01 4 77.461 53.999 3949.878
-160.06 4.1 -0.28 -0.0 -0.01 4 77.446 54.014 3949.473
-160.06 4.1 -0.28 -0.0 -0.01 4 77.434 54.026 3949.058
-160.06 4.1 -0.28 -0.0 -0.01 4 77.409 54.051 3948.65
-160.06 4.1 -0.28 -0.0 -0.01 4 77.394 54.066 3948.245
-160.06 4.1 -0.28 -0.0 -0.01 4 77.371 54.089 3947.828
-160.06 4.1 -0.28 -0.0 -0.01 4 77.356 54.104 3947.423
-160.06 4.1 -0.28 -0.0 -0.01 4 77.343 54.116 3947.008
-160.06 4.1 -0.28 -0.0 -0.01 4 77.319 54.141 3946.601
-160.06 4.1 -0.28 -0.0 -0.01 4 77.306 54.154 3946.186
-160.06 4.1 -0.28 -0.0 -0.01 4 77.291 54.169 3945.781
-160.06 4.1 -0.28 -0.0 -0.01 4 77.268 54.191 3945.364
-160.06 4.1 -0.28 -0.0 -0.01 4 77.253 54.206 3944.958
-160.06 4.1 -0.28 -0.0 -0.01 4 77.241 54.219 3944.544
-160.06 4.1 -0.28 -0.0 -0.01 4 77.216 54.243 3944.136
-160.06 4.1 -0.28 -0.0 -0.01 4 77.203 54.256 3943.721
-160.06 4.1 -0.28 -0.0 -0.01 4 77.188 54.271 3943.316
-160.06 4.1 -0.28 -0.0 -0.01 4 77.163 54.296 3942.909
-160.06 4.1 -0.28 -0.0 -0.01 4 77.15 54.309 3942.494
-160.06 4.1 -0.28 -0.0 -0.01 4 77.135 54.324 3942.089
-160.06 4.1 -0.28 -0.0 -0.01 4 77.113 54.346 3941.672
-160.06 4.1 -0.28 -0.0 -0.01 4 77.098 54.361 3941.267
-160.07 4.09 -0.28 -0.0 -0.01 4 77.109 54.397 3940.852
-160.07 4.09 -0.28 -0.0 -0.01 4 77.084 54.422 3940.444
-160.07 4.09 -0.28 -0.0 -0.01 4 77.071 54.435 3940.03
-160.07 4.09 -0.28 -0.0 -0.01 4 77.046 54.459 3939.622
-160.07 4.09 -0.28 -0.0 -0.01 4 77.031 54.474 3939.217
-160.07 4.09 -0.28 -0.0 -0.01 4 77.019 54.487 3938.802
-160.07 4.09 -0.28 -0.0 -0.01 4 76.994 54.512 3938.395
-160.07 4.09 -0.28 -0.0 -0.01 4 76.981 54.525 3937.98
-160.07 4.09 -0.27 -0.0 -0.01 4 76.966 54.54 3937.575
-160.07 4.08 -0.27 -0.0 -0.01 4 76.941 54.564 3937.167
-160.07 4.08 -0.27 -0.0 -0.01 4 76.928 54.577 3936.753
-160.07 4.08 -0.27 -0.0 -0.01 4 76.913 54.592 3936.348
-160.07 4.08 -0.27 -0.0 -0.01 4 76.889 54.617 3935.94
-160.07 4.08 -0.27 -0.0 -0.01 4 76.873 54.632 3935.535
-160.07 4.08 -0.27 -0.0 -0.01 4 76.861 54.644 3935.12
-160.07 4.08 -0.27 -0.0 -0.01 4 76.836 54.669 3934.713
-160.07 4.07 -0.27 -0.0 -0.01 4 76.821 54.684 3934.308
-160.07 4.07 -0.27 -0.0 -0.01 4 76.806 54.699 3933.902
-160.07 4.07 -0.27 -0.0 -0.01 4 76.783 54.722 3933.485
-160.07 4.07 -0.27 -0.0 -0.01 4 76.768 54.737 3933.08
-160.07 4.07 -0.27 -0.0 -0.01 4 76.753 54.752 3932.675
-160.07 4.07 -0.27 -0.0 -0.01 4 76.738 54.767 3932.27
-160.07 4.06 -0.27 -0.0 -0.01 4 76.713 54.791 3931.863
-160.07 4.06 -0.28 -0.0 -0.03 4 76.701 54.804 3931.448
-160.07 4.06 -0.28 -0.0 -0.03 4 76.685 54.819 3931.043
-160.07 4.06 -0.28 -0.0 -0.03 4 76.67 54.834 3930.638
-160.08 4.06 -0.28 -0.0 -0.03 4 76.669 54.882 3930.23
-160.08 4.06 -0.28 -0.0 -0.03 4 76.654 54.897 3929.825
-160.08 4.06 -0.28 -0.0 -0.03 4 76.639 54.912 3929.42
-160.08 4.05 -0.28 -0.0 -0.03 4 76.624 54.928 3929.015
-160.08 4.05 -0.28 -0.0 -0.03 4 76.599 54.952 3928.607
-160.08 4.05 -0.28 -0.0 -0.03 4 76.584 54.967 3928.202
-160.08 4.05 -0.28 -0.0 -0.03 4 76.569 54.982 3927.797
-160.08 4.05 -0.28 -0.0 -0.03 4 76.554 54.997 3927.392
-160.08 4.05 -0.28 -0.0 -0.03 4 76.539 55.012 3926.987
-160.08 4.05 -0.28 -0.0 -0.03 4 76.524 55.027 3926.582
-160.08 4.05 -0.28 -0.0 -0.03 4 76.509 55.042 3926.177
-160.08 4.05 -0.28 -0.0 -0.03 4 76.484 55.067 3925.769
-160.08 4.05 -0.29 -0.0 -0.03 4 76.469 55.082 3925.364
-160.08 4.05 -0.29 -0.0 -0.03 4 76.454 55.097 3924.959
-160.08 4.05 -0.29 -0.0 -0.03 4 76.439 55.112 3924.554
-160.08 4.04 -0.29 -0.0 -0.03 4 76.424 55.127 3924.149
-160.08 4.04 -0.29 -0.0 -0.03 4 76.408 55.142 3923.744
-160.08 4.04 -0.29 -0.0 -0.03 4 76.393 55.157 3923.339
-160.08 4.05 -0.29 -0.0 -0.03 4 76.378 55.172 3922.934
-160.08 4.05 -0.29 -0.0 -0.03 4 76.366 55.185 3922.519
-160.08 4.05 -0.29 -0.0 -0.03 4 76.351 55.2 3922.114
-160.08 4.05 -0.29 -0.0 -0.03 4 76.335 55.215 3921.709
-160.08 4.05 -0.3 -0.0 -0.03 4 76.32 55.23 3921.304
-160.08 4.05 -0.3 -0.0 -0.03 4 76.305 55.245 3920.899
-160.08 4.05 -0.3 -0.0 -0.03 4 76.29 55.26 3920.494
-160.08 4.05 -0.3 -0.0 -0.03 4 76.275 55.275 3920.089
-160.08 4.05 -0.3 -0.0 -0.03 4 76.26 55.29 3919.684
-160.08 4.05 -0.3 -0.0 -0.03 4 76.245 55.305 3919.279
-160.08 4.05 -0.3 -0.0 -0.03 4 76.23 55.32 3918.873
-160.08 4.05 -0.3 -0.0 -0.03 4 76.215 55.335 3918.468
-160.08 4.06 -0.31 -0.0 -0.03 4 76.202 55.348 3918.054
-160.08 4.06 -0.31 -0.0 -0.03 4 76.187 55.363 3917.649
-160.08 4.06 -0.31 -0.0 -0.03 4 76.172 55.378 3917.243
-160.08 4.06 -0.31 -0.0 -0.03 4 76.157 55.393 3916.838
-160.08 4.06 -0.31 -0.0 -0.03 4 76.142 55.408 3916.433
-160.08 4.07 -0.31 -0.0 -0.03 4 76.129 55.42 3916.019
-160.08 4.07 -0.31 -0.0 -0.03 4 76.114 55.435 3915.614
-160.08 4.07 -0.31 -0.0 -0.03 4 76.109 55.441 3915.211
-160.08 4.07 -0.31 -0.0 -0.03 4 76.096 55.453 3914.796
-160.08 4.08 -0.32 -0.0 -0.03 4 76.081 55.468 3914.391
-160.08 4.08 -0.32 -0.0 -0.03 4 76.068 55.481 3913.976
-160.08 4.08 -0.32 -0.0 -0.03 4 76.053 55.496 3913.571
-160.08 4.08 -0.32 -0.0 -0.03 4 76.038 55.511 3913.166
-160.08 4.09 -0.32 -0.0 -0.03 4 76.025 55.524 3912.751
-160.08 4.09 -0.32 -0.0 -0.03 4 76.01 55.539 3912.346
-160.08 4.09 -0.32 -0.0 -0.03 4 75.997 55.552 3911.932
-160.08 4.1 -0.32 -0.0 -0.03 4 75.985 55.564 3911.517
-160.08 4.1 -0.32 0.0 -0.03 4 75.969 55.579 3911.112
-160.08 4.1 -0.32 0.0 -0.03 4 75.957 55.592 3910.697
-160.08 4.11 -0.32 0.0 -0.03 4 75.944 55.605 3910.282
-160.08 4.11 -0.32 0.0 -0.03 4 75.929 55.62 3909.877
-160.08 4.11 -0.32 0.0 -0.03 4 75.926 55.622 3909.465
-160.08 4.12 -0.32 0.0 -0.03 4 75.913 55.635 3909.05
