Navio: Aframax T150
Cenário: Forte
Manobra: Entrada PGL3A Atrac. BB NOTURNA
Corrente: N 0.7nó 
Vento: SE 20nós 
Onda: 1.7m 10s SE 

zz vx vy vzz rudder_demanded propeller_demanded distance_port distance_starboard distance_target
-160.0 4.11 -0.26 -0.0 0.0 0 75.624 65.263 3939.954
-160.0 4.11 -0.26 -0.0 0.0 0 75.611 65.275 3939.539
-160.0 4.11 -0.26 -0.0 0.0 0 75.586 65.3 3939.131
-160.0 4.11 -0.26 -0.0 0.0 0 75.564 65.322 3938.714
-160.0 4.11 -0.26 -0.0 0.0 0 75.549 65.337 3938.309
-160.0 4.11 -0.26 -0.0 0.0 0 75.526 65.36 3937.892
-160.0 4.11 -0.26 -0.0 0.0 0 75.502 65.384 3937.484
-160.0 4.11 -0.26 -0.0 0.0 0 75.489 65.397 3937.07
-160.0 4.11 -0.26 -0.0 0.0 0 75.464 65.422 3936.662
-160.0 4.11 -0.26 -0.0 0.0 0 75.442 65.444 3936.245
-160.0 4.11 -0.26 -0.0 0.0 0 75.427 65.459 3935.84
-160.0 4.11 -0.26 -0.0 0.0 0 75.404 65.482 3935.423
-160.0 4.11 -0.26 -0.0 0.0 0 75.389 65.497 3935.018
-160.0 4.11 -0.26 -0.0 0.0 0 75.367 65.519 3934.6
-160.0 4.11 -0.26 -0.0 0.0 0 75.342 65.544 3934.193
-160.0 4.11 -0.26 -0.0 0.0 0 75.329 65.556 3933.778
-160.0 4.11 -0.26 -0.0 0.0 0 75.304 65.581 3933.371
-160.0 4.11 -0.26 -0.0 0.0 0 75.282 65.604 3932.953
-160.0 4.11 -0.26 -0.0 0.0 0 75.267 65.619 3932.548
-160.0 4.11 -0.26 -0.0 0.0 0 75.244 65.641 3932.131
-160.0 4.11 -0.26 -0.0 -0.0 0 75.229 65.656 3931.726
-160.0 4.11 -0.26 -0.0 -0.0 0 75.207 65.678 3931.309
-160.0 4.11 -0.26 -0.0 -0.0 0 75.182 65.703 3930.901
-160.0 4.11 -0.26 -0.0 -0.0 0 75.169 65.716 3930.487
-160.0 4.11 -0.26 -0.0 -0.0 0 75.144 65.74 3930.079
-160.0 4.11 -0.26 -0.0 -0.0 0 75.132 65.753 3929.664
-160.0 4.11 -0.26 -0.0 -0.0 0 75.107 65.778 3929.257
-160.0 4.11 -0.26 -0.0 -0.0 0 75.084 65.8 3928.84
-160.0 4.11 -0.26 -0.0 -0.0 0 75.069 65.815 3928.435
-160.0 4.11 -0.26 -0.0 -0.0 0 75.047 65.838 3928.018
-160.0 4.11 -0.26 -0.0 -0.0 0 75.032 65.853 3927.612
-160.0 4.11 -0.26 -0.0 -0.0 0 75.009 65.875 3927.195
-160.0 4.11 -0.26 -0.0 -0.0 0 74.985 65.9 3926.788
-160.0 4.1 -0.26 -0.0 -0.0 0 74.969 65.915 3926.383
-160.0 4.1 -0.26 -0.0 -0.0 0 74.947 65.937 3925.966
-160.0 4.1 -0.26 -0.0 -0.0 0 74.932 65.952 3925.56
-160.0 4.1 -0.26 -0.0 -0.0 0 74.91 65.975 3925.143
-160.0 4.1 -0.26 -0.0 -0.0 0 74.894 65.99 3924.738
-160.0 4.1 -0.26 -0.0 -0.0 0 74.872 66.012 3924.321
-160.0 4.1 -0.26 -0.0 -0.0 0 74.847 66.037 3923.914
-160.0 4.1 -0.26 -0.0 -0.0 0 74.834 66.049 3923.499
-160.0 4.1 -0.26 -0.0 -0.0 0 74.81 66.074 3923.091
-160.0 4.1 -0.26 -0.0 -0.0 0 74.797 66.087 3922.677
-160.0 4.1 -0.26 -0.0 -0.0 0 74.772 66.112 3922.269
-160.0 4.1 -0.26 -0.0 -0.0 0 74.759 66.124 3921.854
-160.0 4.1 -0.26 -0.0 -0.0 0 74.735 66.149 3921.447
-160.0 4.1 -0.26 -0.0 -0.0 0 74.71 66.174 3921.039
-160.0 4.1 -0.26 -0.0 -0.0 0 74.697 66.186 3920.625
-160.0 4.1 -0.26 -0.0 -0.0 0 74.672 66.211 3920.217
-160.0 4.1 -0.27 -0.0 -0.0 0 74.66 66.224 3919.802
-160.0 4.1 -0.27 -0.0 -0.0 0 74.635 66.248 3919.395
-160.0 4.1 -0.27 -0.0 -0.0 0 74.622 66.261 3918.98
-160.0 4.1 -0.27 0.0 -0.0 0 74.597 66.286 3918.573
-160.0 4.1 -0.27 0.0 -0.0 0 74.584 66.299 3918.158
-160.0 4.1 -0.27 0.0 -0.0 0 74.56 66.323 3917.75
-160.0 4.1 -0.27 0.0 -0.0 0 74.547 66.336 3917.336
-160.0 4.1 -0.27 0.0 -0.0 0 74.522 66.361 3916.928
-160.0 4.1 -0.27 0.0 -0.0 0 74.507 66.376 3916.523
-160.0 4.1 -0.27 0.0 -0.0 0 74.485 66.398 3916.106
-160.0 4.1 -0.27 0.0 -0.0 0 74.47 66.413 3915.701
-160.0 4.1 -0.27 0.0 -0.0 0 74.447 66.435 3915.284
-160.0 4.1 -0.27 0.0 -0.0 0 74.432 66.45 3914.879
-160.0 4.1 -0.27 0.0 -0.0 0 74.41 66.473 3914.461
-160.0 4.1 -0.27 0.0 -0.0 0 74.394 66.488 3914.056
-160.0 4.1 -0.27 0.0 -0.0 0 74.372 66.51 3913.639
-160.0 4.1 -0.27 0.0 -0.0 0 74.357 66.525 3913.234
-160.0 4.1 -0.27 0.0 -0.0 0 74.332 66.55 3912.827
-160.0 4.1 -0.27 0.0 -0.0 0 74.319 66.563 3912.412
-160.0 4.1 -0.27 0.0 -0.0 0 74.295 66.587 3912.004
-160.0 4.1 -0.27 0.0 -0.0 0 74.282 66.6 3911.59
-160.0 4.1 -0.27 0.0 -0.0 0 74.257 66.625 3911.182
-160.0 4.1 -0.27 0.0 -0.0 0 74.244 66.637 3910.767
-160.0 4.1 -0.27 0.0 -0.0 0 74.22 66.662 3910.36
-160.0 4.1 -0.27 0.0 -0.0 0 74.207 66.675 3909.945
-160.0 4.1 -0.27 0.0 -0.0 0 74.182 66.7 3909.538
-160.0 4.1 -0.27 0.0 -0.0 0 74.169 66.712 3909.123
-160.0 4.1 -0.27 0.0 -0.0 0 74.144 66.737 3908.715
-160.0 4.1 -0.27 0.0 -0.0 0 74.129 66.752 3908.31
-160.0 4.1 -0.27 0.0 -0.0 0 74.107 66.774 3907.893
-160.0 4.1 -0.27 0.0 -0.0 0 74.092 66.789 3907.488
-160.0 4.1 -0.27 0.0 -0.0 0 74.069 66.812 3907.071
-160.0 4.1 -0.27 0.0 -0.0 0 74.054 66.827 3906.666
-160.0 4.1 -0.27 0.0 -0.0 0 74.032 66.849 3906.249
-160.0 4.1 -0.27 0.0 -0.0 0 74.017 66.864 3905.844
-160.0 4.1 -0.27 0.0 -0.0 0 74.004 66.877 3905.429
-160.0 4.1 -0.27 0.0 -0.0 0 73.979 66.902 3905.021
-160.0 4.1 -0.27 0.0 -0.0 0 73.964 66.917 3904.616
-160.0 4.1 -0.27 -0.0 -0.0 0 73.942 66.939 3904.199
-160.0 4.1 -0.27 -0.0 -0.0 0 73.927 66.954 3903.794
-160.0 4.1 -0.28 -0.0 -0.0 0 73.904 66.976 3903.377
-160.0 4.1 -0.28 -0.0 -0.0 0 73.889 66.991 3902.972
