Navio: Conteneiro 336B48
Cenário: Médio 10 nós
Manobra: Entrada completa
Corrente: N 0.4nó 
Vento: SE 10nós 
Onda: 1.0m 8s SE 

zz vx vy vzz rudder_demanded propeller_demanded distance_port distance_starboard distance_target
-165.91 4.03 -0.1 -0.03 0.54 1 56.407 99.546 4723.213
-165.91 4.03 -0.1 -0.03 0.54 1 56.412 99.541 4722.813
-165.91 4.03 -0.1 -0.03 0.54 1 56.418 99.535 4722.403
-165.92 4.03 -0.1 -0.03 0.54 1 56.455 99.562 4722.002
-165.92 4.03 -0.1 -0.03 0.54 1 56.459 99.558 4721.602
-165.92 4.03 -0.1 -0.03 0.54 1 56.475 99.541 4721.195
-165.93 4.03 -0.1 -0.03 0.54 1 56.512 99.569 4720.794
-165.93 4.02 -0.1 -0.03 0.54 1 56.516 99.564 4720.394
-165.93 4.02 -0.1 -0.03 0.54 1 56.523 99.557 4719.984
-165.93 4.02 -0.1 -0.03 0.54 1 56.527 99.553 4719.584
-165.94 4.02 -0.1 -0.03 0.54 1 56.573 99.571 4719.186
-165.94 4.02 -0.1 -0.03 0.54 1 56.577 99.566 4718.786
-165.94 4.02 -0.1 -0.03 0.54 1 56.584 99.56 4718.376
-165.95 4.02 -0.1 -0.03 0.54 1 56.62 99.587 4717.976
-165.95 4.02 -0.1 -0.03 0.53 1 56.635 99.573 4717.578
-165.95 4.02 -0.1 -0.03 0.53 1 56.639 99.569 4717.178
-165.96 4.02 -0.1 -0.03 0.53 1 56.677 99.594 4716.768
-165.96 4.02 -0.1 -0.03 0.53 1 56.682 99.589 4716.368
-165.96 4.02 -0.1 -0.03 0.49 1 56.686 99.585 4715.967
-165.97 4.02 -0.1 -0.03 0.49 1 56.732 99.603 4715.57
-165.97 4.02 -0.1 -0.03 0.49 1 56.739 99.596 4715.16
-165.97 4.02 -0.1 -0.03 0.49 1 56.743 99.591 4714.759
-165.98 4.01 -0.1 -0.03 0.34 1 56.78 99.619 4714.359
-165.98 4.01 -0.1 -0.04 0.34 1 56.794 99.605 4713.961
-165.98 4.01 -0.1 -0.04 0.34 1 56.798 99.6 4713.561
-165.99 4.01 -0.1 -0.04 0.34 1 56.837 99.626 4713.151
-165.99 4.01 -0.1 -0.04 0.2 1 56.851 99.611 4712.753
-165.99 4.01 -0.1 -0.04 0.2 1 56.855 99.607 4712.353
-166.0 4.01 -0.1 -0.04 0.2 1 56.891 99.634 4711.953
-166.0 4.01 -0.1 -0.04 0.2 1 56.896 99.63 4711.553
-166.01 4.01 -0.1 -0.04 0.08 1 56.942 99.648 4711.155
-166.01 4.01 -0.1 -0.04 0.08 1 56.948 99.641 4710.745
-166.01 4.01 -0.1 -0.04 0.08 1 56.953 99.637 4710.345
-166.02 4.01 -0.1 -0.04 0.08 1 56.999 99.654 4709.947
-166.02 4.01 -0.1 -0.04 0.04 1 57.003 99.65 4709.547
-166.03 4.01 -0.1 -0.04 0.04 1 57.039 99.677 4709.146
-166.03 4.01 -0.11 -0.04 0.04 1 57.053 99.663 4708.749
-166.03 4.01 -0.11 -0.04 0.04 1 57.058 99.659 4708.348
-166.04 4.01 -0.11 -0.04 0.04 1 57.094 99.686 4707.948
-166.04 4.01 -0.11 -0.04 0.04 1 57.11 99.67 4707.541
-166.05 4.0 -0.11 -0.04 0.04 1 57.147 99.697 4707.14
-166.05 4.0 -0.11 -0.04 0.04 1 57.151 99.693 4706.74
-166.06 4.0 -0.11 -0.04 0.04 1 57.197 99.711 4706.342
-166.06 4.0 -0.11 -0.05 0.04 1 57.201 99.706 4705.942
-166.06 4.0 -0.11 -0.05 0.04 1 57.215 99.692 4705.544
-166.07 4.0 -0.11 -0.05 0.04 1 57.252 99.72 4705.144
-166.07 4.0 -0.11 -0.05 0.04 1 57.256 99.715 4704.744
-166.08 4.0 -0.11 -0.05 0.04 1 57.304 99.731 4704.336
-166.08 4.0 -0.11 -0.05 0.04 1 57.309 99.726 4703.936
-166.09 4.0 -0.11 -0.05 0.04 1 57.355 99.744 4703.538
-166.09 4.0 -0.11 -0.05 0.09 1 57.359 99.74 4703.138
-166.1 4.0 -0.11 -0.05 0.09 1 57.405 99.757 4702.74
-166.1 4.0 -0.11 -0.05 0.09 1 57.409 99.753 4702.34
-166.11 4.0 -0.11 -0.05 0.09 1 57.446 99.781 4701.94
-166.11 4.0 -0.11 -0.05 0.09 1 57.46 99.766 4701.542
-166.12 4.0 -0.11 -0.05 0.09 1 57.496 99.794 4701.142
-166.12 4.0 -0.11 -0.05 0.09 1 57.512 99.777 4700.734
-166.13 4.0 -0.11 -0.05 0.09 1 57.549 99.805 4700.334
-166.13 4.0 -0.11 -0.05 0.05 1 57.563 99.791 4699.936
-166.14 4.0 -0.11 -0.05 0.05 1 57.599 99.818 4699.536
-166.14 4.0 -0.11 -0.05 0.05 1 57.613 99.804 4699.138
-166.15 4.0 -0.11 -0.05 0.05 1 57.649 99.832 4698.738
-166.15 4.0 -0.11 -0.05 -0.02 1 57.664 99.817 4698.34
-166.16 4.0 -0.11 -0.05 -0.02 1 57.7 99.845 4697.94
-166.16 4.0 -0.11 -0.05 -0.02 1 57.716 99.828 4697.532
-166.17 4.0 -0.11 -0.05 -0.02 1 57.752 99.856 4697.132
-166.17 4.0 -0.11 -0.05 -0.02 1 57.767 99.842 4696.734
-166.18 4.0 -0.11 -0.05 -0.02 1 57.803 99.869 4696.334
-166.18 4.0 -0.11 -0.05 -0.02 1 57.817 99.855 4695.936
-166.19 4.0 -0.11 -0.05 -0.02 1 57.853 99.883 4695.536
-166.19 4.0 -0.11 -0.05 -0.02 1 57.867 99.869 4695.138
-166.2 4.0 -0.11 -0.05 -0.02 1 57.904 99.896 4694.738
-166.2 4.0 -0.11 -0.05 -0.02 1 57.92 99.88 4694.33
-166.21 4.0 -0.11 -0.05 -0.02 1 57.956 99.907 4693.93
-166.21 4.0 -0.11 -0.05 -0.02 1 57.97 99.893 4693.532
-166.22 4.0 -0.11 -0.05 -0.02 1 58.007 99.92 4693.132
-166.22 4.0 -0.11 -0.05 -0.02 1 58.021 99.906 4692.734
-166.22 4.0 -0.11 -0.05 -0.02 1 58.035 99.892 4692.336
-166.23 4.0 -0.11 -0.05 -0.0 1 58.071 99.92 4691.936
-166.23 4.0 -0.11 -0.05 -0.0 1 58.085 99.906 4691.538
-166.24 4.0 -0.11 -0.05 -0.0 1 58.124 99.931 4691.128
-166.24 4.0 -0.11 -0.05 -0.0 1 58.138 99.917 4690.73
-166.25 4.0 -0.11 -0.05 -0.0 1 58.174 99.944 4690.33
-166.25 4.0 -0.11 -0.04 -0.0 1 58.188 99.93 4689.932
-166.26 4.0 -0.11 -0.04 -0.0 1 58.224 99.957 4689.532
-166.26 4.0 -0.11 -0.04 -0.0 1 58.239 99.943 4689.134
-166.27 4.0 -0.11 -0.04 -0.0 1 58.275 99.971 4688.734
-166.27 4.0 -0.11 -0.04 -0.0 1 58.291 99.954 4688.326
-166.27 4.0 -0.11 -0.04 -0.0 1 58.296 99.95 4687.926
-166.28 4.0 -0.11 -0.04 -0.0 1 58.342 99.968 4687.528
-166.28 4.0 -0.11 -0.04 -0.0 1 58.356 99.954 4687.131
-166.29 4.0 -0.11 -0.04 -0.0 1 58.392 99.981 4686.73
-166.29 4.0 -0.11 -0.04 -0.0 1 58.406 99.967 4686.333
-166.3 4.0 -0.11 -0.04 -0.0 1 58.442 99.995 4685.932
-166.3 4.0 -0.11 -0.04 -0.0 1 58.459 99.978 4685.525
-166.3 4.0 -0.11 -0.04 -0.0 1 58.463 99.974 4685.125
-166.31 4.0 -0.11 -0.04 -0.0 1 58.509 99.991 4684.727
-166.31 4.0 -0.1 -0.04 -0.0 1 58.513 99.987 4684.326
-166.31 4.0 -0.1 -0.04 -0.0 1 58.528 99.973 4683.929
-166.32 4.0 -0.1 -0.04 -0.0 1 58.564 100.0 4683.528
-166.32 4.0 -0.1 -0.04 -0.0 1 58.578 99.986 4683.131
-166.33 4.0 -0.1 -0.04 -0.0 1 58.617 100.011 4682.721
-166.33 4.0 -0.1 -0.04 -0.0 1 58.631 99.997 4682.323
-166.33 4.0 -0.1 -0.04 -0.0 1 58.645 99.983 4681.925
-166.34 4.0 -0.1 -0.04 -0.0 1 58.681 100.011 4681.525
-166.34 4.0 -0.1 -0.04 -0.0 1 58.695 99.996 4681.127
-166.34 4.0 -0.1 -0.04 -0.0 1 58.699 99.992 4680.727
-166.35 4.0 -0.1 -0.04 -0.0 1 58.745 100.01 4680.329
-166.35 4.0 -0.1 -0.04 -0.0 1 58.752 100.003 4679.919
-166.35 4.0 -0.1 -0.04 -0.0 1 58.766 99.989 4679.521
-166.36 4.0 -0.1 -0.03 -0.0 1 58.803 100.016 4679.121
-166.36 4.0 -0.1 -0.03 -0.0 1 58.817 100.002 4678.723
-166.37 4.0 -0.1 -0.03 -0.0 1 58.863 100.02 4678.325
-166.37 4.0 -0.1 -0.03 -0.0 1 58.867 100.016 4677.925
-166.37 4.0 -0.1 -0.03 -0.0 1 58.881 100.002 4677.527
-166.38 4.0 -0.1 -0.03 -0.0 1 58.93 99.983 4677.127
-166.38 4.0 -0.1 -0.03 -0.0 1 58.947 99.967 4676.719
-166.38 4.0 -0.1 -0.03 -0.0 1 58.951 99.963 4676.319
-166.39 4.0 -0.1 -0.03 -0.0 1 58.933 99.916 4675.921
-166.39 4.0 -0.1 -0.03 -0.0 1 58.947 99.902 4675.523
-166.39 4.0 -0.1 -0.03 -0.0 1 58.951 99.898 4675.123
-166.4 4.0 -0.1 -0.03 -0.0 1 58.934 99.852 4674.725
-166.4 4.0 -0.1 -0.03 -0.0 1 58.938 99.847 4674.325
-166.4 4.0 -0.1 -0.03 -0.0 1 58.952 99.833 4673.927
-166.41 4.0 -0.1 -0.03 -0.0 1 58.934 99.787 4673.53
-166.41 4.0 -0.1 -0.03 -0.0 1 58.939 99.783 4673.129
-166.41 3.99 -0.1 -0.04 -0.0 1 58.953 99.769 4672.731
-166.42 3.99 -0.1 -0.04 -0.0 1 58.925 99.732 4672.331
-166.42 3.99 -0.1 -0.04 -0.0 1 58.941 99.716 4671.924
-166.42 3.99 -0.1 -0.04 -0.0 1 58.956 99.702 4671.526
-166.43 3.99 -0.1 -0.04 -0.0 1 58.928 99.665 4671.126
-166.43 3.99 -0.11 -0.04 -0.0 1 58.942 99.651 4670.728
-166.43 3.99 -0.11 -0.04 -0.0 1 58.956 99.637 4670.33
-166.44 3.99 -0.11 -0.04 -0.0 1 58.929 99.601 4669.93
-166.44 3.99 -0.11 -0.04 -0.0 1 58.943 99.587 4669.532
-166.45 3.99 -0.11 -0.04 -0.0 1 58.925 99.54 4669.134
-166.45 3.99 -0.11 -0.04 -0.0 1 58.929 99.536 4668.734
-166.45 3.99 -0.11 -0.04 -0.0 1 58.943 99.522 4668.336
-166.46 3.99 -0.11 -0.04 -0.0 1 58.925 99.476 4667.938
-166.46 3.99 -0.11 -0.04 -0.0 1 58.939 99.462 4667.54
-166.47 3.99 -0.11 -0.04 -0.0 1 58.912 99.425 4667.14
-166.47 3.99 -0.11 -0.04 -0.0 1 58.926 99.411 4666.742
-166.47 3.99 -0.11 -0.04 -0.0 1 58.94 99.397 4666.344
-166.48 3.99 -0.11 -0.04 -0.0 1 58.912 99.361 4665.944
-166.48 3.99 -0.11 -0.04 -0.0 1 58.926 99.347 4665.546
-166.49 3.99 -0.11 -0.04 -0.0 1 58.909 99.301 4665.149
-166.49 3.98 -0.11 -0.04 -0.0 1 58.923 99.286 4664.751
-166.49 3.98 -0.11 -0.04 -0.0 1 58.927 99.282 4664.35
-166.5 3.98 -0.11 -0.04 -0.0 1 58.909 99.236 4663.953
-166.5 3.98 -0.11 -0.04 -0.0 1 58.923 99.222 4663.555
-166.51 3.98 -0.11 -0.04 -0.0 1 58.905 99.176 4663.157
-166.51 3.98 -0.11 -0.04 -0.0 1 58.919 99.162 4662.759
-166.51 3.98 -0.11 -0.04 -0.0 1 58.924 99.157 4662.359
-166.52 3.98 -0.11 -0.04 -0.0 1 58.906 99.111 4661.961
-166.52 3.98 -0.11 -0.04 -0.0 1 58.92 99.097 4661.563
-166.53 3.98 -0.11 -0.04 -0.0 1 58.902 99.051 4661.165
-166.53 3.98 -0.11 -0.04 -0.0 1 58.916 99.037 4660.768
-166.54 3.98 -0.11 -0.04 -0.0 1 58.889 99.0 4660.367
-166.54 3.98 -0.11 -0.04 -0.0 1 58.903 98.986 4659.969
-166.55 3.98 -0.11 -0.04 -0.0 1 58.885 98.94 4659.572
-166.55 3.98 -0.11 -0.05 -0.0 1 58.899 98.926 4659.174
-166.55 3.98 -0.11 -0.05 -0.0 1 58.913 98.912 4658.776
-166.56 3.98 -0.11 -0.05 -0.0 1 58.895 98.866 4658.378
-166.56 3.98 -0.11 -0.05 -0.0 1 58.909 98.852 4657.98
-166.57 3.98 -0.11 -0.05 -0.0 1 58.882 98.815 4657.58
-166.57 3.98 -0.11 -0.05 -0.0 1 58.896 98.801 4657.182
-166.58 3.98 -0.11 -0.05 -0.0 1 58.878 98.755 4656.784
-166.58 3.98 -0.11 -0.05 -0.0 1 58.892 98.741 4656.387
-166.59 3.98 -0.12 -0.05 -0.0 1 58.874 98.695 4655.989
-166.59 3.98 -0.12 -0.05 -0.0 1 58.886 98.683 4655.601
-166.6 3.98 -0.12 -0.05 -0.0 1 58.868 98.637 4655.203
-166.6 3.98 -0.12 -0.05 -0.0 1 58.882 98.623 4654.805
-166.6 3.98 -0.12 -0.05 -0.0 1 58.896 98.609 4654.407
-166.61 3.98 -0.12 -0.05 -0.0 1 58.869 98.573 4654.007
-166.61 3.98 -0.12 -0.05 -0.0 1 58.883 98.558 4653.609
-166.62 3.97 -0.12 -0.05 -0.0 1 58.865 98.512 4653.211
-166.62 3.97 -0.12 -0.05 -0.0 1 58.879 98.498 4652.813
-166.63 3.97 -0.12 -0.05 -0.0 1 58.861 98.452 4652.416
-166.63 3.97 -0.11 -0.05 -0.0 1 58.875 98.438 4652.018
-166.64 3.97 -0.11 -0.04 -0.0 1 58.857 98.392 4651.62
-166.64 3.97 -0.11 -0.04 -0.0 1 58.871 98.378 4651.222
-166.65 3.97 -0.11 -0.04 -0.0 1 58.853 98.332 4650.824
-166.65 3.97 -0.11 -0.04 -0.0 1 58.868 98.318 4650.426
-166.65 3.97 -0.11 -0.04 -0.0 1 58.882 98.304 4650.028
-166.66 3.97 -0.11 -0.04 -0.0 1 58.861 98.26 4649.64
-166.66 3.97 -0.11 -0.04 -0.0 1 58.876 98.246 4649.243
-166.67 3.97 -0.11 -0.04 -0.0 1 58.858 98.2 4648.845
-166.67 3.97 -0.11 -0.04 -0.0 1 58.862 98.195 4648.444
-166.68 3.97 -0.11 -0.04 -0.0 1 58.844 98.149 4648.047
-166.68 3.97 -0.11 -0.04 -0.0 1 58.858 98.135 4647.649
-166.68 3.97 -0.11 -0.04 -0.0 1 58.872 98.121 4647.251
-166.69 3.97 -0.11 -0.04 -0.0 1 58.854 98.075 4646.853
-166.69 3.97 -0.11 -0.04 -0.0 1 58.869 98.061 4646.455
-166.7 3.97 -0.11 -0.04 -0.0 1 58.851 98.015 4646.057
-166.7 3.97 -0.11 -0.04 -0.0 1 58.865 98.0 4645.66
-166.7 3.97 -0.11 -0.04 -0.0 1 58.879 97.986 4645.262
-166.71 3.97 -0.11 -0.04 -0.0 1 58.861 97.94 4644.864
-166.71 3.97 -0.11 -0.04 -0.0 1 58.873 97.929 4644.476
-166.72 3.97 -0.11 -0.04 -0.0 1 58.855 97.882 4644.078
-166.72 3.97 -0.11 -0.04 -0.0 1 58.869 97.868 4643.68
-166.72 3.97 -0.11 -0.04 -0.0 1 58.883 97.854 4643.282
-166.73 3.97 -0.11 -0.04 -0.0 1 58.865 97.808 4642.884
-166.73 3.97 -0.11 -0.04 -0.0 1 58.879 97.794 4642.487
-166.74 3.97 -0.11 -0.04 -0.0 1 58.861 97.748 4642.089
-166.74 3.97 -0.11 -0.04 -0.0 1 58.876 97.734 4641.691
-166.74 3.97 -0.11 -0.04 -0.0 1 58.89 97.72 4641.293
-166.75 3.97 -0.11 -0.04 -0.0 1 58.872 97.674 4640.895
-166.75 3.97 -0.11 -0.04 -0.0 1 58.886 97.66 4640.497
-166.75 3.97 -0.11 -0.04 -0.0 1 58.9 97.645 4640.1
-166.76 3.97 -0.11 -0.04 -0.0 1 58.872 97.609 4639.699
-166.76 3.97 -0.11 -0.04 -0.0 1 58.884 97.597 4639.311
-166.76 3.97 -0.11 -0.04 -0.0 1 58.898 97.583 4638.913
-166.77 3.97 -0.11 -0.03 -0.0 1 58.88 97.537 4638.516
-166.77 3.97 -0.11 -0.03 -0.0 1 58.894 97.523 4638.118
-166.78 3.97 -0.11 -0.03 -0.0 1 58.877 97.477 4637.72
-166.78 3.97 -0.11 -0.03 -0.0 1 58.891 97.463 4637.322
-166.78 3.97 -0.11 -0.03 -0.0 1 58.905 97.449 4636.924
-166.79 3.97 -0.11 -0.03 -0.0 1 58.887 97.403 4636.526
-166.79 3.97 -0.11 -0.03 -0.0 1 58.901 97.388 4636.129
-166.79 3.97 -0.11 -0.03 -0.0 1 58.915 97.374 4635.731
-166.8 3.97 -0.11 -0.03 -0.0 1 58.897 97.328 4635.333
-166.8 3.97 -0.11 -0.03 -0.0 1 58.911 97.314 4634.935
-166.8 3.97 -0.11 -0.03 -0.0 1 58.925 97.3 4634.537
-166.81 3.97 -0.11 -0.03 -0.0 1 58.905 97.256 4634.149
-166.81 3.97 -0.11 -0.03 -0.0 1 58.919 97.242 4633.751
-166.81 3.97 -0.11 -0.03 -0.0 1 58.933 97.228 4633.353
-166.81 3.97 -0.11 -0.03 -0.0 1 58.947 97.214 4632.956
-166.82 3.97 -0.11 -0.03 -0.0 1 58.93 97.168 4632.558
-166.82 3.97 -0.11 -0.03 -0.0 1 58.944 97.154 4632.16
-166.82 3.97 -0.11 -0.03 -0.0 1 58.958 97.14 4631.762
-166.83 3.97 -0.11 -0.03 -0.0 1 58.94 97.094 4631.364
-166.83 3.97 -0.11 -0.03 -0.0 1 58.954 97.079 4630.966
-166.83 3.97 -0.11 -0.03 -0.0 1 58.968 97.065 4630.569
-166.84 3.97 -0.11 -0.03 -0.0 1 58.95 97.019 4630.171
-166.84 3.97 -0.11 -0.03 -0.0 1 58.962 97.007 4629.783
-166.84 3.97 -0.11 -0.03 -0.0 1 58.976 96.993 4629.385
-166.85 3.97 -0.11 -0.03 -0.0 1 58.958 96.947 4628.987
-166.85 3.97 -0.11 -0.03 -0.0 1 58.972 96.933 4628.589
-166.85 3.97 -0.11 -0.03 -0.0 1 58.986 96.919 4628.191
-166.86 3.97 -0.11 -0.03 -0.0 1 58.978 96.863 4627.796
-166.86 3.97 -0.11 -0.03 -0.0 1 58.992 96.849 4627.398
-166.86 3.97 -0.11 -0.03 -0.0 1 59.006 96.835 4627.0
-166.87 3.97 -0.11 -0.03 -0.0 1 58.988 96.789 4626.602
-166.87 3.97 -0.11 -0.03 -0.0 1 59.003 96.775 4626.204
-166.87 3.97 -0.11 -0.03 -0.0 1 59.014 96.763 4625.816
-166.88 3.97 -0.11 -0.03 -0.0 1 58.996 96.717 4625.418
-166.88 3.97 -0.11 -0.03 -0.0 1 59.011 96.703 4625.021
-166.88 3.97 -0.11 -0.03 -0.0 1 59.025 96.689 4624.623
-166.89 3.97 -0.11 -0.03 -0.0 1 59.007 96.643 4624.225
-166.89 3.97 -0.11 -0.03 -0.0 1 59.021 96.629 4623.827
-166.89 3.97 -0.11 -0.03 -0.0 1 59.035 96.614 4623.429
-166.9 3.96 -0.11 -0.03 -0.0 1 59.027 96.559 4623.034
-166.9 3.96 -0.11 -0.03 -0.0 1 59.039 96.547 4622.646
-166.9 3.96 -0.11 -0.04 -0.0 1 59.053 96.533 4622.248
-166.91 3.96 -0.11 -0.04 -0.0 1 59.035 96.487 4621.85
-166.91 3.96 -0.11 -0.04 -0.0 1 59.049 96.473 4621.452
-166.92 3.96 -0.11 -0.04 -0.0 1 59.031 96.427 4621.054
-166.92 3.96 -0.12 -0.04 -0.0 1 59.045 96.412 4620.657
-166.92 3.96 -0.12 -0.04 -0.0 1 59.069 96.389 4620.261
-166.93 3.96 -0.12 -0.04 -0.0 1 59.049 96.345 4619.873
-166.93 3.96 -0.12 -0.04 -0.0 1 59.063 96.331 4619.475
-166.93 3.96 -0.12 -0.04 -0.0 1 59.077 96.317 4619.077
-166.94 3.96 -0.12 -0.04 -0.0 1 59.059 96.271 4618.679
-166.94 3.96 -0.12 -0.04 -0.0 1 59.073 96.256 4618.282
-166.94 3.96 -0.12 -0.04 -0.0 1 59.097 96.233 4617.886
-166.95 3.96 -0.12 -0.04 -0.0 1 59.079 96.187 4617.488
-166.95 3.96 -0.12 -0.04 -0.0 1 59.091 96.175 4617.1
-166.96 3.96 -0.12 -0.04 -0.0 1 59.073 96.129 4616.702
-166.96 3.96 -0.12 -0.04 -0.0 1 59.087 96.115 4616.305
-166.96 3.96 -0.12 -0.04 -0.0 1 59.111 96.091 4615.909
-166.97 3.96 -0.12 -0.04 -0.0 1 59.093 96.045 4615.511
-166.97 3.96 -0.12 -0.04 -0.0 1 59.105 96.033 4615.123
-166.97 3.96 -0.12 -0.04 -0.0 1 59.119 96.019 4614.725
-166.98 3.96 -0.12 -0.04 -0.0 1 59.101 95.973 4614.327
-166.98 3.96 -0.12 -0.04 -0.07 1 59.125 95.949 4613.932
-166.99 3.96 -0.12 -0.04 -0.07 1 59.107 95.903 4613.534
-166.99 3.95 -0.12 -0.04 -0.07 1 59.121 95.889 4613.136
-166.99 3.95 -0.12 -0.04 -0.07 1 59.133 95.877 4612.748
-167.0 3.95 -0.12 -0.04 -0.23 1 59.125 95.821 4612.353
-167.0 3.95 -0.12 -0.04 -0.23 1 59.139 95.807 4611.955
-167.01 3.95 -0.12 -0.04 -0.23 1 59.121 95.761 4611.557
-167.01 3.95 -0.12 -0.04 -0.23 1 59.133 95.749 4611.169
-167.01 3.95 -0.12 -0.04 -0.23 1 59.156 95.725 4610.774
-167.02 3.95 -0.12 -0.04 -0.23 1 59.139 95.679 4610.376
-167.02 3.95 -0.12 -0.04 -0.23 1 59.153 95.665 4609.978
-167.02 3.95 -0.12 -0.04 -0.23 1 59.176 95.641 4609.582
-167.03 3.95 -0.12 -0.04 -0.23 1 59.156 95.598 4609.194
-167.03 3.95 -0.12 -0.04 -0.23 1 59.17 95.584 4608.796
-167.04 3.95 -0.12 -0.04 -0.23 1 59.153 95.538 4608.399
-167.04 3.95 -0.12 -0.04 -0.23 1 59.176 95.514 4608.003
-167.04 3.95 -0.12 -0.04 -0.23 1 59.188 95.502 4607.615
-167.05 3.95 -0.12 -0.04 -0.23 1 59.17 95.456 4607.217
-167.05 3.95 -0.12 -0.04 -0.23 1 59.194 95.432 4606.822
-167.05 3.95 -0.12 -0.04 -0.23 1 59.208 95.418 4606.424
-167.06 3.95 -0.12 -0.04 -0.23 1 59.188 95.374 4606.036
-167.06 3.95 -0.12 -0.04 -0.23 1 59.202 95.36 4605.638
-167.07 3.95 -0.12 -0.04 -0.23 1 59.194 95.304 4605.243
-167.07 3.95 -0.12 -0.04 -0.23 1 59.208 95.29 4604.845
-167.07 3.95 -0.12 -0.04 -0.23 1 59.22 95.278 4604.457
-167.08 3.95 -0.12 -0.04 -0.23 1 59.212 95.223 4604.061
-167.08 3.95 -0.12 -0.04 -0.23 1 59.226 95.209 4603.663
-167.08 3.95 -0.12 -0.04 -0.23 1 59.24 95.194 4603.265
-167.09 3.95 -0.12 -0.03 -0.23 1 59.229 95.141 4602.88
-167.09 3.95 -0.12 -0.03 -0.23 1 59.243 95.127 4602.482
