Navio: Aframax
Cenário: Forte
Manobra: Entrada
Corrente: N 0.5nó 
Vento: SE 15 nós 
Onda: 1.7m 10s SE 

zz vx vy vzz rudder_demanded propeller_demanded distance_port distance_starboard distance_target
-166.0 3.08 -0.0 -0.0 -0.04 1 90.868 75.206 3142.462
-166.0 3.08 -0.0 -0.0 -0.04 1 90.861 75.213 3142.152
-166.0 3.08 -0.0 -0.0 -0.04 1 90.863 75.21 3141.844
-166.0 3.08 -0.0 -0.0 -0.04 1 90.856 75.217 3141.533
-166.0 3.08 -0.0 -0.0 -0.04 1 90.859 75.215 3141.225
-166.0 3.08 -0.0 -0.0 -0.04 1 90.852 75.222 3140.915
-166.0 3.08 -0.0 -0.0 -0.04 1 90.852 75.221 3140.616
-166.0 3.08 -0.0 -0.0 -0.04 1 90.845 75.229 3140.306
-166.0 3.08 -0.0 -0.0 -0.04 1 90.847 75.226 3139.998
-166.0 3.08 -0.0 -0.0 -0.04 1 90.85 75.223 3139.69
-166.0 3.08 -0.0 -0.0 -0.04 1 90.843 75.23 3139.379
-166.0 3.08 -0.01 -0.0 -0.04 1 90.845 75.228 3139.071
-166.0 3.08 -0.01 -0.01 -0.04 1 90.838 75.235 3138.761
-166.0 3.08 -0.01 -0.01 -0.04 1 90.841 75.232 3138.453
-166.0 3.08 -0.01 -0.01 -0.04 1 90.843 75.229 3138.145
-166.01 3.08 -0.01 -0.01 -0.04 1 90.858 75.258 3137.834
-166.01 3.08 -0.01 -0.01 -0.04 1 90.86 75.255 3137.526
-166.01 3.08 -0.01 -0.01 -0.04 1 90.853 75.262 3137.216
-166.01 3.08 -0.01 -0.01 -0.04 1 90.856 75.26 3136.908
-166.01 3.08 -0.01 -0.01 -0.04 1 90.858 75.257 3136.6
-166.01 3.08 -0.01 -0.01 -0.04 1 90.849 75.266 3136.299
-166.01 3.08 -0.01 -0.01 -0.04 1 90.851 75.264 3135.991
-166.01 3.08 -0.01 -0.01 -0.04 1 90.854 75.261 3135.683
-166.01 3.08 -0.01 -0.01 -0.04 1 90.847 75.268 3135.373
-166.01 3.08 -0.01 -0.01 -0.04 1 90.85 75.265 3135.065
-166.01 3.08 -0.01 -0.01 -0.04 1 90.852 75.263 3134.757
-166.01 3.08 -0.01 -0.01 -0.04 1 90.845 75.27 3134.446
-166.02 3.08 -0.01 -0.01 -0.04 1 90.869 75.289 3134.138
-166.02 3.08 -0.01 -0.01 -0.04 1 90.872 75.286 3133.83
-166.02 3.08 -0.01 -0.01 -0.04 1 90.864 75.293 3133.52
-166.02 3.08 -0.01 -0.01 -0.04 1 90.867 75.29 3133.212
-166.02 3.08 -0.01 -0.01 -0.04 1 90.87 75.288 3132.904
-166.02 3.08 -0.01 -0.01 -0.04 1 90.863 75.295 3132.593
-166.02 3.08 -0.02 -0.01 -0.04 1 90.865 75.292 3132.285
-166.02 3.08 -0.02 -0.01 -0.04 1 90.865 75.292 3131.987
-166.03 3.08 -0.02 -0.01 -0.04 1 90.889 75.31 3131.679
-166.03 3.08 -0.02 -0.01 -0.04 1 90.882 75.318 3131.369
-166.03 3.08 -0.02 -0.01 -0.04 1 90.885 75.315 3131.061
-166.03 3.08 -0.02 -0.01 -0.04 1 90.887 75.312 3130.753
-166.03 3.08 -0.02 -0.01 -0.04 1 90.88 75.319 3130.442
-166.03 3.08 -0.02 -0.01 -0.04 1 90.883 75.317 3130.134
-166.03 3.08 -0.02 -0.01 -0.04 1 90.885 75.314 3129.826
-166.04 3.08 -0.02 -0.02 -0.04 1 90.909 75.333 3129.518
-166.04 3.08 -0.02 -0.02 -0.04 1 90.902 75.34 3129.208
-166.04 3.08 -0.02 -0.02 -0.04 1 90.905 75.337 3128.9
-166.04 3.08 -0.02 -0.02 -0.04 1 90.908 75.334 3128.592
-166.04 3.08 -0.02 -0.02 -0.04 1 90.91 75.332 3128.284
-166.04 3.08 -0.02 -0.02 -0.04 1 90.913 75.329 3127.976
