Navio: Aframax
Cenário: Forte
Manobra: Entrada
Corrente: N 1 nó 
Vento: SE 20 nós 
Onda: 2m 12s SE 

zz vx vy vzz rudder_demanded propeller_demanded distance_port distance_starboard distance_target
-158.0 3.08 -0.0 -0.0 0.01 1 74.018 58.457 3142.459
-158.0 3.08 -0.0 -0.0 0.01 0 73.977 58.498 3142.161
-158.0 3.08 -0.0 -0.0 0.01 0 73.929 58.547 3141.85
-158.0 3.08 -0.0 -0.0 0.01 1 73.888 58.588 3141.552
-158.0 3.08 -0.0 -0.0 0.01 1 73.839 58.636 3141.241
-158.0 3.08 -0.01 -0.01 0.01 1 73.801 58.674 3140.933
-158.0 3.08 -0.01 -0.01 0.01 1 73.75 58.725 3140.632
-158.0 3.08 -0.01 -0.01 0.01 1 73.711 58.764 3140.324
-158.0 3.08 -0.01 -0.01 0.01 1 73.663 58.812 3140.013
-158.0 3.08 -0.01 -0.01 0.01 1 73.622 58.853 3139.714
-158.01 3.08 -0.01 -0.01 0.01 1 73.594 58.922 3139.404
-158.01 3.08 -0.01 -0.01 0.01 1 73.553 58.963 3139.105
-158.01 3.08 -0.01 -0.01 0.01 1 73.515 59.001 3138.797
-158.01 3.08 -0.01 -0.01 0.01 1 73.466 59.05 3138.486
-158.01 3.08 -0.01 -0.01 0.01 1 73.425 59.09 3138.188
-158.01 3.08 -0.01 -0.01 0.01 1 73.377 59.139 3137.877
-158.01 3.08 -0.02 -0.01 0.01 1 73.338 59.177 3137.569
-158.01 3.08 -0.02 -0.02 0.01 1 73.288 59.228 3137.268
-158.02 3.08 -0.02 -0.02 0.01 1 73.27 59.287 3136.96
-158.02 3.08 -0.02 -0.02 0.01 1 73.231 59.326 3136.652
-158.02 3.08 -0.02 -0.02 0.01 1 73.18 59.376 3136.351
-158.02 3.08 -0.02 -0.02 0.01 1 73.142 59.415 3136.043
-158.02 3.08 -0.02 -0.02 0.01 1 73.103 59.454 3135.734
-158.02 3.08 -0.02 -0.02 0.01 1 73.052 59.504 3135.433
-158.03 3.08 -0.02 -0.02 0.01 1 73.034 59.563 3135.125
-158.03 3.08 -0.02 -0.02 0.01 1 72.996 59.602 3134.817
-158.03 3.08 -0.02 -0.02 0.01 1 72.945 59.653 3134.516
-158.03 3.08 -0.03 -0.02 0.01 1 72.906 59.691 3134.208
-158.04 3.08 -0.03 -0.02 0.01 1 72.888 59.75 3133.9
-158.04 3.08 -0.03 -0.02 0.01 1 72.847 59.791 3133.601
-158.04 3.08 -0.03 -0.02 0.01 1 72.799 59.84 3133.291
-158.04 3.08 -0.03 -0.03 0.01 1 72.76 59.878 3132.982
