Navio: Aframax
Cenário: Forte NE
Manobra: Entrada
Corrente: N 0 nó 
Vento: NE 20 nós 
Onda: 1 m 8s NE 

zz vx vy vzz rudder_demanded propeller_demanded distance_port distance_starboard distance_target
-158.0 3.08 0.0 -0.0 -0.61 0 74.018 58.457 3142.459
-158.0 3.08 0.0 -0.0 -0.61 0 73.977 58.498 3142.161
-158.0 3.08 0.0 -0.0 -0.61 0 73.929 58.547 3141.85
-158.0 3.08 0.0 -0.0 -0.61 0 73.888 58.588 3141.552
-158.0 3.08 0.0 -0.0 -0.61 0 73.839 58.636 3141.241
-158.0 3.08 0.0 -0.0 -0.61 0 73.801 58.674 3140.933
-158.0 3.08 0.0 -0.0 -0.61 0 73.75 58.725 3140.632
-158.0 3.08 0.0 -0.0 -0.61 0 73.711 58.764 3140.324
-158.0 3.08 0.0 -0.0 -0.61 0 73.661 58.814 3140.023
-158.0 3.08 0.0 -0.0 -0.61 0 73.612 58.863 3139.712
-158.0 3.08 0.0 -0.0 -0.61 0 73.574 58.901 3139.404
-158.0 3.08 0.0 -0.0 -0.61 0 73.523 58.952 3139.103
-158.0 3.08 0.0 -0.0 -0.61 0 73.484 58.99 3138.795
-158.0 3.08 0.0 -0.0 -0.61 0 73.434 59.041 3138.494
-158.0 3.08 0.0 -0.0 -0.61 0 73.395 59.08 3138.185
-158.0 3.08 0.0 -0.0 -0.61 0 73.344 59.13 3137.885
-158.0 3.08 0.0 -0.0 -0.61 0 73.306 59.169 3137.576
-158.0 3.08 0.0 -0.0 -0.61 0 73.257 59.217 3137.266
-158.0 3.08 0.0 -0.0 -0.61 0 73.216 59.258 3136.967
-158.0 3.08 0.0 -0.0 -0.61 0 73.168 59.306 3136.657
-158.0 3.08 0.0 0.0 -0.61 0 73.117 59.357 3136.356
-158.0 3.08 0.0 0.0 -0.61 0 73.079 59.396 3136.047
-158.0 3.08 0.0 0.0 -0.61 0 73.028 59.446 3135.746
-158.0 3.08 0.0 0.0 -0.61 0 72.989 59.485 3135.438
-158.0 3.08 0.0 0.0 -0.61 0 72.941 59.533 3135.128
-158.0 3.08 0.0 0.0 -0.61 0 72.9 59.574 3134.829
-158.0 3.08 0.0 0.0 -0.61 0 72.852 59.622 3134.518
-158.0 3.08 0.0 0.0 -0.61 0 72.811 59.663 3134.22
-158.0 3.08 0.0 0.0 -0.61 0 72.762 59.712 3133.909
-158.0 3.08 0.0 0.0 -0.61 0 72.721 59.753 3133.611
-158.0 3.08 0.0 0.0 -0.61 0 72.673 59.801 3133.3
-158.0 3.08 0.0 0.0 -0.61 0 72.625 59.849 3132.99
-158.0 3.08 0.0 0.0 -0.61 0 72.584 59.89 3132.691
-158.0 3.08 -0.0 0.0 -0.61 0 72.535 59.938 3132.38
-158.0 3.08 -0.0 0.0 -0.61 0 72.494 59.979 3132.082
-158.0 3.08 -0.0 0.0 -0.61 0 72.446 60.028 3131.771
-158.0 3.08 -0.0 0.0 -0.61 0 72.405 60.069 3131.473
-158.0 3.08 -0.0 0.0 -0.61 0 72.357 60.117 3131.162
-158.0 3.08 -0.0 0.0 -0.61 0 72.316 60.158 3130.864
-158.0 3.08 -0.0 0.0 -0.61 0 72.267 60.206 3130.553
-158.0 3.08 -0.0 0.0 -0.61 0 72.229 60.245 3130.245
-158.0 3.08 -0.0 0.0 -0.61 0 72.178 60.295 3129.944
-158.0 3.08 -0.0 0.0 -0.61 0 72.139 60.334 3129.636
-158.0 3.08 -0.0 0.0 -0.6 0 72.089 60.385 3129.335
-158.0 3.08 -0.0 0.0 -0.6 0 72.04 60.433 3129.024
-158.0 3.08 -0.0 0.0 -0.6 0 71.999 60.474 3128.726
-158.0 3.08 -0.0 0.0 -0.6 0 71.951 60.522 3128.415
-158.0 3.08 -0.0 0.0 -0.6 0 71.91 60.563 3128.117
