Navio: Suezmax
Cenário: Severo
Manobra: Entrada
Corrente: N 1nó 
Vento: SE 25 nós 
Onda: 2.25m 12s SE 

zz vx vy vzz rudder_demanded propeller_demanded distance_port distance_starboard distance_target
-160.0 3.08 -0.0 -0.0 -0.26 0 73.312 57.735 3142.462
-160.0 3.08 -0.0 -0.0 -0.26 0 73.283 57.764 3142.156
-160.0 3.08 -0.0 -0.0 -0.26 0 73.244 57.802 3141.848
-160.0 3.08 -0.0 -0.0 -0.26 0 73.216 57.831 3141.542
-160.0 3.08 -0.0 -0.0 -0.26 0 73.177 57.87 3141.234
-160.0 3.08 -0.01 -0.0 -0.26 0 73.148 57.899 3140.928
-160.0 3.08 -0.01 -0.0 -0.26 0 73.109 57.937 3140.62
-160.0 3.08 -0.01 -0.0 -0.26 0 73.08 57.966 3140.314
-160.0 3.08 -0.01 -0.01 -0.26 0 73.042 58.005 3140.006
-160.0 3.08 -0.01 -0.01 -0.26 0 73.013 58.033 3139.7
-160.0 3.08 -0.01 -0.01 -0.26 0 72.974 58.072 3139.392
-160.0 3.08 -0.01 -0.01 -0.26 0 72.945 58.101 3139.087
-160.01 3.08 -0.01 -0.01 -0.26 0 72.94 58.153 3138.781
-160.01 3.08 -0.01 -0.01 -0.26 0 72.902 58.192 3138.473
-160.01 3.08 -0.01 -0.01 -0.26 0 72.873 58.221 3138.167
-160.01 3.08 -0.01 -0.01 -0.26 0 72.834 58.259 3137.859
-160.01 3.08 -0.02 -0.01 -0.26 0 72.805 58.288 3137.553
-160.01 3.08 -0.02 -0.01 -0.26 0 72.766 58.327 3137.245
-160.01 3.08 -0.02 -0.01 -0.26 0 72.738 58.356 3136.939
-160.01 3.08 -0.02 -0.01 -0.26 0 72.709 58.385 3136.633
-160.01 3.08 -0.02 -0.01 -0.26 0 72.67 58.423 3136.325
-160.01 3.08 -0.02 -0.01 -0.26 0 72.641 58.452 3136.019
-160.02 3.08 -0.02 -0.01 -0.26 0 72.636 58.505 3135.714
-160.02 3.08 -0.02 -0.01 -0.26 0 72.6 58.541 3135.396
-160.02 3.08 -0.02 -0.01 -0.26 0 72.571 58.57 3135.09
-160.02 3.08 -0.02 -0.01 -0.26 0 72.542 58.599 3134.784
-160.02 3.08 -0.02 -0.02 -0.26 0 72.503 58.637 3134.476
-160.02 3.08 -0.02 -0.02 -0.26 0 72.474 58.666 3134.171
-160.02 3.08 -0.03 -0.02 -0.26 0 72.445 58.695 3133.865
-160.03 3.08 -0.03 -0.02 -0.26 0 72.43 58.757 3133.557
-160.03 3.08 -0.03 -0.02 -0.26 0 72.402 58.786 3133.251
-160.03 3.08 -0.03 -0.02 -0.26 0 72.373 58.815 3132.945
-160.03 3.08 -0.03 -0.02 -0.26 0 72.344 58.844 3132.64
-160.03 3.08 -0.03 -0.02 -0.26 0 72.305 58.882 3132.331
-160.03 3.08 -0.03 -0.02 -0.26 0 72.276 58.911 3132.026
-160.04 3.08 -0.03 -0.02 -0.26 0 72.271 58.964 3131.72
-160.04 3.08 -0.03 -0.02 -0.26 0 72.244 58.99 3131.404
-160.04 3.08 -0.03 -0.02 -0.26 0 72.206 59.029 3131.096
-160.04 3.08 -0.04 -0.02 -0.26 0 72.177 59.058 3130.791
-160.04 3.08 -0.04 -0.02 -0.26 0 72.148 59.086 3130.485
-160.05 3.08 -0.04 -0.02 -0.26 0 72.143 59.139 3130.179
-160.05 3.08 -0.04 -0.02 -0.26 0 72.114 59.168 3129.873
-160.05 3.08 -0.04 -0.02 -0.26 0 72.085 59.197 3129.568
-160.05 3.08 -0.04 -0.02 -0.26 0 72.046 59.235 3129.26
-160.06 3.08 -0.04 -0.02 -0.26 0 72.041 59.288 3128.954
-160.06 3.08 -0.04 -0.02 -0.26 0 72.014 59.314 3128.638
-160.06 3.08 -0.04 -0.02 -0.26 0 71.986 59.343 3128.333
-160.06 3.08 -0.04 -0.02 -0.26 0 71.957 59.372 3128.027
-160.07 3.08 -0.04 -0.02 -0.26 0 71.951 59.425 3127.721
