Navio: Aframax
Cenário: Médio
Manobra: Entrada
Corrente: N 0.5nó 
Vento: SE 15 nós 
Onda: 1.0m 8s SE 

zz vx vy vzz rudder_demanded propeller_demanded distance_port distance_starboard distance_target
-158.0 3.08 -0.0 -0.0 0.0 0 74.018 58.457 3142.459
-158.0 3.08 -0.0 -0.0 0.0 0 73.977 58.498 3142.161
-158.0 3.08 -0.0 -0.0 0.0 0 73.929 58.547 3141.85
-158.0 3.08 -0.0 -0.0 0.0 0 73.888 58.588 3141.552
-158.0 3.08 -0.0 -0.0 0.0 0 73.839 58.636 3141.241
-158.0 3.08 -0.0 -0.0 0.0 0 73.801 58.674 3140.933
-158.0 3.08 -0.0 -0.0 0.0 0 73.75 58.725 3140.632
-158.0 3.08 -0.0 -0.0 0.0 0 73.711 58.764 3140.324
-158.0 3.08 -0.0 -0.0 0.0 0 73.661 58.814 3140.023
-158.0 3.08 -0.0 -0.0 0.0 0 73.622 58.853 3139.714
-158.0 3.08 -0.0 -0.0 0.0 0 73.574 58.901 3139.404
-158.0 3.08 -0.01 -0.01 0.0 0 73.533 58.942 3139.105
-158.0 3.08 -0.01 -0.01 0.0 0 73.484 58.99 3138.795
-158.0 3.08 -0.01 -0.01 0.0 0 73.443 59.031 3138.496
-158.0 3.08 -0.01 -0.01 0.0 0 73.395 59.08 3138.185
-158.01 3.08 -0.01 -0.01 0.0 0 73.377 59.139 3137.877
-158.01 3.08 -0.01 -0.01 0.0 0 73.326 59.189 3137.576
-158.01 3.08 -0.01 -0.01 0.0 0 73.288 59.228 3137.268
-158.01 3.08 -0.01 -0.01 0.0 0 73.237 59.279 3136.967
-158.01 3.08 -0.01 -0.01 0.0 0 73.198 59.317 3136.659
-158.01 3.08 -0.01 -0.01 0.0 0 73.15 59.366 3136.348
-158.01 3.08 -0.01 -0.01 0.0 0 73.109 59.406 3136.05
-158.01 3.08 -0.01 -0.01 0.0 0 73.061 59.455 3135.739
-158.01 3.08 -0.01 -0.01 0.0 0 73.022 59.493 3135.431
-158.01 3.08 -0.01 -0.01 0.0 0 72.981 59.534 3135.133
-158.01 3.08 -0.01 -0.01 0.0 0 72.933 59.583 3134.822
-158.02 3.08 -0.01 -0.01 0.0 0 72.912 59.644 3134.523
-158.02 3.08 -0.01 -0.01 0.0 0 72.864 59.692 3134.213
-158.02 3.08 -0.01 -0.01 0.0 0 72.825 59.731 3133.905
-158.02 3.08 -0.01 -0.01 0.0 0 72.775 59.782 3133.604
-158.02 3.08 -0.01 -0.01 0.0 0 72.736 59.82 3133.295
-158.02 3.08 -0.01 -0.01 0.0 0 72.695 59.861 3132.997
-158.02 3.08 -0.01 -0.01 0.0 0 72.647 59.909 3132.686
-158.02 3.08 -0.01 -0.01 0.0 0 72.608 59.948 3132.378
-158.03 3.08 -0.01 -0.01 0.0 0 72.578 60.019 3132.077
-158.03 3.08 -0.01 -0.01 0.0 0 72.539 60.058 3131.769
-158.03 3.08 -0.01 -0.01 0.0 0 72.498 60.099 3131.47
-158.03 3.08 -0.02 -0.02 0.0 0 72.45 60.147 3131.16
-158.03 3.08 -0.02 -0.02 0.0 0 72.411 60.186 3130.852
-158.03 3.08 -0.02 -0.02 0.0 0 72.361 60.236 3130.551
-158.03 3.08 -0.02 -0.02 0.0 0 72.322 60.275 3130.243
-158.04 3.08 -0.02 -0.02 0.0 0 72.304 60.334 3129.934
-158.04 3.08 -0.02 -0.02 0.0 0 72.253 60.385 3129.633
-158.04 3.08 -0.02 -0.02 0.0 0 72.215 60.423 3129.325
-158.04 3.08 -0.02 -0.02 0.0 0 72.174 60.464 3129.027
-158.04 3.08 -0.02 -0.02 0.0 0 72.125 60.513 3128.716
-158.04 3.08 -0.02 -0.02 0.0 0 72.087 60.551 3128.408
-158.05 3.08 -0.02 -0.02 0.0 0 72.066 60.613 3128.109
-158.05 3.08 -0.02 -0.02 0.0 0 72.018 60.661 3127.799
-158.05 3.08 -0.02 -0.02 0.0 0 71.979 60.7 3127.491
-158.05 3.08 -0.02 -0.02 0.0 0 71.938 60.74 3127.192
-158.05 3.08 -0.02 -0.02 0.0 0 71.89 60.789 3126.882
-158.06 3.08 -0.02 -0.02 0.0 0 71.87 60.85 3126.583
-158.06 3.08 -0.02 -0.02 0.0 0 71.831 60.889 3126.275
-158.06 3.08 -0.02 -0.02 0.0 0 71.783 60.937 3125.964
-158.06 3.08 -0.02 -0.02 0.0 0 71.742 60.978 3125.666
-158.06 3.08 -0.02 -0.02 0.0 0 71.703 61.017 3125.358
-158.07 3.08 -0.02 -0.02 0.0 0 71.685 61.076 3125.049
-158.07 3.08 -0.02 -0.02 0.0 0 71.634 61.127 3124.749
-158.07 3.08 -0.02 -0.02 0.0 0 71.596 61.165 3124.44
-158.07 3.08 -0.02 -0.02 0.0 0 71.557 61.204 3124.132
-158.08 3.08 -0.02 -0.02 0.0 0 71.527 61.275 3123.831
-158.08 3.08 -0.02 -0.02 0.0 0 71.488 61.314 3123.523
-158.08 3.08 -0.02 -0.02 0.0 0 71.45 61.352 3123.215
-158.08 3.08 -0.03 -0.02 0.0 0 71.409 61.393 3122.916
-158.08 3.08 -0.03 -0.02 0.0 0 71.36 61.441 3122.606
-158.09 3.08 -0.03 -0.02 0.0 0 71.34 61.503 3122.307
-158.09 3.08 -0.03 -0.02 0.0 0 71.301 61.541 3121.999
-158.09 3.08 -0.03 -0.02 0.0 0 71.263 61.58 3121.691
-158.09 3.08 -0.03 -0.03 0.0 0 71.212 61.631 3121.39
-158.1 3.08 -0.03 -0.03 0.0 0 71.194 61.69 3121.082
-158.1 3.08 -0.03 -0.03 0.0 0 71.155 61.728 3120.774
-158.1 3.08 -0.03 -0.03 0.0 0 71.114 61.769 3120.475
-158.1 3.08 -0.03 -0.03 0.0 0 71.066 61.818 3120.165
-158.11 3.08 -0.03 -0.03 0.0 0 71.048 61.877 3119.857
-158.11 3.08 -0.03 -0.03 0.0 0 71.007 61.918 3119.558
-158.11 3.08 -0.03 -0.03 0.0 0 70.968 61.956 3119.25
-158.12 3.08 -0.03 -0.03 0.0 0 70.95 62.016 3118.942
-158.12 3.08 -0.03 -0.03 0.0 0 70.902 62.064 3118.631
-158.12 3.08 -0.03 -0.03 0.0 0 70.861 62.105 3118.333
-158.12 3.08 -0.03 -0.03 0.0 0 70.822 62.143 3118.024
-158.13 3.08 -0.03 -0.03 0.0 0 70.804 62.203 3117.716
-158.13 3.08 -0.03 -0.03 0.0 0 70.763 62.244 3117.418
-158.13 3.08 -0.03 -0.03 0.0 0 70.715 62.292 3117.107
-158.14 3.08 -0.03 -0.03 0.0 0 70.697 62.351 3116.799
-158.14 3.08 -0.03 -0.03 0.0 0 70.656 62.392 3116.501
-158.14 3.08 -0.03 -0.03 0.0 0 70.617 62.431 3116.192
-158.14 3.08 -0.03 -0.03 0.0 0 70.579 62.469 3115.884
-158.15 3.08 -0.03 -0.03 0.0 0 70.558 62.531 3115.586
-158.15 3.08 -0.03 -0.03 0.0 0 70.52 62.569 3115.278
-158.15 3.08 -0.03 -0.04 0.0 0 70.471 62.618 3114.967
-158.16 3.08 -0.04 -0.04 0.0 0 70.451 62.679 3114.669
-158.16 3.08 -0.04 -0.04 0.0 0 70.412 62.718 3114.36
-158.17 3.08 -0.04 -0.04 0.0 0 70.394 62.777 3114.052
-158.17 3.08 -0.04 -0.04 0.0 0 70.353 62.818 3113.754
-158.17 3.08 -0.04 -0.05 0.0 0 70.315 62.856 3113.446
