Navio: Aframax
Cenário: Forte
Manobra: Entrada
Corrente: N 1nó 
Vento: SE 20 nós 
Onda: 1.7m 10s SE 

zz vx vy vzz rudder_demanded propeller_demanded distance_port distance_starboard distance_target
-158.0 3.08 -0.0 -0.0 -0.02 0 74.018 58.457 3142.459
-158.0 3.08 -0.0 -0.0 -0.02 0 73.977 58.498 3142.161
-158.0 3.08 -0.0 -0.0 -0.02 0 73.929 58.547 3141.85
-158.0 3.08 -0.0 -0.0 -0.02 0 73.888 58.588 3141.552
-158.0 3.08 -0.0 -0.0 -0.02 0 73.839 58.636 3141.241
-158.0 3.08 -0.01 -0.01 -0.02 0 73.801 58.674 3140.933
-158.0 3.08 -0.01 -0.01 -0.02 0 73.75 58.725 3140.632
-158.0 3.08 -0.01 -0.01 -0.02 0 73.711 58.764 3140.324
-158.0 3.08 -0.01 -0.01 -0.02 0 73.663 58.812 3140.013
-158.0 3.08 -0.01 -0.01 -0.02 0 73.622 58.853 3139.714
-158.01 3.08 -0.01 -0.01 -0.02 0 73.594 58.922 3139.404
-158.01 3.08 -0.01 -0.01 -0.02 0 73.553 58.963 3139.105
-158.01 3.08 -0.01 -0.01 -0.02 0 73.515 59.001 3138.797
-158.01 3.08 -0.01 -0.01 -0.02 0 73.466 59.05 3138.486
-158.01 3.08 -0.01 -0.01 -0.02 0 73.425 59.09 3138.188
-158.01 3.08 -0.01 -0.01 -0.02 0 73.377 59.139 3137.877
-158.01 3.08 -0.02 -0.01 -0.02 0 73.338 59.177 3137.569
-158.01 3.08 -0.02 -0.01 -0.02 0 73.297 59.218 3137.271
-158.02 3.08 -0.02 -0.02 -0.39 0 73.27 59.287 3136.96
-158.02 3.08 -0.02 -0.02 -0.39 0 73.231 59.326 3136.652
-158.02 3.08 -0.02 -0.02 -0.39 0 73.18 59.376 3136.351
-158.02 3.08 -0.02 -0.02 -0.39 0 73.142 59.415 3136.043
-158.02 3.08 -0.02 -0.02 -0.39 0 73.103 59.454 3135.734
-158.02 3.08 -0.02 -0.02 -0.61 0 73.052 59.504 3135.433
-158.03 3.08 -0.02 -0.02 -0.61 0 73.034 59.563 3135.125
-158.03 3.08 -0.02 -0.02 -0.61 0 72.996 59.602 3134.817
-158.03 3.08 -0.02 -0.02 -0.61 0 72.945 59.653 3134.516
-158.03 3.08 -0.03 -0.02 -0.61 0 72.906 59.691 3134.208
-158.03 3.08 -0.03 -0.02 -0.61 0 72.868 59.73 3133.9
-158.04 3.08 -0.03 -0.02 -0.61 0 72.847 59.791 3133.601
-158.04 3.08 -0.03 -0.02 -0.61 1 72.799 59.84 3133.291
-158.04 3.08 -0.03 -0.02 -0.61 1 72.76 59.878 3132.982
-158.04 3.08 -0.03 -0.02 -0.61 1 72.719 59.919 3132.684
-158.05 3.08 -0.03 -0.03 -0.61 1 72.701 59.978 3132.376
-158.05 3.08 -0.03 -0.03 -0.61 1 72.653 60.027 3132.065
-158.05 3.08 -0.03 -0.03 -0.61 1 72.612 60.068 3131.767
-158.05 3.08 -0.03 -0.03 -0.61 1 72.573 60.106 3131.459
-158.06 3.08 -0.04 -0.03 -0.61 1 72.555 60.165 3131.15
-158.06 3.08 -0.04 -0.03 -0.61 1 72.517 60.204 3130.842
-158.06 3.08 -0.04 -0.03 -0.61 1 72.466 60.255 3130.541
-158.07 3.08 -0.04 -0.03 -0.61 1 72.448 60.314 3130.233
-158.07 3.08 -0.04 -0.03 -0.61 1 72.409 60.352 3129.925
-158.07 3.08 -0.04 -0.03 -0.61 1 72.368 60.393 3129.626
-158.07 3.08 -0.04 -0.03 -0.61 1 72.33 60.432 3129.318
-158.08 3.08 -0.04 -0.03 -0.61 1 72.312 60.491 3129.01
-158.08 3.08 -0.04 -0.03 -0.61 1 72.273 60.53 3128.702
-158.08 3.08 -0.04 -0.03 -0.61 1 72.222 60.58 3128.401
-158.09 3.08 -0.04 -0.03 -0.61 1 72.204 60.639 3128.093
-158.09 3.08 -0.05 -0.03 -0.61 1 72.166 60.678 3127.785
-158.09 3.08 -0.05 -0.03 -0.61 1 72.127 60.717 3127.476
-158.1 3.08 -0.05 -0.03 -0.61 1 72.107 60.778 3127.178
-158.1 3.08 -0.05 -0.04 -0.61 1 72.068 60.817 3126.87
-158.1 3.08 -0.05 -0.04 -0.61 1 72.029 60.855 3126.562
-158.11 3.08 -0.05 -0.04 -0.61 1 72.011 60.914 3126.253
-158.11 3.08 -0.05 -0.04 -0.61 1 71.973 60.953 3125.945
-158.12 3.08 -0.05 -0.04 -0.61 1 71.952 61.015 3125.647
-158.12 3.08 -0.05 -0.04 -0.61 1 71.914 61.053 3125.339
-158.12 3.08 -0.05 -0.04 -0.61 1 71.875 61.092 3125.03
-158.13 3.08 -0.06 -0.04 -0.61 2 71.857 61.151 3124.722
-158.13 3.08 -0.06 -0.04 -0.61 2 71.819 61.19 3124.414
-158.13 3.08 -0.06 -0.04 -0.61 2 71.778 61.23 3124.116
-158.14 3.08 -0.06 -0.04 -0.61 2 71.76 61.29 3123.807
-158.14 3.08 -0.06 -0.04 -0.61 2 71.721 61.328 3123.499
-158.15 3.08 -0.06 -0.04 -0.61 2 71.703 61.387 3123.191
-158.15 3.08 -0.06 -0.04 -0.61 2 71.664 61.426 3122.883
-158.15 3.08 -0.06 -0.04 -0.61 2 71.626 61.465 3122.575
-158.16 3.08 -0.06 -0.04 -0.61 2 71.615 61.516 3122.279
-158.16 3.08 -0.06 -0.04 -0.61 2 71.576 61.555 3121.971
-158.17 3.08 -0.06 -0.04 -0.61 2 71.558 61.614 3121.662
-158.17 3.08 -0.06 -0.04 -0.61 2 71.52 61.653 3121.354
-158.18 3.08 -0.07 -0.04 -0.61 2 71.502 61.712 3121.046
-158.18 3.08 -0.07 -0.04 -0.61 2 71.463 61.751 3120.738
-158.18 3.08 -0.07 -0.04 -0.61 2 71.424 61.789 3120.43
-158.19 3.08 -0.07 -0.04 -0.61 2 71.416 61.839 3120.124
-158.19 3.08 -0.07 -0.04 -0.61 2 71.375 61.88 3119.826
-158.2 3.08 -0.07 -0.04 -0.61 2 71.357 61.939 3119.517
-158.2 3.08 -0.07 -0.04 -0.61 2 71.319 61.977 3119.209
-158.21 3.08 -0.07 -0.04 -0.61 2 71.301 62.037 3118.901
-158.21 3.08 -0.07 -0.04 -0.61 2 71.272 62.065 3118.595
-158.21 3.08 -0.07 -0.05 -0.61 2 71.233 62.104 3118.287
-158.22 3.08 -0.07 -0.05 -0.61 2 71.215 62.163 3117.979
-158.22 3.08 -0.08 -0.05 -0.61 2 71.176 62.202 3117.671
-158.23 3.08 -0.08 -0.05 -0.61 2 71.168 62.251 3117.365
-158.23 3.08 -0.08 -0.05 -0.61 2 71.129 62.29 3117.057
-158.24 3.08 -0.08 -0.05 -0.61 2 71.111 62.349 3116.749
-158.24 3.08 -0.08 -0.05 -0.61 2 71.07 62.39 3116.45
-158.25 3.08 -0.08 -0.05 -0.61 2 71.062 62.439 3116.145
-158.25 3.08 -0.08 -0.06 -0.61 2 71.024 62.478 3115.837
-158.26 3.08 -0.08 -0.06 -0.61 2 71.006 62.537 3115.528
-158.26 3.08 -0.08 -0.06 -0.61 2 70.977 62.566 3115.223
-158.27 3.08 -0.09 -0.07 -0.61 2 70.959 62.625 3114.915
-158.28 3.08 -0.09 -0.07 -0.61 2 70.95 62.675 3114.609
-158.29 3.08 -0.09 -0.08 -0.61 2 70.932 62.734 3114.301
-158.29 3.08 -0.09 -0.09 -0.61 2 70.894 62.773 3113.993
-158.3 3.08 -0.09 -0.1 -0.61 2 70.885 62.822 3113.687
-158.31 3.08 -0.09 -0.1 -0.61 2 70.867 62.881 3113.379
-158.32 3.08 -0.09 -0.11 -0.61 2 70.859 62.931 3113.073
-158.34 3.08 -0.09 -0.12 -0.61 2 70.862 63.011 3112.765
-158.35 3.07 -0.1 -0.13 -0.61 2 70.854 63.06 3112.459
-158.36 3.07 -0.1 -0.14 -0.61 2 70.836 63.119 3112.151
-158.38 3.07 -0.1 -0.15 -0.61 2 70.848 63.189 3111.845
-158.39 3.07 -0.1 -0.16 -0.61 2 70.837 63.241 3111.549
-158.41 3.07 -0.1 -0.17 -0.61 2 70.84 63.321 3111.241
-158.43 3.07 -0.1 -0.18 -0.61 2 70.852 63.391 3110.936
-158.44 3.06 -0.1 -0.18 -0.61 2 70.834 63.451 3110.627
-158.46 3.06 -0.1 -0.19 -0.61 2 70.847 63.521 3110.322
-158.48 3.06 -0.1 -0.2 -0.61 2 70.859 63.591 3110.016
-158.5 3.06 -0.1 -0.21 -0.61 2 70.872 63.661 3109.71
-158.52 3.06 -0.1 -0.21 -0.61 2 70.872 63.743 3109.412
-158.55 3.05 -0.1 -0.22 -0.61 2 70.905 63.834 3109.106
-158.57 3.05 -0.1 -0.22 -0.61 2 70.917 63.904 3108.8
-158.59 3.05 -0.09 -0.23 -0.61 2 70.92 63.984 3108.492
-158.61 3.05 -0.09 -0.23 -0.61 2 70.93 64.057 3108.196
-158.64 3.05 -0.09 -0.24 -0.61 2 70.963 64.148 3107.891
-158.66 3.05 -0.09 -0.24 -0.61 2 70.976 64.218 3107.585
-158.69 3.04 -0.09 -0.24 -0.61 2 70.999 64.318 3107.277
-158.71 3.04 -0.09 -0.25 -0.61 2 71.009 64.391 3106.981
-158.73 3.04 -0.09 -0.25 -0.61 2 71.022 64.461 3106.675
-158.76 3.04 -0.09 -0.25 -0.61 2 71.052 64.554 3106.379
-158.78 3.04 -0.08 -0.25 -0.61 2 71.065 64.625 3106.073
-158.81 3.04 -0.08 -0.25 -0.61 2 71.088 64.725 3105.765
-158.84 3.03 -0.08 -0.25 -0.61 2 71.119 64.819 3105.469
-158.86 3.03 -0.08 -0.25 -0.61 2 71.132 64.889 3105.164
-158.89 3.03 -0.08 -0.25 -0.61 2 71.162 64.982 3104.868
-158.91 3.03 -0.08 -0.25 -0.61 2 71.175 65.052 3104.562
-158.94 3.03 -0.08 -0.25 -0.61 2 71.198 65.153 3104.254
-158.96 3.03 -0.07 -0.24 -0.61 2 71.208 65.226 3103.958
-158.98 3.03 -0.07 -0.24 -0.61 2 71.221 65.296 3103.652
-159.01 3.03 -0.07 -0.24 -0.61 2 71.252 65.389 3103.356
-159.03 3.02 -0.07 -0.23 -0.61 2 71.264 65.46 3103.05
-159.05 3.02 -0.07 -0.23 -0.61 2 71.265 65.542 3102.752
-159.08 3.02 -0.07 -0.22 -0.61 2 71.298 65.633 3102.446
-159.1 3.02 -0.07 -0.22 -0.61 2 71.308 65.706 3102.15
-159.12 3.02 -0.06 -0.21 -0.61 2 71.318 65.778 3101.854
-159.14 3.02 -0.06 -0.2 -0.61 2 71.331 65.849 3101.549
-159.16 3.02 -0.06 -0.2 -0.61 2 71.341 65.921 3101.253
-159.18 3.02 -0.06 -0.19 -0.61 2 71.344 66.001 3100.945
-159.2 3.02 -0.06 -0.18 -0.61 2 71.354 66.074 3100.649
-159.22 3.02 -0.06 -0.17 -0.61 2 71.367 66.144 3100.343
-159.23 3.02 -0.06 -0.17 -0.61 2 71.356 66.196 3100.047
-159.25 3.02 -0.06 -0.16 -0.61 2 71.369 66.267 3099.741
-159.27 3.02 -0.06 -0.15 -0.61 2 71.379 66.339 3099.445
-159.28 3.03 -0.06 -0.14 -0.61 2 71.361 66.399 3099.137
-159.29 3.03 -0.06 -0.13 -0.61 2 71.351 66.451 3098.841
