Navio: Aframax
Cenário: Severo
Manobra: Entrada
Corrente: N 1nó 
Vento: SE 25 nós 
Onda: 2.25m 12s SE 

zz vx vy vzz rudder_demanded propeller_demanded distance_port distance_starboard distance_target
-163.84 3.21 -0.32 -0.22 -0.17 1 62.269 94.884 4786.874
-163.86 3.21 -0.31 -0.22 -0.17 1 62.326 94.912 4786.558
-163.88 3.2 -0.31 -0.22 -0.17 1 62.386 94.937 4786.233
-163.9 3.2 -0.31 -0.22 -0.17 1 62.445 94.962 4785.908
-163.92 3.19 -0.3 -0.22 -0.17 1 62.502 94.99 4785.593
-163.94 3.19 -0.3 -0.22 -0.17 1 62.562 95.015 4785.268
-163.97 3.18 -0.29 -0.22 -0.17 1 62.64 95.064 4784.952
-163.99 3.18 -0.29 -0.21 -0.17 1 62.697 95.092 4784.637
-164.01 3.18 -0.29 -0.21 -0.17 1 62.756 95.117 4784.312
-164.03 3.17 -0.28 -0.21 -0.17 1 62.813 95.144 4783.996
-164.05 3.17 -0.28 -0.21 -0.17 1 62.87 95.172 4783.681
-164.07 3.16 -0.27 -0.21 -0.17 1 62.927 95.2 4783.366
-164.09 3.16 -0.27 -0.21 -0.17 1 62.987 95.225 4783.041
-164.11 3.16 -0.27 -0.2 -0.17 1 63.044 95.253 4782.725
-164.13 3.16 -0.26 -0.2 -0.17 1 63.101 95.28 4782.41
-164.15 3.15 -0.26 -0.2 -0.17 1 63.158 95.308 4782.095
-164.17 3.15 -0.26 -0.19 -0.17 1 63.215 95.336 4781.779
-164.19 3.15 -0.25 -0.19 -0.17 1 63.272 95.363 4781.464
-164.21 3.15 -0.25 -0.19 -0.21 1 63.32 95.401 4781.146
-164.23 3.14 -0.25 -0.19 -0.21 1 63.377 95.429 4780.831
-164.25 3.14 -0.24 -0.18 -0.21 1 63.434 95.456 4780.515
-164.27 3.14 -0.24 -0.18 -0.21 1 63.491 95.484 4780.2
-164.28 3.14 -0.24 -0.17 -0.21 1 63.524 95.493 4779.894
-164.3 3.14 -0.24 -0.17 -0.29 1 63.581 95.52 4779.579
-164.32 3.14 -0.24 -0.17 -0.29 1 63.629 95.558 4779.261
-164.33 3.14 -0.23 -0.16 -0.29 1 63.665 95.564 4778.946
-164.35 3.14 -0.23 -0.16 -0.29 1 63.722 95.592 4778.63
-164.37 3.14 -0.23 -0.15 -0.29 1 63.779 95.62 4778.315
-164.38 3.14 -0.23 -0.15 -0.29 1 63.803 95.638 4778.007
-164.4 3.14 -0.23 -0.14 -0.29 1 63.86 95.666 4777.692
-164.41 3.14 -0.23 -0.14 -0.29 1 63.896 95.673 4777.376
-164.42 3.14 -0.22 -0.14 -0.29 1 63.932 95.679 4777.061
-164.44 3.14 -0.22 -0.13 -0.29 1 63.979 95.716 4776.743
-164.45 3.14 -0.22 -0.13 -0.32 1 64.015 95.723 4776.428
-164.46 3.14 -0.22 -0.12 -0.32 1 64.049 95.732 4776.122
-164.47 3.14 -0.22 -0.12 -0.32 1 64.084 95.738 4775.807
-164.49 3.14 -0.22 -0.11 -0.32 1 64.132 95.776 4775.489
-164.5 3.14 -0.22 -0.11 -0.32 1 64.168 95.782 4775.174
-164.51 3.15 -0.22 -0.1 -0.33 1 64.204 95.789 4774.858
-164.52 3.15 -0.22 -0.1 -0.33 1 64.24 95.795 4774.543
-164.53 3.15 -0.22 -0.09 -0.33 1 64.266 95.811 4774.225
-164.54 3.15 -0.22 -0.09 -0.33 1 64.302 95.818 4773.91
-164.55 3.16 -0.23 -0.08 -0.33 1 64.338 95.825 4773.595
-164.55 3.16 -0.23 -0.08 -0.36 1 64.352 95.81 4773.279
-164.56 3.16 -0.23 -0.07 -0.36 1 64.378 95.826 4772.961
-164.57 3.16 -0.23 -0.07 -0.36 1 64.414 95.833 4772.646
