Navio: Suezmax L280B50T17
Cenário: NE - pos2035 - 1
Manobra: Entrada
Corrente: 0.8 kn N 
Vento: 20 kn NE 
Onda: 1.0m 8s NE 

zz vx vy vzz rudder_demanded propeller_demanded distance_port distance_starboard distance_target
201.25 3.24 -0.5 0.02 0.09 1 71.622 53.991 4775.349
201.27 3.24 -0.49 0.02 0.09 1 71.605 53.924 4773.709
201.28 3.24 -0.49 0.02 0.09 1 71.621 53.87 4772.072
201.29 3.23 -0.49 0.02 0.09 1 71.628 53.825 4770.433
201.3 3.23 -0.49 0.02 0.1 1 71.632 53.783 4768.803
201.31 3.23 -0.49 0.02 0.1 1 71.639 53.739 4767.163
201.33 3.22 -0.49 0.02 0.1 1 71.62 53.674 4765.533
201.34 3.22 -0.48 0.02 0.1 1 71.624 53.632 4763.904
201.35 3.22 -0.48 0.02 0.1 1 71.628 53.59 4762.274
201.36 3.22 -0.48 0.02 0.1 1 71.63 53.55 4760.654
201.37 3.22 -0.48 0.02 0.1 1 71.634 53.508 4759.024
201.38 3.22 -0.48 0.02 0.1 1 71.636 53.468 4757.404
201.39 3.22 -0.48 0.02 0.1 1 71.64 53.426 4755.774
201.41 3.22 -0.48 0.02 0.1 1 71.611 53.371 4754.142
201.42 3.22 -0.48 0.02 0.1 1 71.616 53.329 4752.512
201.43 3.23 -0.48 0.02 0.1 1 71.62 53.287 4750.882
201.44 3.23 -0.49 0.02 0.09 1 71.615 53.254 4749.25
201.45 3.23 -0.49 0.02 0.09 1 71.619 53.213 4747.62
201.46 3.23 -0.49 0.02 0.08 1 71.623 53.171 4745.99
201.47 3.23 -0.49 0.02 0.08 1 71.618 53.138 4744.358
201.48 3.23 -0.49 0.02 0.08 1 71.624 53.094 4742.719
201.49 3.23 -0.49 0.02 0.08 1 71.619 53.062 4741.086
201.5 3.23 -0.49 0.02 0.08 1 71.626 53.018 4739.447
201.51 3.23 -0.49 0.02 0.08 1 71.62 52.985 4737.815
201.52 3.23 -0.49 0.02 0.08 1 71.625 52.943 4736.185
201.53 3.23 -0.48 0.02 0.08 1 71.619 52.911 4734.553
201.54 3.22 -0.48 0.02 0.09 1 71.614 52.879 4732.92
201.55 3.22 -0.48 0.02 0.09 1 71.608 52.847 4731.288
201.56 3.21 -0.48 0.02 0.1 1 71.61 52.807 4729.668
201.57 3.21 -0.47 0.02 0.1 1 71.602 52.777 4728.045
201.58 3.21 -0.47 0.02 0.1 1 71.595 52.747 4726.423
201.59 3.2 -0.47 0.02 0.11 1 71.587 52.717 4724.8
201.6 3.2 -0.47 0.02 0.11 1 71.567 52.7 4723.185
201.61 3.2 -0.47 0.02 0.11 1 71.559 52.67 4721.563
201.62 3.2 -0.47 0.02 0.11 1 71.549 52.642 4719.95
201.62 3.2 -0.47 0.02 0.11 1 71.565 52.636 4718.327
201.63 3.21 -0.47 0.02 0.1 1 71.557 52.606 4716.705
201.64 3.21 -0.47 0.02 0.1 1 71.537 52.588 4715.089
201.65 3.21 -0.47 0.02 0.1 1 71.529 52.558 4713.467
201.66 3.22 -0.48 0.02 0.09 1 71.522 52.528 4711.844
201.67 3.22 -0.48 0.02 0.08 1 71.516 52.496 4710.212
201.67 3.22 -0.48 0.02 0.08 1 71.532 52.489 4708.59
201.68 3.22 -0.48 0.02 0.08 1 71.517 52.467 4706.955
201.69 3.22 -0.48 0.02 0.07 1 71.509 52.437 4705.332
201.7 3.22 -0.48 0.02 0.07 1 71.504 52.405 4703.7
201.71 3.22 -0.48 0.02 0.07 1 71.486 52.385 4702.075
201.71 3.22 -0.48 0.02 0.07 1 71.502 52.378 4700.453
201.72 3.21 -0.47 0.02 0.07 1 71.487 52.356 4698.818
201.73 3.21 -0.47 0.02 0.08 1 71.479 52.326 4697.195
201.74 3.21 -0.47 0.02 0.08 1 71.459 52.308 4695.58
201.75 3.2 -0.46 0.01 0.09 1 71.451 52.278 4693.958
