Navio: Suezmax L280B50T17
Cenário: NE Forte - pos2035 - 1
Manobra: Entrada
Corrente: 0.4 kn N 
Vento: 15 kn NE 
Onda: 1.0m 8s E 

zz vx vy vzz rudder_demanded propeller_demanded distance_port distance_starboard distance_target
-166.0 3.6 -0.51 0.0 -0.0 0 138.955 65.121 3429.266
-166.0 3.6 -0.51 0.0 0.0 1 139.005 65.072 3428.908
-166.0 3.6 -0.51 0.0 0.0 1 139.064 65.013 3428.552
-166.0 3.6 -0.51 0.0 0.0 1 139.113 64.963 3428.193
-166.0 3.6 -0.51 0.0 0.0 1 139.164 64.912 3427.825
-166.0 3.6 -0.51 0.0 0.0 1 139.214 64.862 3427.466
-166.0 3.6 -0.51 0.0 0.0 1 139.273 64.803 3427.11
-166.0 3.6 -0.51 0.0 0.0 1 139.322 64.754 3426.751
-166.0 3.6 -0.51 0.01 0.0 1 139.371 64.705 3426.393
-166.0 3.6 -0.51 0.01 0.0 1 139.42 64.656 3426.034
-165.99 3.6 -0.51 0.01 0.0 1 139.504 64.621 3425.678
-165.99 3.6 -0.5 0.01 0.0 1 139.553 64.572 3425.319
-165.99 3.6 -0.5 0.01 0.0 1 139.602 64.522 3424.961
-165.99 3.6 -0.5 0.01 0.0 1 139.654 64.471 3424.592
-165.99 3.6 -0.5 0.01 0.0 1 139.703 64.421 3424.234
-165.99 3.59 -0.5 0.01 0.0 1 139.752 64.372 3423.875
-165.99 3.59 -0.5 0.01 0.0 1 139.811 64.313 3423.519
-165.99 3.59 -0.5 0.01 0.0 1 139.86 64.264 3423.16
-165.99 3.59 -0.5 0.01 0.0 1 139.909 64.215 3422.802
-165.99 3.59 -0.5 0.01 0.0 1 139.959 64.165 3422.443
-165.99 3.59 -0.5 0.01 0.0 1 140.008 64.116 3422.084
-165.98 3.59 -0.5 0.01 0.0 1 140.081 64.091 3421.726
-165.98 3.59 -0.5 0.01 0.0 1 140.131 64.042 3421.367
-165.98 3.59 -0.5 0.01 0.0 1 140.19 63.983 3421.011
-165.98 3.59 -0.5 0.01 0.0 1 140.239 63.933 3420.652
-165.98 3.59 -0.5 0.01 0.0 1 140.291 63.882 3420.284
-165.98 3.59 -0.5 0.01 0.0 1 140.34 63.832 3419.925
-165.98 3.59 -0.49 0.02 0.0 1 140.389 63.783 3419.567
-165.97 3.59 -0.49 0.02 0.0 1 140.462 63.758 3419.208
-165.97 3.59 -0.49 0.02 0.0 1 140.512 63.709 3418.85
-165.97 3.59 -0.49 0.02 0.0 1 140.561 63.66 3418.491
-165.97 3.59 -0.49 0.02 0.0 1 140.61 63.61 3418.132
-165.97 3.59 -0.49 0.02 0.0 1 140.659 63.561 3417.774
-165.97 3.59 -0.49 0.02 0.0 1 140.718 63.502 3417.418
-165.96 3.59 -0.49 0.02 0.0 1 140.792 63.477 3417.059
-165.96 3.59 -0.49 0.02 0.0 1 140.841 63.428 3416.7
-165.96 3.59 -0.49 0.02 0.0 1 140.89 63.378 3416.342
-165.96 3.59 -0.49 0.02 0.0 1 140.94 63.329 3415.983
-165.96 3.59 -0.49 0.02 0.0 1 140.989 63.28 3415.624
-165.95 3.59 -0.49 0.02 0.0 1 141.062 63.255 3415.266
-165.95 3.59 -0.49 0.02 0.0 1 141.112 63.206 3414.907
-165.95 3.59 -0.49 0.02 0.0 1 141.161 63.156 3414.549
-165.95 3.59 -0.49 0.02 0.0 1 141.21 63.107 3414.19
-165.95 3.59 -0.49 0.02 0.0 1 141.259 63.058 3413.831
-165.94 3.59 -0.49 0.02 0.0 1 141.333 63.033 3413.473
-165.94 3.59 -0.49 0.02 0.0 1 141.382 62.984 3413.114
-165.94 3.59 -0.49 0.02 0.0 1 141.431 62.934 3412.756
-165.94 3.59 -0.49 0.03 0.0 1 141.48 62.885 3412.397
-165.93 3.59 -0.49 0.03 0.0 1 141.554 62.86 3412.038
-165.93 3.59 -0.49 0.03 0.0 1 141.603 62.811 3411.68
-165.93 3.59 -0.49 0.03 0.0 1 141.652 62.761 3411.321
-165.93 3.59 -0.49 0.03 0.0 1 141.702 62.712 3410.963
-165.92 3.59 -0.49 0.03 0.0 1 141.775 62.687 3410.604
-165.92 3.59 -0.49 0.03 0.0 1 141.824 62.638 3410.245
-165.92 3.59 -0.49 0.03 0.0 1 141.874 62.589 3409.887
-165.91 3.59 -0.48 0.03 0.0 1 141.947 62.564 3409.528
