Navio: Suezmax L280B50T17
Cenário: SE Forte - pos2035 - 2
Manobra: Entrada
Corrente: 0.8 kn N 
Vento: 15 kn SSE 
Onda: 1.7m 10s SE 

zz vx vy vzz rudder_demanded propeller_demanded distance_port distance_starboard distance_target
-165.92 3.6 -0.0 -0.0 -0.0 0 105.654 98.894 3975.487
-165.92 3.6 -0.0 -0.0 0.0 0 105.653 98.896 3975.125
-165.92 3.6 -0.0 -0.0 0.0 0 105.651 98.897 3974.764
-165.92 3.6 -0.0 -0.0 0.0 0 105.659 98.889 3974.405
-165.92 3.6 -0.0 -0.0 0.0 0 105.657 98.891 3974.044
-165.92 3.6 -0.01 -0.0 0.0 0 105.655 98.893 3973.682
-165.92 3.6 -0.01 -0.0 0.0 0 105.651 98.897 3973.331
-165.92 3.6 -0.01 -0.01 0.0 0 105.659 98.889 3972.972
-165.92 3.6 -0.01 -0.01 0.0 0 105.658 98.89 3972.61
-165.92 3.6 -0.01 -0.01 0.0 0 105.656 98.892 3972.249
-165.92 3.6 -0.01 -0.01 0.0 0 105.664 98.884 3971.89
-165.92 3.6 -0.01 -0.01 0.0 0 105.662 98.886 3971.529
-165.92 3.6 -0.01 -0.01 0.0 0 105.67 98.877 3971.17
-165.92 3.6 -0.01 -0.01 0.0 0 105.668 98.879 3970.808
-165.92 3.59 -0.01 -0.01 0.0 0 105.667 98.881 3970.447
-165.92 3.59 -0.01 -0.01 0.0 0 105.675 98.873 3970.088
-165.93 3.59 -0.02 -0.01 0.0 0 105.646 98.852 3969.736
-165.93 3.59 -0.02 -0.01 0.0 0 105.654 98.844 3969.377
-165.93 3.59 -0.02 -0.01 0.0 0 105.653 98.846 3969.016
-165.93 3.59 -0.02 -0.01 0.0 0 105.651 98.848 3968.655
-165.93 3.59 -0.02 -0.01 0.0 0 105.659 98.84 3968.296
-165.93 3.59 -0.02 -0.01 0.0 0 105.657 98.841 3967.934
-165.93 3.59 -0.02 -0.01 0.0 0 105.665 98.833 3967.575
-165.93 3.59 -0.02 -0.02 0.0 0 105.664 98.835 3967.214
-165.94 3.59 -0.02 -0.02 0.0 0 105.647 98.803 3966.855
-165.94 3.59 -0.02 -0.02 0.0 0 105.646 98.804 3966.493
-165.94 3.59 -0.02 -0.02 0.0 0 105.651 98.799 3966.144
-165.94 3.59 -0.02 -0.02 0.0 0 105.649 98.8 3965.783
-165.94 3.59 -0.02 -0.02 0.0 0 105.657 98.792 3965.424
-165.94 3.59 -0.02 -0.02 0.0 1 105.656 98.794 3965.063
-165.95 3.59 -0.02 -0.02 0.0 1 105.639 98.761 3964.704
-165.95 3.59 -0.03 -0.02 0.0 1 105.638 98.763 3964.342
-165.95 3.59 -0.03 -0.02 0.0 1 105.646 98.755 3963.983
-165.95 3.59 -0.03 -0.02 0.0 1 105.644 98.757 3963.622
-165.95 3.59 -0.03 -0.02 0.0 1 105.652 98.749 3963.263
-165.96 3.59 -0.03 -0.02 0.0 1 105.626 98.726 3962.901
-165.96 3.59 -0.03 -0.02 0.0 1 105.632 98.72 3962.552
-165.96 3.59 -0.03 -0.02 0.0 1 105.63 98.722 3962.191
-165.96 3.59 -0.03 -0.02 0.0 1 105.638 98.714 3961.832
-165.97 3.59 -0.03 -0.02 0.0 1 105.612 98.691 3961.471
-165.97 3.59 -0.03 -0.02 0.0 1 105.62 98.683 3961.112
-165.97 3.59 -0.03 -0.03 0.0 1 105.628 98.675 3960.753
-165.97 3.59 -0.03 -0.03 0.0 1 105.626 98.677 3960.391
-165.98 3.59 -0.03 -0.03 0.0 1 105.61 98.645 3960.032
-165.98 3.59 -0.03 -0.03 0.0 1 105.608 98.646 3959.671
-165.98 3.59 -0.03 -0.03 0.0 1 105.616 98.638 3959.312
-165.98 3.59 -0.03 -0.03 0.0 1 105.622 98.633 3958.963
-165.99 3.59 -0.03 -0.03 0.0 1 105.596 98.61 3958.601
-165.99 3.59 -0.03 -0.03 0.0 1 105.604 98.602 3958.242
-165.99 3.59 -0.03 -0.03 0.0 1 105.612 98.594 3957.883
-166.0 3.59 -0.03 -0.03 0.0 1 105.586 98.571 3957.522
-166.0 3.59 -0.03 -0.03 0.0 1 105.594 98.563 3957.163
-166.0 3.59 -0.04 -0.03 0.0 1 105.602 98.555 3956.804
-166.01 3.59 -0.04 -0.03 0.0 2 105.576 98.532 3956.443
-166.01 3.59 -0.04 -0.03 0.0 2 105.584 98.524 3956.084
-166.01 3.59 -0.04 -0.03 0.0 2 105.592 98.516 3955.725
-166.02 3.59 -0.04 -0.03 0.0 2 105.563 98.496 3955.373
-166.02 3.59 -0.04 -0.03 0.0 2 105.571 98.488 3955.014
-166.02 3.59 -0.04 -0.03 0.0 2 105.579 98.48 3954.655
-166.03 3.59 -0.04 -0.03 0.0 2 105.553 98.457 3954.294
-166.03 3.59 -0.04 -0.04 0.0 2 105.561 98.449 3953.935
-166.03 3.59 -0.04 -0.04 0.0 2 105.569 98.441 3953.576
-166.04 3.59 -0.04 -0.04 0.0 2 105.553 98.409 3953.217
-166.04 3.59 -0.04 -0.04 0.0 2 105.551 98.411 3952.855
-166.04 3.59 -0.04 -0.04 0.0 2 105.559 98.402 3952.496
-166.05 3.59 -0.04 -0.04 0.0 2 105.543 98.37 3952.137
-166.05 3.59 -0.04 -0.04 0.0 2 105.539 98.374 3951.786
-166.05 3.59 -0.04 -0.04 0.0 2 105.547 98.366 3951.427
-166.06 3.59 -0.04 -0.04 0.0 2 105.531 98.334 3951.068
-166.06 3.59 -0.04 -0.04 0.0 2 105.539 98.326 3950.709
-166.07 3.59 -0.04 -0.04 -0.04 2 105.513 98.303 3950.348
-166.07 3.59 -0.04 -0.04 -0.04 2 105.521 98.295 3949.989
-166.07 3.59 -0.04 -0.04 -0.04 2 105.529 98.287 3949.63
-166.08 3.59 -0.04 -0.04 -0.04 2 105.512 98.255 3949.271
-166.08 3.59 -0.04 -0.04 -0.11 2 105.52 98.247 3948.912
-166.09 3.59 -0.04 -0.04 -0.11 2 105.494 98.224 3948.55
-166.09 3.59 -0.04 -0.04 -0.11 2 105.502 98.216 3948.191
-166.1 3.58 -0.05 -0.04 -0.11 2 105.484 98.186 3947.842
-166.1 3.58 -0.05 -0.04 -0.14 2 105.492 98.178 3947.483
-166.1 3.58 -0.05 -0.04 -0.14 2 105.5 98.17 3947.124
-166.11 3.58 -0.05 -0.04 -0.14 2 105.483 98.138 3946.765
-166.11 3.58 -0.05 -0.04 -0.14 2 105.482 98.139 3946.404
-166.12 3.58 -0.05 -0.05 -0.14 2 105.465 98.107 3946.045
-166.12 3.58 -0.05 -0.05 -0.14 2 105.473 98.099 3945.686
