Navio: Capesize L300B50T19
Cenário: NE Forte - pos2035 - 1
Manobra: Entrada e Atracação Cocaia
Corrente: 0.4 kn N 
Vento: 15 kn NE 
Onda: 1.0m 8s E 

zz vx vy vzz rudder_demanded propeller_demanded distance_port distance_starboard distance_target
-161.09 2.83 -0.21 0.01 -0.09 1 105.613 72.729 4753.964
-161.09 2.83 -0.21 0.01 -0.09 1 105.604 72.738 4753.673
-161.09 2.83 -0.21 0.01 -0.09 1 105.602 72.74 4753.394
-161.09 2.83 -0.21 0.01 -0.09 1 105.6 72.742 4753.115
-161.08 2.83 -0.21 0.01 -0.09 1 105.575 72.715 4752.827
-161.08 2.82 -0.21 0.01 -0.09 1 105.573 72.717 4752.548
-161.08 2.82 -0.21 0.01 -0.09 1 105.574 72.717 4752.259
-161.08 2.82 -0.21 0.01 -0.09 1 105.562 72.728 4751.978
-161.08 2.82 -0.21 0.01 -0.09 1 105.56 72.73 4751.699
-161.08 2.82 -0.21 0.01 -0.09 1 105.561 72.729 4751.41
-161.07 2.82 -0.21 0.01 -0.09 1 105.533 72.705 4751.131
-161.07 2.82 -0.21 0.01 -0.09 1 105.534 72.705 4750.843
-161.07 2.82 -0.21 0.01 -0.09 1 105.532 72.707 4750.564
-161.07 2.82 -0.21 0.01 -0.09 1 105.521 72.718 4750.282
-161.07 2.82 -0.21 0.02 -0.09 1 105.521 72.718 4749.994
-161.07 2.82 -0.21 0.02 -0.09 1 105.519 72.719 4749.715
-161.07 2.82 -0.21 0.02 -0.09 1 105.517 72.721 4749.436
-161.06 2.82 -0.21 0.02 -0.09 1 105.492 72.695 4749.147
-161.06 2.82 -0.21 0.02 -0.09 1 105.49 72.697 4748.868
-161.06 2.82 -0.21 0.02 -0.09 1 105.479 72.708 4748.587
-161.06 2.82 -0.21 0.02 -0.09 1 105.479 72.708 4748.298
-161.06 2.81 -0.21 0.02 -0.09 1 105.478 72.709 4748.02
-161.06 2.81 -0.21 0.02 -0.09 1 105.476 72.711 4747.741
-161.06 2.81 -0.21 0.02 -0.09 1 105.476 72.711 4747.452
