Navio: Capsan L333B48T14.3
Cenário: NE Forte - pos2035 - 1
Manobra: Entrada, Giro e Atracação Berço Interno
Corrente: 0.4 kn N 
Vento: 15 kn NE 
Onda: 1.0m 8s E 

zz vx vy vzz rudder_demanded propeller_demanded distance_port distance_starboard distance_target
-162.24 4.4 -0.32 0.07 0.15 1 134.13 49.865 4743.567
-162.24 4.4 -0.32 0.07 0.15 1 134.138 49.857 4743.126
-162.23 4.4 -0.32 0.07 0.15 1 134.108 49.829 4742.682
-162.22 4.4 -0.32 0.07 0.15 1 134.087 49.792 4742.24
-162.22 4.4 -0.32 0.07 0.15 1 134.095 49.784 4741.799
-162.21 4.4 -0.32 0.07 0.15 1 134.063 49.759 4741.365
-162.2 4.4 -0.32 0.07 0.15 1 134.042 49.722 4740.923
-162.2 4.4 -0.32 0.07 0.15 1 134.05 49.714 4740.482
-162.19 4.4 -0.32 0.07 0.17 1 134.02 49.687 4740.038
-162.18 4.4 -0.32 0.07 0.17 1 133.999 49.65 4739.597
-162.18 4.4 -0.32 0.06 0.17 1 133.998 49.651 4739.153
-162.17 4.4 -0.32 0.06 0.17 1 133.975 49.617 4738.721
-162.17 4.4 -0.32 0.06 0.17 1 133.983 49.609 4738.28
-162.16 4.4 -0.32 0.06 0.17 1 133.953 49.581 4737.836
-162.15 4.4 -0.32 0.06 0.17 1 133.932 49.544 4737.395
-162.15 4.4 -0.32 0.06 0.17 1 133.94 49.536 4736.953
-162.14 4.4 -0.32 0.06 0.17 1 133.91 49.509 4736.51
-162.13 4.4 -0.32 0.06 0.17 1 133.887 49.474 4736.078
-162.13 4.4 -0.32 0.06 0.17 1 133.886 49.476 4735.634
-162.12 4.4 -0.32 0.06 0.17 1 133.865 49.439 4735.193
-162.11 4.4 -0.32 0.06 0.17 1 133.835 49.412 4734.749
-162.11 4.4 -0.32 0.06 0.17 1 133.843 49.403 4734.307
-162.1 4.4 -0.32 0.06 0.17 1 133.822 49.366 4733.866
-162.09 4.4 -0.32 0.06 0.17 1 133.79 49.342 4733.432
-162.09 4.4 -0.32 0.06 0.17 1 133.798 49.333 4732.991
-162.08 4.4 -0.32 0.06 0.17 1 133.768 49.306 4732.547
-162.08 4.4 -0.32 0.06 0.17 1 133.776 49.298 4732.105
-162.07 4.4 -0.32 0.06 0.17 1 133.745 49.271 4731.662
-162.06 4.4 -0.32 0.06 0.17 1 133.725 49.234 4731.22
-162.06 4.4 -0.32 0.06 0.17 1 133.721 49.238 4730.786
-162.05 4.4 -0.32 0.06 0.17 1 133.7 49.201 4730.345
-162.04 4.4 -0.32 0.06 0.17 1 133.67 49.173 4729.901
-162.04 4.4 -0.32 0.06 0.17 1 133.678 49.165 4729.459
-162.03 4.4 -0.32 0.06 0.17 1 133.648 49.138 4729.016
-162.03 4.4 -0.32 0.06 0.17 1 133.646 49.139 4728.572
-162.02 4.4 -0.32 0.06 0.17 1 133.626 49.103 4728.13
-162.01 4.4 -0.32 0.06 0.17 1 133.593 49.078 4727.696
-162.01 4.4 -0.32 0.06 0.17 1 133.601 49.069 4727.255
-162.0 4.4 -0.32 0.06 0.17 1 133.571 49.042 4726.811
-161.99 4.41 -0.32 0.06 0.17 1 133.551 49.005 4726.37
-161.99 4.41 -0.32 0.06 0.17 1 133.549 49.007 4725.926
-161.98 4.41 -0.32 0.06 0.17 1 133.519 48.979 4725.482
-161.98 4.41 -0.32 0.06 0.17 1 133.527 48.971 4725.041
-161.97 4.41 -0.32 0.06 0.17 1 133.497 48.944 4724.597
-161.96 4.41 -0.32 0.06 0.17 1 133.474 48.91 4724.165
-161.96 4.41 -0.32 0.06 0.17 1 133.472 48.911 4723.721
-161.95 4.41 -0.32 0.06 0.17 1 133.442 48.884 4723.277
-161.94 4.41 -0.32 0.06 0.17 1 133.421 48.847 4722.836
-161.94 4.41 -0.32 0.06 0.17 1 133.42 48.848 4722.392
-161.93 4.41 -0.32 0.06 0.17 1 133.39 48.821 4721.948
-161.93 4.41 -0.32 0.06 0.17 1 133.398 48.813 4721.507
-161.92 4.41 -0.32 0.06 0.17 1 133.368 48.786 4721.063
-161.91 4.41 -0.32 0.06 0.17 1 133.337 48.758 4720.619
-161.91 4.41 -0.32 0.06 0.17 1 133.346 48.75 4720.178
-161.9 4.41 -0.32 0.06 0.17 1 133.315 48.723 4719.734
-161.9 4.41 -0.32 0.06 0.17 1 133.311 48.727 4719.3
-161.89 4.41 -0.32 0.06 0.17 1 133.291 48.69 4718.859
-161.88 4.41 -0.31 0.06 0.17 1 133.261 48.663 4718.415
-161.88 4.41 -0.31 0.06 0.17 1 133.259 48.664 4717.971
