Navio: Suezmax L280B50T17
Cenário: NE Forte - com molhe
Manobra: Entrada e Giro
Corrente: 0.4 kn N 
Vento: 15 kn NE 
Onda: 1.0m 8s E 

zz vx vy vzz rudder_demanded propeller_demanded distance_port distance_starboard distance_target
-160.0 3.6 -0.0 -0.0 0.0 1 85.15 43.063 4479.672
-160.0 3.6 -0.0 -0.0 0.0 1 85.103 43.11 4479.31
-160.0 3.6 -0.0 -0.0 0.0 1 85.066 43.148 4478.951
-160.0 3.6 -0.0 -0.0 0.0 1 85.027 43.189 4478.602
-160.0 3.6 -0.0 -0.0 0.0 1 84.98 43.236 4478.241
-160.0 3.6 -0.0 -0.0 0.0 1 84.943 43.274 4477.882
-160.0 3.6 -0.0 -0.0 0.0 1 84.907 43.313 4477.523
-160.0 3.6 -0.0 -0.0 0.0 1 84.87 43.351 4477.165
-160.0 3.6 -0.0 -0.0 0.0 1 84.821 43.401 4476.813
-160.0 3.6 -0.0 -0.0 0.0 1 84.784 43.439 4476.454
-160.0 3.6 -0.0 -0.0 0.0 1 84.747 43.477 4476.095
-160.0 3.6 -0.0 -0.0 0.0 1 84.7 43.524 4475.734
-160.0 3.6 -0.01 -0.0 0.0 1 84.663 43.562 4475.375
-160.0 3.6 -0.01 -0.0 0.0 1 84.624 43.603 4475.026
-160.0 3.59 -0.01 -0.0 0.0 1 84.587 43.641 4474.667
-160.0 3.59 -0.01 -0.01 0.0 1 84.55 43.679 4474.309
-160.0 3.59 -0.01 -0.01 0.0 1 84.504 43.726 4473.947
-160.01 3.59 -0.01 -0.01 0.0 1 84.491 43.788 4473.588
-160.01 3.59 -0.01 -0.01 0.0 1 84.451 43.829 4473.239
-160.01 3.59 -0.01 -0.01 0.0 1 84.414 43.867 4472.88
-160.01 3.59 -0.01 -0.01 0.0 1 84.368 43.914 4472.519
-160.01 3.59 -0.01 -0.01 0.0 1 84.331 43.952 4472.16
-160.01 3.59 -0.01 -0.01 0.0 1 84.294 43.99 4471.802
-160.01 3.59 -0.01 -0.01 0.0 1 84.255 44.031 4471.452
-160.01 3.59 -0.01 -0.01 0.0 1 84.218 44.069 4471.094
-160.01 3.59 -0.01 -0.01 0.0 1 84.171 44.117 4470.732
-160.01 3.59 -0.01 -0.01 0.0 1 84.134 44.155 4470.374
