Navio: Suezmax L280B50T17
Cenário: SE Forte - com molhe
Manobra: Entrada e Giro
Corrente: 0.8 kn N 
Vento: 15 kn SSE 
Onda: 1.7m 10s SE 

zz vx vy vzz rudder_demanded propeller_demanded distance_port distance_starboard distance_target
-159.95 3.6 -0.0 -0.0 0.0 1 84.846 43.129 4479.626
-159.95 3.6 -0.0 -0.0 0.0 1 84.809 43.167 4479.267
-159.95 3.6 -0.0 -0.0 0.0 1 84.772 43.205 4478.908
-159.95 3.6 -0.0 -0.0 0.0 1 84.726 43.252 4478.547
-159.95 3.6 -0.0 -0.0 0.0 1 84.686 43.293 4478.198
-159.95 3.6 -0.01 -0.0 0.0 1 84.65 43.331 4477.839
-159.95 3.6 -0.01 -0.0 0.0 1 84.603 43.379 4477.478
-159.96 3.6 -0.01 -0.01 0.0 1 84.59 43.44 4477.119
-159.96 3.6 -0.01 -0.01 0.0 1 84.553 43.478 4476.76
-159.96 3.6 -0.01 -0.01 0.0 1 84.514 43.519 4476.411
-159.96 3.6 -0.01 -0.01 0.0 1 84.467 43.566 4476.05
-159.96 3.6 -0.01 -0.01 0.0 1 84.43 43.604 4475.691
-159.96 3.6 -0.01 -0.01 0.0 1 84.393 43.642 4475.332
-159.96 3.6 -0.01 -0.01 0.0 1 84.356 43.68 4474.973
-159.96 3.59 -0.01 -0.01 0.0 1 84.317 43.721 4474.624
-159.96 3.59 -0.01 -0.01 0.0 1 84.27 43.769 4474.263
-159.96 3.59 -0.02 -0.01 0.0 1 84.234 43.807 4473.904
-159.96 3.59 -0.02 -0.01 0.0 1 84.197 43.845 4473.545
-159.96 3.59 -0.02 -0.01 0.0 1 84.16 43.883 4473.187
-159.97 3.59 -0.02 -0.01 0.0 1 84.147 43.944 4472.828
-159.97 3.59 -0.02 -0.01 0.0 1 84.107 43.985 4472.479
-159.97 3.59 -0.02 -0.01 0.0 1 84.061 44.032 4472.117
-159.97 3.59 -0.02 -0.01 0.0 1 84.024 44.07 4471.759
-159.97 3.59 -0.02 -0.02 0.0 1 83.987 44.108 4471.4
-159.97 3.59 -0.02 -0.02 0.0 1 83.95 44.146 4471.041
-159.97 3.59 -0.02 -0.02 0.0 1 83.911 44.187 4470.692
-159.98 3.59 -0.02 -0.02 0.0 1 83.898 44.249 4470.333
-159.98 3.59 -0.02 -0.02 0.0 1 83.861 44.287 4469.974
-159.98 3.59 -0.02 -0.02 0.0 1 83.824 44.325 4469.615
-159.98 3.59 -0.02 -0.02 0.0 1 83.787 44.363 4469.256
-159.98 3.59 -0.02 -0.02 0.0 1 83.75 44.401 4468.898
-159.99 3.59 -0.02 -0.02 0.0 1 83.735 44.465 4468.548
-159.99 3.59 -0.03 -0.02 0.0 1 83.688 44.513 4468.187
-159.99 3.59 -0.03 -0.02 0.0 1 83.651 44.551 4467.828
-159.99 3.59 -0.03 -0.02 0.0 1 83.614 44.589 4467.47
-159.99 3.59 -0.03 -0.02 0.0 1 83.577 44.627 4467.111
-160.0 3.59 -0.03 -0.02 0.0 1 83.564 44.688 4466.752
-160.0 3.59 -0.03 -0.02 0.0 1 83.525 44.729 4466.403
-160.0 3.59 -0.03 -0.02 0.0 1 83.488 44.767 4466.044
-160.0 3.59 -0.03 -0.02 0.0 1 83.451 44.805 4465.685
-160.01 3.59 -0.03 -0.02 0.0 1 83.438 44.867 4465.326
-160.01 3.59 -0.03 -0.02 0.0 1 83.401 44.905 4464.968
-160.01 3.59 -0.03 -0.03 0.0 1 83.364 44.943 4464.609
-160.01 3.59 -0.03 -0.03 0.0 1 83.325 44.983 4464.26
-160.02 3.59 -0.03 -0.03 0.0 1 83.312 45.045 4463.901
-160.02 3.59 -0.03 -0.03 0.0 1 83.275 45.083 4463.542
-160.02 3.59 -0.03 -0.03 0.0 1 83.238 45.121 4463.183
-160.02 3.59 -0.03 -0.03 0.0 1 83.201 45.159 4462.824
-160.03 3.59 -0.03 -0.03 0.0 1 83.198 45.211 4462.468
-160.03 3.59 -0.03 -0.03 0.0 1 83.158 45.251 4462.119
-160.03 3.59 -0.03 -0.03 0.0 1 83.122 45.289 4461.76
-160.04 3.59 -0.03 -0.03 0.0 1 83.108 45.351 4461.401
-160.04 3.59 -0.04 -0.03 0.0 1 83.071 45.389 4461.042
-160.04 3.59 -0.04 -0.03 0.0 1 83.035 45.427 4460.683
-160.04 3.59 -0.04 -0.03 0.0 1 82.998 45.465 4460.325
-160.05 3.59 -0.04 -0.03 0.0 1 82.982 45.529 4459.976
-160.05 3.59 -0.04 -0.03 0.0 1 82.945 45.567 4459.617
-160.05 3.59 -0.04 -0.03 0.0 1 82.908 45.605 4459.258
-160.06 3.59 -0.04 -0.03 0.0 1 82.895 45.667 4458.899
-160.06 3.59 -0.04 -0.03 0.0 1 82.868 45.695 4458.543
-160.06 3.59 -0.04 -0.03 0.0 1 82.831 45.733 4458.184
-160.07 3.59 -0.04 -0.04 0.0 1 82.818 45.795 4457.825
-160.07 3.59 -0.04 -0.04 0.0 1 82.779 45.835 4457.476
-160.07 3.59 -0.04 -0.04 0.0 1 82.742 45.873 4457.117
-160.08 3.59 -0.04 -0.04 0.0 1 82.729 45.935 4456.758
-160.08 3.59 -0.04 -0.04 0.0 1 82.692 45.973 4456.399
-160.09 3.59 -0.04 -0.04 0.0 1 82.689 46.025 4456.043
-160.09 3.59 -0.04 -0.04 0.0 1 82.652 46.063 4455.684
-160.09 3.59 -0.04 -0.04 0.0 1 82.612 46.104 4455.335
-160.1 3.59 -0.04 -0.04 0.0 1 82.599 46.165 4454.976
-160.1 3.59 -0.04 -0.04 0.0 1 82.562 46.203 4454.617
-160.11 3.59 -0.04 -0.04 0.0 1 82.559 46.255 4454.261
-160.11 3.59 -0.04 -0.04 0.0 1 82.522 46.294 4453.902
-160.11 3.59 -0.04 -0.04 0.0 1 82.485 46.332 4453.543
-160.12 3.58 -0.04 -0.04 0.0 1 82.472 46.393 4453.185
-160.12 3.58 -0.04 -0.04 0.0 1 82.435 46.431 4452.826
-160.13 3.58 -0.05 -0.04 0.0 1 82.429 46.486 4452.479
-160.13 3.58 -0.05 -0.04 0.0 1 82.393 46.524 4452.12
-160.13 3.58 -0.05 -0.04 0.0 1 82.356 46.562 4451.761
-160.14 3.58 -0.05 -0.04 0.0 1 82.343 46.624 4451.403
-160.14 3.58 -0.05 -0.04 0.0 1 82.315 46.652 4451.046
-160.15 3.58 -0.05 -0.04 0.0 1 82.302 46.714 4450.687
-160.15 3.58 -0.05 -0.04 0.0 1 82.265 46.752 4450.328
-160.16 3.58 -0.05 -0.05 0.0 1 82.25 46.816 4449.979
-160.16 3.58 -0.05 -0.05 0.0 1 82.223 46.844 4449.623
-160.17 3.58 -0.05 -0.05 0.0 1 82.21 46.906 4449.264
-160.17 3.58 -0.05 -0.05 0.0 1 82.173 46.944 4448.905
-160.17 3.58 -0.05 -0.05 0.0 1 82.146 46.972 4448.549
-160.18 3.58 -0.05 -0.05 0.0 1 82.133 47.034 4448.19
-160.18 3.59 -0.05 -0.05 0.0 1 82.096 47.072 4447.831
-160.19 3.59 -0.05 -0.05 0.0 1 82.092 47.124 4447.475
-160.19 3.59 -0.05 -0.05 0.0 1 82.055 47.162 4447.116
-160.2 3.59 -0.05 -0.05 0.0 1 82.042 47.224 4446.757
-160.2 3.59 -0.05 -0.05 0.0 1 82.013 47.255 4446.41
-160.21 3.59 -0.05 -0.05 0.0 1 82.0 47.316 4446.052
-160.21 3.59 -0.05 -0.05 0.0 1 81.963 47.354 4445.693
-160.22 3.59 -0.05 -0.05 0.0 1 81.959 47.406 4445.336
-160.22 3.59 -0.06 -0.05 0.0 1 81.922 47.444 4444.978
-160.23 3.59 -0.06 -0.05 0.0 1 81.909 47.506 4444.619
-160.23 3.6 -0.06 -0.05 0.0 1 81.882 47.535 4444.262
-160.24 3.6 -0.06 -0.05 0.0 1 81.869 47.596 4443.904
-160.24 3.6 -0.06 -0.05 0.0 1 81.842 47.625 4443.547
-160.25 3.6 -0.06 -0.05 0.0 1 81.831 47.684 4443.179
-160.25 3.6 -0.06 -0.05 0.0 1 81.794 47.722 4442.82
-160.26 3.6 -0.06 -0.05 0.0 1 81.791 47.774 4442.463
-160.27 3.6 -0.06 -0.05 0.0 1 81.778 47.836 4442.105
-160.27 3.6 -0.06 -0.05 0.0 1 81.741 47.874 4441.746
-160.28 3.6 -0.06 -0.05 0.0 1 81.738 47.926 4441.389
-160.28 3.6 -0.06 -0.06 0.0 1 81.701 47.964 4441.031
-160.29 3.61 -0.06 -0.06 0.0 1 81.697 48.016 4440.674
-160.29 3.61 -0.06 -0.06 0.0 1 81.66 48.054 4440.315
-160.3 3.61 -0.06 -0.06 0.0 1 81.659 48.104 4439.949
-160.3 3.61 -0.06 -0.06 0.0 1 81.622 48.142 4439.59
-160.31 3.61 -0.06 -0.06 0.0 1 81.609 48.204 4439.232
-160.32 3.61 -0.07 -0.06 0.0 1 81.606 48.256 4438.875
-160.32 3.61 -0.07 -0.06 0.0 1 81.569 48.294 4438.516
-160.33 3.61 -0.07 -0.06 0.0 1 81.566 48.346 4438.16
-160.33 3.61 -0.07 -0.06 0.0 1 81.531 48.382 4437.791
-160.34 3.6 -0.07 -0.06 0.0 1 81.528 48.434 4437.435
-160.34 3.6 -0.07 -0.06 0.0 1 81.491 48.472 4437.076
-160.35 3.6 -0.07 -0.06 0.0 1 81.488 48.524 4436.72
-160.36 3.6 -0.07 -0.06 0.0 1 81.475 48.586 4436.361
-160.36 3.6 -0.07 -0.06 0.0 1 81.447 48.614 4436.005
-160.37 3.6 -0.07 -0.06 0.0 1 81.446 48.664 4435.638
-160.37 3.6 -0.07 -0.06 0.0 1 81.409 48.702 4435.28
-160.38 3.6 -0.07 -0.06 0.0 1 81.406 48.754 4434.923
-160.39 3.6 -0.07 -0.06 0.0 1 81.393 48.816 4434.564
-160.39 3.59 -0.07 -0.06 0.0 1 81.366 48.844 4434.208
-160.4 3.59 -0.07 -0.06 0.0 1 81.363 48.896 4433.852
-160.41 3.59 -0.07 -0.06 0.0 1 81.349 48.958 4433.493
-160.41 3.59 -0.08 -0.06 0.0 1 81.322 48.987 4433.136
-160.42 3.59 -0.08 -0.06 0.0 1 81.319 49.039 4432.78
-160.42 3.58 -0.08 -0.06 0.0 1 81.282 49.077 4432.421
-160.43 3.58 -0.08 -0.06 0.0 1 81.279 49.129 4432.065
-160.44 3.58 -0.08 -0.06 0.0 1 81.275 49.181 4431.708
-160.44 3.58 -0.08 -0.06 0.0 1 81.248 49.209 4431.352
-160.45 3.57 -0.08 -0.07 0.0 1 81.235 49.271 4430.993
-160.46 3.57 -0.08 -0.07 0.0 1 81.232 49.323 4430.637
-160.46 3.57 -0.08 -0.07 0.0 1 81.205 49.351 4430.28
-160.47 3.57 -0.08 -0.07 0.0 1 81.201 49.404 4429.924
-160.48 3.56 -0.08 -0.07 0.0 1 81.198 49.456 4429.567
-160.48 3.56 -0.08 -0.07 0.0 1 81.161 49.494 4429.209
-160.49 3.56 -0.08 -0.07 0.0 1 81.158 49.546 4428.852
-160.5 3.56 -0.08 -0.07 0.0 1 81.154 49.598 4428.496
-160.5 3.55 -0.08 -0.07 0.0 1 81.125 49.629 4428.149
-160.51 3.55 -0.08 -0.07 0.0 1 81.121 49.681 4427.793
-160.52 3.55 -0.08 -0.07 0.0 1 81.118 49.733 4427.436
-160.52 3.55 -0.08 -0.07 0.0 1 81.091 49.761 4427.08
-160.53 3.54 -0.08 -0.07 0.0 1 81.085 49.815 4426.733
-160.54 3.54 -0.08 -0.07 0.0 1 81.082 49.868 4426.377
-160.54 3.54 -0.08 -0.07 0.0 1 81.055 49.896 4426.02
-160.55 3.54 -0.09 -0.07 0.0 1 81.049 49.95 4425.673
-160.56 3.53 -0.09 -0.07 0.0 1 81.046 50.002 4425.317
-160.57 3.53 -0.09 -0.07 0.0 1 81.04 50.057 4424.97
-160.57 3.53 -0.09 -0.07 0.0 1 81.013 50.085 4424.614
-160.58 3.53 -0.09 -0.07 0.0 1 81.01 50.137 4424.258
-160.59 3.53 -0.09 -0.07 0.0 1 81.004 50.192 4423.911
-160.59 3.52 -0.09 -0.07 0.0 1 80.977 50.22 4423.554
-160.6 3.52 -0.09 -0.07 0.0 1 80.971 50.275 4423.208
-160.61 3.52 -0.09 -0.07 0.0 1 80.978 50.317 4422.854
-160.62 3.52 -0.09 -0.07 0.0 1 80.972 50.371 4422.507
-160.62 3.52 -0.09 -0.07 0.0 1 80.945 50.4 4422.151
-160.63 3.52 -0.09 -0.07 0.0 1 80.939 50.454 4421.804
-160.64 3.52 -0.09 -0.07 0.0 1 80.936 50.506 4421.447
-160.64 3.52 -0.09 -0.07 0.0 1 80.916 50.527 4421.103
-160.65 3.52 -0.09 -0.07 0.0 1 80.913 50.579 4420.747
-160.66 3.52 -0.09 -0.07 0.0 1 80.907 50.634 4420.4
-160.67 3.52 -0.09 -0.07 0.0 1 80.904 50.686 4420.044
-160.67 3.52 -0.09 -0.07 0.0 1 80.874 50.716 4419.697
-160.68 3.52 -0.1 -0.07 0.0 1 80.88 50.759 4419.343
-160.69 3.52 -0.1 -0.07 0.0 1 80.875 50.813 4418.996
-160.7 3.52 -0.1 -0.07 0.0 1 80.872 50.865 4418.64
-160.7 3.52 -0.1 -0.08 0.0 1 80.852 50.886 4418.295
-160.71 3.52 -0.1 -0.08 0.0 1 80.848 50.938 4417.939
-160.72 3.52 -0.1 -0.08 0.0 1 80.843 50.993 4417.592
-160.73 3.52 -0.1 -0.08 0.0 1 80.839 51.045 4417.236
-160.73 3.52 -0.1 -0.08 0.0 1 80.82 51.066 4416.892
-160.74 3.52 -0.1 -0.08 0.0 1 80.816 51.118 4416.535
-160.75 3.52 -0.1 -0.08 0.0 1 80.813 51.17 4416.179
-160.76 3.53 -0.1 -0.08 0.0 1 80.817 51.215 4415.834
-160.76 3.53 -0.1 -0.08 0.0 1 80.79 51.243 4415.478
-160.77 3.53 -0.1 -0.08 0.0 1 80.784 51.298 4415.131
-160.78 3.53 -0.1 -0.08 0.0 1 80.791 51.34 4414.777
-160.79 3.53 -0.1 -0.08 0.0 1 80.787 51.392 4414.421
-160.8 3.54 -0.1 -0.08 0.0 1 80.784 51.445 4414.064
-160.8 3.54 -0.1 -0.08 0.0 1 80.764 51.465 4413.72
-160.81 3.54 -0.1 -0.08 0.0 1 80.761 51.518 4413.364
-160.82 3.54 -0.1 -0.08 0.0 1 80.758 51.57 4413.007
-160.83 3.55 -0.1 -0.08 0.0 1 80.764 51.612 4412.653
-160.84 3.55 -0.1 -0.08 -0.06 1 80.761 51.664 4412.297
