Navio: Suezmax T150
Cenário: Médio
Manobra: Entrada completa para calibracao
Corrente: N 0.5nó 
Vento: SE 15nós 
Onda: 1.0m 8s SE 

time_stamp zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target
301.0 -160.81 4.19 -0.18 -0.05 0.0 2 -32.879 6024.934
301.1 -160.82 4.19 -0.18 -0.05 0.0 2 -32.911 6024.514
301.2 -160.82 4.19 -0.18 -0.05 0.0 2 -32.934 6024.097
301.3 -160.83 4.19 -0.18 -0.05 0.0 2 -32.954 6023.67
301.4 -160.83 4.19 -0.18 -0.05 0.0 2 -32.976 6023.253
301.5 -160.84 4.19 -0.18 -0.05 0.0 2 -32.999 6022.836
301.6 -160.84 4.19 -0.18 -0.05 0.0 2 -33.021 6022.418
301.7 -160.85 4.19 -0.18 -0.05 0.0 2 -33.044 6022.001
301.8 -160.85 4.19 -0.18 -0.05 0.0 2 -33.064 6021.574
301.9 -160.86 4.19 -0.18 -0.05 0.0 2 -33.086 6021.157
302.0 -160.86 4.19 -0.18 -0.05 0.0 2 -33.109 6020.74
302.1 -160.87 4.19 -0.18 -0.05 0.0 2 -33.141 6020.32
302.2 -160.87 4.19 -0.18 -0.05 0.0 2 -33.163 6019.903
302.3 -160.88 4.19 -0.18 -0.05 0.0 2 -33.185 6019.486
302.4 -160.88 4.19 -0.18 -0.05 0.0 2 -33.206 6019.059
302.5 -160.89 4.19 -0.18 -0.05 0.0 2 -33.228 6018.642
302.6 -160.89 4.19 -0.18 -0.05 0.0 2 -33.25 6018.224
302.7 -160.89 4.19 -0.18 -0.05 0.0 2 -33.273 6017.807
302.8 -160.9 4.19 -0.18 -0.05 0.0 2 -33.295 6017.39
302.9 -160.9 4.19 -0.18 -0.05 0.0 2 -33.315 6016.963
303.0 -160.91 4.19 -0.18 -0.05 0.0 2 -33.338 6016.546
303.1 -160.91 4.19 -0.18 -0.05 0.0 2 -33.36 6016.129
303.2 -160.92 4.19 -0.18 -0.05 0.0 2 -33.382 6015.712
303.3 -160.92 4.19 -0.18 -0.05 0.0 2 -33.405 6015.294
303.4 -160.93 4.19 -0.18 -0.05 0.0 2 -33.425 6014.867
303.5 -160.93 4.19 -0.18 -0.05 0.0 2 -33.447 6014.45
303.6 -160.94 4.19 -0.18 -0.05 0.0 2 -33.47 6014.033
303.7 -160.94 4.19 -0.18 -0.05 0.0 2 -33.492 6013.616
303.8 -160.95 4.19 -0.18 -0.05 0.0 2 -33.515 6013.199
303.9 -160.95 4.19 -0.18 -0.05 0.0 2 -33.535 6012.772
304.0 -160.96 4.19 -0.18 -0.05 0.0 2 -33.557 6012.355
304.1 -160.96 4.19 -0.18 -0.05 0.0 2 -33.579 6011.937
304.2 -160.96 4.19 -0.18 -0.05 0.0 2 -33.602 6011.52
304.3 -160.97 4.19 -0.18 -0.05 0.0 2 -33.624 6011.103
304.4 -160.97 4.19 -0.18 -0.05 0.0 2 -33.644 6010.676
304.5 -160.98 4.19 -0.18 -0.05 0.0 2 -33.667 6010.259
304.6 -160.98 4.19 -0.18 -0.05 0.0 2 -33.689 6009.842
304.7 -160.99 4.19 -0.18 -0.05 0.0 2 -33.712 6009.424
304.8 -160.99 4.19 -0.18 -0.05 0.0 2 -33.732 6008.998
304.9 -161.0 4.19 -0.18 -0.05 0.0 2 -33.754 6008.58
305.0 -161.0 4.19 -0.18 -0.05 0.0 2 -33.777 6008.163
305.1 -161.01 4.19 -0.18 -0.05 0.0 2 -33.799 6007.746
305.2 -161.01 4.19 -0.18 -0.05 0.0 2 -33.821 6007.329
305.3 -161.02 4.19 -0.18 -0.05 0.0 2 -33.841 6006.902
305.4 -161.02 4.19 -0.18 -0.05 0.0 2 -33.864 6006.485
305.5 -161.02 4.19 -0.18 -0.05 0.0 2 -33.886 6006.067
305.6 -161.03 4.19 -0.18 -0.05 0.0 2 -33.909 6005.65
305.7 -161.03 4.19 -0.18 -0.05 0.0 2 -33.931 6005.233
305.8 -161.04 4.19 -0.18 -0.05 0.0 2 -33.951 6004.806
305.9 -161.04 4.19 -0.18 -0.05 0.0 2 -33.964 6004.391
306.0 -161.05 4.19 -0.18 -0.05 0.0 2 -33.986 6003.974
306.1 -161.05 4.19 -0.18 -0.04 0.0 2 -34.009 6003.557
306.2 -161.06 4.19 -0.18 -0.04 0.0 2 -34.031 6003.14
306.3 -161.06 4.19 -0.18 -0.04 0.0 2 -34.053 6002.723
306.4 -161.06 4.19 -0.18 -0.04 0.0 2 -34.074 6002.296
306.5 -161.07 4.19 -0.18 -0.04 0.0 2 -34.096 6001.878
306.6 -161.07 4.18 -0.18 -0.04 0.0 2 -34.118 6001.461
306.7 -161.08 4.18 -0.18 -0.04 0.0 2 -34.141 6001.044
306.8 -161.08 4.18 -0.18 -0.04 0.0 2 -34.163 6000.627
306.9 -161.09 4.18 -0.18 -0.04 0.0 2 -34.176 6000.212
307.0 -161.09 4.18 -0.18 -0.04 0.0 2 -34.196 5999.785
307.1 -161.1 4.18 -0.18 -0.04 0.0 2 -34.218 5999.368
307.2 -161.1 4.18 -0.18 -0.04 0.0 2 -34.241 5998.951
307.3 -161.1 4.18 -0.18 -0.04 0.0 2 -34.263 5998.534
307.4 -161.11 4.18 -0.18 -0.04 0.0 2 -34.286 5998.116
307.5 -161.11 4.18 -0.18 -0.04 0.0 2 -34.308 5997.699
307.6 -161.12 4.18 -0.18 -0.04 0.0 2 -34.321 5997.284
307.7 -161.12 4.18 -0.18 -0.04 0.0 2 -34.343 5996.867
307.8 -161.13 4.18 -0.18 -0.04 0.0 2 -34.363 5996.44
