Navio: Suezmax T172
Cenário: Vento NE
Manobra: Entrada PGL3B Atrac. BB
Corrente: N 0.8nó 
Vento: NE 25nós 
Onda: 1.0m 8s NE 

time_stamp zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target
0.0 -170.0 3.08 0.26 -0.0 0.0 0 -35.487 5303.041
0.1 -170.0 3.08 0.25 -0.0 0.0 0 -35.494 5302.73
0.2 -170.0 3.08 0.25 -0.0 0.0 0 -35.501 5302.42
0.3 -170.0 3.08 0.25 -0.0 0.0 0 -35.498 5302.112
0.4 -170.01 3.08 0.25 -0.01 0.0 0 -35.508 5301.811
0.5 -170.01 3.08 0.25 -0.01 0.0 0 -35.515 5301.501
0.6 -170.01 3.08 0.25 -0.01 0.0 0 -35.522 5301.19
0.7 -170.01 3.08 0.25 -0.01 0.0 0 -35.529 5300.88
0.8 -170.01 3.08 0.24 -0.01 0.0 0 -35.526 5300.572
0.9 -170.01 3.08 0.24 -0.01 0.0 0 -35.533 5300.261
1.0 -170.01 3.08 0.24 -0.01 0.0 0 -35.541 5299.951
1.1 -170.01 3.08 0.24 -0.01 0.0 0 -35.548 5299.64
1.2 -170.01 3.08 0.24 -0.01 0.0 0 -35.545 5299.332
1.3 -170.01 3.08 0.24 -0.01 0.0 0 -35.552 5299.022
1.4 -170.02 3.08 0.24 -0.01 0.0 0 -35.559 5298.711
1.5 -170.02 3.08 0.24 -0.02 0.0 0 -35.557 5298.403
1.6 -170.02 3.08 0.23 -0.02 0.0 0 -35.564 5298.093
1.7 -170.02 3.08 0.23 -0.02 0.0 0 -35.571 5297.783
1.8 -170.02 3.08 0.23 -0.02 0.0 0 -35.568 5297.475
1.9 -170.02 3.08 0.23 -0.02 0.0 0 -35.575 5297.164
2.0 -170.03 3.08 0.23 -0.02 0.0 0 -35.582 5296.854
2.1 -170.03 3.08 0.23 -0.02 0.0 0 -35.58 5296.546
2.2 -170.03 3.08 0.23 -0.02 0.0 0 -35.587 5296.235
2.3 -170.03 3.08 0.23 -0.02 0.0 0 -35.586 5295.937
2.4 -170.04 3.08 0.23 -0.02 0.0 0 -35.594 5295.626
2.5 -170.04 3.08 0.22 -0.03 0.0 0 -35.591 5295.318
