Navio: Suezmax T172
Cenário: Forte
Manobra: Entrada PGL3B Atrac. BB
Corrente: N 0.8nó 
Vento: SE 20nós 
Onda: 1.7m 10s SE 

time_stamp zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target
352.1 -162.75 3.95 -0.51 0.11 0.07 3 -5.936 6031.933
352.2 -162.74 3.95 -0.51 0.11 0.12 3 -5.912 6031.538
352.3 -162.73 3.95 -0.51 0.11 0.12 3 -5.878 6031.146
352.4 -162.71 3.95 -0.51 0.11 0.12 3 -5.852 6030.741
352.5 -162.7 3.95 -0.51 0.12 0.12 3 -5.828 6030.346
352.6 -162.69 3.95 -0.51 0.12 0.13 3 -5.804 6029.95
352.7 -162.68 3.95 -0.51 0.12 0.13 3 -5.781 6029.555
352.8 -162.67 3.95 -0.51 0.12 0.13 3 -5.754 6029.15
352.9 -162.66 3.95 -0.51 0.12 0.13 3 -5.731 6028.755
353.0 -162.64 3.95 -0.51 0.12 0.13 3 -5.697 6028.363
353.1 -162.63 3.95 -0.51 0.12 0.13 3 -5.673 6027.968
353.2 -162.62 3.95 -0.51 0.12 0.13 3 -5.649 6027.572
353.3 -162.61 3.95 -0.51 0.12 0.13 3 -5.626 6027.177
353.4 -162.6 3.95 -0.51 0.12 0.13 3 -5.599 6026.772
353.5 -162.58 3.95 -0.51 0.12 0.13 3 -5.576 6026.377
353.6 -162.57 3.95 -0.51 0.12 0.13 3 -5.552 6025.982
353.7 -162.56 3.95 -0.51 0.12 0.13 3 -5.528 6025.587
353.8 -162.55 3.95 -0.51 0.12 0.1 3 -5.504 6025.192
353.9 -162.53 3.95 -0.51 0.13 0.1 3 -5.478 6024.787
354.0 -162.52 3.95 -0.51 0.13 0.1 3 -5.454 6024.392
354.1 -162.51 3.95 -0.51 0.13 0.1 3 -5.43 6023.997
354.2 -162.5 3.95 -0.51 0.13 0.1 3 -5.406 6023.602
354.3 -162.48 3.95 -0.51 0.13 0.1 3 -5.383 6023.206
354.4 -162.47 3.95 -0.51 0.13 0.1 3 -5.356 6022.802
354.5 -162.46 3.96 -0.51 0.13 0.1 3 -5.333 6022.407
354.6 -162.45 3.96 -0.51 0.13 0.23 3 -5.309 6022.011
354.7 -162.43 3.96 -0.52 0.13 0.23 3 -5.283 6021.607
354.8 -162.42 3.96 -0.52 0.13 0.23 3 -5.259 6021.211
354.9 -162.41 3.96 -0.52 0.13 0.23 3 -5.235 6020.816
355.0 -162.39 3.96 -0.52 0.13 0.29 3 -5.211 6020.421
355.1 -162.38 3.97 -0.52 0.13 0.29 3 -5.185 6020.016
355.2 -162.37 3.97 -0.52 0.13 0.29 3 -5.161 6019.621
355.3 -162.35 3.97 -0.52 0.13 0.29 3 -5.135 6019.216
355.4 -162.34 3.97 -0.52 0.13 0.37 3 -5.111 6018.821
355.5 -162.33 3.98 -0.52 0.13 0.37 3 -5.087 6018.426
355.6 -162.31 3.98 -0.52 0.13 0.37 3 -5.061 6018.021
355.7 -162.3 3.98 -0.52 0.14 0.37 3 -5.037 6017.626
355.8 -162.29 3.98 -0.52 0.14 0.43 3 -5.021 6017.219
355.9 -162.27 3.99 -0.52 0.14 0.43 3 -4.995 6016.814
356.0 -162.26 3.99 -0.53 0.14 0.43 3 -4.971 6016.419
356.1 -162.25 3.99 -0.53 0.14 0.43 3 -4.945 6016.014
356.2 -162.23 3.99 -0.53 0.14 0.51 3 -4.921 6015.619
356.3 -162.22 4.0 -0.53 0.14 0.51 3 -4.895 6015.214
356.4 -162.2 4.0 -0.53 0.14 0.51 3 -4.878 6014.807
356.5 -162.19 4.0 -0.53 0.14 0.51 3 -4.854 6014.412
356.6 -162.18 4.01 -0.53 0.14 0.55 3 -4.828 6014.007
356.7 -162.16 4.01 -0.53 0.14 0.55 3 -4.802 6013.602
356.8 -162.15 4.01 -0.53 0.14 0.55 3 -4.776 6013.197
356.9 -162.13 4.01 -0.54 0.14 0.55 3 -4.75 6012.792
357.0 -162.12 4.02 -0.54 0.14 0.55 3 -4.736 6012.395
357.1 -162.11 4.02 -0.54 0.14 0.55 3 -4.709 6011.99
357.2 -162.09 4.02 -0.54 0.14 0.55 3 -4.683 6011.585
357.3 -162.08 4.03 -0.54 0.14 0.55 3 -4.657 6011.18
357.4 -162.06 4.03 -0.54 0.14 0.55 3 -4.641 6010.773
357.5 -162.05 4.03 -0.54 0.14 0.55 3 -4.614 6010.368
357.6 -162.03 4.03 -0.55 0.14 0.55 3 -4.588 6009.963
357.7 -162.02 4.04 -0.55 0.14 0.55 3 -4.562 6009.558
357.8 -162.01 4.04 -0.55 0.14 0.55 3 -4.546 6009.151
357.9 -161.99 4.04 -0.55 0.14 0.55 3 -4.517 6008.737
358.0 -161.98 4.04 -0.55 0.14 0.55 3 -4.491 6008.332
358.1 -161.96 4.05 -0.55 0.14 0.55 3 -4.465 6007.927
358.2 -161.95 4.05 -0.55 0.14 0.59 3 -4.448 6007.52
358.3 -161.93 4.05 -0.55 0.14 0.59 3 -4.422 6007.115
358.4 -161.92 4.05 -0.56 0.14 0.59 3 -4.394 6006.7
358.5 -161.91 4.06 -0.56 0.14 0.59 3 -4.377 6006.293
358.6 -161.89 4.06 -0.56 0.15 0.61 3 -4.351 6005.888
358.7 -161.88 4.06 -0.56 0.15 0.61 3 -4.325 6005.483
358.8 -161.86 4.06 -0.56 0.15 0.61 3 -4.296 6005.069
358.9 -161.85 4.06 -0.56 0.15 0.61 3 -4.28 6004.662
359.0 -161.83 4.07 -0.56 0.15 0.63 3 -4.251 6004.247
359.1 -161.82 4.07 -0.56 0.15 0.63 3 -4.225 6003.842
359.2 -161.8 4.07 -0.56 0.15 0.63 3 -4.209 6003.435
359.3 -161.79 4.07 -0.57 0.15 0.63 3 -4.18 6003.02
359.4 -161.77 4.07 -0.57 0.15 0.63 3 -4.154 6002.616
359.5 -161.76 4.07 -0.57 0.15 0.63 3 -4.135 6002.199
359.6 -161.75 4.07 -0.57 0.15 0.63 3 -4.109 6001.794
359.7 -161.73 4.07 -0.57 0.15 0.63 3 -4.08 6001.379
359.8 -161.72 4.07 -0.57 0.15 0.63 3 -4.064 6000.972
359.9 -161.7 4.08 -0.57 0.15 0.63 3 -4.038 6000.567
360.0 -161.69 4.08 -0.57 0.15 0.63 3 -4.019 6000.15
360.1 -161.67 4.08 -0.57 0.15 0.63 3 -3.993 5999.745
360.2 -161.66 4.08 -0.57 0.15 0.63 3 -3.964 5999.331
360.3 -161.64 4.08 -0.57 0.15 0.63 3 -3.948 5998.924
360.4 -161.63 4.08 -0.58 0.15 0.63 3 -3.919 5998.509
360.5 -161.61 4.08 -0.58 0.15 0.63 3 -3.893 5998.104
360.6 -161.6 4.08 -0.58 0.15 0.63 3 -3.874 5997.687
