Navio: Conteneiro 336B48
Cenário: Médio 10 nós
Manobra: Entrada TECON
Corrente: N 0.5nó 
Vento: SE 10nós 
Onda: 1.0m 8s SE 

time_stamp zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target
0.0 -160.0 3.6 -0.0 -0.0 0.0 0 8.485 3485.241
0.1 -160.0 3.6 -0.0 -0.0 0.0 0 8.447 3484.881
0.2 -160.0 3.6 -0.0 -0.0 0.0 0 8.4 3484.519
0.3 -160.0 3.6 -0.0 -0.0 0.0 0 8.359 3484.169
0.4 -160.0 3.6 -0.0 -0.0 0.0 0 8.321 3483.81
0.5 -160.0 3.6 -0.0 -0.0 0.0 0 8.274 3483.447
0.6 -160.0 3.6 -0.0 -0.01 0.0 0 8.236 3483.088
0.7 -160.0 3.6 -0.0 -0.01 0.0 0 8.198 3482.728
0.8 -160.0 3.6 -0.01 -0.01 0.0 0 8.158 3482.378
0.9 -160.0 3.6 -0.01 -0.01 0.0 0 8.11 3482.016
1.0 -160.0 3.6 -0.01 -0.01 0.0 0 8.073 3481.656
1.1 -160.01 3.6 -0.01 -0.01 0.0 0 8.035 3481.297
1.2 -160.01 3.6 -0.01 -0.01 0.0 0 7.997 3480.937
1.3 -160.01 3.6 -0.01 -0.01 0.0 0 7.949 3480.575
1.4 -160.01 3.6 -0.01 -0.01 0.0 0 7.909 3480.225
1.5 -160.01 3.6 -0.01 -0.01 0.0 0 7.871 3479.866
1.6 -160.01 3.6 -0.01 -0.01 0.0 0 7.833 3479.506
1.7 -160.01 3.6 -0.01 -0.01 0.0 0 7.796 3479.146
1.8 -160.01 3.6 -0.01 -0.01 0.0 0 7.748 3478.784
1.9 -160.01 3.59 -0.01 -0.01 0.0 0 7.71 3478.425
2.0 -160.02 3.59 -0.01 -0.01 0.0 0 7.67 3478.075
2.1 -160.02 3.59 -0.01 -0.01 0.0 0 7.632 3477.715
2.2 -160.02 3.59 -0.01 -0.02 0.0 0 7.594 3477.355
2.3 -160.02 3.59 -0.01 -0.02 0.0 0 7.556 3476.996
2.4 -160.02 3.59 -0.01 -0.02 0.0 0 7.509 3476.634
2.5 -160.02 3.59 -0.01 -0.02 0.0 0 7.469 3476.284
2.6 -160.03 3.59 -0.01 -0.02 0.0 0 7.431 3475.924
2.7 -160.03 3.59 -0.01 -0.02 0.0 0 7.393 3475.565
2.8 -160.03 3.59 -0.02 -0.02 0.0 0 7.355 3475.205
2.9 -160.03 3.59 -0.02 -0.02 0.0 0 7.317 3474.845
3.0 -160.03 3.59 -0.02 -0.02 0.0 0 7.279 3474.486
3.1 -160.03 3.59 -0.02 -0.02 0.0 0 7.229 3474.133
3.2 -160.04 3.59 -0.02 -0.02 0.0 0 7.192 3473.774
3.3 -160.04 3.59 -0.02 -0.02 0.0 0 7.154 3473.414
3.4 -160.04 3.59 -0.02 -0.02 0.0 0 7.116 3473.054
3.5 -160.04 3.59 -0.02 -0.02 0.0 0 7.078 3472.695
3.6 -160.05 3.59 -0.02 -0.02 0.0 0 7.038 3472.345
3.7 -160.05 3.59 -0.02 -0.02 0.0 0 7.0 3471.985
3.8 -160.05 3.59 -0.02 -0.02 0.0 0 6.962 3471.626
3.9 -160.05 3.59 -0.02 -0.03 0.0 0 6.924 3471.266
4.0 -160.06 3.59 -0.02 -0.03 0.0 0 6.886 3470.907
4.1 -160.06 3.59 -0.02 -0.03 0.0 0 6.846 3470.557
4.2 -160.06 3.59 -0.02 -0.03 0.0 0 6.808 3470.197
4.3 -160.06 3.59 -0.02 -0.03 0.0 0 6.771 3469.838
4.4 -160.07 3.59 -0.02 -0.03 0.0 0 6.733 3469.478
4.5 -160.07 3.59 -0.02 -0.03 0.0 0 6.695 3469.118
4.6 -160.07 3.59 -0.02 -0.03 0.0 0 6.657 3468.759
4.7 -160.08 3.59 -0.02 -0.03 0.0 0 6.617 3468.409
4.8 -160.08 3.59 -0.02 -0.03 0.0 0 6.579 3468.049
4.9 -160.08 3.59 -0.03 -0.03 0.0 0 6.541 3467.69
5.0 -160.08 3.59 -0.03 -0.03 0.0 0 6.503 3467.33
5.1 -160.09 3.59 -0.03 -0.03 0.0 0 6.465 3466.971
5.2 -160.09 3.59 -0.03 -0.03 0.0 0 6.425 3466.621
5.3 -160.09 3.59 -0.03 -0.03 0.0 0 6.387 3466.261
5.4 -160.1 3.59 -0.03 -0.03 0.0 0 6.35 3465.901
5.5 -160.1 3.59 -0.03 -0.03 0.0 0 6.312 3465.542
5.6 -160.1 3.59 -0.03 -0.03 0.0 0 6.274 3465.182
5.7 -160.11 3.59 -0.03 -0.03 0.0 0 6.236 3464.823
5.8 -160.11 3.59 -0.03 -0.03 0.0 0 6.196 3464.473
5.9 -160.11 3.59 -0.03 -0.03 0.0 0 6.158 3464.113
6.0 -160.12 3.59 -0.03 -0.04 0.0 0 6.12 3463.754
6.1 -160.12 3.59 -0.03 -0.04 0.0 0 6.082 3463.394
6.2 -160.12 3.59 -0.03 -0.04 0.0 0 6.044 3463.034
6.3 -160.13 3.59 -0.03 -0.04 0.0 0 6.007 3462.675
6.4 -160.13 3.59 -0.03 -0.04 0.0 0 5.976 3462.328
6.5 -160.14 3.59 -0.03 -0.04 0.0 0 5.938 3461.968
6.6 -160.14 3.59 -0.03 -0.04 0.0 0 5.9 3461.608
6.7 -160.14 3.59 -0.03 -0.04 0.0 0 5.863 3461.249
6.8 -160.15 3.59 -0.03 -0.04 0.0 0 5.825 3460.889
6.9 -160.15 3.59 -0.03 -0.04 0.0 0 5.787 3460.53
7.0 -160.15 3.59 -0.03 -0.04 0.0 0 5.747 3460.18
7.1 -160.16 3.59 -0.03 -0.04 0.0 0 5.709 3459.82
7.2 -160.16 3.59 -0.03 -0.04 0.0 0 5.681 3459.463
7.3 -160.17 3.58 -0.04 -0.04 0.0 0 5.643 3459.104
7.4 -160.17 3.58 -0.04 -0.04 0.0 0 5.605 3458.744
7.5 -160.17 3.58 -0.04 -0.04 0.0 0 5.567 3458.385
7.6 -160.18 3.58 -0.04 -0.04 0.0 0 5.527 3458.035
7.7 -160.18 3.58 -0.04 -0.04 0.0 0 5.489 3457.675
7.8 -160.19 3.58 -0.04 -0.04 0.0 0 5.461 3457.318
