Navio: Suezmax T172
Cenário: Forte
Manobra: Entrada STS PGL3B Atrac. BE
Corrente: N 0.8nó 
Vento: SE 20nós 
Onda: 1.7m 10s SE 

time_stamp zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target
0.0 -160.05 3.85 -0.26 -0.0 0.0 0 -1.284 3950.525
0.1 -160.05 3.85 -0.26 -0.0 0.0 0 -1.292 3950.133
0.2 -160.05 3.85 -0.26 -0.0 0.0 0 -1.312 3949.747
0.3 -160.05 3.85 -0.26 -0.0 0.0 0 -1.332 3949.361
0.4 -160.05 3.85 -0.26 -0.0 0.0 0 -1.351 3948.975
0.5 -160.05 3.85 -0.26 -0.0 0.0 0 -1.361 3948.592
0.6 -160.05 3.85 -0.26 -0.0 0.0 0 -1.381 3948.206
0.7 -160.05 3.85 -0.26 -0.0 0.0 0 -1.401 3947.82
0.8 -160.05 3.85 -0.26 -0.0 0.0 0 -1.411 3947.437
0.9 -160.05 3.85 -0.26 -0.0 0.0 0 -1.431 3947.051
1.0 -160.05 3.85 -0.26 -0.0 0.0 0 -1.45 3946.665
1.1 -160.05 3.85 -0.26 -0.0 0.0 0 -1.468 3946.27
1.2 -160.05 3.85 -0.26 -0.0 0.0 0 -1.478 3945.886
1.3 -160.05 3.85 -0.26 -0.0 0.0 0 -1.498 3945.5
1.4 -160.05 3.85 -0.26 -0.0 0.0 0 -1.517 3945.115
1.5 -160.05 3.85 -0.26 -0.0 0.0 0 -1.527 3944.731
1.6 -160.05 3.85 -0.26 -0.0 0.0 0 -1.547 3944.345
1.7 -160.05 3.85 -0.26 -0.0 0.0 0 -1.567 3943.96
1.8 -160.05 3.85 -0.26 -0.0 0.0 0 -1.587 3943.574
1.9 -160.05 3.85 -0.26 -0.0 0.01 0 -1.597 3943.191
2.0 -160.05 3.85 -0.26 -0.0 0.01 0 -1.617 3942.805
2.1 -160.05 3.85 -0.26 -0.0 0.01 0 -1.636 3942.419
2.2 -160.05 3.85 -0.26 -0.0 0.01 0 -1.646 3942.036
2.3 -160.05 3.85 -0.26 -0.0 0.01 0 -1.664 3941.64
2.4 -160.05 3.85 -0.26 -0.0 0.01 0 -1.684 3941.254
2.5 -160.05 3.85 -0.26 -0.0 0.01 0 -1.694 3940.871
