Navio: Suezmax T172
Cenário: Vento NE
Manobra: Entrada STS PGL3B Atrac. BB
Corrente: N 0.4nó 
Vento: NE 25nós 
Onda: 1.0m 8s NE 

time_stamp zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target
0.0 -172.0 3.85 -0.0 -0.0 -0.0 3 -0.26 4166.884
0.1 -172.0 3.85 -0.0 -0.0 -0.0 3 -0.229 4166.501
0.2 -172.0 3.85 -0.0 -0.0 -0.0 3 -0.188 4166.121
0.3 -172.0 3.85 -0.0 -0.0 -0.0 3 -0.145 4165.731
0.4 -172.0 3.85 -0.0 -0.0 -0.0 3 -0.114 4165.349
0.5 -172.0 3.85 -0.0 -0.0 -0.0 3 -0.073 4164.969
0.6 -172.0 3.85 -0.0 -0.0 -0.0 3 -0.032 4164.589
0.7 -172.0 3.85 -0.0 -0.0 -0.0 3 -0.001 4164.206
0.8 -172.0 3.85 -0.0 -0.0 -0.0 3 0.04 4163.826
0.9 -172.0 3.85 -0.0 -0.0 -0.0 3 0.083 4163.436
1.0 -172.0 3.85 -0.0 -0.0 -0.0 3 0.114 4163.053
1.1 -172.0 3.85 -0.0 -0.0 -0.0 3 0.155 4162.673
1.2 -172.0 3.85 -0.0 -0.0 -0.0 3 0.196 4162.293
1.3 -172.0 3.85 -0.0 -0.0 -0.0 3 0.227 4161.91
1.4 -172.0 3.85 -0.0 -0.0 -0.0 3 0.268 4161.53
1.5 -172.0 3.85 -0.01 -0.01 -0.0 3 0.312 4161.141
1.6 -172.0 3.85 -0.01 -0.01 -0.0 3 0.343 4160.758
1.7 -172.0 3.85 -0.01 -0.01 -0.0 3 0.384 4160.378
1.8 -172.0 3.85 -0.01 -0.01 -0.0 3 0.425 4159.998
1.9 -172.0 3.85 -0.01 -0.01 -0.0 3 0.456 4159.615
2.0 -172.0 3.85 -0.01 -0.01 -0.0 3 0.497 4159.235
2.1 -172.01 3.85 -0.01 -0.01 -0.0 3 0.538 4158.855
2.2 -172.01 3.85 -0.01 -0.01 -0.0 3 0.581 4158.465
2.3 -172.01 3.85 -0.01 -0.01 -0.0 3 0.612 4158.082
2.4 -172.01 3.85 -0.01 -0.01 -0.0 3 0.653 4157.702
2.5 -172.01 3.85 -0.01 -0.01 -0.0 3 0.694 4157.322
2.6 -172.01 3.85 -0.01 -0.01 -0.0 3 0.725 4156.939
2.7 -172.01 3.85 -0.01 -0.01 -0.0 3 0.766 4156.559
2.8 -172.01 3.85 -0.01 -0.01 -0.0 3 0.807 4156.179
2.9 -172.01 3.85 -0.01 -0.01 -0.0 3 0.848 4155.799
3.0 -172.01 3.85 -0.01 -0.01 -0.0 3 0.881 4155.407
3.1 -172.01 3.85 -0.01 -0.01 -0.0 3 0.922 4155.027
3.2 -172.01 3.85 -0.01 -0.01 -0.0 3 0.963 4154.647
3.3 -172.02 3.85 -0.01 -0.01 -0.0 3 1.004 4154.267
3.4 -172.02 3.85 -0.01 -0.01 -0.0 3 1.035 4153.884
3.5 -172.02 3.85 -0.01 -0.01 -0.0 3 1.076 4153.504
3.6 -172.02 3.85 -0.01 -0.01 -0.0 3 1.117 4153.124
3.7 -172.02 3.85 -0.01 -0.01 -0.0 3 1.158 4152.744
3.8 -172.02 3.85 -0.01 -0.01 -0.0 3 1.189 4152.361
3.9 -172.02 3.85 -0.01 -0.01 -0.0 3 1.232 4151.971
4.0 -172.02 3.85 -0.01 -0.01 -0.0 3 1.273 4151.591
4.1 -172.02 3.85 -0.01 -0.01 -0.0 3 1.314 4151.211
4.2 -172.03 3.85 -0.01 -0.01 -0.0 3 1.345 4150.828
4.3 -172.03 3.85 -0.01 -0.01 -0.0 3 1.386 4150.448
4.4 -172.03 3.85 -0.01 -0.01 -0.0 3 1.427 4150.068
4.5 -172.03 3.85 -0.01 -0.01 -0.0 3 1.468 4149.688
4.6 -172.03 3.85 -0.01 -0.01 -0.0 3 1.499 4149.305
4.7 -172.03 3.84 -0.01 -0.01 -0.0 3 1.54 4148.925
4.8 -172.03 3.84 -0.01 -0.01 -0.0 3 1.581 4148.545
4.9 -172.04 3.84 -0.01 -0.01 -0.0 3 1.624 4148.155
5.0 -172.04 3.84 -0.01 -0.01 -0.0 3 1.665 4147.775
5.1 -172.04 3.84 -0.01 -0.02 -0.03 3 1.696 4147.393
5.2 -172.04 3.84 -0.01 -0.02 -0.03 3 1.737 4147.013
5.3 -172.04 3.84 -0.01 -0.02 -0.03 3 1.778 4146.633
5.4 -172.04 3.84 -0.01 -0.02 -0.03 3 1.819 4146.252
5.5 -172.04 3.84 -0.01 -0.02 -0.03 3 1.86 4145.872
5.6 -172.05 3.84 -0.01 -0.02 -0.03 3 1.891 4145.49
5.7 -172.05 3.84 -0.01 -0.02 -0.03 3 1.932 4145.11
5.8 -172.05 3.84 -0.01 -0.02 -0.03 3 1.973 4144.73
5.9 -172.05 3.84 -0.01 -0.02 -0.03 3 2.014 4144.349
6.0 -172.05 3.84 -0.01 -0.02 -0.03 3 2.045 4143.967
6.1 -172.05 3.84 -0.01 -0.02 -0.03 3 2.086 4143.587
6.2 -172.06 3.84 -0.01 -0.02 -0.03 3 2.129 4143.197
6.3 -172.06 3.84 -0.01 -0.02 -0.03 3 2.17 4142.817
6.4 -172.06 3.84 -0.01 -0.02 -0.03 3 2.211 4142.437
6.5 -172.06 3.84 -0.01 -0.02 -0.11 3 2.252 4142.057
6.6 -172.06 3.84 -0.01 -0.02 -0.11 3 2.283 4141.674
6.7 -172.07 3.84 -0.01 -0.02 -0.11 3 2.324 4141.294
6.8 -172.07 3.84 -0.01 -0.02 -0.11 3 2.365 4140.914
6.9 -172.07 3.84 -0.01 -0.02 -0.11 3 2.406 4140.534
7.0 -172.07 3.84 -0.01 -0.02 -0.11 3 2.447 4140.154
7.1 -172.07 3.84 -0.01 -0.02 -0.11 3 2.478 4139.771
7.2 -172.08 3.84 -0.01 -0.02 -0.11 3 2.519 4139.391
7.3 -172.08 3.84 -0.01 -0.02 -0.11 3 2.56 4139.011
7.4 -172.08 3.84 -0.01 -0.02 -0.11 3 2.601 4138.631
7.5 -172.08 3.84 -0.01 -0.02 -0.11 3 2.642 4138.251
7.6 -172.08 3.84 -0.01 -0.02 -0.11 3 2.683 4137.871
7.7 -172.09 3.84 -0.01 -0.02 -0.11 3 2.716 4137.478
7.8 -172.09 3.84 -0.01 -0.02 -0.11 1 2.757 4137.098
7.9 -172.09 3.84 -0.01 -0.02 -0.11 1 2.798 4136.718
8.0 -172.09 3.84 -0.01 -0.02 -0.11 1 2.839 4136.338
8.1 -172.09 3.84 -0.01 -0.02 -0.11 1 2.88 4135.958
8.2 -172.1 3.84 -0.01 -0.02 -0.11 1 2.921 4135.578
8.3 -172.1 3.84 -0.01 -0.02 -0.11 1 2.962 4135.198
8.4 -172.1 3.84 -0.01 -0.02 -0.11 1 2.993 4134.815
8.5 -172.1 3.84 -0.01 -0.02 -0.11 1 3.034 4134.435
8.6 -172.11 3.84 -0.01 -0.02 -0.11 1 3.075 4134.055
8.7 -172.11 3.84 -0.02 -0.02 -0.11 1 3.115 4133.675
8.8 -172.11 3.84 -0.02 -0.02 -0.11 1 3.156 4133.295
8.9 -172.11 3.84 -0.02 -0.02 -0.11 1 3.197 4132.915
9.0 -172.11 3.84 -0.02 -0.02 -0.11 1 3.238 4132.535
9.1 -172.12 3.84 -0.02 -0.02 -0.11 1 3.279 4132.155
9.2 -172.12 3.84 -0.02 -0.02 -0.09 1 3.31 4131.772
9.3 -172.12 3.84 -0.02 -0.02 -0.09 1 3.351 4131.392
9.4 -172.12 3.84 -0.02 -0.02 -0.09 1 3.392 4131.012
9.5 -172.13 3.84 -0.02 -0.02 -0.09 1 3.435 4130.622
9.6 -172.13 3.84 -0.02 -0.02 -0.09 1 3.476 4130.242
9.7 -172.13 3.84 -0.02 -0.02 -0.09 1 3.517 4129.862
9.8 -172.13 3.84 -0.02 -0.02 -0.09 1 3.558 4129.482
9.9 -172.14 3.84 -0.02 -0.02 -0.09 1 3.599 4129.102
10.0 -172.14 3.84 -0.02 -0.02 -0.09 1 3.64 4128.722
10.1 -172.14 3.84 -0.02 -0.02 -0.09 1 3.681 4128.342
10.2 -172.14 3.84 -0.02 -0.02 -0.09 1 3.722 4127.962
10.3 -172.14 3.84 -0.02 -0.02 -0.09 1 3.753 4127.579
